id,name__sq,name__en,name__ru,name__fr,name__ca,name,wikipedia__ca,wikipedia__en,wikipedia__ru,wikipedia__sq,gender,occupation,birth_date,identifier__freebase,website,twitter,facebook,original_wikiname,name__tr,name__es,name__nl,name__de,wikipedia__tr,identifier__VIAF,given_name,name__sr,name__uk,name__cy,name__ja,wikipedia__nl,wikipedia__sr,wikipedia__uk,death_date,identifier__ISNI,wikipedia__pl,wikipedia__de,name__pl,name__sv,wikipedia__sv,identifier__BNF,image,name__it,identifier__LCAuth,identifier__GND,identifier__NUKAT,name__hr,name__sh,name__hu,name__zh_hant,name__zh_cn,name__zh,wikipedia__dewikinews,wikipedia__fr,wikipedia__hr,name__et,identifier__NLP,identifier__NTA,family_name,identifier__GTAA,name__sl,name__el,name__en_ca,name__en_gb,wikipedia__el,identifier__NKC
Q125794,Bujar Bukoshi,Bujar Bukoshi,"Букоши, Буяр",Bujar Bukoshi,,Bujar Bukoshi,,Bujar Bukoshi,"Букоши, Буяр",Bujar Bukoshi,male,politician,1947-05-13,/m/03d4tnw,,,,Bujar Bukoshi,Bujar Bukoshi,Bujar Bukoshi,Bujar Bukoshi,Bujar Bukoshi,,218670634,Bujar,,Буяр Букоши,,ブヤル・ブコシ,Bujar Bukoshi,,Буяр Букоши,,0000 0003 8544 6716,,Bujar Bukoshi,,Bujar Bukoshi,Bujar Bukoshi,,,,n2001032841,121592901,,Bujar Bukoshi,Bujar Bukoshi,Bujar Bukoshi,布亞爾·布科什,布亚尔·布科什,布亞爾·布科什,Kategorie:Bujar Bukoshi,Bujar Bukoshi,Bujar Bukoshi,,,,,87326,,Μπουγιάρ Μπουκόσι,Bujar Bukoshi,Bujar Bukoshi,Μπουγιάρ Μπουκόσι,
Q13039726,Halil Alidema,,,,,Halil Alidema,,,,Halil Alidema,male,politician,,,,,,Halil Alidema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13040485,Kadri Veseli,Kadri Veseli,Кадри Весели,Kadri Veseli,Kadri Veseli,Kadri Veseli,Kadri Veseli,Kadri Veseli,"Весели, Кадри",Kadri Veseli,male,politician,1967-05-31,/m/010wcwxt,"http://www.assembly-kosova.org/?cid=1,182",KadriVeseliKS,kadriveseliofficial,Kadri Veseli,,,Kadri Veseli,Kadri Veseli,,,Kadri,,,,,,,,,,Kadri Veseli,Kadri Veseli,Kadri Veseli,Kadri Veseli,Kadri Veseli,,https://upload.wikimedia.org/wikipedia/commons/7/7f/Kadri_Veseli_2017.jpg,,,,,,,,,,,,,,Kadri Veseli,,,Veseli,,Kadri Veseli,,,,,
Q16380606,Veli Deva,Veli Deva,Вели Дева,Veli Deva,,Veli Deva,,,"Дева, Вели",Veli Deva,male,political commissar,1923-10-18,,,,,Veli Deva,,,,,,,,Вели Дева,,Veli Deva,,,Вели Дева,,2015-11-25,,,,,Veli Deva,Veli Deva,,,Veli Deva,,,,,,,,,,,,,,,,,,,,,,,
Q16632968,Alush Gashi,Alush Gashi,,,,Alush Gashi,,,,Alush Gashi,male,politician,1950-10-04,,,,,Alush Gashi,,,,,,,,,,,,,,,,,,,,Alush Gashi,Alush Gashi,,https://upload.wikimedia.org/wikipedia/commons/5/50/Alush_Gashi.jpg,Alush Gashi,,,,,,,,,,,,,,,,,,,,,,,
Q2468119,Bahri Oruçi,Bahri Oruçi,"Оручи, Бахри",Bahri Oruçi,,Bahri Oruçi,,Bahri Oruçi,"Оручи, Бахри",Bahri Oruçi,male,political commissar,1930-02-09,,,,,Bahri Oruçi,,,Bahri Oruçi,Bahri Oruçi,,,,Бахри Оручи,Бахрі Оручі,Bahri Oruçi,バフリ・オルチ,Bahri Oruçi,Бахри Оручи,Бахрі Оручі,2001,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2a/Bahri_Oruči.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Q25567124,Elvis Pista,,,,,Elvis Pista,,,,Elvis Pista,male,politician,,,,,,Elvis Pista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25567132,Bajram Husa,,,,,Bajram Husa,,,,Bajram Husa,,politician,,,,,,Bajram Husa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25567795,Afërdita Veliu,,,,,Afërdita Veliu,,,,Afërdita Veliu,,politician,,,,,,Afërdita Veliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27804600,Hysen Ibrahimi,Hysen Ibrahimi,,,,Hysen Ibrahimi,,,,Hysen Ibrahimi,male,politician,,,,,,Hysen Ibrahimi,,,Hysen Ibrahimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3338538,Güner Ureya,Güner Ureya,,Güner Ureya,,Güner Ureya,,Güner Ureya,,Güner Ureya,male,diplomat,1973-01-06,,,,,Güner Ureya,Güner Ureya,Güner Ureya,Güner Ureya,Güner Ureya,Güner Ureya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5222412,Dardan Gashi,Dardan Gashi,Дардан Гаши,,,Dardan Gashi,,Dardan Gashi,"Гаши, Дардан",Dardan Gashi,male,politician,1969-07-03,,,,,Dardan Gashi,,,Dardan Gashi,Dardan Gashi,,261992948,Dardan,,,,,,,,,0000 0003 8171 3610,,,,,,,,,no96006361,120157780,n2011062265,,,,,,,,,,,A25071890,31524111X,Gashi,,Dardan Gashi,,,,,jx20101005003
