id,name,name__en,occupation,original_wikiname,name__nl,wikipedia__en,name__de,name__fr,gender,name__af,wikipedia__af,name__it,image,birth_date,given_name,identifier__VIAF,identifier__SUDOC,identifier__LCAuth,identifier__NUKAT,death_date,name__nb,name__da,name__nn,name__sv,name__id,name__es,name__fi,name__hu,wikipedia__commons,wikipedia__fr,wikipedia__id,wikipedia__sv,name__ru,name__ar,wikipedia__de,identifier__ISNI,identifier__BNF,identifier__NTA,identifier__GND,family_name,identifier__freebase,name__zh,identifier__IMDB,name__sw,wikipedia__fi,wikipedia__sw,identifier__FAST,identifier__PTBNP,identifier__SELIBR,honorific_prefix,name__pl,wikipedia__it,wikipedia__pl,wikipedia__plwikiquote,wikipedia__ru,name__lb,name__pt,name__ga,name__xh,name__zu,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__ja,name__zh_hant,name__zh_cn,wikipedia__es,wikipedia__ga,wikipedia__lb,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__simple,wikipedia__xh,wikipedia__zu,identifier__DBNL,identifier__Munzinger,identifier__NNDB,identifier__snac,identifier__BIBSYS,wikipedia__ar,name__cy,name__hr,twitter,name__eo,name__ca,name__la,wikipedia__la,wikipedia__eo,name__ko,wikipedia__ko,name__tl,wikipedia__tl,identifier__quora,name__hi,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__jv,name__pam,name__he,name__ms,name__ml,name__et,name__tr,name__uk,name__el,wikipedia__ca,wikipedia__et,wikipedia__he,wikipedia__hi,wikipedia__jv,wikipedia__ml,wikipedia__ms,wikipedia__pam,wikipedia__tr,wikipedia__uk,wikipedia__zh,identifier__GTAA,name__cs,wikipedia__cs,wikipedia__cswikiquote,identifier__JewishEnc,identifier__NLI,name__ss,wikipedia__ss,name__eu,name__ta,name__br,name__sr,name__be,name__ie,name__yo,name__lv,name__vi,name__sh,name__scn,name__ro,name__th,name__mr,name__fa,name__te,name__ka,name__nds,name__bn,name__kn,name__oc,name__gd,name__mk,name__ty,name__pa,name__yue,name__io,name__ast,name__sk,name__sco,name__bg,wikipedia__afwikiquote,wikipedia__ast,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__br,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__enwikiquote,wikipedia__eowikinews,wikipedia__eu,wikipedia__fa,wikipedia__frwikinews,wikipedia__gd,wikipedia__hr,wikipedia__hu,wikipedia__ie,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__kn,wikipedia__lv,wikipedia__mk,wikipedia__mr,wikipedia__nds,wikipedia__nn,wikipedia__oc,wikipedia__pa,wikipedia__ro,wikipedia__ruwikinews,wikipedia__scn,wikipedia__sco,wikipedia__sh,wikipedia__sk,wikipedia__sr,wikipedia__ta,wikipedia__te,wikipedia__th,wikipedia__ty,wikipedia__vi,wikipedia__wuu,wikipedia__yo,wikipedia__zh_yue,identifier__NKC,identifier__CSPAN,identifier__britishmuseum,identifier__nyt_topic,identifier__Britannica,identifier__bigenc_ru,name__sl,name__rw,wikipedia__rw,wikipedia__sl,identifier__CANTIC,name__ve,name__gu,name__an,name__bar,name__co,name__de_at,name__egl,name__eml,name__frp,name__fur,name__gl,name__gsw,name__ia,name__is,name__kg,name__li,name__lij,name__mg,name__min,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__rm,name__sc,name__sr_el,name__vec,name__vls,name__vo,name__wa,name__wo,wikipedia__az,wikipedia__gu,wikipedia__ve,identifier__ne_se,wikipedia__st,facebook,name__ur,wikipedia__ur,name__ts,name__be_tarask,name__hy,identifier__NDL,identifier__BNE,name__az,wikipedia__nso,identifier__GNC,website,wikipedia__gl,wikipedia__ts,wikipedia__uz,wikipedia__sq,identifier__wikitree,name__nso,name__st,name__uz,name__sq,name__nov,wikipedia__nov,name__wuu,name__ky,wikipedia__ky,name__nys,wikipedia__is,name__lad,instagram,wikipedia__azb
Q11043304,Naledi Pandor,Naledi Pandor,politician,,Naledi Pandor,Naledi Pandor,Naledi Pandor,Naledi Pandor,female,Naledi Pandor,Naledi Pandor,Naledi Pandor,https://upload.wikimedia.org/wikipedia/commons/3/38/Naledi_Pandor_2012.jpg,1953-12-07,,172980056,,no2011114662,,,Naledi Pandor,Naledi Pandor,Naledi Pandor,Naledi Pandor,,Naledi Pandor,,Naledi Pandor,,Naledi Pandor,,,,,,0000 0001 2328 098X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naledi Pandor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naledi Pandor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,نالیدی پینڈور,نالیدی پینڈور,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1109753,Collins Chabane,Collins Chabane,politician,,Collins Chabane,Collins Chabane,Collins Chabane,Collins Chabane,male,Collins Chabane,Collins Chabane,Collins Chabane,,1960-04-15,Collins,,,,,2015-03-15,Collins Chabane,Collins Chabane,Collins Chabane,Collins Chabane,,Collins Chabane,,Collins Chabane,,Collins Chabane,,,,,Collins Chabane,,,,,,/m/05yszjy,,,,,,,,,,,,,,,,,,,Collins Chabane,Collins Chabane,Collins Chabane,Collins Chabane,,,,,,,,,,,,,Collins Chabane,,,,,,,Collins Chabane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collins Chabane,Collins Chabane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collins Chabane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1148669,Matamela Cyril Ramaphosa,Matamela Cyril Ramaphosa,politician,,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,male,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,https://upload.wikimedia.org/wikipedia/commons/5/57/Cyril_Ramaphosa_e_Michel_Temer_2_(cropped).jpg,1952-11-17,Cyril,43060849,069246742,n85261750,,,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Category:Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Сирил Рамафоса,سيريل رامافوزا,Cyril Ramaphosa,0000 0001 1461 7798,157837560,244650314,135695104,,/m/04509v,西里爾·拉馬福薩,,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,190657,,,,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,,"Рамафоса, Сирил",Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,シリル・ラマポーサ,西里爾·拉馬福薩,西里尔·拉马福萨,Cyril Ramaphosa,,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,,Cyril Ramaphosa,,00000018316,,,,سيريل رامافوزا,Cyril Ramaphosa,Cyril Ramaphosa,,Cyril Ramaphosa,Cyril Ramaphosa,Cyrillus Ramaphosa,Cyrillus Ramaphosa,,시릴 라마포사,시릴 라마포사,,,,,,,,,,,סיריל רמפוזה,Cyril Ramaphosa,,Cyril Ramaphosa,Cyril Ramaphosa,Матамела Сиріл Рамафоса,Σίριλ Ραμαφόζα,,Cyril Ramaphosa,סיריל רמפוזה,,,,Cyril Ramaphosa,,Cyril Ramaphosa,Матамела Сиріл Рамафоса,西里爾·拉馬福薩,144552,Cyril Ramaphosa,Cyril Ramaphosa,,,,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,சிறில் ரமபோசா,Cyril Ramaphosa,,,Cyril Ramaphosa,,,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,ไซริล รามาโฟซา,सिरिल रामाफोसा,سیریل راماپوسا,,,Cyril Ramaphosa,সিরিল রামাফোসা,,Cyril Ramaphosa,Cyril Ramaphosa,Сирил Рамафоса,,,,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,,,Cyril Ramaphosa,,,,,Cyril Ramaphosa,Cyril Ramaphosa,,Cyril Ramaphosa,,Cyril Ramaphosa,سیریل راماپوسا,,,,,Cyril Ramaphosa,Cyril Ramaphosa,シリル・ラマポーザ,,,,,सिरिल रामाफोसा,,,Cyril Ramaphosa,,Cyril Ramaphosa,,,Cyril Ramaphosa,Cyril Ramaphosa,,,சிறில் ரமபோசா,,ไซริล รามาโฟซา,,Cyril Ramaphosa,,,,,,,,biography/Cyril-Ramaphosa,,Cyril Ramaphosa,,,,,Cyril Ramaphosa,સિરિલ રામાફોસા,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,Siril Ramafosa,સિરિલ રામાફોસા,Cyril Ramaphosa,cyril-ramaphosa,Cyril Ramaphosa,,,,,,Սիրիլ Ռամաֆոսա,,,Siril Ramafosa,Cyril Ramaphosa,,,,,Cyril Ramaphosa,,,Cyril Ramaphosa,Cyril Ramaphosa,Cyril Ramaphosa,,,,,,,,Cyril Ramaphosa,,,
Q11816850,Pieter Groenewald,Pieter Groenewald,politician,,Pieter Groenewald,Pieter Groenewald,,,male,Pieter Groenewald,Pieter Groenewald,,,,Pieter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pieter Groenewald,,Pieter Groenewald,,,,,,,,,,,,,,,,,,Pieter Groenewald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pieter Groenewald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pieter Groenewald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13034521,Corné Mulder,Corné Mulder,politician,,Cornelius Petrus Mulder,Corné Mulder,Corné Mulder,,male,Corné Mulder,Corné Mulder,,,,Corné,,,,,,,,,,,,,,,,,,,,,,,,,Mulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cornelius Petrus Mulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1390963,Marthinus van Schalkwyk,Marthinus van Schalkwyk,politician,,Marthinus van Schalkwyk,Marthinus van Schalkwyk,Marthinus Christoffel Johannes van Schalkwyk,Marthinus van Schalkwyk,male,Marthinus van Schalkwyk,Marthinus van Schalkwyk,Marthinus van Schalkwyk,https://upload.wikimedia.org/wikipedia/commons/b/bb/Marthinus_van_Schalkwyk_crop.jpg,1959-11-10,,103604107,,no2009204910,,,,,,Marthinus van Schalkwyk,,Marthinus van Schalkwyk,,Marthinus van Schalkwyk,,Marthinus van Schalkwyk,,Marthinus van Schalkwyk,,,Marthinus Christoffel Johannes van Schalkwyk,,,,,,/m/02qv5q,,,,,,,,,,Marthinus van Schalkwyk,,Marthinus van Schalkwyk,,,,,,,,,,,,,Marthinus·範·斯卡爾奎克,Marthinus·范·斯卡尔奎克,Marthinus van Schalkwyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marthinus van Schalkwyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1412305,Fikile Mbalula,Fikile Mbalula,politician,,Fikile Mbalula,Fikile Mbalula,Fikile Mbalula,Fikile Mbalula,male,Fikile Mbalula,Fikile Mbalula,Fikile Mbalula,,1971-04-08,,,,,,,,,,,,,,,,Fikile Mbalula,,,,,Fikile Mbalula,,,,,,/m/04gqr_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fikile Mbalula,,,,,,,,,,,MbalulaFikile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fikile Mbalula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fikile Mbalula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1450938,Rob Davies,Rob Davies,politician,,Rob Davies,Rob Davies (politician),Rob Davies,Rob Davies,male,Rob Davies,Rob Davies,Rob Davies,https://upload.wikimedia.org/wikipedia/commons/f/f2/Rob_Davies_-_World_Economic_Forum_on_Africa_2012.jpg,1948-05-12,Rob,32097330,033932743,n79052193,,,Rob Davies,Rob Davies,Rob Davies,Rob Davies,,Rob Davies,,Rob Davies,Category:Rob Davies,Rob Davies,,,Роб Дэвис,روب ديفيز,Rob Davies,0000 0000 8111 2979,12473977c,072156775,1057549010,Davies,/m/05zzk0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xx0122867,,,,,,Rob Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q150276,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,politician,,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,female,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,https://upload.wikimedia.org/wikipedia/commons/4/4a/Nkosazana_Dlamini-Zuma_2009.jpg,1949-01-27,,90491116,,nb2009015896,,,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,,Nkosazana Dlamini-Zuma,Category:Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Нкосазана Дламини-Зума,نكوسازانا دلاميني زوما,Nkosazana Dlamini-Zuma,0000 0000 6200 5342,,,143723499,,/m/04snjt,恩科萨扎娜·德拉米尼-祖马,,,,,,,,,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,,"Дламини-Зума, Нкосазана",,,,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,,,,,ヌコサザナ・クラリス・ドラミニ＝ズマ,恩科薩扎娜·德拉米尼－祖馬,恩科萨扎娜·德拉米尼－祖马,Nkosazana Dlamini-Zuma,,,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,,,U-Nkosazana Dlamini-Zuma,,,,,,,نكوسازانا دلاميني زوما,,,DlaminiZuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,,,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,,न्कोसाज़ना दलामिनी-ज़ुमा,恩科萨扎娜·德拉米尼－祖马,恩科薩扎娜·德拉米尼－祖馬,恩科萨扎娜·德拉米尼－祖马,恩科薩扎娜·德拉米尼－祖馬,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,נקוסזנה דלמיני-זומה,Nkosazana Dlamini-Zuma,എൻകൊസോസന ഡാമിനി സുമ,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Нкосазана Дламіні-Зума,Νκοσαζάνα Ντλαμίνι-Ζούμα,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,נקוסזנה דלמיני-זומה,न्कोसाज़ना दलामिनी-ज़ुमा,Nkosazana Dlamini-Zuma,എൻകൊസോസന ഡാമിനി സുമ,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Nkosazana Dlamini-Zuma,Нкосазана Дламіні-Зума,恩科萨扎娜·德拉米尼-祖马,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nkosazana Dlamini-Zuma,,,,,Nkosazana Dlamini-Zuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nkosazana Dlamini-Zuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1554125,Pule Mabe,Pule Mabe,journalist,,Pule Mabe,Pule Mabe,Pule Mabe,Pule Mabe,male,Pule Mabe,Pule Mabe,Pule Mabe,https://upload.wikimedia.org/wikipedia/commons/0/04/Pule_Mabe.jpg,1980,,,,,,,,,,,,,,,,,,,,,Pule Mabe,,,,,,/m/011v5jxp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pule Mabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
