id,name__en,name__de,name,wikipedia__en,gender,name__pl,name__ru,name__tr,name__ro,name__fr,name__el,wikipedia__el,wikipedia__pl,wikipedia__ro,wikipedia__ru,wikipedia__tr,birth_date,given_name,name__nl,name__es,name__ab,wikipedia__de,name__et,name__eo,name__ka,name__sv,name__zh,name__uk,name__oc,name__fi,name__ar,name__sr,name__da,name__cs,name__ja,wikipedia__ar,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__ja,wikipedia__ka,wikipedia__oc,wikipedia__ruwikinews,wikipedia__sr,wikipedia__sv,wikipedia__uk,wikipedia__zh,image,identifier__freebase,name__be,wikipedia__ab,wikipedia__be,name__hy,death_date,wikipedia__it,name__it,original_wikiname,name__hu,last_seen,name__zh_hant,name__zh_cn,wikipedia__fa,name__fa,occupation,wikipedia__hsb,name__hsb,name__ca,family_name,wikipedia__simple,name__ast,wikipedia__ast,name__zh_hans,name__ko,wikipedia__ko,name__eu,name__zh_hk,name__udm,name__he,name__uz,name__yo,name__ms,name__lv,name__id,name__mrj,name__vi,name__rw,name__pt,name__cv,name__be_tarask,name__cy,name__bg,name__az,name__lt,name__nb,name__sco,name__pt_br,wikipedia__az,wikipedia__be_x_old,wikipedia__bg,wikipedia__ca,wikipedia__cv,wikipedia__cy,wikipedia__he,wikipedia__hu,wikipedia__id,wikipedia__lt,wikipedia__lv,wikipedia__mrj,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__plwikiquote,wikipedia__pt,wikipedia__rw,wikipedia__sco,wikipedia__trwikinews,wikipedia__udm,wikipedia__uz,wikipedia__vi,wikipedia__yo,identifier__GND,identifier__Britannica,identifier__GTAA,identifier__VIAF,identifier__FAST,identifier__LCAuth,identifier__NUKAT,identifier__NTA,identifier__ISNI,website,name__zh_sg,name__zh_tw,name__sr_el,name__sr_ec,name__os,wikipedia__os,wikipedia__tg
Q1359023,Raul Khadjimba,Raul Chadschimba,Raul Khadjimba,Raul Khajimba,male,Raul Chadżimba,Рауль Джумкович Хаджимба,Raul Hacımba,,Raoul Khadjimba,,,Raul Chadżymba,,"Хаджимба, Рауль Джумкович",Raul Hacımba,1958-03-21,Raul,Raul Khadjimba,Raul Jadyimba,Рауль Ҳаџьымба,Raul Chadschimba,Raul Hadžimba,Raul Haĝimba,რაულ ჰაჯიმბა,Raul Chadzjimba,劳尔·朱姆科维奇·哈吉姆巴,Хаджимба Рауль Джумкович,Raulh Hajimba,Raul Khadzimba,راؤول خاجيمبا,Раул Хаџимба,Raul Khadjimba,Raul Chadžimba,‎ラウリ・ハジムバ,راؤول خاجيمبا,Category:Raul Khajimba,Raul Chadžimba,Raul Khadjimba,Raul Haĝimba,Raul Jadyimba,Raul Hadžimba,Raul Khadzimba,Raul Khadjimba,ラウリ・ハジムバ,რაულ ჰაჯიმბა,Raulh Hajimba,Категория:Рауль Хаджимба,Раул Хаџимба,Raul Chadzjimba,Хаджимба Рауль Джумкович,劳尔·朱姆科维奇·哈吉姆巴,https://upload.wikimedia.org/wikipedia/commons/2/2c/Raul_Khajimba_2015.jpg,/m/02fpn5,,"Ҳаџьымба, Рауль Џьумка-иԥа",,,,Raul Khajimba,Raul Khajimba,"Хаджимба, Рауль Джумкович",Raul Jadyimba,,,,رائول خاجیمبا,رائول خاجیمبا,politician,Raul Chadžimba,Raul Chadžimba,Raul Khadjimba,,Raul Khajimba,Raul Jadyimba,Raul Jadyimba,,라울 하짐바,라울 하짐바,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ҳаҷимба, Раул Ҷумкович"
Q15830732,,,Бежан Убириа,,male,,"Убирия, Бежан Михайлович",,,,,,,,"Убирия, Бежан Михайлович",,1967-03-07,,,,Бежан Убириа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15993490,Shota Shamatava,Shota Shamatava,Shota Shamatava,Shota Shamatava,male,,,,,Shota Shamatava,,,,,,,1936-07-17,Shota,,Shota Shamatava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10-28,,Shota Shamatava,,,,,,,,politician,,,,,,Shota Shamatava,,,,,,,,,,,,,,,,,,,,Shota Shamatava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16145377,Kesou Khagba,Kesou Khagba,Kesou Khagba,Kesou Khagba,male,,Кесоу Хагба,,,Kesou Khagba,,,,,,,1950,,,Kesou Khagba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Kesou Khagba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16185650,Vladimir Zantaria,Vladimir Zantaria,Vladimir Zantaria,Vladimir Zantaria,male,,,,,,,,,,,,1953-09-27,Vladimir,,Vladimir Zantaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vladimir Zantaria,,,,,,,,poet,,,,,,Vladimir Zantaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16730810,Adgur Kharazia,Adgur Kharazia,Adgur Kharazia,Adgur Kharazia,male,,Адгур Харазия,,,,,,,,,,,,,Adgur Kharazia,,,,,Адгəыр Рафеҭ-иҧа Харазиа,,,,,,,,,,,,,,,,,,,,,ადგურ ხარაზია,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/28/Adgur_Kharaziya.jpg,,,,,,,,,Adgur Kharazia,,,,,,,politician,,,,,,Adgur Kharazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19667703,Artur Mikvabia,,Artur Mikvabia,Artur Mikvabia,male,Artur Mikwabia,"Миквабия, Артур Артёмович",Artur Mikvabia,Artur Mikvabia,Artur Mikvabia,Αρτούρ Μικβάμπια,Αρτούρ Μικβάμπια,Artur Mikwabija,Artur Mikvabia,"Миквабия, Артур Артёмович",Artur Mikvabia,1949-05-02,Artur,Artur Mikvabia,Artur Mikvabia,Артур Артиом-иԥа Амқәаб,,,,,,阿爾圖路·米克瓦比亞,,,,,,,,アルトゥル・ミクヴァビア,,,,,,Artur Mikvabia,,,,,,,,,,,阿爾圖路·米克瓦比亞,,,,,,,,,,Artur Mikvabia,Artur Mikvabia,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24266544,Almas Japua,,Almas Japua,Almas Japua,male,,,,,,,,,,,,,,Almas Japua,Almas Japua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almas Japua,,,,,,,,,,,,,Almas Japua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25705029,,,Лев Аҩыӡба,,,,,,,,,,,,,,,,,,Лев Аҩыӡба,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аҩыӡба, Лев",,,,,,Лев Аҩыӡба,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26211009,Beslan Bartsits,,Beslan Bartsits,Beslan Bartsits,male,Biesłan Barcic,Беслан Константинович Барциц,Beslan Bartsits,,Beslan Bartsits,,,Biesłan Barcyc,,"Барциц, Беслан Константинович",Beslan Bartsits,1978-07-22,Beslan,Beslan Bartsits,Beslan Bartsits,,,,,,,別斯蘭·巴爾齊茨,,,,,,,,ベスラン・コンスタンチノヴィチ・,,,,,,Beslan Bartsits,,,,,,,,,,,別斯蘭·巴爾齊茨,https://upload.wikimedia.org/wikipedia/commons/3/3d/Беслан_Барциц_1.jpg,,,,,,,,,Beslan Bartsits,,,,,,,politician,,,,,,Beslan Bartsits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
