id,name__lv,name__en,name__de,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__da,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__it,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nb,name__nds,name__nds_nl,name__nl,name__nn,name__pcd,name__pl,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__sv,name__tr,name__vec,name__vls,name__wa,name,wikipedia__lv,image,gender,birth_date,original_wikiname,wikipedia__commons,wikipedia__pl,given_name,twitter,name__ru,wikipedia__ru,identifier__VIAF,wikipedia__en,identifier__freebase,wikipedia__plwikiquote,website,wikipedia__ca,wikipedia__et,identifier__ISNI,identifier__LCAuth,identifier__LNB,name__az,wikipedia__az,wikipedia__fr,name__he,name__ko,name__be,name__oc,name__id,name__la,name__be_tarask,name__io,name__ka,name__zh,name__uk,name__fa,name__tt,name__ar,wikipedia__ar,wikipedia__be_x_old,wikipedia__be,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__es,wikipedia__fa,wikipedia__fi,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__sv,wikipedia__tt,wikipedia__uk,wikipedia__zh,identifier__GND,identifier__Munzinger,identifier__FAST,wikipedia__tr,name__ltg,wikipedia__ltg,identifier__SUDOC,name__sgs,wikipedia__bat_smg,identifier__EuroparlMEP,identifier__BNF,name__en_ca,name__en_gb,name__kk,name__de_ch,name__ja,name__el,name__pt_br,name__bg,name__vi,name__tl,wikipedia__bg,wikipedia__el,wikipedia__eo,wikipedia__hu,wikipedia__ja,wikipedia__kk,wikipedia__lb,wikipedia__ruwikiquote,wikipedia__tl,wikipedia__vi,name__fo,wikipedia__fo,identifier__NLP,wikipedia__ukwikiquote,wikipedia__ro,name__ie,wikipedia__ie,wikipedia__sk,identifier__parlement,name__yo,name__hy,name__sr,wikipedia__hy,wikipedia__lmo,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sr,wikipedia__yo,name__vmf,name__pdc,identifier__MusicBrainz,identifier__NTA,identifier__IMDB,name__th,name__sh,wikipedia__nn,wikipedia__sh,wikipedia__th,identifier__moviemeter,identifier__allmovie,identifier__elonet,identifier__PORT,identifier__CSFD,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__tg_latn,name__sr_el,name__sr_ec,name__ilo,name__mr,name__tg,name__nov,wikipedia__co,wikipedia__gl,wikipedia__ilo,wikipedia__mr,wikipedia__nov,wikipedia__sl,wikipedia__tg,wikipedia__hsb,name__hsb,occupation,identifier__snac,wikipedia__itwikiquote,identifier__persee,identifier__GTAA,identifier__google_knowledge,identifier__NNDB,name__bm,name__de_at,name__frc,name__frp,name__ia,name__jam,name__kab,name__kg,name__mg,name__min,name__ms,name__nrm,name__pap,name__prg,name__rgn,name__sw,name__vo,name__wo,name__zu,name__kl,wikipedia__eu
Q10859008,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,Dace Reinika,https://upload.wikimedia.org/wikipedia/commons/6/69/Flickr_-_Saeima_-_10.Saeimas_deputāte_Dace_Reinika.jpg,female,1958-09-23,Dace Reinika,,Dace Reinika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11016682,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,Jānis Dombrava,https://upload.wikimedia.org/wikipedia/commons/f/f5/Janis_Dombrava.jpg,male,1988-06-29,Jānis Dombrava,,Jānis Dombrava,Jānis,,,,,,,Jānis Dombrava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11037711,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,Inese Laizāne,https://upload.wikimedia.org/wikipedia/commons/a/a0/Inese_Laizāne.jpg,female,1971-08-15,Inese Laizāne,Category:Inese Laizāne,Inese Laizāne,Inese,,,,,Inese Laizāne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11037954,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,Jānis Upenieks,https://upload.wikimedia.org/wikipedia/commons/1/1e/Jānis_Upenieks.jpg,male,1988-11-22,Jānis Upenieks,Category:Jānis Upenieks,Jānis Upenieks,Jānis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11043293,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igor Zujew,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,Igors Zujevs,https://upload.wikimedia.org/wikipedia/commons/5/58/Igors_Zujevs.jpg,male,1963-01-31,Igor Zujew,Category:Igors Zujevs,Igors Zujevs,Igor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11048053,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,Klāvs Olšteins,https://upload.wikimedia.org/wikipedia/commons/9/92/Klāvs_Olšteins_2011.jpg,male,1983-04-12,Klāvs Olšteins,Category:Klāvs Olšteins,Klāvs Olšteins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11119664,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Inguna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Inguna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,Ingūna Rībena,https://upload.wikimedia.org/wikipedia/commons/5/5a/Flickr_-_Saeima_-_10.Saeimas_deputāte_Inguna_Rībena.jpg,female,1956-07-24,Inguna Rībena,Category:Ingūna Rībena,Inguna Rībena,,,,,,,,,,Inguna Rībena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11213537,Kārlis Šadurskis,Kārlis Šadurskis,Kārlis Šadurskis,,,,,,,,,,,,,,Kārlis Šadurskis,,,Kārlis Šadurskis,,,,,,,,,,,,,,,,,,,Kārlis Šadurskis,,,Kārlis Šadurskis,,,,,,,,,,,,,,,,Kārlis Šadurskis,Kārlis Šadurskis,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flickr_-_Saeima_-_10.Saeimas_deputāts_Kārlis_Šadurskis.jpg,male,1959-10-11,Kārlis Šadurskis,Category:Kārlis Šadurskis,Kārlis Šadurskis,Kārlis,,"Шадурскис, Карлис","Шадурскис, Карлис",305087704,Kārlis Šadurskis,,,,,Kārlis Šadurskis,0000 0004 1707 089X,,000142340,,,Kārlis Šadurskis,,,,,,,,,,,,,,,,,,,,Kārlis Šadurskis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11684697,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,Aivars Volfs,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Aivars_Volfs.jpg,male,1959-06-01,Aivars Volfs,,Aivars Volfs,Aivars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11685170,Aleksandrs Sakovskis,Aleksandrs Sakovskis,Aleksandrs Sakovskis,,,,,,,Aleksandrs Sakovskis,,,,,,,,,,Aleksandrs Sakovskis,,,,,,,,,,,,,,,,,,,Aleksandrs Sakovskis,,,Aleksandr Sakowski,,,,,,,,,,,,,,,,Aleksandrs Sakovskis,Aleksandrs Sakovskis,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flickr_-_Saeima_-_10.Saeimas_deputāts_Aleksandrs_Sakovskis.jpg,male,1965,Aleksandr Sakowski,,Aleksandrs Sakovskis,Aleksandr,,,,,Aleksandrs Sakovskis,,,,Aleksandrs Sakovskis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
