id,name__es,name__it,name__en,name__fr,name,wikipedia__es,image,gender,birth_date,given_name,original_wikiname,name__nl,name__hu,name__de,name__nb,name__da,name__nn,name__sv,wikipedia__en,identifier__IMDB,wikipedia__eswikiquote,identifier__VIAF,twitter,wikipedia__fr,name__hr,wikipedia__hr,death_date,name__ca,name__eo,name__ro,name__fy,name__pt,name__cs,name__el,name__ru,name__hy,wikipedia__ca,wikipedia__de,wikipedia__fy,wikipedia__it,wikipedia__pt,wikipedia__sv,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__NLA,identifier__freebase,website,identifier__BNE,identifier__NTA,identifier__NLP,identifier__PORT,identifier__kinopoisk,identifier__filmportal_de,wikipedia__commons,family_name,wikipedia__nl,name__gl,name__cy,name__pl,name__ko,name__tr,name__si,name__ja,name__ne,name__az,name__ml,name__ta,name__uk,name__id,wikipedia__az,wikipedia__cs,wikipedia__eo,wikipedia__hu,wikipedia__id,wikipedia__ja,wikipedia__ko,wikipedia__ml,wikipedia__ne,wikipedia__pl,wikipedia__plwikiquote,wikipedia__ru,wikipedia__si,wikipedia__ta,wikipedia__tr,wikipedia__uk,wikipedia__simple,wikipedia__itwikiquote,name__zh,identifier__OLID,wikipedia__no,identifier__FAST,name__lmo,identifier__BVMC,identifier__ULAN,name__nds,wikipedia__hy,identifier__GTAA,identifier__AlloCine,identifier__allmovie,identifier__elonet,name__sco,wikipedia__sco,wikipedia__enwikiquote,identifier__google_knowledge,identifier__Britannica,occupation,facebook,identifier__snac,wikipedia__vi,name__vi,name__ar,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__et,name__eu,name__fi,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,second_surname,name__he,instagram,identifier__youtube,wikipedia__mai,name__mai,identifier__BNC,identifier__BIBSYS,identifier__NUKAT,name__zh_hant,name__zh_cn,name__ace,wikipedia__zh,name__sl,name__arn,name__tl,identifier__MusicBrainz,name__be,name__ty,wikipedia__ast
Q10891440,Sergio Aguiló,,Sergio Aguiló,Sergio Aguiló,Sergio Aguiló,Sergio Aguiló,https://upload.wikimedia.org/wikipedia/commons/e/e2/BCN_-_Sergio_Aguiló_3.jpg,male,1953-02-09,Sergio,Sergio Aguiló,Sergio Aguiló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Sergio Aguiló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergio Aguiló,,,,,,
Q11252625,Sergio Velasco,Sergio Velasco,Sergio Velasco,Sergio Velasco,Sergio Velasco,Sergio Velasco de la Cerda,,male,1945-12-21,Sergio,Sergio Velasco de la Cerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergio Velasco,,,,,,
Q11686373,Juan Bustos,,Juan Bustos,Juan Bustos,Juan Bustos,Juan Bustos,https://upload.wikimedia.org/wikipedia/commons/e/e2/Juan_Bustos.jpg,male,1935-12-08,Juan,Juan Bustos,Juan Bustos,Juan Bustos,Juan Bustos,,,,,Juan Bustos,,,22139447,,,,,2008-08-07,,,,,,,,,,,,,,,,0000 0000 8100 5532,1057055026,n83123918,11894658g,026760436,,/m/04gv1_9,,XX1110300,069578672,,,,,,Bustos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73543,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Bustos,,,,,,
Q14614551,Eduardo Díaz,,Eduardo Díaz del Río,Eduardo Díaz del Río,Eduardo Díaz,Eduardo Díaz del Río,https://upload.wikimedia.org/wikipedia/commons/0/0e/Eduardo_Díaz_del_Río.jpg,male,1973-12-17,Eduardo,Eduardo Díaz del Río,Eduardo Díaz del Río,Eduardo Díaz del Río,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Díaz,,,,,,
Q1628673,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,https://upload.wikimedia.org/wikipedia/commons/9/92/Camilo_Escalona_Medina.jpg,male,1955-06-15,Camilo,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,,,123937056,,,,,,,,,,Camilo Escalona,,,,,,,,Camilo Escalona,Camilo Escalona,,0000 0001 3892 5242,,n99262211,,134194756,,/m/0jl10jf,,,192378589,,,,,Category:Camilo Escalona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438737,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camilo Escalona,,,,,,
Q16298311,Guillermo Ceroni,Guillermo Ceroni,Guillermo Ceroni,Guillermo Ceroni,Guillermo Ceroni,Guillermo Ceroni,https://upload.wikimedia.org/wikipedia/commons/a/aa/Guillermo_Ceroni.jpg,male,1946-07-30,Guillermo,Guillermo Ceroni,Guillermo Ceroni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ceroni.cl/,,,,,,,Category:Guillermo Ceroni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guillermo Ceroni,,,,,,
Q16298705,Iván de la Maza,,Iván de la Maza,Iván de la Maza,Iván de la Maza,Iván de la Maza,,male,1940-10-18,Iván,Iván de la Maza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iván de la Maza,,,,,,
Q16298967,Ramón Elizalde,,Ramón Elizalde,Ramón Elizalde,Ramón Elizalde,Ramón Elizalde,,male,1940-02-25,Ramón,Ramón Elizalde,Ramón Elizalde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramón Elizalde,,,,,,
Q16301161,Felipe Letelier,Felipe Letelier,Felipe Letelier,Felipe Letelier,Felipe Letelier,Felipe Letelier,https://upload.wikimedia.org/wikipedia/commons/c/cc/Felipe_Letelier_Norambuena_2014.jpg,male,1956-05-11,Felipe,Felipe Letelier,Felipe Letelier,Felipe Letelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Felipe Letelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felipe Letelier,,,,,,
Q16301408,Rosauro Martínez,,Rosauro Martínez,Rosauro Martínez,Rosauro Martínez,Rosauro Martínez,https://upload.wikimedia.org/wikipedia/commons/c/c7/Rosauro_Martínez_Labbé.jpg,male,1950-11-11,,Rosauro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosauro Martínez,,,,,,
