id,name,name__en,name__fr,wikipedia__en,gender,birth_date,death_date,noble_title,given_name,identifier__FAST,identifier__LCAuth,identifier__VIAF,identifier__snac,identifier__wikitree,identifier__Oxforddnb,occupation,original_wikiname,name__pl,name__nl,name__de,name__nb,name__el,name__en_ca,name__en_gb,name__uk,name__ru,name__la,name__tr,name__es,name__ja,name__ur,name__io,name__id,name__sv,name__zh,name__zh_hans,name__gl,wikipedia__commons,wikipedia__el,wikipedia__es,wikipedia__fr,wikipedia__gl,wikipedia__id,wikipedia__io,wikipedia__la,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__ur,wikipedia__vi,image,family_name,name__sl,name__ast,name__ar,wikipedia__ar,name__it,name__vi,name__lb,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__yo,name__oc,name__ms,name__hu,name__pt,name__eo,name__fi,name__cy,name__lt,name__be,name__da,name__nn,name__af,name__an,name__bar,name__bm,name__br,name__ca,name__co,name__cs,name__de_at,name__de_ch,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lv,name__mg,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__fa,wikipedia__be,wikipedia__cy,wikipedia__de,wikipedia__eo,wikipedia__fa,wikipedia__fi,wikipedia__hu,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__lb,wikipedia__lt,wikipedia__ms,wikipedia__oc,wikipedia__pt,wikipedia__sv,wikipedia__yo,wikipedia__zh,identifier__freebase,name__mr,name__bn,wikipedia__bn,wikipedia__mr,identifier__ISNI,name__he,name__sr_ec,name__jv,name__sr,wikipedia__ga,wikipedia__he,wikipedia__hr,wikipedia__jv,wikipedia__sr,identifier__GND,identifier__NNDB,identifier__NTA,identifier__Britannica,wikipedia__ast,wikipedia__ca,wikipedia__da,wikipedia__et,wikipedia__simple,name__bg,wikipedia__bg,identifier__GTAA,identifier__google_knowledge
Q114622,Lloyd Erskine Sandiford,Lloyd Erskine Sandiford,Lloyd Erskine Sandiford,Lloyd Erskine Sandiford,male,1937-03-24,,,Lloyd,,,,,,,politician,,,Lloyd Erskine Standiford,Lloyd Erskine Sandiford,Lloyd Erskine Sandiford,,,,Ллойд Ерскін Сендіфорд,"Сэндифорд, Ллойд Эрскин",,,Lloyd Erskine Sandiford,ロイド・アースキン・サンディフォード,,,,Lloyd Erskine Sandiford,厄斯金·桑迪福德,,,,,,Lloyd Erskine Sandiford,,,,,Lloyd Erskine Sandiford,,,"Сэндифорд, Ллойд Эрскин",,Ллойд Ерскін Сендіфорд,,,,,Lloyd Erskine Sandiford,,,,,,,,,,,,,,Lloyd Erskine Sandiford,,Lloyd Erskine Sandiford,,,Lloyd Erskine Sandiford,,,,Lloyd Erskine Sandiford,Lloyd Erskine Sandiford,,,,,,Lloyd Erskine Sandiford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,لوید ارسکین سندیفورد,,,Lloyd Erskine Sandiford,,لوید ارسکین سندیفورد,Lloyd Erskine Sandiford,,,,,,,,,,,,,/m/07mpb5,,,,,,,,,,,,,,,,714/000162228,,,,,,,,,,,
Q1361644,Errol Barrow,Errol Barrow,Errol Barrow,Errol Barrow,male,1920-01-21,1987-06-01,,Errol,246345,nr89002591,53992993,w68k8zhh,,,politician,,Errol Barrow,Errol Barrow,Errol Walton Barrow,Errol Barrow,,,,Еррол Берроу,Эррол Бэрроу,,,Errol Barrow,エロル・バーロウ,,,,Errol Barrow,,埃罗尔·巴罗,,Category:Errol Walton Barrow,,,Errol Barrow,,,,,,,Errol Barrow,"Бэрроу, Эррол",,Еррол Берроу,,,"https://upload.wikimedia.org/wikipedia/commons/0/0e/Statue_of_Errol_W._Barrow._Bridgetown,_Barbados.jpg",,Errol Barrow,Errol Barrow,إيرول بارو,إيرول بارو,Errol Barrow,,,埃羅爾·巴羅,,埃罗尔·巴罗,,,,,,,Errol Barrow,,,Errol Barrow,,,,Errol Barrow,Errol Barrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ارول بارو,,,Errol Walton Barrow,,ارول بارو,Errol Barrow,,Errol Barrow,,,,,,,,,,,/m/05p13r,,,,,0000 0000 6330 6622,,,,,,,,,,138691363,,143017284,biography/Errol-Barrow,,,,,,Ерол Бароу,Ерол Бароу,80100,
Q1371769,Harold Bernard St. John,Harold Bernard St. John,Harold Bernard St.John,Harold Bernard St. John,male,1931-08-16,2004-02-29,,Harold,,,,,,,politician,,Harold St. John,Harold Bernard St. John,Harold Bernard St. John,Harold Bernard St. John,,,,Гарольд Бернард Сент-Джон,"Сент-Джон, Харольд Бернард",,,Harold Bernard St. John,バーナード・セント・ジョン,,,,Harold Bernard St. John,,哈罗德·伯纳德·圣约翰,,,,,Harold Bernard St. John,,,,,,,Harold St. John,"Сент-Джон, Харольд Бернард",,Гарольд Бернард Сент-Джон,,,,St John,Harold Bernard St. John,,هارولد برنارد سانت جون,هارولد برنارد سانت جون,,,,哈羅德·伯納德·聖約翰,,哈罗德·伯纳德·圣约翰,,,,,,,Harold Bernard St. John,,,,Harold Bernard St. John,,,Harold Bernard St. John,Harold Bernard St. John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harold Bernard St. John,,,,,,,,,,,,,,,,/m/07md1t,,,,,,,,,,,,,,,,,,biography/Harold-Bernard-St-John,,,,,,,,,
Q15246128,Branford Taitt,Branford Taitt,Branford Taitt,Branford Taitt,male,1938-05-15,2013-02-15,,,,,,,,,politician,,,Branford Taitt,Branford Taitt,,,,,Бренфорд Тейт,"Тайт, Брэнфорд",,,Branford Taitt,,,,,,,,,,,,,,,,,,,,"Тайт, Брэнфорд",,Бренфорд Тейт,,,,,,,,,,,,,,,,,,,,,,,,,Branford Taitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Branford Taitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16058655,John Carrington,John Carrington,John Carrington,John Worrell Carrington,male,1847-05-29,1913-02-11,,John,,,,,,,judge,,,,John Carrington,,,,,,,,,John Carrington,,,,,,,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/3/3f/Sir_John_Worrell_Carrington,_Jurist,_1897.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/0vptmjk,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20985769,David Simmons,David Simmons,,David Simmons (judge),male,1940-04-28,,,David,,,,,,,judge,,,David Simmons,,,,,,,Дэвид Симмонс,,,David Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/11btwtsbkp
Q26865111,Christopher Codrington,Christopher Codrington,,Christopher Codrington (colonial administrator),male,,1698,,Christopher,,,,,,,politician,,,Christopher Codrington,,,,,,,,,,Christopher Codrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christopher Codrington,كريستوفر كودرينغتون,كريستوفر كودرينغتون,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30318103,Richard Sealy,Richard Sealy,,Richard Sealy,male,,,,Richard,,,,,,,politician,,,Richard Sealy,,,,,,,,,,Richard Sealy,,,,,,,,,,,,,,,,,,,,,,,,,,Sealy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q310082,David Thompson,David Thompson,David Thompson,David Thompson (Barbadian politician),male,1961-12-25,2010-10-23,,David,,no2010202464,161050855,,,,politician,,David Thompson,David Thompson,David Thompson,David Thompson,Ντέιβιντ Τόμσον,David Thompson,David Thompson,Девід Томпсон,"Томпсон, Дэвид",,David Thompson,David Thompson,デイヴィッド・トンプソン,,David Howard Thompson,David Thompson,David Thompson,戴維·湯普森,戴维·汤普森,David Thompson,Category:David Thompson (politician),Ντέιβιντ Τόμσον,David Thompson (político),David Thompson (politique),,David Thompson,David Howard Thompson,,,David Thompson (politiker),David Thompson (polityk),"Томпсон, Дэвид (политик)",,Девід Томпсон,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/David_John_Howard_Thompson_-_World_Economic_Forum_on_Latin_America_2010.jpg,Thompson,David Thompson,David Thompson,دايفيد تومسون,دايفيد تومسون,David Thompson,David Thompson,David Thompson,戴維·湯普森,戴維·湯普森,戴维·汤普森,戴维·汤普森,戴維·湯普森,데이비드 톰프슨,David Thompson,David Howard Thompson,David Thompson,David Thompson,David John Howard Thompson,David Thompson,David Thompson,David Thompson,David Thompson,Дэвід Томпсан,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,David Thompson,دیوید تامپسون,Дэвід Томпсан,David Thompson (gwleidydd Barbadaidd),"David Thompson (Politiker, 1961)",David Thompson (Barbada politikisto),دیوید تامسون (سیاستمدار باربادوس),David Thompson (poliitikko),David Thompson,David Thompson (politico),デイヴィッド・トンプソン (バルバドスの政治家),데이비드 톰프슨 (정치인),David Thompson,David Thompson,David Thompson (ahli politik Barbados),David Howard Thompson,David John Howard Thompson,David Thompson,David Thompson (olóṣèlú Bárbádọ̀s),戴維·湯普森,/m/03hnz1n,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3127573,Harold Austin,Harold Austin,Harold Austin,Harold Austin,male,1877-07-15,1943-07-27,,Harold,,,,,,,cricketer,,,Harold Austin,Harold Austin,,,,,,,,,Harold Austin,,,,,,,,,Category:Harold Austin,,,Harold Austin,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/09/HBGAustin.jpg,,Harold Austin,Harold Austin,هارولد أوستين,هارولد أوستين (لاعب كريكت),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
