id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
372,Asumaa Tony,tony.asumaa@lagtinget.ax,,Liberalerna,liberalerna,,Lagting,2011,,
373,Beijar Christian,christian.beijar@lagtinget.ax,,Ålands socialdemokrater,Ålands_socialdemokrater,,Lagting,2011,,
422,Carlsson Petri,petri.carlsson@lagtinget.ax,,Moderat Samling,moderat_samling,,Lagting,2011,,
374,Eklund Brage,brage.eklund@lagtinget.ax,,Ålands framtid,Ålands_framtid,,Lagting,2011,,
96,Eliasson Torbjörn,torbjorn.eliasson@lagtinget.ax,,Åländsk Center,Åländsk_center,,Lagting,2011,,
72,Englund Anders,anders.englund@agtinget.ax,,Åländsk Center,Åländsk_center,,Lagting,2011,,
70,Eriksson Anders,anders.eriksson@lagtinget.ax,,Ålands framtid,Ålands_framtid,,Lagting,2011,,
64,Eriksson Viveka,viveka.eriksson@lagtinget.ax,,Liberalerna,liberalerna,,Lagting,2011,,
425,Fogelström Karl-Johan,karl-johan.fogelstrom@lagtinget.ax,,Ålands socialdemokrater,Ålands_socialdemokrater,,Lagting,2011,,
218,Hilander John,john.hilander@lagtinget.ax,,Moderat Samling,moderat_samling,,Lagting,2011,,
375,Holmberg Igge,igge.holmberg@lagtinget.ax,,Ålands socialdemokrater,Ålands_socialdemokrater,,Lagting,2011,,
642,Holmberg-Jansson Annette,annette.holmberg-jansson@lagtinget.ax,,Moderat Samling,moderat_samling,,Lagting,2011,,
62,Jansson Gunnar,gunnar.jansson@lagtinget.ax,,Liberalerna,liberalerna,,Lagting,2011,,
81,Jansson Harry,harry.jansson@lagtinget.ax,,Åländsk Center,Åländsk_center,,Lagting,2011,,
69,Jansson Roger,roger.jansson@lagtinget.ax,,Moderat Samling,moderat_samling,,Lagting,2011,,
376,Jonsson Axel,axel.jonsson@lagtinget.ax,,Ålands framtid,Ålands_framtid,,Lagting,2011,,
75,Karlsson Runar,runar.karlsson@lagtinget.ax,,Åländsk Center,Åländsk_center,,Lagting,2011,,
424,Kemetter Sara,sara.kemetter@lagtinget.ax,,Ålands socialdemokrater,Ålands_socialdemokrater,,Lagting,2011,,
65,Lindholm Gun-Mari,gun-mari.lindholm@lagtinget.ax,,Moderat Samling,moderat_samling,,Lagting,2011,,
63,Lundberg Britt,britt.lundberg@lagtinget.ax,,Åländsk Center,Åländsk_center,,Lagting,2011,,
71,Mattsson Åke,ake.mattson@lagtinget.ax,,Moderat Samling,moderat_samling,,Lagting,2011,,
90,Nordberg Mika,mika.nordberg@lagtinget.ax,,Moderat Samling,moderat_samling,,Lagting,2011,,
77,Perämaa Mats,mats.peramaa@lagtinget.ax,,Liberalerna,liberalerna,,Lagting,2011,,
377,Pettersson Jörgen,jorgen.pettersson@lagtinget.ax,,Åländsk Center,Åländsk_center,,Lagting,2011,,
68,Sjögren Katrin,katrin.sjogrenoch@lagtinget.ax,,Liberalerna,liberalerna,,Lagting,2011,,
87,Slotte Roger,roger.slotte@lagtinget.ax,,Åländsk Center,Åländsk_center,,Lagting,2011,,
67,Sundback Barbro,barbro.sundback@lagtinget.ax,,Ålands socialdemokrater,Ålands_socialdemokrater,,Lagting,2011,,
88,Sundblom Torsten,torsten.sundblom@lagtinget.ax,,Liberalerna,liberalerna,,Lagting,2011,,
74,Sundman Danne,danne.sundman@lagtinget.ax,,Moderat Samling,moderat_samling,,Lagting,2011,,
379,Winé Göte,gote.wine@lagtinget.ax,,Ålands socialdemokrater,Ålands_socialdemokrater,,Lagting,2011,,
