name,source,id,image,email,birth_date,party,term
AFRIM GASI,https://sobranie.mk/besa-16-en-ns_article-afrim-gasi-16-en.nspx,afrim-gasi,http://www.sobranie.mk/content/images/pratenici%2016-20/Gasi-Afrim.jpg,a.gasi@sobranie.mk,1977-11-09,Movement BESA,2016
AGIM MURTEZANOV,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-agim-murtezanov-16-en.nspx,agim-murtezanov,https://sobranie.mk/content/images/pratenici%2016-20/Agim-Murtezanov.jpg,"",,Social Democratic Union of Macedonia,2016
AGIM SAKIRI,https://sobranie.mk/democratic-union-for-integration-16-en-ns_article-agim-sakiri-16-en.nspx,agim-sakiri,http://www.sobranie.mk/content/images/pratenici%2016-20/Sakiri-Agim.jpg,a.sakiri@sobranie.mk,1980-10-13,Democratic Union for Integration,2016
ALEKSANDAR KIRACOVSKI,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-aleksandar-kiracovski-16-en.nspx,aleksandar-kiracovski,http://www.sobranie.mk/content/images/pratenici%2016-20/Kiracovski-Aleksandar.jpg,a.kiracovski@sobranie.mk,1983-02-23,Social Democratic Union of Macedonia,2016
ALI AHMETI,https://sobranie.mk/democratic-union-for-integration-16-en-ns_article-ali-ahmeti-16-en.nspx,ali-ahmeti,http://www.sobranie.mk/content/images/pratenici%2016-20/Ahmeti-Ali.jpg,a.ahmeti@sobranie.mk,1959-01-04,Democratic Union for Integration,2016
ALIJA KAMBEROSKI,https://sobranie.mk/party-for-european-future-16-en-ns_article-alija-kamberoski-16-en.nspx,alija-kamberoski,http://www.sobranie.mk/content/images/pratenici%2016-20/Kamberoski-Alija.jpg,a.kamberoski@sobranie.mk,1966-09-27,Party for European Future,2016
AMDI BAJRAM,https://sobranie.mk/roma-alliance-of-macedonia-16-en-ns_article-amdi-bajram-16-en.nspx,amdi-bajram,http://www.sobranie.mk/content/images/pratenici%2016-20/Bajram-Amdi.jpg,a.bajram@sobranie.mk,1956-08-30,Roma Alliance of Macedonia,2016
ANE LASHKOSKA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-ane-lashkoska-16-en.nspx,ane-lashkoska,https://sobranie.mk/content/images/pratenici%2016-20/Laskoska-Ane.jpg,a.laskoska@sobranie.mk,1978-02-24,VMRO-DPMNE,2016
ANETA SIMESKA-DIMOSKA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-aneta-simeska-dimoska-16-en.nspx,aneta-simeska-dimoska,https://sobranie.mk/content/images/pratenici%2016-20/Aneta-Simeska-Dimoska.jpg,"",,Social Democratic Union of Macedonia,2016
ANTONIJO MILOSHOSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-antonijo-miloshoski-16-en.nspx,antonijo-miloshoski,https://sobranie.mk/content/images/pratenici%2016-20/Antonio-Miloseski.jpg,A.Milososki@sobranie.mk,1976-01-29,VMRO-DPMNE,2016
ARTAN GRUBI,https://sobranie.mk/democratic-union-for-integration-16-en-ns_article-artan-grubi-16-en.nspx,artan-grubi,http://www.sobranie.mk/content/images/pratenici%2016-20/Grubi-Artan.jpg,a.grubi@sobranie.mk,1977-06-07,Democratic Union for Integration,2016
BETI RABADZIEVSKA-NAUMOVSKA,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-beti-rabadzievska-naumovska-16-en.nspx,beti-rabadzievska-naumovska,http://www.sobranie.mk/content/images/pratenici%2016-20/Beti-Rabadjievska-Naumovska.jpg,"",,Social Democratic Union of Macedonia,2016
BETIAN KITEV,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-betian-kitev-16-en.nspx,betian-kitev,http://www.sobranie.mk/content/images/pratenici%2016-20/Kitev-Betian.jpg,b.kitev@sobranie.mk,1985-06-23,Social Democratic Union of Macedonia,2016
BLAGICA LASOVSKA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-blagica-lasovska-16-en.nspx,blagica-lasovska,https://sobranie.mk/content/images/pratenici%2016-20/Lasovska-Blagica.jpg,B.Lasovska@sobranie.mk,1970-03-08,VMRO-DPMNE,2016
BLAGOJA DESPOTOSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-blagoja-despotoski-16-en.nspx,blagoja-despotoski,http://www.sobranie.mk/content/images/pratenici%2016-20/Despotoski-Blagoja.jpg,b.despotoski@sobranie.mk,1958-07-21,VMRO-DPMNE,2016
BLAGOJCHE TRPEVSKI,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-blagojche-trpevski-16-en.nspx,blagojche-trpevski,http://www.sobranie.mk/content/images/pratenici%2016-20/Trpevski-Blagojce.jpg,b.trpevski@sobranie.mk,1965-09-11,Social Democratic Union of Macedonia,2016
BORIS ZMEJKOVSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-boris-zmejkovski-16-en.nspx,boris-zmejkovski,http://www.sobranie.mk/content/images/pratenici%2016-20/Zmejkovski-Boris.jpg,b.zmejkovski@sobranie.mk,1956-07-16,VMRO-DPMNE,2016
BRANKO MANOILOVSKI,https://sobranie.mk/democratic-union-for-integration-16-en-ns_article-branko-manoilovski-16-en.nspx,branko-manoilovski,http://www.sobranie.mk/content/images/pratenici%2016-20/Manojlovski-Branko.jpg,b.manoilovski@sobranie.mk,1941-08-02,Democratic Union for Integration,2016
CHEDOMIR SAZDOVSKI,https://sobranie.mk/grom-16-en-ns_article-chedomir-sazdovski-16-en.nspx,chedomir-sazdovski,https://sobranie.mk/content/images/pratenici%2016-20/cedomir-sazdovski---grom-16.jpg,C.Sazdovski@sobranie.mk,1952-12-27,Social Democratic Union of Macedonia,2016
DAFINA STOJANOSKA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-dafina-jovanoska-stojanoska-16-en.nspx,dafina-jovanoska-stojanoska,http://www.sobranie.mk/content/images/pratenici%2016-20/Stojanovska-Dafina.jpg,d.jovanoska-stojanoska@sobranie.mk,1974-11-17,VMRO-DPMNE,2016
DALIBOR BOGDANOVSKI,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-dalibor-bogdanovski-16-en.nspx,dalibor-bogdanovski,http://www.sobranie.mk/content/images/pratenici%2016-20/DaliborBogdanovski.jpg,d.bogdanovski@sobranie.mk,,Social Democratic Union of Macedonia,2016
DANIELA RANGELOVA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-daniela-rangelova-16-en.nspx,daniela-rangelova,http://www.sobranie.mk/content/images/pratenici%2016-20/Rangelova-Daniela.jpg,D.Rangelova@sobranie.mk,1978-07-20,VMRO-DPMNE,2016
DIME VELKOVSKI,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-dime-velkovski-16-en.nspx,dime-velkovski,http://www.sobranie.mk/content/images/pratenici%2016-20/Velkovski-Dime.jpg,d.velkovski@sobranie.mk,1973-12-03,Social Democratic Union of Macedonia,2016
DIMITAR STEVANANDZIJA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-dimitar-stevanandzija-16-en.nspx,dimitar-stevanandzija,http://www.sobranie.mk/content/images/pratenici%2016-20/Stevanandjija-Dimitar.jpg,d.stevanadzija@sobranie.mk,,VMRO-DPMNE,2016
DRAGAN CUKLEV,https://sobranie.mk/vmro-dpmne-16-en-ns_article-dragan-cuklev-16-en.nspx,dragan-cuklev,https://sobranie.mk/content/images/pratenici%2016-20/Cuklev-Dragan.jpg,d.danev@sobranie.mk,1973-08-17,VMRO-DPMNE,2016
DRAGAN DANEV,https://sobranie.mk/vmro-dpmne-16-en-ns_article-dragan-danev-16-en.nspx,dragan-danev,http://www.sobranie.mk/content/images/pratenici%2016-20/Danev-Dragan.jpg,d.danev@sobranie.mk,1974-07-02,VMRO-DPMNE,2016
EJUP ALJIMI,https://sobranie.mk/democratic-union-for-integration-16-en-ns_article-ejup-aljimi-16-en.nspx,ejup-aljimi,http://www.sobranie.mk/content/images/pratenici%2016-20/Aljimi-Ejup.jpg,e.alimi@sobranie.mk,1980-02-10,Democratic Union for Integration,2016
ELIZABETA KANCHESKA-MILEVSKA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-elizabeta-kancheska-milevska-16-en.nspx,elizabeta-kancheska-milevska,http://www.sobranie.mk/content/images/pratenici%2016-20/Elizabeta-Kamceska-Milevska.jpg,e.kanceska-milevska@sobranie.mk,,Independent MPs,2016
EMIL DIMITRIEV,https://sobranie.mk/vmro-dpmne-16-en-ns_article-emil-dimitriev-16-en.nspx,emil-dimitriev,http://www.sobranie.mk/content/images/pratenici%2016-20/emil-dimitriev.jpg,e.dimitriev@sobranie.mk,,VMRO-DPMNE,2016
EMILIJA ALEKSANDROVA,https://sobranie.mk/vmro-dpmne-16-en-ns_article-emilija-aleksandrova-16-en.nspx,emilija-aleksandrova,http://www.sobranie.mk/content/images/pratenici%2016-20/Aleksandrova-Emilija.jpg,e.aleksandrova@sobranie.mk,1975-06-29,Independent MPs,2016
ENES IBRAHIM,https://sobranie.mk/party-for-movement-of-the-turks-in-macedonia-16-en-ns_article-enes-ibrahim-16-en.nspx,enes-ibrahim,http://www.sobranie.mk/content/images/pratenici%2016-20/Ibraimi-Enes.jpg,e.ibrahim@sobranie.mk,1984-08-08,Party for Movement of the Turks in Macedonia,2016
FADIL ZENDELI,https://sobranie.mk/besa-16-en-ns_article-fadil-zendeli-16-en.nspx,fadil-zendeli,http://www.sobranie.mk/content/images/pratenici%2016-20/Zendeli-Fadil.jpg,F.Zendeli@sobranie.mk,1967-06-10,Movement BESA,2016
FERID MUHIK,https://sobranie.mk/independent-mps-16-en-ns_article-ferid-muhik-16-en.nspx,ferid-muhik,http://www.sobranie.mk/content/images/pratenici%2016-20/Muhic-Ferid.jpg,f.muhik@sobranie.mk,1943-06-08,Independent MPs,2016
FROSINA TASEVSKA-REMENSKI,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-frosina-tasevska-remenski-16-en.nspx,frosina-tasevska-remenski,http://www.sobranie.mk/content/images/pratenici%2016-20/Tasevska-Remenski-Frosina.jpg,f.tasevska-remenski@sobranie.mk,1977-02-22,Social Democratic Union of Macedonia,2016
GJULUMSER KASAPI,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-gjulumser-kasapi-16-en.nspx,gjulumser-kasapi,http://www.sobranie.mk/content/images/pratenici%2016-20/gjulumser-kasapi.jpg,"",,Social Democratic Union of Macedonia,2016
GORAN MANOJLOSKI,https://sobranie.mk/vmro-dpmne-16-en-ns_article-goran-manojloski-16-en.nspx,goran-manojloski,http://www.sobranie.mk/content/images/pratenici%2016-20/Manojloski-Goran.jpg,g.manojloski@sobranie.mk,1977-04-19,VMRO-DPMNE,2016
GORAN MILEVSKI,https://sobranie.mk/liberal-democratic-party-16-en-ns_article-goran-milevski-16-en.nspx,goran-milevski,http://www.sobranie.mk/content/images/pratenici%2016-20/Milevski-Goran.jpg,g.milevski@sobranie.mk,1978-11-01,Liberal Democratic Party,2016
GORAN MISOVSKI,https://sobranie.mk/new-social-democratic-party-16-en-ns_article-goran-misovski-16-en.nspx,goran-misovski,http://www.sobranie.mk/content/images/pratenici%2016-20/Misoski-Goran.jpg,"",,New Social Democratic Party,2016
HARI LOKVENEC,https://sobranie.mk/social-democratic-union-of-macedonia-16-en-ns_article-hari-lokvenec-16-en.nspx,hari-lokvenec,http://www.sobranie.mk/content/images/pratenici%2016-20/Lokvenec-Hari-.jpg,h.lokvenec@sobranie.mk,1970-02-25,Social Democratic Union of Macedonia,2016
