name,area,party,email,website,twitter,facebook,term,source
Alex Snowdon,Alderney,Independent,alexander.snowdon@alderney.gov.ggalexander.snowdon@alderney.gov.gg,"","","",2016,https://gov.gg/article/153638/Alderney-Representative-Alex-Snowdon
Your Deputies,Government,Independent,"","","","",2016,https://gov.gg/article/153586/All-Deputies
Barry Brehaut,St Peter Port South,Independent,barry.brehaut@deputies.gov.gg,"","","",2016,https://gov.gg/article/153575/Deputy-Barry-Brehaut
Al Brouard,West,Independent,"","","","",2016,https://gov.gg/article/153545/Deputy-Al-Brouard
David de Lisle,West,Independent,David.DeLisle@deputies.gov.ggdelisle.david@cwgsy.net,"","","",2016,https://gov.gg/article/153548/Deputy-David-de-Lisle
Lindsay De Sausmarez,South East,Independent,Lindsay.DeSausmarez@deputies.gov.gg,http://www.lindsay.gg,http://www.twitter.com/lindsay_gsy,"",2016,https://gov.gg/article/153578/Deputy-Lindsay-de-Sausmarez
Mark Dorey,Castel,Independent,Mark.Dorey@deputies.gov.gg,"","","",2016,https://gov.gg/article/153553/Deputy-Mark-Dorey
Andrea Dudley-Owen,West,Independent,Andrea.Dudley-Owen@deputies.gov.gg,"","","",2016,https://gov.gg/article/153546/Deputy-Andrea-Dudley-Owen
Matt Fallaize,Vale,Independent,mattfallaize@cwgsy.net,http://www.mattfallaize.com,"","",2016,https://gov.gg/article/153555/Deputy-Matt-Fallaize
Peter Ferbrache,St Peter Port South,Independent,Peter.Ferbrache@deputies.gov.gg,"","","",2016,https://gov.gg/article/153572/Deputy-Peter-Ferbrache
John Gollop,St Peter Port North,Independent,John.Gollop@deputies.gov.gg,"","","",2016,https://gov.gg/article/153567/Deputy-John-Gollop
Richard Graham,Castel,Independent,Richard.Graham@deputies.gov.gg,"","","",2016,https://gov.gg/article/153550/Deputy-Richard-Graham
Chris Green,Castel,Independent,Christopher.Green@deputies.gov.gg,"","","",2016,https://gov.gg/article/153551/Deputy-Chris-Green
Sarah Hansmann Rouxel,Vale,Independent,Sarah.HansmannRouxel@deputies.gov.gg,http://www.sarahhr.com,http://www.twitter.com/SarahHRouxel,http://www.facebook.com/SarahHansmannRouxel,2016,https://gov.gg/article/153560/Deputy-Sarah-Hansmann-Rouxel
Neil Inder,Vale,Independent,neilinder@live.com,http://www.neilinder.gg,http://www.twitter.com/tothevale,http://www.facebook.com/InderVale,2016,https://gov.gg/article/153556/Deputy-Neil-Inder
Jan Kuttelwascher,St Peter Port South,Independent,Jan.Kuttelwascher@deputies.gov.gg,"","","",2016,https://gov.gg/article/153573/Deputy-Jan-Kuttelwascher
Shane Langlois,West,Independent,Shane.Langlois@deputies.gov.gg,"",http://www.twitter.com/shanelanglois,http://www.facebook.com/Shane.L.Langlois,2016,https://gov.gg/article/153549/Deputy-Shane-Langlois
Michelle Le Clerc,St Peter Port North,Independent,Michelle.LeClerc@deputies.gov.gg,"","","",2016,https://gov.gg/article/153570/Deputy-Michelle-Le-Clerc
Paul Le Pelley,St Sampson,Independent,paul.lepelley@deputies.gov.gg,"","","",2016,https://gov.gg/article/153562/Deputy-Paul-Le-Pelley
Jonathan Le Tocq,Castel,Independent,Jonathan.LeTocq@deputies.gov.gg,"","","",2016,https://gov.gg/article/153554/Deputy-Jonathan-Le-Tocq
Marc Leadbeater,St Peter Port North,Independent,Marc.Leadbeater@deputies.gov.gg,http://www.marcleadbeater.gg,"",http://www.facebook.com/votemarcleadbeater,2016,https://gov.gg/article/153571/Deputy-Marc-Leadbeater
Mary Lowe,Vale,Independent,marylowe@cwgsy.net,http://www.marylowe.gg,http://www.twitter.com/deputymarylowe,"",2016,https://gov.gg/article/153557/Deputy-Mary-Lowe
Carl Meerveld,St Sampson,Independent,Carl.Meerveld@deputies.gov.gg,"","","",2016,https://gov.gg/article/153566/Deputy-Carl-Meerveld
Jennifer Merrett,St Sampson,Independent,jennifer.merrett@deputies.gov.gg,http://www.jennifermerrett.wordpress.com/,"","",2016,https://gov.gg/article/153563/Deputy-Jennifer-Merrett
Joseph Mooney,St Peter Port North,Independent,Joe.Mooney@deputies.gov.gg,"","","",2016,https://gov.gg/article/153608/Deputy-Joe-Mooney
Victoria Oliver,South East,Independent,Victoria.Oliver@deputies.gov.ggvictoria1.oliver@icloud.com,http://www.victoria-oliver.com,"","",2016,https://gov.gg/article/153581/Deputy-Victoria-Oliver
Barry Paint,Castel,Independent,Barry.Paint@deputies.gov.gg,"","","",2016,https://gov.gg/article/153552/Deputy-Barry-Paint
Charles Parkinson,St Peter Port North,Independent,Charles.Parkinson@deputies.gov.gg,http://charlesparkinson.com,http://twitter.com/armoricana,"",2016,https://gov.gg/article/153568/Deputy-Charles-Parkinson
Robert Prow,South East,Independent,"",http://www.robprow.com,"","",2016,https://gov.gg/article/153580/Deputy-Robert-Prow
Laurie Queripel,Vale,Independent,laurie.queripel@gmail.com,"","","",2016,https://gov.gg/article/153558/Deputy-Laurie-Queripel
Lester Queripel,St Peter Port North,Independent,Lester.Queripel@deputies.gov.gg,"","","",2016,https://gov.gg/article/153569/Deputy-Lester-Queripel
Peter Roffey,South East,Independent,rufusroffey@yahoo.co.uk,"","","",2016,https://gov.gg/article/153579/Deputy-Peter-Roffey
Jeremy Smithies,Vale,Independent,Jeremy.Smithies@deputies.gov.gg,http://www.smithies.gg,http://www.linkedin.com/in/jeremy-smithies-5997556,http://www.facebook.com/jeremy.smithies,2016,https://gov.gg/article/153559/Deputy-Jeremy-Smithies
Heidi Soulsby,South East,Independent,Heidi.Soulsby@deputies.gov.gg,"",http://www.twitter.com/HeidiSoulsby,http://www.facebook.com/Deputy-Heidi-Soulsby-389977751018516/,2016,https://gov.gg/article/153577/Deputy-Heidi-Soulsby
Gavin St Pier,St Sampson,Independent,Gavin.StPier@deputies.gov.gg,http://www.gavinstpier.gg,http://www.twitter.com/gavinstpier,http://www.facebook.com/gavin.stpier,2016,https://gov.gg/article/153564/Deputy-Gavin-St-Pier
Jane Stephens,St Sampson,Independent,Jane.Stephens@deputies.gov.gg,"",http://www.twitter.com/jstephensgsy,http://www.facebook.com/JaneStephensGsy,2016,https://gov.gg/article/153565/Deputy-Jane-Stephens
Dawn Tindall,St Peter Port South,Independent,Dawn.Tindall@deputies.gov.gg,http://www.dawntindall.gg,"","",2016,https://gov.gg/article/153574/Deputy-Dawn-Tindall
Rhian Tooley,St Peter Port South,Independent,Rhian.Tooley@deputies.gov.gg,http://www.rhiantooley.com,http://www.twitter.com/RhianGsy,"",2016,https://gov.gg/article/153576/Deputy-Rhian-Tooley
Lyndon Trott,St Sampson,Independent,Lyndon.Trott@deputies.gov.gg,http://www.trott.gg,"","",2016,https://gov.gg/article/153561/Deputy-Lyndon-Trott
Emilie Yerby,West,Independent,Emilie.Yerby@deputies.gov.gg,http://www.emilieyerby.com,http://www.twitter.com/emilieyerby,http://www.facebook.com/emilie.yerby,2016,https://gov.gg/article/153547/Deputy-Emilie-Yerby
