id,name,sort_name,position,party,party_id,image,term,source,email
21,Fusu Corina,,,Fracțiunea Partidului Liberal,10,,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/21/language/en-US/Default.aspx,Corina.Fusu@parlament.md
31,Brega Gheorghe,,,Fracțiunea Partidului Liberal,10,,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/31/language/en-US/Default.aspx,Gheorghe.Brega@parlament.md
33,Igor Corman,Corman Igor,,Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=M0YlN2NpGTg%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/33/language/en-US/Default.aspx,
87,Munteanu Valeriu,,,Fracțiunea Partidului Liberal,10,,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/87/language/en-US/Default.aspx,valeriu.munteanu@parlament.md
89,Streleţ Valeriu,,,Fracțiunea Partidului Liberal Democrat din Moldova,11,,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/89/language/en-US/Default.aspx,Alina.Druta@parlament.md
306,Dimitriu Anatolie,,,Fracțiunea Partidului Liberal Democrat din Moldova,11,,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/306/language/en-US/Default.aspx,Anatolie.Dimitriu@parlament.md
317,Plahotniuc Vladimir,,,Fracțiunea Partidului Democrat din Moldova,9,,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/317/language/en-US/Default.aspx,
389,Ion Ceban,Ceban Ion,,Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=wUKi85EgEv0%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/389/language/en-US/Default.aspx,Ion.Ceban@parlament.md
531,Şalaru Anatolie,,,Fracțiunea Partidului Liberal,10,,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/531/language/en-US/Default.aspx,
542,Chirinciuc Iurie,,,Fracțiunea Partidului Liberal,10,,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/542/language/en-US/Default.aspx,
597,Molozea Nicolae,,,Fracțiunea Partidului Democrat din Moldova,9,,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/597/language/en-US/Default.aspx,
599,Mihaela Iacob,Iacob Mihaela,,Fracțiunea Partidului Liberal,10,http://www.parlament.md/LinkClick.aspx?fileticket=%2ffNcM6%2bhA78%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/599/language/en-US/Default.aspx,
