id,name__ko,name,wikipedia__ko,name__en,wikipedia__en,gender,identifier__freebase,birth_date,family_name,identifier__ISNI,identifier__VIAF,death_date,identifier__NTA,identifier__MusicBrainz,image,identifier__GND,identifier__LCAuth,identifier__NDL,identifier__IIAF,name__es,name__nl,name__fr,name__de,wikipedia__fr,name__zh,name__pl,name__ja,wikipedia__de,wikipedia__ja,wikipedia__pl,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__it,name__vi,name__sv,wikipedia__sv,wikipedia__vi,name__zh_cn,name__pt,name__zh_sg,name__zh_tw,name__ru,name__tr,name__yo,name__fi,name__gl,name__id,name__cs,name__el,name__fa,name__da,name__nb,name__he,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__es,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__id,wikipedia__it,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__ru,wikipedia__tr,wikipedia__yo,name__hu,wikipedia__hu,name__ar,name__mg,wikipedia__ar,wikipedia__mg,name__az,name__bcl,name__be,name__bg,name__br,name__ca,name__cy,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__hr,name__hy,name__ka,name__lt,name__lv,name__mk,name__ml,name__ms,name__my,name__nds,name__nds_nl,name__nn,name__pt_br,name__ro,name__scn,name__sk,name__sq,name__sr,name__ta,name__th,name__tk,name__uk,name__yue,name__zh_my,name__zh_mo,name__hak,name__szl,name__ast,name__mn,name__an,name__af,name__eu,name__tg,name__sco,name__tl,name__oc,name__gsw,name__sgs,name__nan,name__be_tarask,name__bn,name__os,name__war,name__hi,name__cdo,name__wuu,name__ckb,name__ne,name__sh,name__ur,name__la,wikipedia__af,wikipedia__als,wikipedia__an,wikipedia__ast,wikipedia__az,wikipedia__bat_smg,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__br,wikipedia__ca,wikipedia__cdo,wikipedia__ckb,wikipedia__cy,wikipedia__eo,wikipedia__et,wikipedia__eu,wikipedia__hak,wikipedia__hi,wikipedia__hr,wikipedia__huwikiquote,wikipedia__hy,wikipedia__ka,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__mk,wikipedia__ml,wikipedia__mn,wikipedia__ms,wikipedia__my,wikipedia__nds_nl,wikipedia__nds,wikipedia__ne,wikipedia__nn,wikipedia__os,wikipedia__plwikiquote,wikipedia__ro,wikipedia__ruwikinews,wikipedia__scn,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sq,wikipedia__sr,wikipedia__svwikiquote,wikipedia__szl,wikipedia__ta,wikipedia__tg,wikipedia__th,wikipedia__tk,wikipedia__tl,wikipedia__uk,wikipedia__ur,wikipedia__war,wikipedia__wuu,wikipedia__zh_min_nan,wikipedia__zh_yue,name__ku_arab,name__ku_latn,name__ku,wikipedia__commons,wikipedia__ku,name__hif,wikipedia__itwikiquote,wikipedia__trwikiquote,wikipedia__kn,name__kn,original_wikiname,identifier__FAST,last_seen,name__kana,wikipedia__pap,wikipedia__ga,name__ga,name__pap,wikipedia__ukwikiquote,identifier__Britannica
Q714727,오극렬,O Kuk-ryol,오극렬,O Kuk-ryol,O Kuk-ryol,male,/m/0dgnps8,1931,,,,,,,,,,,,O Kuk-ryol,O Kuk-ryol,O Kuk-ryol,O Kŭng-nyŏl,,吴克烈,O Kŭk Ryŏl,呉克烈,O Kŭng-nyŏl,呉克烈,O Kŭk Ryŏl,吴克烈,吴克烈,吳克烈,吳克烈,,O Kuk-ryol,,,O Kuk-ryol,,,,,,,,,,,,,,,,,,,,O Kuk-ryol,,,,,,,,,,,,,O Kuk-ryol,,,,,,,,О Гык Роль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,О Гык Роль,,,,,,,,,,,,,,,,,,,О Гык Роль,О Гык Роль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O Kuk-ryol,,,,,,,,,
Q23881085,,Ri Myong-chol,,Ri Myong-chol,Ri Myong-chol,male,,1978-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ri Myong-chol,,,,,,,,,
Q3612630,김영재,Kim Yong-jae,김영재 (1952년),Kim Yong-jae,Kim Yong-jae,female,,1952-09-07,,,,,,,,,,,,Kim Yong-jae,Kim Yong-jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Yong-jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Yong-jae,,,,,,,,,
Q9295306,황병서,Hwang Pyong-so,황병서,Hwang Pyong-so,Hwang Pyong-so,male,,"",,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f6/Hwang_Pyong-So.jpg,,,,,,Hwang Pyong-so,Hwang Pyong-so,Hwang Pyong-so,Hwang Pyong-so,黃炳瑞,Hwang Pyŏng Sŏ,黄炳瑞,Hwang Pyong-so,黄炳瑞,Hwang Pyŏng Sŏ,黃炳誓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hvang Bjongszo,Hvang Bjongszo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hwang Pyong-so,,,,,,,,,
Q15977231,강표영,Kang Phyo-yong,강표영,Kang Phyo-yong,Kang Phyo-yong,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kang Phyo-yong,,,,,,,,,
Q56226,김정은,Kim Jong-un,김정은,Kim Jong-un,Kim Jong-un,male,/m/0fgw19,1983-01-08,Kim,,171940304,,,,https://upload.wikimedia.org/wikipedia/commons/2/23/Kim_Jong-Un_Sketch.jpg,1057989533,n2011038915,01214960,,Kim Jong-un,Kim Jong-un,Kim Jong-eun,Kim Jong-un,Kim Jong-un,金正恩,Kim Dzong Un,金正恩,Kim Jong-un,金正恩,Kim Dzong Un,金正恩,金正恩,金正恩,金正恩,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,金正恩,Kim Jong-un,金正恩,金正恩,Ким Чен Ын,Kim Cong-ın,,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Čong-un,Κιμ Τζονγκ-ουν,کیم جونگ-اون,Kim Jong-un,Kim Jong-un,קים ג'ונג-און,Kim Čong-un,Kim Jong-un,Κιμ Τζονγκ-ουν,Kim Jong-un,کیم جونگ-اون,Kim Jong-un,Kim Jong-un,קים ג'ונג-און,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Ким Чен Ын,Kim Jong-un,,Kim Dzsongun,Kim Dzsongun,كيم جونغ أون,,كم جونغ أون,,Kim Çen In,Kim Jong Un,Кім Чэн Ын,Ким Чен Ун,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Ĝong-un,Kim Chŏng-un,Kim Jong-un,Կիմ Ջոնգ Ուն,კიმ ჩენ ინი,Kim Džongunas,Kims Čonins,Ким Џонг Ун,കിം ജോങ് യുൻ,Kim Jong-un,ကင်ဂျုံအွန်,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Čong-un Kim,Kim Xhong-Un,Ким Џонг Ун,கிம் ஜொங்-உன்,คิม จ็อง-อึน,Kim Çžon Yn,Кім Чен Ин,金正恩,金正恩,金正恩,Kîm Ngit-sṳ̀n,Kim Dzong Un,Kim Yong Un,Ким Чен Ир,Kim Jong-un,Kim Jong-un,Kim Jong-un,Ким Чен Ун,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Džiuong Un,Kim Chèng-un,Кім Чэн Ын,কিম জং উন,Ким Чен Ын,Kim Jong-un,किम जोंग उन,Gĭng Céng-ŏng,金正恩,کیم جۆنگ ئون,किम जोङ उन,Kim Jong-un,کم جونگ-اون,Gim Jeong-eun,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Çen In,Kim Džiuong Un,Kim Jong-un,Кім Чэн Ын,Кім Чэн Ын,Ким Чен Ун,কিম জং উন,Kim Jong-un,Kim Jong-un,Gĭng Céng-ŏng,کیم جۆنگ ئون,Kim Jong-un,Kim Ĝong-un,Kim Chŏng-un,Kim Jong-un,Kîm Tsang-ên,किम जोंग उन,Kim Jong-un,Kim Dzsongun,Կիմ Ջոնգ Ուն,კიმ ჩენ ინი,Gim Jeong-eun,Kim Džongunas,Kims Čonins,Ким Џонг Ун,കിം ജോങ് യുൻ,Ким Жонъынь,Kim Jong-un,ကင်ဂျုံအွန်,Kim Jong-un,Kim Jong-un,किम जोङ उन,Kim Jong-un,Ким Чен Ын,Kim Dzong Un,Kim Jong-un,Категория:Ким Чен Ын,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Čong-un,Kim Xhong-un,Ким Џонг Ун,Kim Jong-un,Kim Dzong Un,கிம் ஜொங்-உன்,Ким Чен Ун,คิม จ็อง-อึน,Kim Çžon Yn,Kim Jong-un,Кім Чен Ин,کم جونگ-اون,Kim Jong-un,金正恩,Kim Chèng-un,金正恩,,,,,,,Kim Jong-un,Kim Jong-un,,Kim jong un,Kim Jong-un,,,,Kim Jong-un,Kim Jong-un,Kim Jong-un,Kim Jong-un,Кім Чен Ин,biography/Kim-Jong-Eun
Q6408470,,Kim Chol,,Kim Chol,Kim Chol,male,,1960,,,,2012-10,,,,,,,,,Kim Chol,Kim Chol,Kim Chol,,金哲,,金哲,,金哲 (軍人),,金哲,,,,,,,,,,,,,,,,,,Kim Chol,,,,,,,,,,,,,,,Kim Chol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Chol,,,,,,,,,
Q333172,김일진,Kim Il-Jin,김일진 (지휘자),Kim Il-Jin,Kim Il-jin,male,/m/02vyfx7,1956,,,,,,9645d8e2-7a44-41c1-ac0c-e6358b5383c7,,,,,,Kim Il-Jin,Kim Il-Jin,Kim Il-Jin,Kim Il-jin,,金日進,,キム・イルジン,Kim Il-jin,キム・イルジン,,金日進,金日进,金日進,金日進,,,,,,金日进,,金日进,金日進,,,,Kim Il-jin,,,,,کیم ایل جین,,,,,,,,کیم ایل جین,Kim Il-jin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Il-jin,,,,,,,,,
Q1062006,김영주,Kim Yong-ju,김영주 (1920년),Kim Yong-ju,Kim Yong-ju,male,/m/0hgqwlx,1920,,,,,,,,,,,,Kim Yong-ju,Kim Jong Chu,Kim Yong-ju,Kim Yŏng-ju,,金英柱,,金英柱,Kim Yŏng-ju,金英柱,,金英柱,,,,,,,,,,,,,Ким Ён Чжу,,,,,,,,,,,,,,,,,,,,,,Kim Jong Chu,,,Ким Ён Чжу,,,Kim Yong-ju,,,,,,,,,,,,,,,,,,,Կիմ Յոնգ Ջի,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Yong-ju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Yong-ju,75521,,,,,,,,
Q5367050,박도춘,Pak To-chun,박도춘,Pak To-chun,Pak To-chun,male,,1944-03-09,,,,,,,,,,,,Pak To-chun,Pak To-chun,Pak To-chun,Pak To-chun,,朴道春,Pak To Ch'un,朴道春,Pak To-chun,朴道春,Pak To Ch'un,朴道春,朴道春,朴道春,朴道春,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pak To-chun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pak To-chun,,,,,,,,,
Q7322063,,Ri Yong-Ae,,Ri Yong-Ae,Ri Yong-ae,female,,1965-11-04,,,,,,,,,,,65046,,Ri Yong-ae,Ri Yong-Ae,,,,Li Yong-Ae,,,,Li Yong-Ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,รี ย็อง-แอ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,รี ย็อง-แอ,,,,,,,,,,,,,,,,,,,Ri Yong-ae,,,,,,,,,
Q5355441,김격식,Kim Kyok-sik,김격식,Kim Kyok-sik,Kim Kyok-sik,male,/m/0pl1ylw,1943,,,,2015-05-10,,,,,,,,Kim Kyok-sik,Kim Kyok-sik,Kim Kyok-sik,Kim Kyok-sik,,金格植,Kim Kyok-sik,金格植,Kim Kyok-sik,金格植,Kim Kyok-sik,金格植,金格植,金格植,金格植,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Kyok-sik,,,,,,,,,,,,Kim Kyok-sik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Kyok-sik,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Kyok-sik,,,,,,,,,
Q25035961,,Kim Tok-hun,,Kim Tok-hun,Kim Tok-hun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Tok-hun,,,,,,,,,
