id,name,party,faction,source,image,term
achaabi,ASMAA CHAABI,Environment and Development Party,Group of the National Rally of Independents,http://www.chambredesrepresentants.ma/en/m/achaabi,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture-730-1424692800.jpg?itok=U_pnNdW7,9
aoubarka,Abdallah OUBARKA,National Rally of Independents,Group of the National Rally of Independents,http://www.chambredesrepresentants.ma/en/m/aoubarka,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_333.jpg?itok=Ux6wsWnE,9
ahilali,Abdelali Mohammed HILALI,Party of Renewal and Equity,Parliamentary Group of the Alliance of the center,http://www.chambredesrepresentants.ma/en/m/ahilali,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_372.jpg?itok=jKocR8tl,9
ajanaah,Abdelghani JANAAH,National Rally of Independents,Group of the National Rally of Independents,http://www.chambredesrepresentants.ma/en/m/ajanaah,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_362.jpg?itok=IjIVp53g,9
achafik,Abdelhak CHAFIK,Popular Movement,Group movement,http://www.chambredesrepresentants.ma/en/m/achafik,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_140.jpg?itok=5AjNrtWo,9
atattou,Abdelkader TATTOU,Popular Movement,Group movement,http://www.chambredesrepresentants.ma/en/m/atattou,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_154.jpg?itok=t3MhngqI,9
bchkili,Brahim CHKILI,Authenticity and Modernity Party,Group authenticity and modernity,http://www.chambredesrepresentants.ma/en/m/bchkili,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_158.jpg?itok=K3A-BY4J,9
htabi,Hassan TABI,Independence Party,Group istiqlali of unity and egalitarianism,http://www.chambredesrepresentants.ma/en/m/htabi,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_331.jpg?itok=O5rjKETH,9
hharrami,Hicham HARRAMI,Popular Movement,Group movement,http://www.chambredesrepresentants.ma/en/m/hharrami,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_412.jpg?itok=u4EKUdut,9
ksbia,Khalid SBIA,Independence Party,Group istiqlali of unity and egalitarianism,http://www.chambredesrepresentants.ma/en/m/ksbia,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_98.jpg?itok=Kc2ZhEss,9
mwalhan,Meriem WALHAN,Popular Movement,Group movement,http://www.chambredesrepresentants.ma/en/m/mwalhan,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_69.jpg?itok=4imCAw35,9
melmyry,Mohammed EL MYRY,Democratic and Social Movement,Parliamentary Group of the Alliance of the center,http://www.chambredesrepresentants.ma/en/m/melmyry,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_310.jpg?itok=ISnz4S5w,9
rhamouni,Rachid HAMOUNI,Socialist Union of Popular Forces,Group of the Socialist Union of Popular Forces,http://www.chambredesrepresentants.ma/en/m/rhamouni,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_311.jpg?itok=J-i4pr1h,9
rnassiri,Rahal NASSIRI,Party of Renewal and Equity,Parliamentary Group of the Alliance of the center,http://www.chambredesrepresentants.ma/en/m/rnassiri,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_183.jpg?itok=4afKqjls,9
sdor,Said DOR,Independence Party,Group istiqlali of unity and egalitarianism,http://www.chambredesrepresentants.ma/en/m/sdor,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_262.jpg?itok=tQJd9BfG,9
abioui,Abdennabi BIOUI,Authenticity and Modernity Party,Group authenticity and modernity,http://www.chambredesrepresentants.ma/en/m/abioui,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_107.jpg?itok=opDuNdr7,9
aelyazghi,Ali EL YAZGHI,Socialist Union of Popular Forces,Group of the Socialist Union of Popular Forces,http://www.chambredesrepresentants.ma/en/m/aelyazghi,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_66.jpg?itok=tqdLpMQ5,9
nacer-essabti,ESSABTI Nacer,National Rally of Independents,Group of the National Rally of Independents,http://www.chambredesrepresentants.ma/en/m/nacer-essabti,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/user_pictures/default.jpg?itok=o-WsiTiU,9
