id,name__zh,name__pl,name__fr,name__ko,name__es,name__oc,name__yo,name__ms,name__it,name__gl,name__et,name__de,name__id,name__ja,name__el,name__vi,name__sh,name__nl,name__sv,name__pt,name__eo,name__ru,name__en,name__tr,name__ro,name__fi,name__cs,name__io,name__hr,name__nds,name__ca,name__nb,name__fa,name__sr,name__da,name__nn,name__la,name__ar,name,wikipedia__ar,wikipedia__cs,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__ms,wikipedia__nds,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__sh,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,gender,birth_date,identifier__freebase,original_wikiname,given_name,name__ka,wikipedia__ka,identifier__VIAF,identifier__LCAuth,name__cy,death_date,name__hu,identifier__TED,last_seen,name__sco,name__en_ca,name__en_gb,name__eu,wikipedia__commons,occupation,wikipedia__uk,name__uk,name__he,wikipedia__zh_min_nan,name__nan,name__fo,name__is,name__se,name__sje,name__sma,name__smj,name__sw,family_name
Q1253453,,Harry Tong,Harry Tong,,,,,,,,,Harry Tong,,,,,Harry Tong,Harry Tong,,,,,Harry Tong,,,,,,,,,,,,,,,,Harry Tong,,,,,Harry Tong,,,,,,Harry Tong,,,,,,,,,,,,,,Harry Tong,,,,Harry Tong,,,,,,,,male,,/m/06zqm3d,Harry Tong,Harry,,,,,,,,,,Harry Tong,,,,,politician,,,,,,,,,,,,,
Q1268309,,Teima Onorio,Teima Onorio,,,,,,,,,Teima Onorio,,テイマ・オノリオ,Τέιμα Ονόριο,,Teima Onorio,Teima Onorio,,,,,Teima Onorio,,,,,,Teima Onorio,,,,,,,,,,Teima Onorio,,,Teima Onorio,Τέιμα Ονόριο,Teima Onorio,,,,,,Teima Onorio,,Teima Onorio,,,,,,,,,,,,Teima Onorio,,,,Teima Onorio,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Teima_Onorio.jpg,female,1963,/m/064lcsf,Teima Onorio,,,,,,,,,,,Teima Onorio,,,,,,,,,,,,,,,,,,
Q1299331,,Ieremia Tabai,Ieremia Tabai,,Ieremia Tabai,,,,Ieremia Tabai,,,Ieremia Tabai,,,Γερέμια Ταμπάι,,,Ieremia Tabai,Ieremia Tabai,,,Иеремиа Табаи,Ieremia Tabai,,,Ieremia Tabai,,,,,,Ieremia Tabai,,,Ieremia Tabai,Ieremia Tabai,,إرميا تاباي,Ieremia Tabai,إرميا تاباي,,Ieremia Tabai,Γερέμια Ταμπάι,Ieremia Tabai,,,,,Ieremia Tabai,Ieremia Tabai,,,,,Ieremia Tabai,,,,,,,,,Ieremia Tabai,,,Иеремиа Табаи,,,Ieremia Tabai,,,,,,male,1950,/m/036bc4,Ieremia Tabai,Ieremia,იერემია ტაბაი,იერემია ტაბაი,92451728,,,,Ieremia Tabai,,,Ieremia Tabai,,,,,politician,Ієремія Табаї,Ієремія Табаі,,,,Ieremia Tabai,Ieremia Tabai,Ieremia Tabai,Ieremia Tabai,Ieremia Tabai,Ieremia Tabai,Ieremia Tabai,Tabai
Q2064179,,Teatao Teannaki,Teatao Teannaki,,Teatao Teannaki,,,,,,,Teatao Teannaki,,,Τεατάο Τεανάκι,,,Teatao Teannaki,Teatao Teannaki,,,Театао Теаннаки,Teatao Teannaki,,,Teatao Teannaki,,,Teatao Teannaki,,,Teatao Teannaki,,,Teatao Teannaki,Teatao Teannaki,,,Teatao Teannaki,,,Teatao Teannaki,Τεατάο Τεανάκι,Teatao Teannaki,,Teatao Teannaki,,,Teatao Teannaki,Teatao Teannaki,,Teatao Teannaki,,,,,,,,,,,,Teatao Teannaki,,,Театао Теаннаки,,,,,,,,,male,1936,/m/03pt8g,Teatao Teannaki,Teatao,ტეატაო ტეანაკი,ტეატაო ტეანაკი,,,,2016-10-11,Teatao Teannaki,,,Teatao Teannaki,,,,,politician,,,,,,Teatao Teannaki,Teatao Teannaki,Teatao Teannaki,Teatao Teannaki,Teatao Teannaki,Teatao Teannaki,Teatao Teannaki,Teannaki
Q20675892,,,,,,,,,,,,,,,,,,Tekiau Aretaateta,,,,,Tekiau Aretaateta,,,,,,,,,,,,,,,,Tekiau Aretaateta,,,,,Tekiau Aretaateta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,Tekiau Aretaateta,,,,,,,,,,,Tekiau Aretaateta,,,,,,,,,,,,,,,,,,
Q21063378,,,,,,,,,,,,,,,,,,Mote Terukaio,Mote Terukaio,,,,Mote Terukaio,,,,,,,,,Mote Terukaio,,,Mote Terukaio,Mote Terukaio,,,Mote Terukaio,,,,,Mote Terukaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,Mote Terukaio,Mote,,,,,,,,,,Mote Terukaio,,,,,,,,,,,Mote Terukaio,Mote Terukaio,Mote Terukaio,Mote Terukaio,Mote Terukaio,Mote Terukaio,Mote Terukaio,Terukaio
Q23034482,塔内蒂·马马乌,Taneti Mamau,Taaneti Mwamwau,,Taneti Mamau,Taaneti Mamau,,,Taaneti Mwamwau,,,Taneti Mamau,,タネティ・マアマウ,Τανέτι Μαμάου,,,Taaneti Mamau,Taaneti Mamau,Taneti Mamau,,Танети Мамау,Taaneti Mamau,Taneti Maamau,,Taneti Maamau,,,Taneti Maamau,,,Taaneti Mamau,,,Taaneti Mamau,Taaneti Mamau,,,Taaneti Mamau,,,Taneti Mamau,Τανέτι Μαμάου,Taneti Mamau,,Taneti Mamau,,,Taaneti Mamau,Taneti Maamau,,Taneti Maamau,,,,タネティ・マアマウ,,,,,Taaneti Mamau,,Taaneti Mamau,Taneti Mamau,Taneti Mamau,,"Маамау, Танети",,,,Taneti Maamau,,,塔内蒂·马马乌,https://upload.wikimedia.org/wikipedia/commons/8/8b/Taneti_Mamau.jpg,male,1960-09-16,,Taaneti Mamau,Taaneti,,,,,,,,,,Taaneti Mamau,Taneti Mamau,Taneti Mamau,Taaneti Mamau,Category:Taneti Mamau,politician,Танеті Мамау,Танеті Мамау,טאנטי מאמאו,,,Taaneti Mamau,Taaneti Mamau,Taaneti Mamau,Taaneti Mamau,Taaneti Mamau,Taaneti Mamau,Taaneti Mamau,Mamau
Q3432103,里梅塔·貝尼亞米納,,Rimeta Beniamina,,,,,,,,,Rimeta Beniamina,,,,,,Rimeta Beniamina,Rimeta Beniamina,,,,Rimeta Beniamina,,,,,,,,,Rimeta Beniamina,,,Rimeta Beniamina,Rimeta Beniamina,,,Rimeta Beniamina,,,,,Rimeta Beniamina,,,,,,Rimeta Beniamina,,,,,,,,,,,,,,,,,,,,,,,,,,male,1960-12-29,,Rimeta Beniamina,Rimeta,,,,,,,,,,Rimeta Beniamina,,,,,politician,,,,,,Rimeta Beniamina,Rimeta Beniamina,Rimeta Beniamina,Rimeta Beniamina,Rimeta Beniamina,Rimeta Beniamina,Rimeta Beniamina,Beniamina
Q3519137,,,Tetaua Taitai,,Tetaua Taitai,,,,,,,Tetaua Taitai,,,,,,Tetaua Taitai,Tetaua Taitai,,,,Tetaua Taitai,,,,,,,,,Tetaua Taitai,,,Tetaua Taitai,Tetaua Taitai,,,Tetaua Taitai,,,,,Tetaua Taitai,,,,,,Tetaua Taitai,,,,,,,,,,,,,,,,,,,,,,,,,,male,1947,,Tetaua Taitai,Tetaua,,,,,Tetaua Taitai,2015-02-06,Tetaua Taitai,,,Tetaua Taitai,,,,,politician,,,,,,Tetaua Taitai,Tetaua Taitai,Tetaua Taitai,Tetaua Taitai,Tetaua Taitai,Tetaua Taitai,Tetaua Taitai,Taitai
Q57456,湯安諾,Anote Tong,Anote Tong,아노테 통,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,アノテ・トン,Ανότε Τονγκ,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,"Тонг, Аноте",Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,آنوته تونگ,Аноте Тонг,Anote Tong,Anote Tong,Anote Tong,أنوتي تونغ,Anote Tong,أنوتي تونغ,Anote Tong,Anote Tong,Ανότε Τονγκ,Anote Tong,Anote Tong,Anote Tong,Anote Tong,آنوته تونگ,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,アノテ・トン,아노테 통,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,"Тонг, Аноте",Anote Tong,Аноте Тонг,Anote Tong,Anote Tong,Anote Tong,Anote Tong,湯安諾,https://upload.wikimedia.org/wikipedia/commons/e/e1/Anote_Tong_(1)_(cropped).jpg,male,1952-06-11,/m/022w78,Anote Tong,Anote,,,,,,,Anote Tong,anote_tong,,Anote Tong,,,,,politician,Аноте Тонг,Аноте Тонг,אנוטה טונג,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Anote Tong,Tong
Q965155,塞布羅羅·替圖,Teburoro Tito,Teburoro Tito,테부로로 티토,Teburoro Tito,,,,,,,Teburoro Tito,,テブロロ・ティト,Τεμπουρόρο Τίτο,,Teburoro Tito,Teburoro Tito,Teburoro Tito,Teburoro Tito,,"Тито, Тебуроро",Teburoro Tito,,,Teburoro Tito,,,,,,Teburoro Tito,,,Teburoro Tito,Teburoro Tito,,,Teburoro Tito,,,Teburoro Tito,Τεμπουρόρο Τίτο,Teburoro Tito,,,,,Teburoro Tito,Teburoro Tito,,,,,,,테부로로 티토,,,,,,,Teburoro Tito,Teburoro Tito,,"Тито, Тебуроро",Teburoro Tito,,,,,,,,male,1953,/m/04g1jc,Teburoro Tito,Teburoro,ტებურორო ტიტო,ტებურორო ტიტო,14171028,n2005000165,,,Teburoro Tito,,,Teburoro Tito,,,,,politician,Тебуроро Тіто,Тебуроро Тіто,,,,Teburoro Tito,Teburoro Tito,Teburoro Tito,Teburoro Tito,Teburoro Tito,Teburoro Tito,Teburoro Tito,Tito
