id,name,name__en,occupation,gender,original_wikiname,name__nl,name__de,name__fr,name__it,name__ta,name__el,name__pl,name__tr,name__es,name__hu,name__zh,name__ja,name__fa,name__la,name__pt,name__bg,name__da,name__fo,name__kl,name__sv,name__sl,name__uk,name__ru,name__he,name__ast,wikipedia__bg,wikipedia__commons,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__es,wikipedia__fa,wikipedia__fr,wikipedia__he,wikipedia__it,wikipedia__la,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__simple,wikipedia__ta,wikipedia__tr,wikipedia__uk,wikipedia__zh,birth_date,given_name,facebook,image,name__ar,wikipedia__ar,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__yo,name__gl,name__et,name__id,name__sq,name__sc,name__hi,name__eo,name__mn,name__fi,name__nn,name__lt,name__nb,name__oc,name__io,name__ca,name__pt_br,wikipedia__ast,wikipedia__da,wikipedia__eo,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__hi,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__ko,wikipedia__lt,wikipedia__mn,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__sc,wikipedia__sq,wikipedia__sv,wikipedia__yo,identifier__VIAF,identifier__freebase,identifier__LCAuth,identifier__GTAA,identifier__NNDB,identifier__Britannica,identifier__ISNI,name__vi,wikipedia__vi
Q20983252,Indranie Chandarpal,Indranie Chandarpal,politician,female,,Indranie Chandarpal,,,,,,,,Indranie Chandarpal,,,,,,,,,,,,Indranie Chandarpal,,,,Indranie Chandarpal,,,,,Indranie Chandarpal,,,,,,,,,,,,,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indranie Chandarpal,Indranie Chandarpal
Q212760,Bharrat Jagdeo,Bharrat Jagdeo,politician,male,,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,,Μπάρατ Τζάγκντεο,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,巴拉特·贾格迪奥,バラット・ジャグデオ,بهارات جاگدئو,,Bharrat Jagdeo,,Bharrat Jagdeo,,,Bharrat Jagdeo,Bharrat Jagdeo,Бхаррат Джагдео,"Джагдео, Бхаррат",בהרט ג'גדאו,Bharrat Jagdeo,,Bharrat Jagdeo,Bharrat Jagdeo,Μπάρατ Τζάγκντεο,Bharrat Jagdeo,Bharrat Jagdeo,بهارات جاگدئو,Bharrat Jagdeo,בהרט ג'גדאו,Bharrat Jagdeo,,Bharrat Jagdeo,Bharrat Jagdeo,"Джагдео, Бхаррат",,,Bharrat Jagdeo,Бхаррат Джагдео,巴拉特·贾格迪奥,1964-01-23,,,https://upload.wikimedia.org/wikipedia/commons/6/68/Jagdeo03032007.jpg,بارات جاغديو,بارات جاغديو,巴拉特·贾格迪奥,巴拉特·賈格迪奧,巴拉特·賈格迪奧,巴拉特·贾格迪奥,巴拉特·贾格迪奥,巴拉特·賈格迪奧,바라트 자그데오,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,भरत जगदेव,Bharrat Jagdeo,Баратт Жагдео,Bharrat Jagdeo,Bharrat Jagdeo,Bharatas Džagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,भरत जगदेव,Bharrat Jagdeo,Bharrat Jagdeo,バラット・ジャグデオ,바라트 자그데오,Bharatas Džagdeo,Баратт Жагдео,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,Bharrat Jagdeo,48891919,/m/022w61,no2002021364,225684,836/000162350,biography/Bharrat-Jagdeo,0000 0000 5333 1429,,
Q25046178,Barton Scotland,Barton Scotland,politician,male,,,,,,,,,,Barton Scotland,,,,,,,,,,,,,,,,Barton Scotland,,,,,Barton Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q48955173,Bheri Sygmond Ramsaran,Bheri Sygmond Ramsaran,politician,male,,Bheri Sygmond Ramsaran,,Bheri Sygmond Ramsaran,,,,,,Bheri Sygmond Ramsaran,,,,,,,,,,,,,,"Рамсаран, Бери Сигмонд",,Bheri Sygmond Ramsaran,,,,,Bheri Ramsaran,,,,,,,,,"Рамсаран, Бери Сигмонд",,,,,,1959-03-16,,,,بهيري رامساران,بهيري رامساران,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53848199,Carl Barrington Greenidge,Carl Barrington Greenidge,politician,male,,Carl Barrington Greenidge,,,,,,,,Carl Barrington Greenidge,,,カール・バーリントン・グリーニッジ,,Carolus Barrington Greenidge,,,,,,,,,,,,,,,,Carl Barrington Greenidge,,,,,,Carolus Barrington Greenidge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q62733292,David Patterson,David Patterson,politician,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q62733325,George Norton,George Norton,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q62733333,Rupert Roopnarine,Rupert Roopnarine,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q62733342,Joseph Harmon,Joseph Harmon,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q62733361,Noel Holder,Noel Holder,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
