id,name__en,name,gender,occupation,given_name,original_wikiname,name__fr,name__pt,name__nl,name__de,name__ca,wikipedia__ca,wikipedia__en,wikipedia__fr,wikipedia__pt,birth_date,identifier__freebase,name__it,name__es,wikipedia__de,image,name__ru,name__pl,wikipedia__pl,wikipedia__ru,identifier__VIAF,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__BVMC,identifier__LCAuth,identifier__BIBSYS,identifier__NUKAT,identifier__PTBNP,identifier__NTA,name__zh,name__da,name__el,name__en_ca,name__en_gb,name__eu,name__fa,name__tr,name__lb,name__ast,name__io,name__oc,wikipedia__ast,wikipedia__el,wikipedia__es,wikipedia__fa,wikipedia__io,wikipedia__lb,wikipedia__oc,wikipedia__tr,wikipedia__zh,facebook,family_name,wikipedia__commons,wikipedia__uk,name__uk,wikipedia__et,name__et,name__sv,wikipedia__it
Q17024697,Maria Helena Semedo,Maria Helena Semedo,female,economist,Maria,,Maria Helena Semedo,,Maria Helena Semedo,Maria Helena Semedo,,,Maria Helena Semedo,Maria Helena Semedo,,1959-05-29,,Maria Helena Semedo,Maria Helena Semedo,Maria Helena Semedo,https://upload.wikimedia.org/wikipedia/commons/f/f2/Self_Semedo_June_2015.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Maria Helena Semedo,,,,,,
Q23899522,Ulisses Correia e Silva,Ulisses Correia e Silva,male,politician,José,,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,1962-06-04,,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,https://upload.wikimedia.org/wikipedia/commons/0/09/Sr._Ulisses_Corrêa_e_Silva_(cropped).png,,Ulisses Correia e Silva,Ulisses Correia e Silva,,96716266,0000 0000 6934 8444,,,,n2009047951,,,,,烏利塞斯·科雷亞·席爾瓦,Ulisses Correia e Silva,Ουλίσες Κορέια ε Σίλβα,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,یولیسز کوریا ای سیلوا,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,Ουλίσες Κορέια ε Σίλβα,Ulisses Correia e Silva,یولیسز کوریا ای سیلوا,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,烏利塞斯·科雷亞·席爾瓦,ulissescorreiaesilva,Correia,Category:Ulisses Correia e Silva,Уліссеш Коррея-і-Сілва,Уліссеш Коррея-і-Сілва,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva,Ulisses Correia e Silva
Q24565805,Isaura Gomes,Isaura Gomes,female,politician,Isaura,,Isaura Gomes,Isaura Gomes,Isaura Gomes,Isaura Gomes,Isaura Gomes,Isaura Gomes,Isaura Gomes,Isaura Gomes,Isaura Gomes,1944-02-22,,,Isaura Gomes,Isaura Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gomes,,,,,,,
Q2861382,Aristides Lima,Aristides Lima,male,politician,Aristides,,Aristides Raimundo Lima,Aristides Lima,Aristides Raimundo Lima,Aristides Raimundo Lima,,,Aristides Lima,Aristides Raimundo Lima,,1955-08-31,,,,,,Аристидеш Раймунду Лима,Aristides Lima,Aristides Lima,"Лима, Аристидеш Раймунду",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29158211,Luís António Gomes Alves,Luís António Gomes Alves,male,politician,Luís,,,Luís António Gomes Alves,Luís António Gomes Alves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29158764,Emanuel Jesus Correia Lopes,Emanuel Jesus Correia Lopes,male,politician,Emanuel,,,Emanuel Jesus Correia Lopes,Emanuel Jesus Correia Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3268211,Luís de Matos Monteiro da Fonseca,Luís de Matos Monteiro da Fonseca,male,politician,Luís,,Luís de Matos Monteiro da Fonseca,Luís de Matos Monteiro da Fonseca,Luís de Matos Monteiro da Fonseca,Luís de Matos Monteiro da Fonseca,Luís de Matos Monteiro da Fonseca,Luís de Matos Monteiro da Fonseca,Luís de Matos Monteiro da Fonseca,Luís de Matos Monteiro da Fonseca,Luís de Matos Monteiro da Fonseca,1944-05-17,/m/02q_w76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q43389063,Nilda Maria,Nilda Maria,female,politician,,,Nilda Maria,,,Nilda Maria,,,Nilda Maria (politician),,,,,,Nilda Maria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q45965970,Eunice Silva,Eunice Silva,female,engineer,Eunice,,Eunice Silva,,Eunice Silva,,,,Eunice Silva,,,1956-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silva,,,,,,,
Q6298027,João Baptista Ferreira Medina,João Baptista Ferreira Medina,male,politician,João Baptista,,,,João Baptista Ferreira Medina,João Baptista Ferreira Medina,,,João Baptista Ferreira Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferreira,,,,,,,
