id,name,image,party,party_id,term,email,area,source
Shilenga-Rosalia,Shilenga Rosalia,http://www.parliament.na/images/nationalcouncil/596_rosalia_shilenga.jpg,SWAPO,SWAPO,4,r.shilenga@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=31:shilenga-rosalia&catid=108&Itemid=1376
Kaatura-Nehemia,Kaatura Nehemia,"",DTA,DTA,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=939:kaatura-nehemia&catid=119&Itemid=1379
Tuhadeleni-Noah-Lyaalala,Tuhadeleni Noah Lyaalala,http://www.parliament.na/images/nationalcouncil/n_tuhadeleni.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=550:tuhadeleni-noah-lyaalala&catid=122&Itemid=1378
Ndjambula-Phillemon,Ndjambula Phillemon,http://www.parliament.na/images/nationalcouncil/p_ndjambula.JPG,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=558:ndjambula-phillemon&catid=122&Itemid=1378
Kankoshi-Henok-Tangeni,Kankoshi Henok Tangeni,http://www.parliament.na/images/nationalcouncil/205_img_0069.jpg,SWAPO,SWAPO,3,h.kankoshi@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=920:henok-kankoshi-3rd&catid=124&Itemid=1377
Sheyapo-Fidelis,Sheyapo Fidelis,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=932:sheyapo-fidelis&catid=119&Itemid=1379
Coma-Moses-DECEASED,!Coma Moses  (DECEASED),http://www.parliament.na/images/nationalcouncil/m_coma.JPG,"","",3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=924:coma-moses-3rd&catid=124&Itemid=1377
Ya-Kasita-Sheya-Henock,Ya Kasita Sheya Henock,http://www.parliament.na/images/nationalcouncil/h_kasita.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=577:ya-kasita-sheya-henock-3rd&catid=124&Itemid=1377
Hango-Asser,Hango Asser,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=936:hango-asser&catid=119&Itemid=1379
Martin-Aram,Martin Aram,http://www.parliament.na/images/nationalcouncil/261_img_0052.jpg,SWAPO,SWAPO,4,a.martin@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=22:martin-aram&catid=108&Itemid=1376
Nakwafila-Johannes-Kamati,Nakwafila Johannes Kamati,http://www.parliament.na/images/nationalcouncil/354_johannes_nakwafila.jpg,SWAPO,SWAPO,4,jk.nakwafila@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=24:nakwafila-johannes-kamati&catid=108&Itemid=1376
Tobias-Lebbius-Tangeni,Tobias Lebbius Tangeni,http://www.parliament.na/images/nationalcouncil/599_lebbius_tangeni_tobias.jpg,SWAPO,SWAPO,4,l.tobias@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=36:tobias-lebbius-tangeni&catid=108&Itemid=1376
Kapere-Asser-Kuveri,Kapere Asser  Kuveri,http://www.parliament.na/images/Asser.jpg,SWAPO,SWAPO,4,a.kapere@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=11:asser-kapere&catid=108&Itemid=1376
Kavara-Rosa-Kunyanda,Kavara Rosa Kunyanda,http://www.parliament.na/images/nationalcouncil/591_rosa_kunyanda_kavara.jpg,SWAPO,SWAPO,4,r.kavara@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=21:kavara-rosa-kunyanda&catid=108&Itemid=1376
Martin-Kapewasha,Martin Kapewasha,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=541:martin-kapewasha&catid=119&Itemid=1379
Sibiya-Mwashekele-Rosalia-Mwadina,Sibiya-Mwashekele Rosalia Mwadina,http://www.parliament.na/images/nationalcouncil/r_sibiya_mwashekele.JPG,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=907:sibiya-mwashekele-rosalia-mwadina&catid=124&Itemid=1377
Hishikushitja-Michael-Ndapamapedu,Hishikushitja Michael Ndapamapedu,http://www.parliament.na/images/nationalcouncil/m_hishikushitya.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=578:hishikushitja-michael-ndapamapedu-1st&catid=119&Itemid=1379
Haingura-Ambrosius,Haingura Ambrosius,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=935:haingura-ambrosius&catid=119&Itemid=1379
Kaiyamo-Hosea-Nico,Kaiyamo Hosea Nico,http://www.parliament.na/images/nationalcouncil/h_kaiyamo.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=584:kaiyamo-hosea-nico-1st&catid=119&Itemid=1379
Nguvauva-Kilus,Nguvauva Kilus,http://www.parliament.na/images/nationalcouncil/kilus_img_0039.jpg,"","",4,k.nguvauva@gmail.com,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=27:nguvauva-kilus&catid=108&Itemid=1376
Nhinda-Ruth-Kepawa-DECEASED,Nhinda Ruth Kepawa  (DECEASED),http://www.parliament.na/images/nationalcouncil/348_img_0015.jpg,SWAPO,SWAPO,3,r.nhinda@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=906:nhinda-ruth-kepawa-3rd&catid=124&Itemid=1377
Murorua-Themistokles-Dudu,Murorua Themistokles Dudu,http://www.parliament.na/images/nationalcouncil/d_murorua.jpg,DTA/UDF Coalition,DTA/UDF Coalition,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=563:murorua-themistokles-dudu&catid=122&Itemid=1378
Samuehl-Fluksman,Samuehl Fluksman,http://www.parliament.na/images/nationalcouncil/f_samuel.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=512:samuehl-fluksman&catid=122&Itemid=1378
Hoveka-Wilfred-Uaonga,Hoveka Wilfred Uaonga,"",SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=902:hoveka-wilfred-uaonga&catid=122&Itemid=1378
Shinohamba-Karlous-Marx,Shinohamba Karlous Marx,http://www.parliament.na/images/nationalcouncil/m_shinohamba.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=538:shinohamba-karlous-marx&catid=122&Itemid=1378
Martin-Aram,Martin Aram,http://www.parliament.na/images/nationalcouncil/261_img_0052.jpg,SWAPO,SWAPO,3,a.martin@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=904:martin-aram-3rd&catid=124&Itemid=1377
Hendjala-Erasmus,Hendjala Erasmus,http://www.parliament.na/images/nationalcouncil/e_hendjala.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=511:hendjala-erasmus-2nd&catid=122&Itemid=1378
Kavetuna-Ferdinand-Frederich,Kavetuna Ferdinand Frederich,http://www.parliament.na/images/nationalcouncil/f_kavetuna.JPG,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=922:kavetuna-ferdinand-frederich&catid=124&Itemid=1377
