id,name__es,name__en,name__nl,name__fr,name__hu,name,wikipedia__es,gender,birth_date,given_name,original_wikiname,name__it,image,name__de,wikipedia__en,identifier__ISNI,identifier__VIAF,identifier__SUDOC,death_date,identifier__FAST,name__cy,identifier__GND,identifier__LCAuth,name__nb,name__da,name__nn,name__sv,name__ru,name__ca,name__gl,second_surname,name__pl,name__mg,wikipedia__mg,wikipedia__pl,wikipedia__de,wikipedia__ru,wikipedia__fr,name__zh_hant,name__zh_cn,name__tr,name__zh,wikipedia__trwikiquote,identifier__freebase,wikipedia__it,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__eu,name__wa,name__ko,name__he,name__oc,name__lv,name__ja,name__scn,name__pt,name__eo,name__fi,name__uk,name__la,name__cs,name__bg,name__fa,name__ksh,name__lt,name__tl,wikipedia__bg,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__dewikiquote,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eswikiquote,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__he,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ko,wikipedia__ksh,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__scn,wikipedia__simple,wikipedia__sv,wikipedia__tl,wikipedia__uk,wikipedia__wa,wikipedia__zh,identifier__BNF,identifier__NDL,identifier__SBN_it,identifier__NTA,family_name,name__nov,wikipedia__nov,website,twitter,facebook,name__en_ca,name__en_gb,name__sk,name__et,wikipedia__et,identifier__GTAA,name__qu,name__gd,name__be,name__af,name__yo,name__id,name__sq,name__vi,name__el,name__ar,name__sr_el,name__sr_ec,name__be_tarask,name__io,name__gv,name__sr,name__ro,name__az,name__sco,wikipedia__af,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__el,wikipedia__gd,wikipedia__gl,wikipedia__gv,wikipedia__id,wikipedia__io,wikipedia__nn,wikipedia__qu,wikipedia__ro,wikipedia__sco,wikipedia__sq,wikipedia__sr,wikipedia__tr,wikipedia__vi,wikipedia__yo,identifier__IMDB,identifier__NKC,identifier__CANTIC,identifier__Munzinger,identifier__CSPAN,identifier__OLID,identifier__BNE,instagram,name__de_ch,name__pt_br,identifier__NNDB,linkedin,occupation,identifier__google_plus,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gsw,name__hr,name__ia,name__ie,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wo,name__zu,identifier__nlg,identifier__snac,wikipedia__fawikiquote,wikipedia__eswikinews,identifier__TED,identifier__Britannica,identifier__PTBNP,identifier__SELIBR,wikipedia__plwikiquote,wikipedia__eswikisource,name__sl,identifier__bigenc_ru,identifier__CiNii,pseudonym,identifier__youtube,wikipedia__ast,name__hy,wikipedia__hy,identifier__goodreads,wikipedia__lb,wikipedia__zh_yue,name__yue,identifier__BVMC,identifier__BIBSYS,identifier__BAV,identifier__N6I,wikipedia__ruwikinews,wikipedia__tt,name__tt,identifier__NLP,honorific_prefix
Q1042940,Carlos Gaviria Díaz,Carlos Gaviria Díaz,Carlos Gaviria Díaz,Carlos Gaviria Díaz,Carlos Gaviria Díaz,Carlos Gaviria Díaz,Carlos Gaviria Díaz,male,1937-05-08,Carlos,,,https://upload.wikimedia.org/wikipedia/commons/4/40/CarlosGaviria.jpg,Carlos Gaviria Díaz,Carlos Gaviria Díaz,0000 0003 8916 5583,282509706,,2015-03-31,1517326,Carlos Gaviria Díaz,1057096318,n94059659,,,,,,,,Díaz,,,,,Carlos Gaviria Díaz,,,,,,,,/m/0ch_jf,,,,,,,,,,,,,,,,,,,Carlos Gaviria Díaz,,,,,,,,,,,,,,,Carlos Gaviria Díaz,,,,,,,,,,,,,,,,,Carlos Gaviria Díaz,,,,,,,,,318082896,Alvenis,,,,,,,,Carlos Gaviria Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Gaviria Díaz,,,,,,,,,,,,,,,,,,,,
Q116059,Rodrigo Lara Bonilla,Rodrigo Lara,Rodrigo Lara Bonilla,Rodrigo Lara Bonilla,Rodrigo Lara Bonilla,Rodrigo Lara Bonilla,Rodrigo Lara Bonilla,male,1946-08-11,Rodrigo,,Rodrigo Lara,https://upload.wikimedia.org/wikipedia/commons/a/a7/Rodrigo_Lara_cropped_-_1.jpg,Rodrigo Lara Bonilla,Rodrigo Lara,0000 0000 2341 5584,58003989,,1984-04-30,,Rodrigo Lara,,n83312085,Rodrigo Lara Bonilla,Rodrigo Lara Bonilla,Rodrigo Lara Bonilla,Rodrigo Lara,Родриго Лара Бонилья,Rodrigo Lara Bonilla,Rodrigo Lara,Bonilla,Rodrigo Lara,Rodrigo Lara,,,Rodrigo Lara Bonilla,"Лара Бонилья, Родриго",Rodrigo Lara Bonilla,,,Rodrigo Lara,罗德里格·莱拉·博尼利亚,,/m/02q0svl,Rodrigo Lara Bonilla,,,,,Rodrigo Lara,Rodrigo Lara,,רודריגו לארה,Rodrigo Lara Bonilla,Rodrigo Lara,,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,,,Rodrigo Lara,,,,Rodrigo Lara,,,Rodrigo Lara Bonilla,,Rodrigo Lara,,,,,,,,,Rodrigo Lara,רודריגו לארה,,,,,,,,,,,,,Rodrigo Lara,,,,,罗德里格·莱拉·博尼利亚,,,,167714546,Lara,,,,,,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,,,,Rodrigo Lara,,Rodrigo Lara,,Rodrigo Lara,,Rodrigo Lara,,رودريغو لارا,,,,Rodrigo Lara,,,Rodrigo Lara,,Rodrigo Lara,,رودريغو لارا,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodrigo Lara Bonilla,Rodrigo Lara,,,politician,,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,Rodrigo Lara,,,,,,,,,,,Rodrigo Lara Bonilla,,DA17586692,,,,,,,,,,,,,,,,,,
Q1485219,Guillermo Alberto González Mosquera,Guillermo Alberto González Mosquera,Guillermo Alberto González Mosquera,Guillermo Alberto González Mosquera,Guillermo González Mosquera,Guillermo Alberto González Mosquera,Guillermo González Mosquera,male,1941-02-12,Guillermo,,,,Guillermo Alberto González Mosquera,,0000 0000 2697 1973,45706824,,,,,,n84141957,,,,,,Guillermo Alberto González Mosquera,Guillermo Alberto González Mosquera,,,,,,Guillermo Alberto González Mosquera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,González,,,http://guillermoalberto.blogspot.com.es/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guillermo Alberto González Mosquera,,,,,,,,,,,,,,,,,,,,
Q152472,Íngrid Betancourt,Ingrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,female,1961-12-25,Ingrid,,Íngrid Betancourt,https://upload.wikimedia.org/wikipedia/commons/2/2d/INGRID_BETANCOURT_IN_PISA.jpg,Íngrid Betancourt,Íngrid Betancourt,0000 0001 2136 6907,64180232,055816827,,463174,,12360589X,n2001036283,Íngrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Ингрид Бетанкур,Íngrid Betancourt,,,Íngrid Betancourt,,,Íngrid Betancourt,Íngrid Betancourt,"Бетанкур, Ингрид",Íngrid Betancourt,英格麗德·貝當古,英格丽德·贝当古,,英格丽德·贝当古,,/m/019d8_,Íngrid Betancourt,英格丽德·贝当古,英格麗德·貝當古,英格丽德·贝当古,英格麗德·貝當古,Ingrid Betancourt,Ingrid Betancourt,잉그리드 베탕쿠르,אינגריד בטנקור,Íngrid Betancourt,Ingrīda Betankūra,イングリッド・ベタンクール,Ingrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Інгрід Бетанкур,Ingrida Betancourt,Ingrid Betancourtová,Ингрид Бетанкур,اینگرید بتانکورت,Ingrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Ингрид Бетанкур,Íngrid Betancourt,Íngrid Betancourt,Ingrid Betancourtová,Ingrid Betancourtová,Íngrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Ingrid Betancourt,اینگرید بتانکورت,Íngrid Betancourt,אינגריד בטנקור,Ingrid Betancourt,イングリッド・ベタンクール,잉그리드 베탕쿠르,Ingrid Betancourt,Ingrida Betancourt,Íngrid Betancourt,Ingrīda Betankūra,Íngrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Ingrid Betancourt,Ingrid Betancourt,Íngrid Betancourt,Íngrid Betancourt,Інгрід Бетанкур,Ingrid Betancourt,英格丽德·贝当古,136110420,00922227,IT\ICCU\TO0V\421945,234808543,,,,,,,,,,,,82088,,,,,,,,,,إنجريد بيتنكور,,,,,,,,,,,إنجريد بيتنكور,,,,,,,,,,,,,,,,,,,,,,,,,XX4757412,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185901,,اینگرید بتانکورت,,ingrid_betancourt,biography/Ingrid-Betancourt,1054195,342030,Íngrid Betancourt,,Íngrid Betancourt,,,,,,,,,,,,,,,,,,,,
Q15432725,Miguel Jiménez López,Miguel Jiménez López,Miguel Jiménez López,Miguel Jiménez López,,Miguel Jiménez López,,male,1875-07-24,Miguel,,,,Miguel Jiménez López,,,71201700,,1955-08-22,,,,no2008074248,,,,,,,,,,,,,Miguel Jiménez López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Jiménez López,,,,,,,,,,,,,,,,,,,,
Q16301390,Olga Suárez Mira,Olga Suárez Mira,Olga Suárez Mira,Olga Suárez Mira,Olga Suárez Mira,Olga Suárez Mira,Olga Suárez Mira,female,1965-11-14,Olga,,,https://upload.wikimedia.org/wikipedia/commons/d/de/Senadora_Olga_Suárez_Mira.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olga Suárez Mira,,,,,,,,,,,,,,,,,,,,
Q16490286,Carlos Holmes Trujillo,Carlos Holmes Trujillo,Carlos Holmes Trujillo,Carlos Holmes Trujillo,Carlos Holmes Trujillo,Carlos Holmes Trujillo,Carlos Holmes Trujillo,male,1951-09-23,Carlos,,,https://upload.wikimedia.org/wikipedia/commons/4/4c/Carlos_Holmes_Trujillo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,カルロス・オルメス・トルヒージョ,,,,,,Carolus Holmes Trujillo,,,,,,,,,,,,,,,,,,,,,,,,,Carolus Holmes Trujillo,,,,,,,,,,,,,,,,,,,,,,CarlosHolmesTru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Holmes Trujillo,,,,,,,,,,,,,,,,,,,,
Q16611807,Nidia Marcela Osorio,Nidia Marcela Osorio,Nidia Marcela Osorio,Nidia Marcela Osorio,Nidia Marcela Osorio,Nidia Marcela Osorio,Nidia Marcela Osorio,female,1965,Nidia,,Nidia Marcela Osorio,https://upload.wikimedia.org/wikipedia/commons/e/e4/NidiaMarcelaOsorioSalgado.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Nidia Marcela Osorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Nidia Marcela Osorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nidia Marcela Osorio,,,,,Nidia Marcela Osorio,,,,,,,,,,,,,,,
Q16626675,Rosmery Martínez,Rosmery Martínez,Rosmery Martínez,,Rosmery Martínez,Rosmery Martínez,Rosmery Martínez,female,1963-03-11,Rosmery,,,https://upload.wikimedia.org/wikipedia/commons/3/37/Rosmery_Martinez.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RosMartinezCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosmery Martínez,,,,,,,,,,,,,,,,,,,,
Q16941974,Luis Alfonso Hoyos,Luis Alfonso Hoyos,Luis Alfonso Hoyos,Luis Alfonso Hoyos,Luis Alfonso Hoyos,Luis Alfonso Hoyos,Luis Alfonso Hoyos,male,1971-10-29,Luis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Alfonso Hoyos,,,,,,,,,,,,,,,,,,,,
