id,name,image,group,term,email,website,phone,facebook,twitter,place_of_birth,source
100:correa-jimenez-antonio-jose,ANTONIO JOSÉ CORREA JIMÉNEZ,http://www.secretariasenado.gov.co/images/banners/Antonio%20Jose%20Correa%20Jimenez.jpg,PARTIDO OPCIÓN CIUDADANA,2014,antoniocorre76@gmail.com,http://ivan-clavijo.jimdo.com/,3823000 EXT 3438-3439-4333,https://www.facebook.com/antonio.correajimenez.5,senadorcorrea,Cartagena- Bolívar,http://www.secretariasenado.gov.co/?Itemid=109&id=100%3Acorrea-jimenez-antonio-jose&option=com_content&view=article
101:galvis-mendez-daira-de-jesus,DAIRA DE JESÚS GALVIS MÉNDEZ,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/daira-galvis.png,CAMBIO RADICAL,2014,daira.galvis.mendez@senado.gov.co,http://www.dairagalvissenadora.com,3823000 EXT 5487-5489-5488,https://www.facebook.com/pages/DAIRA-GALVIS-SENADORA2010-2014,,Cartagena - Bolívar,http://www.secretariasenado.gov.co/?Itemid=109&id=101%3Agalvis-mendez-daira-de-jesus&option=com_content&view=article
105:delgado-ruiz-edinson,EDINSON DELGADO RUIZ,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/EDINSON-DELGADO-RUIZ.png,PARTIDO LIBERAL,2014,edinson.delgado.ruiz@senado.gov.co,http://www.edinsondelgado.com/,3823000 EXT 3682-3683-3775,https://www.facebook.com/pages/EDINSON-DELGADO/110020299887?sk=wall,SenadorEdinson,Buenaventura - Valle del Cauca,http://www.secretariasenado.gov.co/?Itemid=109&id=105%3Adelgado-ruiz-edinson&option=com_content&view=article
106:duque-garcia-luis-fernando,LUÍS FERNANDO DUQUE GARCÍA,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/LUIS-FERNANDO-DUQUE-GARCIA.png,PARTIDO LIBERAL,2014,claramarcela.castano@hotmail.com,http://www.luisfernandoduque.com/,3823000 EXT 3246-3247-3318,https://www.facebook.com/luisfernando.duque.senador,,Medellín - Antioquia,http://www.secretariasenado.gov.co/?Itemid=109&id=106%3Aduque-garcia-luis-fernando&option=com_content&view=article
107:duran-barrera-jaime-enrique,JAIME ENRIQUE DURÁN BARRERA,,PARTIDO LIBERAL,2014,aime.duran.barrera@senado.gov.co,http://www.accionsolidaria.org,3823000 EXT 3659-3660-3784,,,San Gil - Santander,http://www.secretariasenado.gov.co/?Itemid=109&id=107%3Aduran-barrera-jaime-enrique&option=com_content&view=article
108:elias-vidal-bernardo-miguel,MIGUEL BERNARDO ELÍAS VIDAL,http://www.secretariasenado.gov.co/images/fotosenadores/Elias%20bernardo.jpg,PARTIDO DE LA U.,2014,Bernardo.elias@senado.gov.co,,3823000 EXT 4092-4093-3772,,BernardoEliasV,Sahagún - Córdoba,http://www.secretariasenado.gov.co/?Itemid=109&id=108%3Aelias-vidal-bernardo-miguel&option=com_content&view=article
109:enriquez-maya-carlos-eduardo,CARLOS EDUARDO ENRIQUEZ MAYA,,PARTIDO CONSERVADOR,2014,cesargaleano1@hotmasil.com;enriquezmayasenador@hotmail.com,,3823000 EXT 3488-3489-3731-3732,,,Lies - Nariño,http://www.secretariasenado.gov.co/?Itemid=109&id=109%3Aenriquez-maya-carlos-eduardo&option=com_content&view=article
110:enriquez-rosero-manuel-mesias,MANUEL MESÍAS ENRIQUEZ ROSERO,http://www.secretariasenado.gov.co/images/SENADORES_2014-2018/rosero-columna.png,PARTIDO DE LA U,2014,manuel.enriquez.rosero@senado.gov.co,http://www.manuelenriquezrosero.org,3823000 EXT 3675-3676-3677-4177,https://www.facebook.com/senador.enriquezrosero,mersenado,Cumbal - Nariño,http://www.secretariasenado.gov.co/?Itemid=109&id=110%3Aenriquez-rosero-manuel-mesias&option=com_content&view=article
1126:amin-escaf-miguel,AMÍN ESCAF MIGUEL,http://www.secretariasenado.gov.co/images/fotosenadores/senadores_web_secretaria-02.jpg,PARTIDO DE LA U,2014,Sabalzakm@hotmail.com,,3823000 EXT 3740,,,Barranquilla - Atlántico,http://www.secretariasenado.gov.co/?Itemid=109&id=1126%3Aamin-escaf-miguel&option=com_content&view=article
1127:alvarez-montenegro-javier-tato,ÁLVAREZ MONTENEGRO JAVIER TATO,http://www.secretariasenado.gov.co/images/fotosenadores/alvarez%20javier.jpg,PARTIDO LIBERAL,2014,tomachch@yahoo.es,,3823000 EXT 3531-3032,,,Pasto - Nariño,http://www.secretariasenado.gov.co/?Itemid=109&id=1127%3Aalvarez-montenegro-javier-tato&option=com_content&view=article
