id,name,sort_name,given_name,family_name,birth_date,gender,area,area_id,council,council_id,party,party_id,faction,faction_id,term,end_date,start_date,identifier__parlamentdotch,source
4154,Jean-Luc Addor,"Addor, Jean-Luc",Jean-Luc,Addor,1964-04-22,male,Wallis,VS,NR,1,SVP,0,V,4,50,,,4154,https://www.parlament.ch/en/biografie?CouncillorId=4154
3867,Andreas Aebi,"Aebi, Andreas",Andreas,Aebi,1958-11-26,male,Bern,BE,NR,1,SVP,0,V,4,50,,,3867,https://www.parlament.ch/en/biografie?CouncillorId=3867
4049,Matthias Aebischer,"Aebischer, Matthias",Matthias,Aebischer,1967-10-18,male,Bern,BE,NR,1,SP,0,S,2,50,,,4049,https://www.parlament.ch/en/biografie?CouncillorId=4049
4053,Thomas Aeschi,"Aeschi, Thomas",Thomas,Aeschi,1979-01-13,male,Zug,ZG,NR,1,SVP,0,V,4,50,,,4053,https://www.parlament.ch/en/biografie?CouncillorId=4053
1131,Evi Allemann,"Allemann, Evi",Evi,Allemann,1978-07-16,female,Bern,BE,NR,1,SP,0,S,2,50,,,1131,https://www.parlament.ch/en/biografie?CouncillorId=1131
4107,Cesla Amarelle,"Amarelle, Cesla",Cesla,Amarelle,1973-09-14,female,Waadt,VD,NR,1,SP,0,S,2,50,2017-06-14,,4107,https://www.parlament.ch/en/biografie?CouncillorId=4107
4090,Céline Amaudruz,"Amaudruz, Céline",Céline,Amaudruz,1979-03-15,female,Genf,GE,NR,1,SVP,0,V,4,50,,,4090,https://www.parlament.ch/en/biografie?CouncillorId=4090
1288,Viola Amherd,"Amherd, Viola",Viola,Amherd,1962-06-07,female,Wallis,VS,NR,1,CVP,0,C,3,50,,,1288,https://www.parlament.ch/en/biografie?CouncillorId=1288
4180,Thomas Ammann,"Ammann, Thomas",Thomas,Ammann,1964-07-13,male,St. Gallen,SG,NR,1,CVP,0,C,3,50,,,4180,https://www.parlament.ch/en/biografie?CouncillorId=4180
1135,Adrian Amstutz,"Amstutz, Adrian",Adrian,Amstutz,1953-12-02,male,Bern,BE,NR,1,SVP,0,V,4,50,,,1135,https://www.parlament.ch/en/biografie?CouncillorId=1135
4155,Beat Arnold,"Arnold, Beat",Beat,Arnold,1978-04-24,male,Uri,UR,NR,1,SVP,0,V,4,50,,,4155,https://www.parlament.ch/en/biografie?CouncillorId=4155
4184,Sibel Arslan,"Arslan, Sibel",Sibel,Arslan,1980-06-23,female,Basel-Stadt,BS,NR,1,BastA,0,G,6,50,,,4184,https://www.parlament.ch/en/biografie?CouncillorId=4184
