id,name__fr,name__fi,name__sv,name__en,name__nl,name__de,name,wikipedia__fi,wikipedia__fr,wikipedia__sv,gender,birth_date,given_name,identifier__VIAF,name__es,name__da,name__fo,name__is,name__kl,name__nb,name__nn,wikipedia__en,identifier__freebase,name__ru,name__el,name__en_ca,name__en_gb,name__ja,wikipedia__el,wikipedia__ja,wikipedia__ru,image,wikipedia__no,name__tr,name__nds,name__vmf,wikipedia__tr,wikipedia__de,identifier__BNF,original_wikiname,identifier__eduskunta,wikipedia__es,name__hu,wikipedia__hu,wikipedia__nl,name__ca,wikipedia__ca,death_date,identifier__FAST,name__it,name__cy,identifier__kansallisbiografia,name__et,wikipedia__et,last_seen,twitter,wikipedia__it,name__zh,wikipedia__zh,occupation,family_name,identifier__LCAuth,website
Q11857434,Elis Andersson,Elis Andersson,,Elis Andersson,Elis Andersson,,Elis Andersson,Elis Andersson,,,male,,Elis,,,,,,,,,,,,,,,,,,,,,,,,,,,Elis Andersson,910263,,,,,,,1983-12-31,,Elis Andersson,,,,,,,,,,politician,,,
Q11859772,Folke Sjölund,Folke Sjölund,Folke Sjölund,Folke Sjölund,Folke Sjölund,,Folke Sjölund,Folke Sjölund,,,male,1943-12-16,Folke,,,,,,,,,,,,,,,,,,,,,,,,,,,Folke Sjölund,,,,,,,,2013-12-13,,,Folke Sjölund,,,,,,,,,politician,,,
Q11862362,Henry Lindström,Henry Lindström,,Henry Lindström,Henry Lindström,,Henry Lindström,Henry Lindström,,,male,1956-06-20,Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,Henry Lindström,,,,,,,,,,,,,,,,,,,,politician,Lindström,,
Q11880849,Margaret Lundberg,Margaret Lundberg,,Margaret Lundberg,Margaret Lundberg,,Margaret Lundberg,Margaret Lundberg,,,female,1955-05-06,Margaret,,,,,,,,,,,,,,,,,,,,,,,,,,,Margaret Lundberg,,,,,,,,,,Margaret Lundberg,,,,,,,,,,politician,Lundberg,,
Q11882586,Mika Nordberg,Mika Nordberg,Mika Nordberg,Mika Nordberg,Mika Nordberg,,Mika Nordberg,Mika Nordberg,,Mika Nordberg,male,1973-06-09,Mika,,,,,,,,,,,,,,,,,,,,,,,,,,,Mika Nordberg,,,,,,,,,,,,,,,,,,,,politician,,,
Q11893732,Sirpa Eriksson,Sirpa Eriksson,,Sirpa Eriksson,Sirpa Eriksson,,Sirpa Eriksson,Sirpa Eriksson,,,female,,Sirpa,,,,,,,,,,,,,,,,,,,,,,,,,,,Sirpa Eriksson,,,,,,,,,,,,,,,,,,,,politician,Eriksson,,
Q11899437,Ulla-Britt Dahl,Ulla-Britt Dahl,,Ulla-Britt Dahl,Ulla-Britt Dahl,,Ulla-Britt Dahl,Ulla-Britt Dahl,,,female,,Ulla-Britt,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulla-Britt Dahl,,,,,,,,,,Ulla-Britt Dahl,,,,,,,,,,politician,Dahl,,
Q11903305,Åke Mattsson,Åke Mattsson,,Åke Mattsson,Åke Mattsson,,Åke Mattsson,Åke Mattsson,,,male,1955-05-14,Åke,,,,,,,,,,,,,,,,,,,,,,,,,,,Åke Mattsson,,,,,,,,,,,,,,,,,,,,politician,,,
Q16171417,Raija-Liisa Eklöw,Raija-Liisa Eklöw,,Raija-Liisa Eklöw,Raija-Liisa Eklöw,,Raija-Liisa Eklöw,Raija-Liisa Eklöw,,,female,,,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/4/4f/Raija-Liisa_Eklow_(lib),_aland,_under_Nordiska_radets_session_i_Kopenhamn_2006.jpg",,,,,,,,Raija-Liisa Eklöw,,,,,,,,,,,,,,,,,,,,politician,,,
Q16983862,Leo Sjöstrand,Leo Sjöstrand,,Leo Sjöstrand,Leo Sjöstrand,,Leo Sjöstrand,Leo Sjöstrand,,,male,1944-06-28,Leo,,,,,,,,,,,,,,,,,,,,,,,,,,,Leo Sjöstrand,,,,,,,,,,,,,,,,,,,,politician,Sjöstrand,,
