id,name__en,name__fr,name__de,name__ru,name__es,name__nl,name__nb,name__da,name__nn,name__sv,name__zh,name__cy,name__hu,name,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__ru,wikipedia__zh,gender,birth_date,death_date,given_name,original_wikiname,name__it,name__sw,name__ka,wikipedia__ka,wikipedia__sw,image,name__en_ca,name__en_gb,name__pl,name__tr,name__ro,name__yo,name__fi,name__et,name__id,name__ja,name__el,name__ca,name__oc,name__sr,name__pt,name__ko,wikipedia__da,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ro,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__yo,identifier__freebase,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__hr,wikipedia__hr,identifier__ISNI,identifier__VIAF,identifier__LCAuth,identifier__SUDOC,identifier__NTA,name__la,name__eo,name__hi,name__de_ch,name__lb,name__vi,name__be,wikipedia__be,wikipedia__enwikiquote,wikipedia__eo,wikipedia__hi,wikipedia__la,wikipedia__lb,wikipedia__vi,twitter,website,wikipedia__commons,name__mg,wikipedia__mg,name__is,wikipedia__is,name__ml,wikipedia__ml,wikipedia__simple,wikipedia__fy,name__fy,name__eu,identifier__google_plus,occupation,identifier__GND,wikipedia__nn,wikipedia__uk,name__uk,wikipedia__ur,name__ur,wikipedia__ca,wikipedia__he,identifier__quora,name__he,wikipedia__ig,wikipedia__cawikiquote,wikipedia__nl,name__ig,name__fo,name__se,name__sje,name__sma,name__smj,family_name,name__gl,identifier__GTAA,identifier__MusicBrainz,name__nds,name__br,name__rw,name__ar,name__cs,name__io,name__mr,name__lt,name__fa,name__sco,name__ia,wikipedia__ar,wikipedia__br,wikipedia__cs,wikipedia__cy,wikipedia__fa,wikipedia__ia,wikipedia__io,wikipedia__lt,wikipedia__mr,wikipedia__rw,wikipedia__sco,identifier__IMDB,identifier__FAST,identifier__Britannica,identifier__snac,facebook,identifier__NLAtrove,identifier__OLID,identifier__BNF,wikipedia__nds,wikipedia__gl,identifier__SELIBR,name__af,name__an,name__ast,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sr_el,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__sl,name__bn,identifier__GNC,wikipedia__ast,wikipedia__itwikiquote,identifier__Munzinger,identifier__NKC
Q11005183,Hasnain Gulamabbas Dewji,Hasnain Dewji,Hasnain Dewji,,,Hasnain Dewji,Hasnain Gulamabbas Dewji,Hasnain Gulamabbas Dewji,Hasnain Gulamabbas Dewji,Hasnain Gulamabbas Dewji,,,,Hasnain Gulamabbas Dewji,,Hasnain Dewji,,,,male,1957-06-24,,Hasnain,,,Hasnain Gulamabbas Dewji,,,Hasnain Gulamabbas Dewji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hasnain Gulamabbas Dewji,,,,,,,,,politician,,,,,,,,,,,,,,,Hasnain Gulamabbas Dewji,Hasnain Gulamabbas Dewji,Hasnain Gulamabbas Dewji,Hasnain Gulamabbas Dewji,Hasnain Gulamabbas Dewji,Dewji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hasnain Dewji,,,,,,
Q11045555,George Simbachawene,George Simbachawene,George Simbachawene,,George Simbachawene,George Simbachawene,George Boniface Simbachawene,George Boniface Simbachawene,George Boniface Simbachawene,George Boniface Simbachawene,,,George Simbachawene,George Simbachawene,,George Simbachawene,,,,male,1968-07-05,,George,George Simbachawene,,George Boniface Simbachawene,,,George Boniface Simbachawene,,,,,,,,,,,ジョージ・シンバチャウェネ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Boniface Simbachawene,,,,,,,,,politician,,,,,,,,,,,,,,,George Boniface Simbachawene,George Boniface Simbachawene,George Boniface Simbachawene,George Boniface Simbachawene,George Boniface Simbachawene,Simbachawene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Simbachawene,,,,,,
Q11052170,Josephine Genzabuke,Josephine Johnson Genzabuke,Josephine Johnson Genzabuke,,,Josephine Johnson Genzabuke,Josephine Johnson Genzabuke,Josephine Johnson Genzabuke,Josephine Johnson Genzabuke,Josephine Johnson Genzabuke,,,,Josephine Genzabuke,,Josephine Johnson Genzabuke,,,,female,1961-09-09,,Josephine,,,Josephine Johnson Genzabuke,,,Josephine Johnson Genzabuke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josephine Johnson Genzabuke,,,,,,,,,politician,,,,,,,,,,,,,,,Josephine Johnson Genzabuke,Josephine Johnson Genzabuke,Josephine Johnson Genzabuke,Josephine Johnson Genzabuke,Josephine Johnson Genzabuke,Genzabuke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josephine Johnson Genzabuke,,,,,,
Q11056716,Mwajuma Hassan Khamis,Mwajuma Hassan Khamis,Mwajuma Hassan Khamis,,,Mwajuma Hassan Khamis,Mwajuma Hassan Khamis,Mwajuma Hassan Khamis,Mwajuma Hassan Khamis,Mwajuma Hassan Khamis,,,,Mwajuma Hassan Khamis,,Mwajuma Hassan Khamis,,,,male,,,Mwajuma,,,Mwajuma Hassan Khamis,,,Mwajuma Hassan Khamis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mwajuma Hassan Khamis,,,,,,,,,politician,,,,,,,,,,,,,,,Mwajuma Hassan Khamis,Mwajuma Hassan Khamis,Mwajuma Hassan Khamis,Mwajuma Hassan Khamis,Mwajuma Hassan Khamis,Khamis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mwajuma Hassan Khamis,,,,,,
Q11153384,Zitto Kabwe,Zitto Kabwe,Zitto Kabwe,,Zitto Kabwe,Zitto Kabwe,Kabwe Zuberi Zitto,,,,,,Zitto Kabwe,Zitto Kabwe,,Zitto Kabwe,,,,male,1976-09-24,,,Zitto Kabwe,Zitto Kabwe,Kabwe Zuberi Zitto,,,Kabwe Zuberi Zitto,https://upload.wikimedia.org/wikipedia/commons/4/49/Zitto_Kabwe_2011.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,Kabwe Zuberi Zitto,,,,,,,,/m/0yt2_f_,,,,,,,,,,,,,,,,,,,,,,,,,,,,zittokabwe,http://zittokabwe.wordpress.com/,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zitto Kabwe,,,,,,
Q11978376,Jenista Mhagama,Jenista Mhagama,Jenista Mhagama,,,Jenista Mhagama,Jenista Joakim Mhagama,Jenista Joakim Mhagama,Jenista Joakim Mhagama,Jenista Joakim Mhagama,,,,Jenista Mhagama,,Jenista Mhagama,,,,female,1967-06-23,,Jenista,Jenista Mhagama,,Jenista Joakim Mhagama,,,Jenista Joakim Mhagama,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenista Mhagama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenista Joakim Mhagama,,,,,,,,,politician,,,,,,,,,,,,,,,Jenista Joakim Mhagama,Jenista Joakim Mhagama,Jenista Joakim Mhagama,Jenista Joakim Mhagama,Jenista Joakim Mhagama,Mhagama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenista Mhagama,,,,,,
Q1269997,Salim Ahmed Salim,Salim Ahmed Salim,Salim Ahmed Salim,,Salim Ahmed Salim,Salim Ahmed Salim,Salim Ahmed Salim,Salim Ahmed Salim,Salim Ahmed Salim,Salim Ahmed Salim,,,Salim Ahmed Salim,Salim Ahmed Salim,Salim Ahmed Salim,Salim Ahmed Salim,Salim Ahmed Salim,,,male,1942-01-23,,Salim,,,Salim Ahmed Salim,,,Salim Ahmed Salim,https://upload.wikimedia.org/wikipedia/commons/d/dc/Salim.JPG,,,Salim Ahmed Salim,,,Salim Ahmed Salim,,,,,,,,,salim ahmed salim,살림 아흐메드 살림,,,,,,,,,살림 아흐메드 살림,Salim Ahmed Salim,Salim Ahmed Salim,,,,,,Salim Ahmed Salim,/m/09lbqq,,薩利姆·艾哈邁德·薩利姆,,萨利姆·艾哈迈德·萨利姆,,,,,,3194152080591907230004,,,,Salim Ahmed Salim,,,,,,,,,,,Salim Ahmed Salim,,,,,,,,Salim Ahmed Salim,,,,Salim Ahmed Salim,Salim Ahmed Salim,Salim Ahmed Salim,,,diplomat,1153852519,Salim Ahmed Salim,,,,,,,,,,,,,Salim Ahmed Salim,Salim Ahmed Salim,Salim Ahmed Salim,Salim Ahmed Salim,Salim Ahmed Salim,Salim,,,,,,,سلیم احمد سلیم,,,,,,,,سلیم احمد سلیم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salim Ahmed Salim,সালিম আহমেদ সালিম,,,,,
Q1293072,Edward Sokoine,Edward Sokoine,Edward Moringe Sokoine,,Edward Moringe Sokoine,Edward Sokoine,Edward Sokoine,Edward Sokoine,Edward Sokoine,Edward Sokoine,,,Edward Moringe Sokoine,Edward Sokoine,Edward Moringe Sokoine,Edward Sokoine,,,,male,1938-08-01,1984-04-12,Edward,,Edward Sokoine,Edward Sokoine,,,Edward Sokoine,,,,Edward Sokoine,,,Edward Sokoine,,,Edward Moringe Sokoine,,,,,,,,,,Edward Moringe Sokoine,,,Edward Moringe Sokoine,Edward Sokoine,,,Edward Sokoine,Edward Sokoine,,,,,,Edward Sokoine,/m/09vxvn,,愛德華·索科伊內,,爱德华·索科伊内,,,,,0000 0000 4447 943X,61579680,no89011581,029690803,,,,,,,,,,,,,,,,,,,,,Edward Sokoine,,,,,,,,,politician,1153852225,Edward Sokoine,,,,,,,,,,,,,Edward Sokoine,Edward Sokoine,Edward Sokoine,Edward Sokoine,Edward Sokoine,Sokoine,,,,,,,,,,,,,,,,,,,,,,,,,,,255777,,w6vg330s,,,OL1187640A,12126082n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edward Sokoine,,,,,00000015130,
Q13122536,Abbas Zuberi Mtemvu,Abas Mtemvu,Abas Mtemvu,,,Abas Mtemvu,Abbas Zuberi Mtemvu,Abbas Zuberi Mtemvu,Abbas Zuberi Mtemvu,Abbas Zuberi Mtemvu,,,,Abbas Zuberi Mtemvu,,Abbas Zuberi Mtemvu,,,,male,1959-11-01,,Abbas,Abas Mtemvu,,Abbas Zubeir Mtemvu,,,Abbas Zuberi Mtemvu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abbas Zuberi Mtemvu,,,,,,,,,politician,,,,,,,,,,,,,,,Abbas Zuberi Mtemvu,Abbas Zuberi Mtemvu,Abbas Zuberi Mtemvu,Abbas Zuberi Mtemvu,Abbas Zuberi Mtemvu,Mtemvu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abas Mtemvu,,,,,,
Q13122539,Abdul Jabir Marombwa,Abdul Marombwa,Abdul Marombwa,,,Abdul Marombwa,Abdul Jabir Marombwa,Abdul Jabir Marombwa,Abdul Jabir Marombwa,Abdul Jabir Marombwa,,,,Abdul Jabir Marombwa,,Abdul Marombwa,,,,male,1959-11-25,,Abdul,Abdul Marombwa,,Abdul Jabir Marombwa,,,Abdul Jabir Marombwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Jabir Marombwa,,,,,,,,,politician,,,,,,,,,,,,,,,Abdul Jabir Marombwa,Abdul Jabir Marombwa,Abdul Jabir Marombwa,Abdul Jabir Marombwa,Abdul Jabir Marombwa,Marombwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Marombwa,,,,,,
