id,name,faction,email,email__personal,image,source,term,district
estela-yanet-hernandez-rodriguez,Estela Yanet Hernández Rodríguez,FMLN,estela.hernandez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/estela-yanet-hernandez-rodriguez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/estela-yanet-hernandez-rodriguez,2015-2018,
juan-pablo-herrera-rivas,Juan Pablo Herrera Rivas,GANA,juan.herrera@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/juan-pablo-herrera-rivas/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/juan-pablo-herrera-rivas,2015-2018,
maytee-gabriela-iraheta-escalante,Maytee Gabriela Iraheta Escalante,ARENA,maytee.iraheta@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/maytee-gabriela-iraheta-escalante/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/maytee-gabriela-iraheta-escalante,2015-2018,
bonner-francisco-jimenez-belloso,Bonner Francisco Jiménez Belloso,ARENA,bonner.jimenez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/bonner-francisco-jimenez-belloso/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/bonner-francisco-jimenez-belloso,2015-2018,
mauricio-roberto-linares-ramirez,Mauricio Roberto Linares Ramírez,ARENA,mauricio.linares@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/mauricio-roberto-linares-ramirez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/mauricio-roberto-linares-ramirez,2015-2018,
audelia-guadalupe-lopez-de-kleutgens,Audelia Guadalupe López,FMLN,audelia.lopez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/audelia-guadalupe-lopez-de-kleutgens/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/audelia-guadalupe-lopez-de-kleutgens,2015-2018,
cristina-esmeralda-lopez,Cristina Esmeralda López,PCN,cristina.lopez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/cristina-esmeralda-lopez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/cristina-esmeralda-lopez,2015-2018,
reynaldo-antonio-lopez-cardoza,Reynaldo Antonio López Cardoza,PCN,reynaldo.cardoza@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/reynaldo-antonio-lopez-cardoza/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/reynaldo-antonio-lopez-cardoza,2015-2018,
hortensia-margarita-lopez-quintana,Hortensia Margarita López Quintana,FMLN,margarita.lopez@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/hortensia-margarita-lopez-quintana/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/hortensia-margarita-lopez-quintana,2015-2018,
mario-marroquin-mejia,Mario Marroquín Mejía,ARENA,mmarroquin@asamblea.gob.sv,"",http://asamblea.gob.sv/pleno/pleno-legislativo/mario-marroquin-mejia/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/mario-marroquin-mejia,2015-2018,
rodolfo-antonio-martinez,Rodolfo Antonio Martínez,FMLN,rodolfo.martinez@asamblea.gob.sv,r_fito10@hotmail.com,http://asamblea.gob.sv/pleno/pleno-legislativo/rodolfo-antonio-martinez/diputado_fotografia,http://asamblea.gob.sv/pleno/pleno-legislativo/rodolfo-antonio-martinez,2015-2018,
