id,name,name__nl,name__fr,name__en,name__de,name__sl,name__ja,name__zh,name__zh_hans,name__ca,name__es,wikipedia__commons,wikipedia__en,wikipedia__nl,wikipedia__nlwikinews,gender,occupation,given_name,birth_date,image,original_wikiname,name__ast,name__hu,name__da,name__el,name__et,name__lt,name__pap,name__pl,name__ru,name__sv,name__zh_hant,name__zh_cn,name__fa,wikipedia__ca,wikipedia__da,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fr,wikipedia__lt,wikipedia__pap,wikipedia__pl,wikipedia__ru,wikipedia__sv,identifier__freebase,identifier__GTAA,name__pt,name__sh,name__tr,name__nb,name__pt_br,wikipedia__no,wikipedia__pt,wikipedia__sh,wikipedia__tr,name__he,name__it,wikipedia__he,wikipedia__zh,family_name,wikipedia__de,identifier__parlement,death_date,identifier__ISNI,identifier__VIAF,identifier__LCAuth,identifier__NTA
Q1266936,Fredis Refunjol,Fredis Refunjol,Fredis Refunjol,Fredis Refunjol,Fredis Refunjol,Fredis Refunjol,フレディス・レフンニョル,弗雷迪斯·雷方喬爾,,Fredis Refunjol,Fredis Refunjol,Category:Fredis Refunjol,Fredis Refunjol,Fredis Refunjol,,male,politician,,1950-12-19,https://upload.wikimedia.org/wikipedia/commons/7/78/Fredis_Refunjol.jpg,,,Fredis Refunjol,,Φρέντις Ρεφουνιόλ,Fredis Refunjol,Fredis Refunjol,,Fredis Refunjol,,,,,,,,Φρέντις Ρεφουνιόλ,Fredis Refunjol,Fredis Refunjol,,Fredis Refunjol,Fredis Refunjol,,Fredis Refunjol,,,/m/06ytxh,,Fredis Refunjol,Fredis Refunjol,Fredis Refunjol,Fredis Refunjol,Fredis Refunjol,Fredis Refunjol,Fredis Refunjol,Fredis Refunjol,Fredis Refunjol,,,,,,,,,,,,
Q1268462,Mike Eman,Mike Eman,Mike Eman,Mike Eman,Mike Eman,Mike Eman,,迈克·艾曼,,Mike Eman,Mike Eman,Category:Mike Eman,Mike Eman,Mike Eman,Categorie:Mike Eman,male,politician,Mike,1961-09-01,https://upload.wikimedia.org/wikipedia/commons/1/17/Mike_Eman.jpg,,,Mike Eman,,Μάικ Έμαν,,,,Mike Eman,,Mike Eman,邁克·艾曼,迈克·艾曼,,,,Μάικ Έμαν,Mike Eman,,,Mike Eman,,,Mike Eman,,Mike Eman,/m/07s455k,221935,,Mike Eman,Mike Eman,Mike Eman,,Mike Eman,,Mike Eman,Mike Eman,מייק אימן,Mike Eman,מייק אימן,迈克·艾曼,Eman,,,,,,,
Q16801508,Juan David Yrausquin,Juan David Yrausquin,Juan David Yrausquin,Juan David Yrausquin,,Juan David Yrausquin,,,,Juan David Yrausquin,Juan David Yrausquin,,Juan David Yrausquin,Juan Yrausquin,,male,politician,Juan,1980-01-01,https://upload.wikimedia.org/wikipedia/commons/b/ba/Juan_David_Elias_Yrausquin.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16801510,Paul Croes,Paul Croes,Paul Croes,Paul Croes,,Paul Croes,,,,Paul Croes,Paul Croes,,Paul Croes,Paul Croes,Categorie:Paul Croes,male,politician,Paul,1976-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2211141,Henny Eman,Henny Eman,Henny Eman,Henny Eman,Henny Eman,Henny Eman,,漢尼‧艾曼,,Henny Eman,Henny Eman,Category:Henny Eman,Henny Eman,Henny Eman,,male,politician,Henny,1948-03-20,https://upload.wikimedia.org/wikipedia/commons/c/cc/Henny_Eman_(1986).jpg,,,Henny Eman,,,,Henny Eman,,Henny Eman,,Henny Eman,,,هنی امان,,,,,,هنی امان,Henny Eman,Henny Eman,,Henny Eman,,Henny Eman,/m/0flfy8,96886,,,,,,,,,,הני אימן,,הני אימן,,Eman,,,,,,,
Q23038705,Evelyn Wever-Croes,Evelyn Wever-Croes,Evelyn Wever-Croes,Evelyn Wever-Croes,Evelyn Wever-Croes,Evelyn Wever-Croes,イブリン・ウェバー・クローズ,伊夫林·韋弗-克洛斯,伊芙琳·韦佛-克罗斯,Evelyn Wever-Croes,Evelyn Wever-Croes,Category:Evelyn Wever-Croes,Evelyn Wever-Croes,Evelyn Wever-Croes,Categorie:Evelyn Wever-Croes,female,politician,Evelyn,1966-12-05,https://upload.wikimedia.org/wikipedia/commons/7/70/180531_Wever-Croes_Aruba_bij_Blok_(28597045908)_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2426537,Edwin Abath,Edwin Abath,Edwin Abath,Edwin Abath,Edwin Abath,Edwin Abath,,,,Edwin Abath,Edwin Abath,,Edwin Abath,Edwin Abath,,male,politician,Edwin,1958-12-02,,,,Edwin Abath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26271486,Mito Croes,Mito Croes,,Mito Croes,,,,,,,Mito Croes,,Mito Croes,Mito Croes,,male,politician,Mito,1946-05-10,,,Mito Croes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vgvh2rmg6gvh,2016-08-07,0000 0000 3533 3594,26347814,n97070590,07051691X
Q47463588,Guillfred Besaril,Guillfred Besaril,,Guillfred Besaril,,,,,,,Guillfred Besaril,,Guillfred Besaril,Guillfred Besaril,,male,politician,,1974-01-09,,,Guillfred Besaril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q60733815,Dangui Oduber,,,Dangui Oduber,,,,,,,Dangui Oduber,,Dangui Oduber,,,male,politician,,1978-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
