id,name,image,email,term,source,party,start_date,end_date
a011,"Ágh, Péter",http://www.parlament.hu/kepv/kepek/a011.jpg,peter.agh@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
a016,"Dr. Aradszki, András",http://www.parlament.hu/kepv/kepek/a016.jpg,andras.aradszki@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,KDNP,2014-05-06,2018-05-07
a018,"Dr. Apáti, István",http://www.parlament.hu/kepv/kepek/a018.jpg,apati.istvan@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Jobbik,2014-05-06,2018-05-07
a716,"Ander, Balázs",http://www.parlament.hu/kepv/kepek/a716.jpg,ander.balazs@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Jobbik,2014-05-06,2018-05-07
b007,"Balla, György",http://www.parlament.hu/kepv/kepek/b007.jpg,gyorgy.balla@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
b008,"Balla, Mihály",http://www.parlament.hu/kepv/kepek/b008.jpg,mihaly.balla@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
b009,"Bánki, Erik",http://www.parlament.hu/kepv/kepek/b009.jpg,erik.banki@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
b013,"Becsó, Zsolt",http://www.parlament.hu/kepv/kepek/b013.jpg,zsolt.becso@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
b034,"Bencsik, János",http://www.parlament.hu/kepv/kepek/b034.jpg,janos.bencsik@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
b052,"Balog, Zoltán",http://www.parlament.hu/kepv/kepek/b052.jpg,zoltan.balog@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
b053,"Bányai, Gábor",http://www.parlament.hu/kepv/kepek/b053.jpg,banyai@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
b055,"Dr. Bárándy, Gergely",http://www.parlament.hu/kepv/kepek/b055.jpg,"",40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,MSZP,2014-05-06,""
b076,"Budai, Gyula",http://www.parlament.hu/kepv/kepek/b076.jpg,"",40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,""
b078,"B. Nagy, László",http://www.parlament.hu/kepv/kepek/b078.jpg,laszlo.b.nagy@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
b084,"Bana, Tibor",http://www.parlament.hu/kepv/kepek/b084.jpg,bana.tibor@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Jobbik,2014-05-06,2018-05-07
b087,"Bartos, Mónika",http://www.parlament.hu/kepv/kepek/b087.jpg,monika.bartos@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
b089,"Bíró, Márk",http://www.parlament.hu/kepv/kepek/b089.jpg,"",40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
b091,"Boldog, István",http://www.parlament.hu/kepv/kepek/b091.jpg,istvan.boldog@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
b103,"Bodó, Sándor",http://www.parlament.hu/kepv/kepek/b103.jpg,bodo.sandor@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
b166,"Burány, Sándor",http://www.parlament.hu/kepv/kepek/b166.jpg,sandor.burany@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,MSZP,2014-05-06,2018-05-07
b763,"Bangóné Borbély, Ildikó",http://www.parlament.hu/kepv/kepek/b763.jpg,borbely.ildiko@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,MSZP,2014-05-06,2018-05-07
b764,"Bóna, Zoltán",http://www.parlament.hu/kepv/kepek/b764.jpg,bona.zoltan@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
c003,"Czerván, György",http://www.parlament.hu/kepv/kepek/c003.jpg,gyorgy.czervan@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
c014,"Cseresnyés, Péter",http://www.parlament.hu/kepv/kepek/c014.jpg,peter.cseresnyes@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
c025,"Dr. Czomba, Sándor",http://www.parlament.hu/kepv/kepek/c025.jpg,"",40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,""
c028,"Csenger-Zalán, Zsolt",http://www.parlament.hu/kepv/kepek/c028.jpg,zsolt.csenger-zalan@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
c029,"Czunyiné Dr. Bertalan, Judit",http://www.parlament.hu/kepv/kepek/c029.jpg,judit.bertalan@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
c030,"Csöbör, Katalin",http://www.parlament.hu/kepv/kepek/c030.jpg,csobor.katalin@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
c032,"Csizi, Péter",http://www.parlament.hu/kepv/kepek/c032.jpg,"",40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,""
d026,"Demeter, Zoltán",http://www.parlament.hu/kepv/kepek/d026.jpg,zoltan.demeter@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
d028,"Dúró, Dóra",http://www.parlament.hu/kepv/kepek/d028.jpg,duro.dora@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Jobbik,2014-05-06,2018-05-07
d030,"Dankó, Béla",http://www.parlament.hu/kepv/kepek/d030.jpg,bela.danko@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
d750,"Demeter, Márta",http://www.parlament.hu/kepv/kepek/d750.jpg,demeter.marta@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,MSZP,2014-05-06,2017-01-31
d751,"Dunai, Mónika",http://www.parlament.hu/kepv/kepek/d751.jpg,dunai.monika@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
e010,"Egyed, Zsolt",http://www.parlament.hu/kepv/kepek/e010.jpg,"",40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Jobbik,2014-05-06,""
f001,"Farkas, Sándor",http://www.parlament.hu/kepv/kepek/f001.jpg,sandor.farkas@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
f002,"Dr. Fazekas, Sándor",http://www.parlament.hu/kepv/kepek/f002.jpg,sandor.fazekas@parlament.hu,40,http://www.parlament.hu/en/web/house-of-the-national-assembly/list-of-mps,Fidesz,2014-05-06,2018-05-07
