id,given_name,family_name,name,sort_name,birth_date,gender,area,area_id,party,party_id,term,source,image
AAKU,Aasmund,Kulien,Aasmund Kulien,"Kulien, Aasmund",1893-05-04,male,Vest-Agder,VA,Arbeiderpartiet,A,1950-53,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1950-53,
AAKU,Aasmund,Kulien,Aasmund Kulien,"Kulien, Aasmund",1893-05-04,male,Vest-Agder,VA,Arbeiderpartiet,A,1945-49,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1945-49,
AALI,Aase,Lionæs,Aase Lionæs,"Lionæs, Aase",1907-04-10,female,Oslo,Os,Arbeiderpartiet,A,1973-77,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1973-77,
AALI,Aase,Lionæs,Aase Lionæs,"Lionæs, Aase",1907-04-10,female,Oslo,Os,Arbeiderpartiet,A,1969-73,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1969-73,
AALI,Aase,Lionæs,Aase Lionæs,"Lionæs, Aase",1907-04-10,female,Oslo,Os,Arbeiderpartiet,A,1965-69,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1965-69,
AALI,Aase,Lionæs,Aase Lionæs,"Lionæs, Aase",1907-04-10,female,Oslo,Os,Arbeiderpartiet,A,1961-65,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1961-65,
AALI,Aase,Lionæs,Aase Lionæs,"Lionæs, Aase",1907-04-10,female,Oslo,Os,Arbeiderpartiet,A,1958-61,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1958-61,
AAMH,Åslaug,Haga,Åslaug Haga,"Haga, Åslaug",1959-10-21,female,Akershus,Ak,Senterpartiet,Sp,2005-2009,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2005-2009,http://data.stortinget.no/eksport/personbilde?personid=AAMH&storrelse=middels
AAMH,Åslaug,Haga,Åslaug Haga,"Haga, Åslaug",1959-10-21,female,Akershus,Ak,Senterpartiet,Sp,2001-2005,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2001-2005,http://data.stortinget.no/eksport/personbilde?personid=AAMH&storrelse=middels
AAMO,Aase,Moløkken,Aase Moløkken,"Moløkken, Aase",1930-04-27,female,Buskerud,Bu,Arbeiderpartiet,A,1985-89,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1985-89,
AAMO,Aase,Moløkken,Aase Moløkken,"Moløkken, Aase",1930-04-27,female,Buskerud,Bu,Arbeiderpartiet,A,1981-85,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1981-85,
AARY,Aani Aanisson,Rysstad,Aani Aanisson Rysstad,"Rysstad, Aani Aanisson",1894-07-13,male,Aust-Agder,AA,Arbeiderpartiet,A,1945-49,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1945-49,
AAS,Anita Apelthun,Sæle,Anita Apelthun Sæle,"Sæle, Anita Apelthun",1951-12-13,female,Hordaland,Ho,Kristelig Folkeparti,KrF,2001-2005,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2001-2005,http://data.stortinget.no/eksport/personbilde?personid=AAS&storrelse=middels
AAS,Anita Apelthun,Sæle,Anita Apelthun Sæle,"Sæle, Anita Apelthun",1951-12-13,female,Hordaland,Ho,Kristelig Folkeparti,KrF,1997-2001,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1997-2001,http://data.stortinget.no/eksport/personbilde?personid=AAS&storrelse=middels
AAS,Anita Apelthun,Sæle,Anita Apelthun Sæle,"Sæle, Anita Apelthun",1951-12-13,female,Hordaland,Ho,Kristelig Folkeparti,KrF,1993-97,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=1993-97,
AASE,Maria-Karine,Aasen-Svensrud,Maria-Karine Aasen-Svensrud,"Aasen-Svensrud, Maria-Karine",1980-02-22,female,Vestfold,Ve,Arbeiderpartiet,A,2017-2021,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2017-2021,http://data.stortinget.no/eksport/personbilde?personid=AASE&storrelse=middels
AAST,Arild,Grande,Arild Grande,"Grande, Arild",1978-04-05,male,Nord-Trøndelag,NT,Arbeiderpartiet,A,2017-2021,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2017-2021,http://data.stortinget.no/eksport/personbilde?personid=AAST&storrelse=middels
AAST,Arild,Grande,Arild Grande,"Grande, Arild",1978-04-05,male,Nord-Trøndelag,NT,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017,http://data.stortinget.no/eksport/personbilde?personid=AAST&storrelse=middels
AAST,Arild,Grande,Arild Grande,"Grande, Arild",1978-04-05,male,Nord-Trøndelag,NT,Arbeiderpartiet,A,2009-2013,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2009-2013,http://data.stortinget.no/eksport/personbilde?personid=AAST&storrelse=middels
AAUK,Åsmund,Aukrust,Åsmund Aukrust,"Aukrust, Åsmund",1985-02-28,male,Akershus,Ak,Arbeiderpartiet,A,2017-2021,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2017-2021,http://data.stortinget.no/eksport/personbilde?personid=AAUK&storrelse=middels
AAUK,Åsmund,Aukrust,Åsmund Aukrust,"Aukrust, Åsmund",1985-02-28,male,Akershus,Ak,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017,http://data.stortinget.no/eksport/personbilde?personid=AAUK&storrelse=middels
ABA,Anne Berit,Andersen,Anne Berit Andersen,"Andersen, Anne Berit",1951-12-02,female,Vest-Agder,VA,Høyre,H,2001-2005,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2001-2005,http://data.stortinget.no/eksport/personbilde?personid=ABA&storrelse=middels
ABIR,Abid Q.,Raja,Abid Q. Raja,"Raja, Abid Q.",1975-11-05,male,Akershus,Ak,Venstre,V,2017-2021,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2017-2021,http://data.stortinget.no/eksport/personbilde?personid=ABIR&storrelse=middels
ABIR,Abid Q.,Raja,Abid Q. Raja,"Raja, Abid Q.",1975-11-05,male,Akershus,Ak,Venstre,V,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017,http://data.stortinget.no/eksport/personbilde?personid=ABIR&storrelse=middels
