id,name,name__en,name__nl,name__es,wikipedia__en,birth_date,gender,original_wikiname,name__ms,wikipedia__ms,name__de,occupation,name__id,name__fr,name__ru,wikipedia__commons,wikipedia__de,wikipedia__fr,wikipedia__id,wikipedia__ru,identifier__LCAuth,identifier__VIAF,identifier__GND,identifier__freebase,given_name,image,identifier__ISNI,name__ja,name__ca,name__bn,name__zh,name__ast,wikipedia__bn,wikipedia__ca,wikipedia__es,wikipedia__ja,wikipedia__zh,death_date,identifier__NTA,name__pt,name__sv,name__tr,name__it,name__ar,name__pl,name__ro,name__he,name__th,name__nb,name__ko,name__war,name__uk,wikipedia__ar,wikipedia__ast,wikipedia__gl,wikipedia__he,wikipedia__it,wikipedia__ko,wikipedia__no,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ro,wikipedia__sv,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__war,identifier__FAST,name__pms,name__jv,name__qu,name__be,name__yo,name__hu,name__lv,name__gl,name__et,name__br,name__el,name__vi,name__bcl,name__eo,name__sr,name__fi,name__be_tarask,name__cy,name__io,name__hr,name__da,name__oc,name__fa,name__la,name__mr,name__tl,name__ur,name__pnb,name__sco,name__uz,name__nan,name__eu,name__ta,name__hi,name__cs,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__br,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__io,wikipedia__jv,wikipedia__la,wikipedia__lv,wikipedia__mr,wikipedia__nl,wikipedia__pms,wikipedia__pnb,wikipedia__qu,wikipedia__sco,wikipedia__simple,wikipedia__sr,wikipedia__ta,wikipedia__tl,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__yo,wikipedia__zh_min_nan,identifier__Britannica,twitter,identifier__GTAA,noble_title,wikipedia__is,name__is
Q16733895,Suyoi bin Osman,Suyoi bin Osman,Suyoi Osman,Suyoi bin Osman,Suyoi bin Osman,1952-02-15,male,,,,Suyoi bin Osman,politician,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ea/Suyoi_Osman.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16885945,Salbiah binti Haji Sulaiman,Salbiah binti Haji Sulaiman,Salbiah Haji Sulaiman,Salbiah binti Haji Sulaiman,Salbiah Sulaiman,,female,,,,Salbiah binti Haji Sulaiman,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20466819,Yura Halim,Yura Halim,Yura Halim,Yura Halim,Yura Halim,1923-05-02,male,,Yura Halim,Yura Halim,Yura Halim,politician,,,"Халим, Юра",,Yura Halim,,,"Халим, Юра",n93904137,58301185,,,,,0000 0000 3163 7726,ペンギラン・ユソフ,Yura Halim,য়ুরা হালিম,尤拉·哈林,Yura Halim,ডাটো পেঞ্জিরান মোহাম্মদ ইউসুফ বিন আব্দুল রহিম,Yura Halim,Yura Halim,ペンギラン・ユソフ,尤拉·哈林,2016-04-11,228221250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28464475,Lim Jock Seng,Lim Jock Seng,Lim Jock Seng,Lim Jock Seng,Lim Jock Seng,1944-01-22,male,,Lim Jock Seng,Lim Jock Seng,,politician,Lim Jock Seng,,,,,,Lim Jock Seng,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8d/Brunei_Foreign_Minister_Pehin_Lim_at_ASEAN_Meeting_in_Laos_(28503199856)_(cropped).jpg,,リム・ジョク・セン,,,林玉成,Lim Jock Seng,,,,,林玉成 (汶萊),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30146077,Adanan Yusof,Adanan Yusof,Adanan Yusof,Adanan Yusof,Adanan Yusof,1952-12-07,male,,,,,,,,,,,,,,,,,,,,,,,,,Adanan Yusof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q431442,Al-Muhtadi Billah,Al-Muhtadi Billah,Al-Muhtadee Billah,Al-Muhtadee Billah,Al-Muhtadee Billah,1974-02-17,male,,Al-Muhtadee Billah,Pengiran Muda Mahkota Al-Muhtadee Billah,Al-Muhtadee Billah,crown prince,Al-Muhtadee Billah Bolkiah,Al-Muhtadee Billah,Аль-Мухтади Билла Болкиах,Category:Al-Muhtadee Billah,Al-Muhtadee Billah,Al-Muhtadee Billah,Al-Muhtadee Billah Bolkiah,Аль-Мухтади Билла Болкиах,n98930629,261450746,,/m/03vmk9,,https://upload.wikimedia.org/wikipedia/commons/b/b2/Al-Muhtadee_Billah.jpg,0000 0003 8169 486X,アルムタデー・ビラ,,আল-মুহতাদি বিল্লাহ,穆赫塔迪·比拉,Al-Muhtadee Billah,,,Al-Muhtadee Billah,アルムタデー・ビラ,穆赫塔迪·比拉,,,Al-Muhtadee Billah,Al-Muhtadee Billah Bolkiah,Al-Muhtadee Billah,Al-Muhtadee Billah,المهتدي بالله البلقيه,Al-Muhtadee Billah,Al-Muhtadee Billah,"אל-מוהטאדי בילה, נסיך ברוניי",เจ้าชายอัลมุห์ตาดี บิลละห์ มกุฎราชกุมารแห่งบรูไน,Al-Muhtadee Billah Bolkiah,알무흐타디 빌라,Al-Muhtadee Billah,Аль-Мухтаді Білла,المهتدي بالله البلقيه,Al-Muhtadee Billah,Al-Muhtadee Billah,"אל-מוהטאדי בילה, נסיך ברוניי",Al-Muhtadee Billah,알무흐타디 빌라,Al-Muhtadee Billah Bolkiah,Al-Muhtadee Billah,Al-Muhtadee Billah,Al-Muhtadee Billah,Al-Muhtadee Billah,Al-Muhtadee Billah Bolkiah,เจ้าชายอัลมุห์ตาดี บิลละห์ มกุฎราชกุมารแห่งบรูไน,Al-Muhtadee Billah,Аль-Мухтаді Білла,Al-Muhtadee Billah,429640,,,,,,,,Al-Muhtadee Billah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q47356297,Mustappa bin Sirat,Mustappa bin Sirat,Mustappa bin Sirat,Mustappa bin Sirat,Mustappa bin Sirat,1957-10-04,male,,Mustappa bin Sirat,,,minister,,,,,,,,,,,,,,,,,,,,Mustappa bin Sirat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q47382814,Awang Halbi bin Mohd Yussof,Awang Halbi bin Mohd Yussof,Awang Halbi bin Mohd Yussof,,Awang Halbi bin Mohd Yussof,1956-06-22,male,,Awang Halbi bin Mohd Yussof,Awang Halbi bin Mohd Yussof,,military officer,,,,,,,,,,,,,,,,,,,,Awang Halbi bin Mohd Yussof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57327,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Muda Hassanal Bolkiah,Hassanal Bolkiah,1946-07-15,male,,Hassanal Bolkiah,Sultan Haji Hassanal Bolkiah Mu’izzaddin Waddaulah,Hassanal Bolkiah,politician,Hassanal Bolkiah dari Brunei,Hassanal Bolkiah,Хассанал Болкиах,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah dari Brunei,Хассанал Болкиах,n88230070,97890993,123639735,/m/022dfm,Hassanal,https://upload.wikimedia.org/wikipedia/commons/5/53/Hassanal_Bolkiah.jpg,0000 0001 1452 9181,ハサナル・ボルキア,Hassanal Bolkiah,হাসসান আল-বলকিয়াহ,哈吉·哈桑纳尔·博尔基亚,Muda Hassanal Bolkiah,হাসসান আল-বলকিয়াহ,Hassanal Bolkiah,Muda Hassanal Bolkiah,ハサナル・ボルキア,哈桑纳尔·博尔基亚,,074938975,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,حسن البلقية,Hassanal Bolkiah,Hassanal Bolkiah,חסן אל-בולקיה,สมเด็จพระราชาธิบดีฮัจญี ฮัสซานัล โบลเกียห์ มูอิซซัดดิน วัดเดาละห์,Hassanal Bolkiah,하사날 볼키아,Hassanal Bolkiah,Хассанал Болкіах,حسن البلقية,Muda Hassanal Bolkiah,Hassanal Bolkiah,"חסן אל-בולקיה, סולטאן ברוניי",Hassanal Bolkiah,하사날 볼키아,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,สมเด็จพระราชาธิบดีสุลต่านฮัสซานัล โบลเกียห์,Hassanal Bolkiah,Хассанал Болкіах,Hassanal Bolkiah,245948,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiak,Хасанал Болкіях,Hassanal Bolkiah,Hassanal Bolkiah,Hasanals Bolkiahs,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Σουλτάνος Χασανάλ Μπολκιάχ,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Хасанал Болкијах,Hassanal Bolkiah,Хасанал Болкіях,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,حسن البلقیه,Hassanal Bolkiah,हसनल बोल्किया,Hassanal Bolkiah,حسن البلقیہ,حسن البلقیہ,Hassanal Bolkiah,Bolkiax Muizzaddin Vaddaulax Muda Hassanal,Hassanal Bolkiah,Hassanal Bolkiah,ஹஸனல் போல்கியா,हसनल बोल्कियाह,Hassanal Bolkiah,Hassanal Bolkiah,Хасанал Болкіях,Хасанал Болкіях,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Σουλτάνος Χασανάλ Μπολκιάχ,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,حسن البلقیه,Hassanal Bolkiah,हसनल बोल्कियाह,Hassanal Bolkiah,Hassanal Bolkiah brunei szultán,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Hasanals Bolkiahs,हसनल बोल्किया,Hassanal Bolkiah,Hassanal Bolkiah,حسن البلقیہ,Hassanal Bolkiak,Hassanal Bolkiah,Hassanal Bolkiah,Хасанал Болкијах,ஹஸனல் போல்கியா,Hassanal Bolkiah,حسن البلقیہ,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,Hassanal Bolkiah,biography/Haji-Hassanal-Bolkiah-Muizzaddin-Waddaulah,HassanalBolkia4,107510,sultan,Hassanal Bolkiah,Hassanal Bolkiah
Q58233,Prince Mohamed Bolkiah,Prince Mohamed Bolkiah,Pengiran Muda Mohamed Bolkiah,Mohamed Bolkiah,"Mohamed Bolkiah, Prince of Brunei",1947-08-27,male,,Pengiran Muda Mohamed Bolkiah,Pengiran Muda Mohamed Bolkiah,Mohammed Bolkiah,diplomat,Pengiran Muda Mohamed Bolkiah,Pagiran Muda Mohamed Bolkiah,Мохаммед Болкиах,Category:Prince Mohamed Bolkiah,Mohammed Bolkiah,Pagiran Muda Mohamed Bolkiah,Pangeran Muda Mohamed Bolkiah,Мохаммед Болкиах,no2001022609,19324799,139075038,/m/03c7j2,Mohamed,https://upload.wikimedia.org/wikipedia/commons/e/e4/Prince_Mohamed_Bolkiah_with_Obamas_cropped.jpg,0000 0000 7886 0140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
