id,position,label,description,start_date,constituency,election,term,end_date,replaces,replaced_by
Q12472022,Q121998,ambassador,diplomatic envoy,"",,,,,,
Q12499371,Q56057048,Member of the 2014-2019 People's Representative Council of Indonesia,"",2014-10-01,,2014 Indonesian legislative election,18th People's Representative Council,,,
Q12501020,Q56057048,Member of the 2014-2019 People's Representative Council of Indonesia,"",2014-10-01,,2014 Indonesian legislative election,18th People's Representative Council,,,
Q12521123,Q56057048,Member of the 2014-2019 People's Representative Council of Indonesia,"",2014-10-01,,2014 Indonesian legislative election,18th People's Representative Council,,,
Q12523651,Q486839,member of parliament,representative of the voters to a parliament,"",,,,,,
Q16162516,Q56057048,Member of the 2014-2019 People's Representative Council of Indonesia,"",2017-04-06,,,,,Ruhut Sitompul,
Q17410811,Q56057048,Member of the 2014-2019 People's Representative Council of Indonesia,"",2014-10-01,,2014 Indonesian legislative election,18th People's Representative Council,,,
Q18421322,Q7433253,Leader of the House of Representatives,Wikimedia list article,"",,,,,,
Q18978693,Q21328632,Member of the People's Representative Council of Indonesia,"",2014,,,,2019,,
Q20426350,Q21328632,Member of the People's Representative Council of Indonesia,"","",,,,,,
Q4250974,Q56057048,Member of the 2014-2019 People's Representative Council of Indonesia,"",2014-10-01,,2014 Indonesian legislative election,18th People's Representative Council,,,
Q4250974,Q57729161,Minister of Communication and Information,cabinet position in Indonesia,2009-10-22,,,,2014-10-27,,
Q4262592,Q56057048,Member of the 2014-2019 People's Representative Council of Indonesia,"",2014-10-01,,2014 Indonesian legislative election,18th People's Representative Council,2017-04-06,,Abdul Wahab Dalimunthe
Q4838920,Q56057048,Member of the 2014-2019 People's Representative Council of Indonesia,"",2014-10-01,,2014 Indonesian legislative election,18th People's Representative Council,,,
Q49256793,Q56057048,Member of the 2014-2019 People's Representative Council of Indonesia,"",2014-10-01,,2014 Indonesian legislative election,18th People's Representative Council,,,
Q56391001,Q21328632,Member of the People's Representative Council of Indonesia,"","",,,18th People's Representative Council,,,
Q56399548,Q56057048,Member of the 2014-2019 People's Representative Council of Indonesia,"","",,,18th People's Representative Council,,,
