id,name__ro,name__en,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__ca,name__co,name__cs,name__cy,name__da,name__de,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__it,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nb,name__nds,name__nds_nl,name__nl,name__nn,name__nrm,name__oc,name__pap,name__pcd,name__pl,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sv,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name,wikipedia__ro,gender,birth_date,original_wikiname,name__la,wikipedia__en,wikipedia__fr,wikipedia__hu,wikipedia__la,identifier__freebase,given_name,name__bs,name__is,name__lmo,name__sl,name__sq,wikipedia__pl,image,website,wikipedia__sk,family_name,identifier__EuroparlMEP,wikipedia__de,wikipedia__it,wikipedia__sv,death_date,name__he,name__ru,name__ja,name__zh,name__uk,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__he,wikipedia__ja,wikipedia__mg,wikipedia__nl,wikipedia__pt,wikipedia__ru,wikipedia__sl,wikipedia__uk,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__Munzinger,identifier__FAST,wikipedia__commons,wikipedia__eo,name__bg,wikipedia__bg,wikipedia__rowikiquote,name__ar,wikipedia__ar,wikipedia__simple,name__ka,name__el,name__sr,name__az,name__ko,name__fa,name__mk,name__be,name__sh,wikipedia__az,wikipedia__be,wikipedia__el,wikipedia__enwikinews,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__ka,wikipedia__ko,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__no,wikipedia__oc,wikipedia__plwikiquote,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__sr,wikipedia__tr,wikipedia__vi,identifier__GTAA,identifier__parlement,twitter,facebook,name__zh_hans,name__zh_hant,name__zh_hk,name__rup,name__sr_ec,wikipedia__roa_rup,last_seen,identifier__PACE,occupation,identifier__NSZL,wikipedia__rowikinews,wikipedia__br,name__fo,name__kl,wikipedia__hr,email,identifier__youtube,identifier__quora,identifier__google_knowledge,name__hsb,wikipedia__hsb,name__tt,name__ceb,identifier__Britannica,wikipedia__ms,name__be_tarask,identifier__NTA,wikipedia__lv,identifier__OLID,name__zh_cn,wikipedia__mk,linkedin,name__hy,wikipedia__hy,name__lfn,wikipedia__enwikisource,wikipedia__eswikiquote,wikipedia__frwikisource,wikipedia__itwikisource,wikipedia__rowikisource,wikipedia__sq,identifier__NKC,identifier__CANTIC,identifier__SELIBR,identifier__NLA,identifier__britishmuseum,identifier__GNC,identifier__AGORHA,identifier__NLAtrove,identifier__NLI,identifier__BNE,identifier__nlg,identifier__snac,identifier__persee,identifier__ne_se,identifier__BIBSYS,identifier__BAV,identifier__NUKAT,identifier__PTBNP,identifier__SBN_it,identifier__MusicBrainz,electoral_district,identifier__IMDB,identifier__PORT,name__uz,name__ta,name__pam,name__yo,name__fy,name__rmy,name__mr,name__qu,wikipedia__be_x_old,wikipedia__cy,wikipedia__fy,wikipedia__ga,wikipedia__gd,wikipedia__itwikiquote,wikipedia__mr,wikipedia__nn,wikipedia__pam,wikipedia__qu,wikipedia__rmy,wikipedia__scn,wikipedia__uz,wikipedia__yo,identifier__NNDB,name__dsb,name__pfl,name__frr,identifier__discogs,name__zh_sg,name__zh_tw,name__kk,wikipedia__kk,identifier__bigenc_ru,identifier__IIAF,identifier__ioc_athlete,name__mo,pseudonym,name__th,wikipedia__th,name__azb,wikipedia__azb,identifier__NDL,identifier__NSK,wikipedia__pms,identifier__zbMATH,identifier__MGP,identifier__ULAN,wikipedia__ast,wikipedia__enwikiquote,wikipedia__huwikiquote,wikipedia__svwikiquote,wikipedia__ltwikiquote,wikipedia__ukwikiquote,identifier__NPG,identifier__songkick,identifier__BVMC,identifier__CONOR,identifier__google_plus,wikipedia__species,identifier__JewishEnc,identifier__Gutenberg,identifier__NLP,wikipedia__ruwikisource,name__pa,name__ba,wikipedia__ba,wikipedia__pa,identifier__EGAXA,identifier__CERL,name__mi,identifier__BBC_things
Q101212,Ingmar Brandsch,Ingmar Brandsch,Ingmar Brandsch,Ingmar Brandsch,,Ingmar Brandsch,,,,,,,Ingmar Brandsch,Ingmar Brandsch,,,,,,,,,,Ingmar Brandsch,,,,,,,Ingmar Brandsch,,,,,,,,,,,,,,,,,,,,Ingmar Brandsch,Ingmar Brandsch,Ingmar Brandsch,Ingmar Brandsch,Ingmar Brandsch,,,,,,,,,,,,,,,,,Ingmar Brandsch,,,,,,,,,,,Ingmar Brandsch,Ingmar Brandsch,male,1936-11-28,,,,,,,,Ingmar,,,,Ingmar Brandsch,,,,,,,,Ingmar Brandsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,Ingmar Brandsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingmar Brandsch,Ingmar Brandsch,Ingmar Brandsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1034300,Pál-Péter Haszmann,Pál Haszmann,,,,,,,,,,,,,,,,,Pál Haszmann,,,,,,,,,,,,,,Haszmann Pál,,,,,,,,,,,,,,,,,,,,,Pál Haszmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pál-Péter Haszmann,Pál-Péter Haszmann,male,1942-08-12,,,,,"Haszmann Pál (helytörténész, 1942)",,,Pál,,,,Pál Haszmann,,,https://upload.wikimedia.org/wikipedia/commons/b/b3/IfjHaszmannPalFotoThalerTamas.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 7931 6024,121423665,,,,,,,,Pál Haszmann (1942-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1097646,Ioan Alexandru,Ioan Alexandru,,,,,,,,,,,,Ioan Alexandru,,,,,,,,,,Ioan Alexandru,,,,,,,,,Ioan Alexandru,,,,,,,,,,,,,,,,,,,,,Ioan Alexandru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ioan Alexandru,Ioan Alexandru (scriitor),male,1941-12-25,,,Ioan Alexandru,,Ioan Alexandru,,/m/03whzqz,Ioan,,,,Ioan Alexandru,,,https://upload.wikimedia.org/wikipedia/commons/0/09/Ioan_in_parlament.jpg,,,Alexandru,,,,,2000-09-16,יואן אלכסנדרו,,,,,,,,,,,יואן אלכסנדרו,,,,,,,,,0000 0001 1593 1105,9906513,,n85358163,12262067s,031399037,,191379,,,,,Ioan Alexandru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poet,,,,,,,,,,,,,,,,,,070002894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11163124,Nicușor Dan,Nicușor Dan,,,,,,,,,,,,Nicușor Dan,,,,,,,,,,Nicușor Dan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicușor Dan,,,,,,Nicușor Dan,,,,,,,,,,,,,,,,,,,,,,,Nicușor Dan,Nicușor Dan,male,1969-12-20,,,Nicușor Dan,,,,/m/0j9khdp,Nicușor,,,,Nicușor Dan,,Nicușor Dan,https://upload.wikimedia.org/wikipedia/commons/a/a9/Nicușor_Dan_candidatura_bgiu.jpg,https://www.nicusordan.ro/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Nicușor Dan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NicusorDanUSR,,,,,,,,,mathematician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicușor Dan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11201669,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,,,,,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,,,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,,,,,Nicolae Fleva,,,,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,,,,,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,,,,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,,Nicolae Fleva,,,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,,Nicolae Fleva,,Nicolae Fleva,Nicolae Fleva,,Nicolae Fleva,,,Nicolae Fleva,,,Nicolae Fleva,Nicolae Fleva,male,1840,,,Nicolae Fleva,,,,,Nicolae,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,Nicolae Fleva,,https://upload.wikimedia.org/wikipedia/commons/2/26/Nic._Fleva.jpg,,,,,,,,1920-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Nicolae Fleva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1128407,Marcela Lavinia Șandru,Marcela Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Marcela Lavinia Șandru,,,,,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,,,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Marcela Lavinia Șandru,,,,,Lavinia Șandru,,,,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,,,,,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,,,,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,,Lavinia Șandru,,,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,,Lavinia Șandru,,Lavinia Șandru,Lavinia Șandru,,Lavinia Șandru,,,Lavinia Șandru,,,Marcela Lavinia Șandru,Lavinia Șandru,female,1975-02-06,,,Lavinia Șandru,,Lavinia Șandru,,,Marcela,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,Lavinia Șandru,,https://upload.wikimedia.org/wikipedia/commons/f/f7/Lavinia_Sandru.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Lavinia Șandru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1151156,Cătălin Predoiu,Cătălin Predoiu,,,,,,,Cătălin Predoiu,,,,Cătălin Predoiu,Cătălin Predoiu,,,,,,Cătălin Predoiu,,,,Cătălin Predoiu,,,,,,,,,Cătălin Predoiu,,,,,Cătălin Predoiu,,,,,,,,,,,,,Cătălin Predoiu,,,Cătălin Predoiu,Cătălin Predoiu,,,,,Cătălin Predoiu,,,,,,,,,,,,Cătălin Predoiu,,Cătălin Predoiu,,Cătălin Marian Predoiu,,,,,,,Cătălin Predoiu,Cătălin Predoiu,male,1968-08-03,,Cătălin Predoiu,Cătălin Predoiu,Cătălin Predoiu,,Cătălin Predoiu,/m/03qlftp,Cătălin,,,,Cătălin Predoiu,,Cătălin Predoiu,https://upload.wikimedia.org/wikipedia/commons/7/72/Cătălin_Predoiu_2008.jpg,,,,,Cătălin Predoiu,Cătălin Predoiu,Cătălin Predoiu,,,,カタリン・プレドユ,克特林·普雷多尤,Кетелін Предою,Cătălin Predoiu,,,,,,,,,,,,,Кетелін Предою,克特林·普雷多尤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cătălin Predoiu,,,,,,,Cătălin Predoiu,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1165547,Marko Attila,Marko Attila,,,,,,,,,,,,,,,,,,,,,,Marko Attila,,,,,,,,,Markó Attila Gábor,,,,,,,,,,,,,,,,,,,,,Marko Attila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marko Attila,Attila Markó,male,1968-09-27,Attila-Gabor Markó,,,,Markó Attila Gábor,,,Gábor,,,,Marko Attila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11718692,Iohan-Peter Babiaș,Iohan-Peter Babiaș,,,,,,,,,,,,,,,,,,,,,,Iohan-Peter Babiaș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iohan-Peter Babiaș,,,,,,Jan Piotr Babiasz,,,,,,,,,,,,,,,,,,,,,,,Iohan-Peter Babiaș,Iohan-Peter Babiaș,male,1952-06-28,,,,,,,,Jan,,,,Iohan-Peter Babiaș,,Jan Piotr Babiasz,,,,,,,,,2002-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11791098,Nicolae Vasilescu,Nicolae Vasilescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolae Vasilescu,,,,,,Nicolae Vasilescu,,,,,,,,,,,,,,,,,,,,,,,Nicolae Vasilescu,Nicolae Vasilescu,male,1967-08-15,Nicolae Vasilescu,,,,,,,Nicolae,,,,Nicolae Vasilescu,,Nicolae Vasilescu (polityk),https://upload.wikimedia.org/wikipedia/commons/f/fe/N._Vasilescu.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168144782963901815350,1077635214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q120387,Daniela Buruiană-Aprodu,Daniela Buruiană,,,,,,,Daniela Buruiană-Aprodu,,,,,Daniela Buruiană Aprodu,,,,,,Daniela Buruiană-Aprodu,,,,Daniela Buruiană,,,,,,,,,Daniela Buruiană,,,,,,,,,,,,,,,,,,,,,Daniela Buruiană,,,,,,Daniela Buruiană,,,,,,,,,,,,,,,,,,,,,,,Daniela Buruiană-Aprodu,Daniela Buruiană-Aprodu,female,1953-07-19,,,Daniela Buruiană,,,,/m/027g0x8,Daniela,,,,Daniela Buruiană,,Daniela Buruiană,,,,,33966,Daniela Buruiană Aprodu,,,,,,,,,Daniela Buruiană-Aprodu,,,Daniela Buruiană-Aprodu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ντανιέλα Μπουρουιάνα-Απρόντου,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1212441,Árpád-Francisc Márton,Árpád Márton,,,,,,,,,,,,,,,,,Árpád Márton,,,,,,,,,,,,,,Márton Árpád,,,,,,,,,,,,,,,,,,,,,Árpád Márton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Árpád-Francisc Márton,Árpád-Francisc Márton,male,1955-03-25,Árpád-Francisc Márton,,,,Márton Árpád (politikus),,,Árpád,,,,Árpád Márton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Árpád Márton (aktoro, politikisto)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
