id,name,photo,email,twitter,identifier__parlamento
abel-baptista,Abel Baptista,http://demo.cratica.org/media/img/deputados/2167.jpg,abel.l.baptista@cds.parlamento.pt,"",2167
acacio-pinto,Acácio Pinto,http://demo.cratica.org/media/img/deputados/4208.jpg,gp_ps@ps.parlamento.pt,"",4208
adao-silva,Adão Silva,http://demo.cratica.org/media/img/deputados/3.jpg,adaosilva@psd.parlamento.pt,"",3
adriano-rafael-moreira,Adriano Rafael Moreira,http://demo.cratica.org/media/img/deputados/2027.jpg,"","",2027
afonso-oliveira,Afonso Oliveira,http://demo.cratica.org/media/img/deputados/4397.jpg,"","",4397
agostinho-santa,Agostinho Santa,http://demo.cratica.org/media/img/deputados/4363.jpg,"","",4363
alberto-costa,Alberto Costa,http://demo.cratica.org/media/img/deputados/143.jpg,gp_ps@ps.parlamento.pt,"",143
alberto-martins,Alberto Martins,http://demo.cratica.org/media/img/deputados/462.jpg,"","",462
altino-bessa,Altino Bessa,http://demo.cratica.org/media/img/deputados/1048.jpg,abessa@cds.parlamento.pt,"",1048
amadeu-soares-albergaria,Amadeu Soares Albergaria,http://demo.cratica.org/media/img/deputados/3919.jpg,"",http://twitter.com/aalbergaria,3919
ana-catarina-mendonca-mendes,Ana Catarina Mendonça Mendes,http://demo.cratica.org/media/img/deputados/1212.jpg,catarina@ps.parlamento.pt,"",1212
ana-paula-vitorino,Ana Paula Vitorino,http://demo.cratica.org/media/img/deputados/2263.jpg,gp_ps@ps.parlamento.pt,"",2263
ana-sofia-bettencourt,Ana Sofia Bettencourt,http://demo.cratica.org/media/img/deputados/4435.jpg,"","",4435
andre-pardal,André Pardal,http://demo.cratica.org/media/img/deputados/4443.jpg,"","",4443
andreia-neto,Andreia Neto,http://demo.cratica.org/media/img/deputados/4396.jpg,"","",4396
angela-guerra,Ângela Guerra,http://demo.cratica.org/media/img/deputados/4031.jpg,"","",4031
antonio-braga,António Braga,http://demo.cratica.org/media/img/deputados/152.jpg,"","",152
antonio-cardoso,António Cardoso,http://demo.cratica.org/media/img/deputados/1550.jpg,"","",1550
antonio-filipe,António Filipe,http://demo.cratica.org/media/img/deputados/209.jpg,af@pcp.parlamento.pt,http://twitter.com/AntonioFilipe,209
antonio-gameiro,António Gameiro,http://demo.cratica.org/media/img/deputados/1977.jpg,agameiro@ps.parlamento.pt,"",1977
antonio-proa,António Prôa,http://demo.cratica.org/media/img/deputados/4439.jpg,"","",4439
antonio-rodrigues,António Rodrigues,http://demo.cratica.org/media/img/deputados/1132.jpg,"","",1132
armenio-santos,Arménio Santos,http://demo.cratica.org/media/img/deputados/26.jpg,asantos@psd.parlamento.pt,"",26
artur-rego,Artur Rêgo,http://demo.cratica.org/media/img/deputados/4018.jpg,arturrego@cds.parlamento.pt,"",4018
assuncao-esteves,Assunção Esteves,http://demo.cratica.org/media/img/deputados/2006.jpg,"","",2006
bravo-nico,Bravo Nico,http://demo.cratica.org/media/img/deputados/2729.jpg,bravonico@ps.parlamento.pt,"",2729
bruno-coimbra,Bruno Coimbra,http://demo.cratica.org/media/img/deputados/4304.jpg,"","",4304
bruno-dias,Bruno Dias,http://demo.cratica.org/media/img/deputados/1715.jpg,"","",1715
bruno-vitorino,Bruno Vitorino,http://demo.cratica.org/media/img/deputados/1713.jpg,"","",1713
carina-oliveira,Carina Oliveira,http://demo.cratica.org/media/img/deputados/4169.jpg,"","",4169
carla-cruz,Carla Cruz,http://demo.cratica.org/media/img/deputados/4297.jpg,"","",4297
