id,name,role,image,district,party,birth_date,email,source,name__hy,name__ru,term,faction_id,faction,start_date,end_date
1279,Ruben Rubinyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1279,"","""Civil Contract""",1990-03-08,ruben.rubinyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1279&lang=eng,Ռուբեն Կարապետի Ռուբինյան,Рубен Карапетович Рубинян,7,MS,MyStep,2019-01-14,
1280,Maria Karapetyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1280,"","""Civil Contract""",1988-02-20,maria.karapetyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1280&lang=eng,Մարիա Էդվարդի Կարապետյան,Мария Эдвардовна Карапетян,7,MS,MyStep,2019-01-14,
1281,Narine Khachaturyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1281,"",non-Party,1962-02-16,narine.khachaturyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1281&lang=eng,Նարինե Լեւոնի Խաչատուրյան,Наринэ Левоновна Хачатурян,7,MS,MyStep,2019-01-14,
1282,Gayane Abrahamyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1282,"",non-Party,1979-07-02,gayane.abrahamyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1282&lang=eng,Գայանե Ասքանազի Աբրահամյան,Гаянэ Асканазовна Абраамян,7,MS,MyStep,2019-01-14,
1283,Lusine Badalyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1283,"","""Civil Contract""",1980-02-02,lusine.badalyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1283&lang=eng,Լուսինե Խաչիկի Բադալյան,Лусине Хачиковна Бадалян,7,MS,MyStep,2019-01-14,
1284,Gagik Tsarukyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1284,"","""Prosperous Armenia""",1956-11-25,gagik.tsarukyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1284&lang=eng,Գագիկ Կոլյայի Ծառուկյան,Гагик Коляевич Царукян,7,PA,Prosperous Armenia,2019-01-14,
1285,Anush Begloian,"",http://parliament.am/photo.php?source=deputy&size=big&id=1285,"","""Civil Contract""",1969-07-31,anush.begloian@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1285&lang=eng,Անուշ Էդվարդի Բեղլոյան,Ануш Эдвардовна Беглоян,7,MS,MyStep,2019-01-14,
1286,Mikayel Melkumyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1286,"","""Prosperous Armenia""",1962-04-01,mikael.melkumyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1286&lang=eng,Միքայել Սերգեյի Մելքումյան,Микаел Сергеевич Мелкумян,7,PA,Prosperous Armenia,2019-01-14,
1287,Heriknaz Tigranyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1287,"",non-Party,1972-02-25,"",http://parliament.am/deputies.php?sel=details&ID=1287&lang=eng,Հերիքնազ Սարգսի Տիգրանյան,Эрикназ Саркисовна Тигранян,7,MS,MyStep,2019-01-14,
1288,Artur Grigoryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1288,"","""Prosperous Armenia""",1969-09-20,artur.grigoryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1288&lang=eng,Արթուր Գրիշայի Գրիգորյան,Артур Гришаевич Григорян,7,PA,Prosperous Armenia,2019-01-14,
