id,name,role,image,district,party,birth_date,email,source,name__hy,name__ru,term,faction_id,faction,start_date,end_date
1158,Arpine Hovhannisyan,Vice President of the National Assembly,http://parliament.am/photo.php?source=deputy&size=big&id=1158,"","""Republican Party of Armenia"" /RPA/",1983-12-04,arpine.hovhannisyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1158&lang=eng,Արփինե Աշոտի Հովհաննիսյան,Арпине Ашотовна Оганнесян,6,RPA,Republican,2017-05-18,
1159,Ara Babloyan,President of the National Assembly,http://parliament.am/photo.php?source=deputy&size=big&id=1159,"","""Republican Party of Armenia"" /RPA/",1947-05-05,speaker@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1159&lang=eng,Արա Սաենի Բաբլոյան,Ара Саенович Баблоян,6,RPA,Republican,2017-05-18,
1160,Armen Ashotyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1160,"","""Republican Party of Armenia"" /RPA/",1975-07-25,ashotyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1160&lang=eng,Արմեն Գեւորգի Աշոտյան,Армен Геворкович Ашотян,6,RPA,Republican,2017-05-18,
1161,Edmon Marukyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1161,"","""Bright Armenia""",1981-01-13,edmon.marukyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1161&lang=eng,Էդմոն Հրաչիկի Մարուքյան,Эдмон Грачикович Марукян,6,WO,Way Out,2017-05-18,
1162,Eduard Sharmazanov,Vice President of the National Assembly,http://parliament.am/photo.php?source=deputy&size=big&id=1162,"","""Republican Party of Armenia"" /RPA/",1975-11-08,eduard.sharmazanov@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1162&lang=eng,Էդուարդ Հովսեփի Շարմազանով,Эдуард Овсепович Шармазанов,6,RPA,Republican,2017-05-18,
1163,Margarit Yesayan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1163,"","""Republican Party of Armenia"" /RPA/",1958-10-24,margarit.yesayan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1163&lang=eng,Մարգարիտ Հենրիկի Եսայան,Маргарит Генриковна Есаян,6,RPA,Republican,2017-05-18,
1164,Aram Sargsyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1164,"","""Republic""/RP/",1961-01-02,aram.sargsyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1164&lang=eng,Արամ Զավենի Սարգսյան,Арам Завенович Саргсян,6,WO,Way Out,2017-05-18,
1165,Samvel Farmanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1165,"","""Republican Party of Armenia"" /RPA/",1978-02-17,farmanyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1165&lang=eng,Սամվել Ժոռայի Ֆարմանյան,Самвел Жораевич Фарманян,6,RPA,Republican,2017-05-18,
1166,Karen Avagyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1166,"","""Republican Party of Armenia"" /RPA/",1974-12-06,avagyan@paliament.am,http://parliament.am/deputies.php?sel=details&ID=1166&lang=eng,Կարեն Կարլենի Ավագյան,Карен Карленович Авакян,6,RPA,Republican,2017-05-18,
1167,Sasun Mikayelyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1167,"","""Civil Contract""",1957-11-07,sasun.mikayelyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1167&lang=eng,Սասուն Մեխակի Միքայելյան,Сасун Мехакович Микаелян,6,WO,Way Out,2017-05-18,
1168,Galust Sahakyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1168,"","""Republican Party of Armenia"" /RPA/",1948-04-08,g.sahakyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1168&lang=eng,Գալուստ Գրիգորի Սահակյան,Галуст Григорьевич Саакян,6,RPA,Republican,2017-05-18,
1169,Hermine Naghdalyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1169,"","""Republican Party of Armenia"" /RPA/",1960-07-28,hermineh.naghdalyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1169&lang=eng,Հերմինե Միքայելի Նաղդալյան,Эрмине Микаеловна Нагдалян,6,RPA,Republican,2017-05-18,
1170,Gagik Minasyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1170,"","""Republican Party of Armenia"" /RPA/",1950-04-05,gem07@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1170&lang=eng,Գագիկ Ենգիբարի Մինասյան,Гагик Енгибарович Минасян,6,RPA,Republican,2017-05-18,
1171,Samvel Nikoyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1171,"","""Republican Party of Armenia"" /RPA/",1958-02-13,samvel.nikoyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1171&lang=eng,Սամվել Պարգեւի Նիկոյան,Самвел Паргевович Никоян,6,RPA,Republican,2017-05-18,
1174,Shushan Petrosyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1174,"","""Republican Party of Armenia"" /RPA/",1967-09-23,shushan.petrosyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1174&lang=eng,Շուշան Սամվելի Պետրոսյան,Шушан Самвеловна Петросян,6,RPA,Republican,2017-05-18,
1175,Lena Nazaryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1175,"","""Civil Contract""",1983-03-09,lena.nazaryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1175&lang=eng,Լենա Ռաֆայելի Նազարյան,Лена Рафаеловна Назарян,6,WO,Way Out,2017-05-18,2018-09-12
1175,Lena Nazaryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1175,"","""Civil Contract""",1983-03-09,lena.nazaryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1175&lang=eng,Լենա Ռաֆայելի Նազարյան,Лена Рафаеловна Назарян,6,WO,Way Out,2018-09-12,
1176,Manvel Grigoryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1176,"",non-Party,1956-07-14,m.grigoryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1176&lang=eng,Մանվել Սեկտորի Գրիգորյան,Манвел Секторович Григорян,6,RPA,Republican,2017-05-18,
1177,Artashes Geghamyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1177,"","""National Unity "" Party /NUP/",1949-12-02,artashes.geghamyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1177&lang=eng,Արտաշես Մամիկոնի Գեղամյան,Арташес Мамиконович Гегамян,6,RPA,Republican,2017-05-18,
1178,Khosrov Harutyunyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1178,"",Christian-Democratic Union of Armenia,1948-05-30,econom@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1178&lang=eng,Խոսրով Մելիքի Հարությունյան,Хосров Меликович Арутюнян,6,RPA,Republican,2017-05-18,
1179,Shushan Sardaryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1179,"","""Republican Party of Armenia"" /RPA/",1968-02-05,shushan.sardaryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1179&lang=eng,Շուշան Ալբերտի Սարդարյան,Шушан Альбертовна Сардарян,6,RPA,Republican,2017-05-18,
1180,Hayk Babukhanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1180,"",”Constitutional Law” Union /CLU/,1964-10-22,hayk.babukhanyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1180&lang=eng,Հայկ Բորիսի Բաբուխանյան,Айк Борисович Бабуханян,6,RPA,Republican,2017-05-18,
1181,Vahan Harutyunyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1181,"","""Republican Party of Armenia"" /RPA/",1980-07-30,vahan.harutyunyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1181&lang=eng,Վահան Միխաիլի Հարությունյան,Ваган Михаилович Арутюнян,6,RPA,Republican,2017-05-18,
1182,Jemma Baghdasaryan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1182,"","""Republican Party of Armenia"" /RPA/",1956-07-23,jemma.baghdasaryan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1182&lang=eng,Ջեմմա Սամվելի Բաղդասարյան,Джемма Самвеловна Багдасарян,6,RPA,Republican,2017-05-18,
1183,Armen Rustamyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1183,"","""Armenian Revolutionary Federation"" /ARF/",1960-03-01,a.rustamyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1183&lang=eng,Արմեն Եզնակի Ռուստամյան,Армен Езнакович Рустамян,6,ARF,Armenian Revolutionary Federation,2017-05-18,
1184,Gevorg Kostanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1184,"",non-Party,1977-10-04,gevorg.kostanyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1184&lang=eng,Գեւորգ Սուրիկի Կոստանյան,Геворк Сурикович Костанян,6,RPA,Republican,2017-05-18,
1186,Mihran Hakobyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1186,"","""Republican Party of Armenia"" /RPA/",1984-07-15,mihran.hakobyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1186&lang=eng,Միհրան Տարոնի Հակոբյան,Мигран Таронович Акопян,6,RPA,Republican,2017-05-18,
1187,Arman Saghatelyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1187,"",non-Party,1975-08-26,arman.saghatelyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1187&lang=eng,Արման Արմենի Սաղաթելյան,Арман Арменович Сагателян,6,RPA,Republican,2017-05-18,
1188,Armenuhi Kyureghyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1188,"","""Armenian Revolutionary Federation"" /ARF/",1963-08-26,armenuhi.kyureghyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1188&lang=eng,Արմենուհի Ստեփանի Կյուրեղյան,Арменуи Степановна Кюрегян,6,ARF,Armenian Revolutionary Federation,2017-05-18,2018-05-04
