id,name,role,image,district,party,birth_date,email,source,name__hy,name__ru,term,faction_id,faction,start_date,end_date
1013,Manvel Badeyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1013,022,"""Republican Party of Armenia"" /RPA/",1957-06-29,manvel.badeyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1013&lang=eng,Մանվել Հենրիկի Բադեյան,Манвел Генрикович Бадеян,6,RPA,Republican,2012-05-31,2016-06-02
1129,Artsvik Minasyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1129,120,"""Armenian Revolutionary Federation"" /ARF/",1972-01-01,minasyana@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1129&lang=eng,Արծվիկ Գարեգինի Մինասյան,Арцвик Гарегинович Минасян,6,ARF,Armenian Revolutionary Federation,2012-05-31,2016-02-25
1136,Rubik Hakobyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1136,126,non-Party,1955-12-17,ruben.hakobyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1136&lang=eng,Ռուբիկ Կարապետի Հակոբյան,Рубик Карапетович Акопян,6,H,Heritage,2012-05-31,2013-10-22
1136,Rubik Hakobyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1136,126,non-Party,1955-12-17,ruben.hakobyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1136&lang=eng,Ռուբիկ Կարապետի Հակոբյան,Рубик Карапетович Акопян,6,H,Heritage,2013-10-22,2014-02-03
1136,Rubik Hakobyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1136,126,non-Party,1955-12-17,ruben.hakobyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1136&lang=eng,Ռուբիկ Կարապետի Հակոբյան,Рубик Карапетович Акопян,6,H,Heritage,2015-09-18,
1158,Arpine Hovhannisyan,Vice President of the National Assembly,http://parliament.am/photo.php?source=deputy&size=big&id=1158,"","""Republican Party of Armenia"" /RPA/",1983-12-04,arpine.hovhannisyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1158&lang=eng,Արփինե Աշոտի Հովհաննիսյան,Арпине Ашотовна Оганнесян,6,RPA,Republican,2017-05-18,
1159,Ara Babloyan,President of the National Assembly,http://parliament.am/photo.php?source=deputy&size=big&id=1159,"","""Republican Party of Armenia"" /RPA/",1947-05-05,speaker@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1159&lang=eng,Արա Սաենի Բաբլոյան,Ара Саенович Баблоян,6,RPA,Republican,2017-05-18,
1160,Armen Ashotyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1160,"","""Republican Party of Armenia"" /RPA/",1975-07-25,ashotyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1160&lang=eng,Արմեն Գեւորգի Աշոտյան,Армен Геворкович Ашотян,6,RPA,Republican,2017-05-18,
1161,Edmon Marukyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1161,"","""Bright Armenia""",1981-01-13,edmon.marukyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1161&lang=eng,Էդմոն Հրաչիկի Մարուքյան,Эдмон Грачикович Марукян,6,WO,Way Out,2017-05-18,
1162,Eduard Sharmazanov,Vice President of the National Assembly,http://parliament.am/photo.php?source=deputy&size=big&id=1162,"","""Republican Party of Armenia"" /RPA/",1975-11-08,eduard.sharmazanov@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1162&lang=eng,Էդուարդ Հովսեփի Շարմազանով,Эдуард Овсепович Шармазанов,6,RPA,Republican,2017-05-18,
1163,Margarit Yesayan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1163,"","""Republican Party of Armenia"" /RPA/",1958-10-24,margarit.yesayan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1163&lang=eng,Մարգարիտ Հենրիկի Եսայան,Маргарит Генриковна Есаян,6,RPA,Republican,2017-05-18,
1164,Aram Sargsyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1164,"","""Republic""/RP/",1961-01-02,aram.sargsyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1164&lang=eng,Արամ Զավենի Սարգսյան,Арам Завенович Саргсян,6,WO,Way Out,2017-05-18,
1165,Samvel Farmanyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1165,"","""Republican Party of Armenia"" /RPA/",1978-02-17,farmanyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1165&lang=eng,Սամվել Ժոռայի Ֆարմանյան,Самвел Жораевич Фарманян,6,RPA,Republican,2017-05-18,
1166,Karen Avagyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1166,"","""Republican Party of Armenia"" /RPA/",1974-12-06,avagyan@paliament.am,http://parliament.am/deputies.php?sel=details&ID=1166&lang=eng,Կարեն Կարլենի Ավագյան,Карен Карленович Авакян,6,RPA,Republican,2017-05-18,
1167,Sasun Mikayelyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1167,"","""Civil Contract""",1957-11-07,sasun.mikayelyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1167&lang=eng,Սասուն Մեխակի Միքայելյան,Сасун Мехакович Микаелян,6,WO,Way Out,2017-05-18,
1168,Galust Sahakyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1168,"","""Republican Party of Armenia"" /RPA/",1948-04-08,g.sahakyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1168&lang=eng,Գալուստ Գրիգորի Սահակյան,Галуст Григорьевич Саакян,6,RPA,Republican,2017-05-18,
1169,Hermine Naghdalyan,"",http://parliament.am/photo.php?source=deputy&size=big&id=1169,"","""Republican Party of Armenia"" /RPA/",1960-07-28,hermineh.naghdalyan@parliament.am,http://parliament.am/deputies.php?sel=details&ID=1169&lang=eng,Հերմինե Միքայելի Նաղդալյան,Эрмине Микаеловна Нагдалян,6,RPA,Republican,2017-05-18,
