id,name,sort_name,given_name,family_name,area,party,source,identifier__aph,email,website,facebook,twitter,wikipedia,wikipedia_name,start_date,end_date,term,identifier__openaustralia
10001,Tony Abbott,"Abbott, Tony",Tony,Abbott,Warringah,Liberal Party,http://data.openaustralia.org/members/representatives.xml,EZ5,"",http://www.tonyabbott.com.au,http://www.facebook.com/TonyAbbottMP,http://twitter.com/TonyAbbottMHR,http://en.wikipedia.org/wiki/Tony_Abbott,Tony Abbott,1994-03-26,1996-03-02,37,10001
10001,Tony Abbott,"Abbott, Tony",Tony,Abbott,Warringah,Liberal Party,http://data.openaustralia.org/members/representatives.xml,EZ5,"",http://www.tonyabbott.com.au,http://www.facebook.com/TonyAbbottMP,http://twitter.com/TonyAbbottMHR,http://en.wikipedia.org/wiki/Tony_Abbott,Tony Abbott,1996-03-02,1998-10-03,38,10001
10001,Tony Abbott,"Abbott, Tony",Tony,Abbott,Warringah,Liberal Party,http://data.openaustralia.org/members/representatives.xml,EZ5,"",http://www.tonyabbott.com.au,http://www.facebook.com/TonyAbbottMP,http://twitter.com/TonyAbbottMHR,http://en.wikipedia.org/wiki/Tony_Abbott,Tony Abbott,1998-10-03,2001-11-10,39,10001
10001,Tony Abbott,"Abbott, Tony",Tony,Abbott,Warringah,Liberal Party,http://data.openaustralia.org/members/representatives.xml,EZ5,"",http://www.tonyabbott.com.au,http://www.facebook.com/TonyAbbottMP,http://twitter.com/TonyAbbottMHR,http://en.wikipedia.org/wiki/Tony_Abbott,Tony Abbott,2001-11-10,2004-10-09,40,10001
10001,Tony Abbott,"Abbott, Tony",Tony,Abbott,Warringah,Liberal Party,http://data.openaustralia.org/members/representatives.xml,EZ5,"",http://www.tonyabbott.com.au,http://www.facebook.com/TonyAbbottMP,http://twitter.com/TonyAbbottMHR,http://en.wikipedia.org/wiki/Tony_Abbott,Tony Abbott,2004-10-09,2007-11-24,41,10001
10001,Tony Abbott,"Abbott, Tony",Tony,Abbott,Warringah,Liberal Party,http://data.openaustralia.org/members/representatives.xml,EZ5,"",http://www.tonyabbott.com.au,http://www.facebook.com/TonyAbbottMP,http://twitter.com/TonyAbbottMHR,http://en.wikipedia.org/wiki/Tony_Abbott,Tony Abbott,2007-11-24,2010-08-21,42,10001
10001,Tony Abbott,"Abbott, Tony",Tony,Abbott,Warringah,Liberal Party,http://data.openaustralia.org/members/representatives.xml,EZ5,"",http://www.tonyabbott.com.au,http://www.facebook.com/TonyAbbottMP,http://twitter.com/TonyAbbottMHR,http://en.wikipedia.org/wiki/Tony_Abbott,Tony Abbott,2010-08-21,2013-09-07,43,10001
10001,Tony Abbott,"Abbott, Tony",Tony,Abbott,Warringah,Liberal Party,http://data.openaustralia.org/members/representatives.xml,EZ5,"",http://www.tonyabbott.com.au,http://www.facebook.com/TonyAbbottMP,http://twitter.com/TonyAbbottMHR,http://en.wikipedia.org/wiki/Tony_Abbott,Tony Abbott,2013-09-07,,44,10001
10004,Dick Adams,"Adams, Dick",Dick,Adams,Lyons,Australian Labor Party,http://data.openaustralia.org/members/representatives.xml,,,,,,http://en.wikipedia.org/wiki/Dick_Adams_(politician),Dick Adams (politician),1993-03-13,1996-03-02,37,10004
10004,Dick Adams,"Adams, Dick",Dick,Adams,Lyons,Australian Labor Party,http://data.openaustralia.org/members/representatives.xml,,,,,,http://en.wikipedia.org/wiki/Dick_Adams_(politician),Dick Adams (politician),1996-03-02,1998-10-03,38,10004
10004,Dick Adams,"Adams, Dick",Dick,Adams,Lyons,Australian Labor Party,http://data.openaustralia.org/members/representatives.xml,,,,,,http://en.wikipedia.org/wiki/Dick_Adams_(politician),Dick Adams (politician),1998-10-03,2001-11-10,39,10004
10004,Dick Adams,"Adams, Dick",Dick,Adams,Lyons,Australian Labor Party,http://data.openaustralia.org/members/representatives.xml,,,,,,http://en.wikipedia.org/wiki/Dick_Adams_(politician),Dick Adams (politician),2001-11-10,2004-10-09,40,10004
10004,Dick Adams,"Adams, Dick",Dick,Adams,Lyons,Australian Labor Party,http://data.openaustralia.org/members/representatives.xml,,,,,,http://en.wikipedia.org/wiki/Dick_Adams_(politician),Dick Adams (politician),2004-10-09,2007-11-24,41,10004
10004,Dick Adams,"Adams, Dick",Dick,Adams,Lyons,Australian Labor Party,http://data.openaustralia.org/members/representatives.xml,,,,,,http://en.wikipedia.org/wiki/Dick_Adams_(politician),Dick Adams (politician),2007-11-24,2010-08-21,42,10004
10004,Dick Adams,"Adams, Dick",Dick,Adams,Lyons,Australian Labor Party,http://data.openaustralia.org/members/representatives.xml,,,,,,http://en.wikipedia.org/wiki/Dick_Adams_(politician),Dick Adams (politician),2010-08-21,2013-09-07,43,10004
10006,Albert Adermann,"Adermann, Albert",Albert,Adermann,Fairfax,National Party,http://data.openaustralia.org/members/representatives.xml,,,,,,,,1987-07-11,1990-02-19,35,10006
10007,Anthony Albanese,"Albanese, Anthony",Anthony,Albanese,Grayndler,Australian Labor Party,http://data.openaustralia.org/members/representatives.xml,R36,A.Albanese.MP@aph.gov.au,http://www.anthonyalbanese.com.au,"",http://twitter.com/AlboMP,http://en.wikipedia.org/wiki/Anthony_Albanese,Anthony Albanese,1996-03-02,1998-10-03,38,10007
10007,Anthony Albanese,"Albanese, Anthony",Anthony,Albanese,Grayndler,Australian Labor Party,http://data.openaustralia.org/members/representatives.xml,R36,A.Albanese.MP@aph.gov.au,http://www.anthonyalbanese.com.au,"",http://twitter.com/AlboMP,http://en.wikipedia.org/wiki/Anthony_Albanese,Anthony Albanese,1998-10-03,2001-11-10,39,10007
10007,Anthony Albanese,"Albanese, Anthony",Anthony,Albanese,Grayndler,Australian Labor Party,http://data.openaustralia.org/members/representatives.xml,R36,A.Albanese.MP@aph.gov.au,http://www.anthonyalbanese.com.au,"",http://twitter.com/AlboMP,http://en.wikipedia.org/wiki/Anthony_Albanese,Anthony Albanese,2001-11-10,2004-10-09,40,10007
10007,Anthony Albanese,"Albanese, Anthony",Anthony,Albanese,Grayndler,Australian Labor Party,http://data.openaustralia.org/members/representatives.xml,R36,A.Albanese.MP@aph.gov.au,http://www.anthonyalbanese.com.au,"",http://twitter.com/AlboMP,http://en.wikipedia.org/wiki/Anthony_Albanese,Anthony Albanese,2004-10-09,2007-11-24,41,10007
10007,Anthony Albanese,"Albanese, Anthony",Anthony,Albanese,Grayndler,Australian Labor Party,http://data.openaustralia.org/members/representatives.xml,R36,A.Albanese.MP@aph.gov.au,http://www.anthonyalbanese.com.au,"",http://twitter.com/AlboMP,http://en.wikipedia.org/wiki/Anthony_Albanese,Anthony Albanese,2007-11-24,2010-08-21,42,10007
