id,name__en,name,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,honorific_prefix,birth_date,identifier__freebase,family_name,given_name,identifier__ISNI,identifier__NLA,website,identifier__NNDB,death_date,identifier__Muzinger,twitter,identifier__BNF,identifier__NLI,identifier__NTA,instagram,facebook,identifier__ATP,identifier__ITF,wikipedia__en,identifier__Munzinger,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__pl,name__fr,name__ru,name__es,name__fi,name__it,name__la,name__de,name__ja,name__cs,name__fa,name__hr,name__nl,name__zh,name__sv,name__uk,name__mr,name__de_ch,name__el,name__en_ca,name__en_gb,name__he,name__id,name__ko,name__nb,name__pt_br,name__sh,name__ta,name__vi,name__hu,name__ms,name__be_tarask,name__da,name__fo,name__is,name__kl,name__nn,name__tl,name__sco,name__af,name__et,name__tr,name__ne,name__be,name__ur,name__bn,name__ro,name__sr,name__min,name__mn,name__hi,name__lt,name__bg,name__ar,name__io,name__th,name__ca,name__hy,name__mk,name__lv,name__mg,name__yi,name__ka,name__ckb,name__eo,wikipedia__af,wikipedia__ar,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ca,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__mg,wikipedia__min,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__th,wikipedia__thwikiquote,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__ur,wikipedia__vi,wikipedia__yi,wikipedia__zh,name__sq,wikipedia__sq,name__si,wikipedia__si,name__nds,name__eu,name__qu,name__uz,name__vo,name__oc,name__ga,name__bi,name__hak,name__rm,name__nan,name__arz,name__ug,name__yo,name__ml,name__yue,name__ht,name__wuu,name__ku,name__sk,name__cy,name__war,name__tpi,name__ceb,name__br,name__kn,wikipedia__arz,wikipedia__bi,wikipedia__br,wikipedia__ceb,wikipedia__cswikiquote,wikipedia__cy,wikipedia__enwikisource,wikipedia__eu,wikipedia__ga,wikipedia__hak,wikipedia__ht,wikipedia__kn,wikipedia__ku,wikipedia__ml,wikipedia__oc,wikipedia__qu,wikipedia__rm,wikipedia__sk,wikipedia__tpi,wikipedia__ug,wikipedia__uz,wikipedia__vo,wikipedia__war,wikipedia__wuu,wikipedia__yo,wikipedia__zh_min_nan,wikipedia__zh_yue,wikipedia__enwikinews,name__an,name__ast,name__bar,name__co,name__de_at,name__frp,name__fur,name__gd,name__gl,name__gsw,name__ia,name__ie,name__kg,name__lb,name__li,name__lij,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__sc,name__scn,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__wa,name__wo,name__zu,wikipedia__lb,wikipedia__mk,original_wikiname,name__szl,name__bcl,name__my,name__az,name__vep,name__ksh,name__nah,name__mwl,wikipedia__az,wikipedia__bcl,wikipedia__gd,wikipedia__ie,wikipedia__is,wikipedia__ksh,wikipedia__mwl,wikipedia__my,wikipedia__nah,wikipedia__nds,wikipedia__nn,wikipedia__plwikiquote,wikipedia__sw,wikipedia__szl,wikipedia__trwikiquote,wikipedia__vep,identifier__MusicBrainz,identifier__discogs,identifier__IMDB,name__jv,wikipedia__dewikiquote,wikipedia__gl,wikipedia__jv,wikipedia__nowikiquote,wikipedia__svwikinews,wikipedia__ukwikiquote,name__gv,wikipedia__gv,identifier__CANTIC,identifier__NDL,identifier__NUKAT,name__bs,name__lmo,wikipedia__ast,identifier__ULAN,identifier__NLAtrove,wikipedia__hif,name__hif,identifier__GTAA,identifier__OLID,wikipedia__hiwikiquote,identifier__Britannica,wikipedia__sm,identifier__FAST,name__sm,last_seen,identifier__CSPAN,identifier__TED,identifier__AuDB,identifier__senate_nl,linkedin,identifier__google_plus,identifier__wikitree,wikipedia__mai,identifier__google_knowledge,name__mai,occupation,identifier__nlg
Q1070523,Cheryl Kernot,Cheryl Kernot,,female,73485014,,,,,1948-12-05,/m/034tlr,,Cheryl,0000 0000 6405 7226,35201264,,,,,,,,,,,,,Cheryl Kernot,,,,,,,,,,Cheryl Kernot,,Cheryl Kernot,,,,Cheryl Kernot,,,,,Cheryl Kernot,,Cheryl Kernot,,,,,,,,,,Cheryl Kernot,,,,,Cheryl Kernot,,,Cheryl Kernot,,,,Cheryl Kernot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheryl Kernot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheryl Kernot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q1077015,Chris Bowen,Chris Bowen,https://upload.wikimedia.org/wikipedia/commons/e/e3/Chris_Bowen.JPG,male,,,,,,1973-01-17,/m/0430dg,Bowen,Chris,,,,,,,,,,,,,,,Chris Bowen,,,,,,,,,Chris Bowen,Chris Bowen,Крис Бауэн,Chris Bowen,,,,Chris Bowen,クリス・ボウエン,,,,Chris Bowen,克理斯·宝文,,,,,,,,,,,Chris Bowen,,,,,Chris Bowen,,,,,,,Chris Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Bowen,,,,,,,,,,,,,,,,,,,,克理斯·宝文,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q11701393,Greg Combet,Greg Combet,https://upload.wikimedia.org/wikipedia/commons/3/31/Greg_Combet_profile.jpg,male,,,,,,1958-04-28,,,Greg,,,,,,,,,,,,,,,Greg Combet,,,葛利格·克姆位元,,葛利格·克姆比特,,,,Greg Combet,Greg Combet,,Greg Combet,,,,Greg Combet,,,,,Greg Combet,,,,,,,,,,,,,,,,,Greg Combet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Greg Combet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greg Combet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greg Combet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471849,,,,,,,,,,,,,,,,,,,,,engineer,
Q1236571,Wayne Swan,Wayne Swan,https://upload.wikimedia.org/wikipedia/commons/b/b7/WayneSwan.jpg,male,65882688,,n2005074024,,,1954-06-30,/m/02vzl6,,Wayne,,,,,,,,,,,,,,,Wayne Swan,,,,,,,,,Wayne Swan,Wayne Swan,,Wayne Swan,,,,Wayne Swan,,,,,Wayne Swan,韦恩·斯万,Wayne Swan,,,,,,,,,,Wayne Swan,,,,,Wayne Swan,,,Wayne Swan,,,,Wayne Swan,Wayne Swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne Swan,,,,Wayne Swan,,,,Wayne Swan,,,,,,,,,,,,,,,,,,,,,,Wayne Swan,,Wayne Swan,,,,,,,,,,,,,,Wayne Swan,,,,,,韦恩·斯旺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne Swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OL1449028A,,,,1793839,,,,,,,,,,,,,politician,
Q1239291,Alexander Downer,Alexander Downer,https://upload.wikimedia.org/wikipedia/commons/8/8b/AlexanderDowner.jpg,male,294391653,1119640245,nb2002054806,,,1951-09-09,/m/01wy12,,Alexander,,,,,,,,,,,,,,,Alexander Downer,,,,,,,,Alexander Downer,Alexander Downer,Alexander Downer,,Alexander Downer,Alexander Downer,,,Alexander Downer,アレクサンダー・ダウナー,,,,Alexander Downer,亞歷山大·唐納,,Олександр Доунер,,,,,,,Alexander Downer,,,,,,,Alexander Downer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Downer,,,Alexander Downer,,,,Alexander Downer,,,Alexander Downer,Alexander Downer,,,,,,Alexander Downer,,,,,,,,,,,,,,,,,,Alexander Downer,Alexander Downer,,,,,,,,,,,,,,,Олександр Доунер,,,,亞歷山大·唐納,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Downer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biography/Alexander-John-Gosse-Downer,,480563,,,,,,,,,,,,,economist,
Q1281683,John Alexander,John Alexander,https://upload.wikimedia.org/wikipedia/commons/1/1f/John_Alexander.jpg,male,288750435,,n82158512,074163183,,1951-07-04,/m/066rzr,Alexander,John,0000 0003 9431 5267,,http://johnalexander.net.au/,,,,JohnAlexanderMP,12023346q,000008454,069018790,,John.Alexander.MP,A014,10002216,John Alexander (Australian politician),,,,,,,,John Alexander,John Alexander,John Alexander,Джон Александр,John Alexander,John Alexander,John Alexander,,John Alexander,ジョン・アレクサンダー,,,,John Alexander,約翰·亞歷山大,John Alexander,,,,,,,,,,John Alexander,,John Alexander,,,John Alexander,,,John Alexander,,,,John Alexander,,,,,,,,,,,,,,,,,جون ألكسندر,,,,Ջոն Ալեքսանդր,,,,,,,,,جون ألكسندر (سياسي أسترالي),,,,,,,Category:John Alexander,,,John Alexander (Tennisspieler),,,,John Alexander,,,,John Alexander,,,,,,,,John Alexander,,ジョン・アレクサンダー (テニス選手),,,,,,,,,,,,,,John Alexander,John Alexander,,,,,,John Alexander (tenis),,,John Alexander,,,,,,,,,,約翰·亞歷山大,,,,,,John Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Alexander (tennis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tennis player,296237
Q1376420,Stephen Smith,Stephen Smith,https://upload.wikimedia.org/wikipedia/commons/7/7e/Stephen_Smith.jpg,male,92530608,,,,,1955-12-12,/m/02vyy_,Smith,Stephen,,,,858/000196270,,,,,,,,,,,Stephen Smith (Australian politician),,,,,,,,Stephen Smith,Stephen Smith,Stephen Smith,Стивен Смит,Stephen Smith,,,,Stephen Smith,ステファン・スミス,,,,Stephen Smith,,Stephen Smith,,,,,,,,,,Stephen Smith,,,,,Stephen Smith,,,Stephen Smith,,,,Stephen Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Stephen Francis Smith,,,Stephen Smith (Politiker),,,,Stephen Smith,,,,Stephen Smith (Australie),,,,,,,,,,,,,,,,,,,,,,,,Stephen Smith (polityk),Stephen Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stephen Smith (Australian politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q1400580,Simon Crean,Simon Crean,https://upload.wikimedia.org/wikipedia/commons/2/2f/Simon_Crean_(1).jpg,male,193992541,171161106,,,,1949-02-26,/m/018f07,,Simon,,,,,,,,,,,,,,,Simon Crean,,,,,,,,Simon Crean,Simon Crean,Simon Crean,,Simon Crean,,Simon Crean,,Simon Crean,サイモン・クリーン,,,,Simon Crean,西蒙·克林,Simon Crean,,,,,,,,,,Simon Crean,,,,,Simon Crean,,,Simon Crean,,,,Simon Crean,Simon Crean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simon Crean,,,,,,,,,,,,,,,,Simon Crean,,,,,,,,,,,,,,,Simon Crean,Simon Crean,Simon Crean,,,,,,,,,,,,,Simon Crean,,,,,,西蒙·克林,,,,,,,,,,,,,,,,,,,,西蒙堅尼,,Simon Crean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simon Crean,,,西蒙堅尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simon Crean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biography/Simon-Crean,,,,,,,,,,,,,,,politician,
Q1449483,Tony Burke,Tony Burke,https://upload.wikimedia.org/wikipedia/commons/3/30/Tony_Burke_Portrait_2008.jpg,male,,,,,,1969-11-04,/m/0430mm,,Tony,,,http://www.tonyburke.com.au/,,,,,,,,,,,,Tony Burke,,,,,,,,,Tony Burke,Tony Burke,,Tony Burke,,,,Tony Burke,,,,,Tony Burke,托尼·伯克,Tony Burke,,,,,,,,,,Tony Burke,,,,,Tony Burke,,,Tony Burke,,,,Tony Burke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Tony Burke,,,Tony Burke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tony Burke,,,,,,,,,,,,,,,,,,,,托尼·伯克,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tony Burke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471942,,,,,,,,,,,,,,,,,,,,,politician,
Q1466753,John Dawkins,John Dawkins,https://upload.wikimedia.org/wikipedia/commons/4/4b/John-Dawkins-1984.jpg,male,261344258,,n96077522,,,1947-03-02,/m/05j7jl,,John,,,,,,,,,,,,,,,John Dawkins,,,,,,,,,,John Dawkins,,John Dawkins,,,,John Dawkins,,,,,John Dawkins,,John Dawkins,,,,,,,,,,John Dawkins,,,,,John Dawkins,,,John Dawkins,,,,John Dawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Dawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Dawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379047,,,,,,,,,,,,,politician,
