aph_id,photo,email,facebook,website,twitter
008K0,/api/parliamentarian/008K0/image,Anthony.Byrne.MP@aph.gov.au,http://www.facebook.com/anthonybyrne,http://www.anthonybyrnemp.com/,http://twitter.com/AnthonyByrne_MP
00AKI,/api/parliamentarian/00AKI/image,Peter.Dutton.MP@aph.gov.au,http://www.facebook.com/peterduttonmp,HTTP://www.peterdutton.com.au,http://twitter.com/PeterDutton_MP
00AMM,/api/parliamentarian/00AMM/image,Luke.Hartsuyker.MP@aph.gov.au,,http://www.lukehartsuyker.com.au/,
00AMN,/api/parliamentarian/00AMN/image,,http://www.facebook.com/pages/Sussan-Ley-MP/198830586850988,http://www.sussanley.com/,http://twitter.com/sussanley
00AMR,/api/parliamentarian/00AMR/image,Catherine.King.MP@aph.gov.au,http://www.facebook.com/CatherineKingMP,http://www.catherineking.com.au/,http://twitter.com/CatherineKingMP
00AMT,/api/parliamentarian/00AMT/image,Maria.Vamvakinou.MP@aph.gov.au,http://en-gb.facebook.com/people/Maria-Vamvakinou-Mp/100000798112750,http://www.mariavamvakinou.com,http://twitter.com/MariaVamvakinou
00AMV,/api/parliamentarian/00AMV/image,Greg.Hunt.MP@aph.gov.au,http://www.facebook.com/greg.hunt.mp,http://www.greghunt.com.au/,http://www.twitter.com/greghuntmp
00AN0,/api/parliamentarian/00AN0/image,,https://www.facebook.com/StevenCioboMP,http://www.stevenciobo.com/,https://twitter.com/stevenciobo
00AN1,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/00AN1/upload_ref_binary/00AN1.JPG,John.Cobb.MP@aph.gov.au,,http://www.johncobb.com.au/,
00AN3,/api/parliamentarian/00AN3/image,Brendan.O'Connor.MP@aph.gov.au,https://www.facebook.com/pages/Brendan-OConnor-MP/287789063686?sk=info,http://www.brendanoconnor.com.au,
00APG,/api/parliamentarian/00APG/image,Tony.Smith.MP@aph.gov.au,https://www.facebook.com/tonysmithmp,http://www.tonysmithmp.com/,http://twitter.com/TonySmithMP
00ATG,/api/parliamentarian/00ATG/image,Bill.Shorten.MP@aph.gov.au,http://www.facebook.com/BillShorten,http://www.billshorten.com.au/,http://twitter.com/billshortenmp
00BCM,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/00BCM/upload_ref_binary/00BCM.jpg,,https://www.facebook.com/peterhendy4edenmonaro,http://www.peterhendy.com.au/,
0J4,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/0J4/upload_ref_binary/0J4.jpg,,,http://philipruddock.com/,https://twitter.com/philipruddockmp
101351,/api/parliamentarian/101351/image,Peter.Khalil.MP@aph.gov.au,http://www.facebook.com/PeterKhalilMP,https://peterkhalil.com.au/,http://twitter.com/PeterKhalilMP
102376,/api/parliamentarian/102376/image,Madeleine.King.MP@aph.gov.au,https://www.facebook.com/madeleinekingmp,,https://twitter.com/MadeleineMHKing
109556,/api/parliamentarian/109556/image,,,,
123674,/api/parliamentarian/123674/image,,https://www.facebook.com/CathyMcgowanForIndi,http://www.cathymcgowan.com.au/,https://twitter.com/Indigocathy
125865,/api/parliamentarian/125865/image,,https://www.facebook.com/johnmcveighmp,http://johnmcveigh.com.au,https://twitter.com/johnjmcveigh
129164,/api/parliamentarian/129164/image,,https://www.facebook.com/brianmitchellforlyons2016,http://www.brianmitchell.com.au,https://twitter.com/brianmitchellmp
13050,/api/parliamentarian/13050/image,,,,
137174,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/137174/upload_ref_binary/137174.jpg,,https://www.facebook.com/AndrewNikolic4Bass,http://andrewnikolic.com/,https://twitter.com/andrewnikolic
138932,/api/parliamentarian/138932/image,,,,
139441,/api/parliamentarian/139441/image,,,http://www.kenodowd.com.au/,
140590,/api/parliamentarian/140590/image,Clare.ONeil.MP@aph.gov.au,https://www.facebook.com/ClareforHotham,,https://twitter.com/ClareONeilMP
148150,/api/parliamentarian/148150/image,,https://www.facebook.com/KeithPittMP,http://keithpitt.com.au/,
159771,/api/parliamentarian/159771/image,Michelle.Rowland.MP@aph.gov.au,http://www.facebook.com/mrowlandmp,http://www.michellerowland.com.au/,http://twitter.com/MRowlandMP
165476,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/165476/upload_ref_binary/165476.jpg,,https://www.facebook.com/liberalforlindsay,https://www.nsw.liberal.org.au/fiona-scott,
181810,/api/parliamentarian/181810/image,,http://www.facebook.com/susan.templeman,http://www.susantempleman.com.au,http://www.twitter.com/stemplemanmp
182468,/api/parliamentarian/182468/image,Matt.Thistlethwaite.MP@aph.gov.au,https://www.facebook.com/ThistlethwaiteM,http://www.mattthistlethwaite.com.au/,https://twitter.com/MThistlethwaite
18661,/api/parliamentarian/18661/image,,,,
188315,/api/parliamentarian/188315/image,,,http://www.bertvanmanen.com.au/,http://twitter.com/bertvanmanen/
193430,/api/parliamentarian/193430/image,,https://www.facebook.com/TimWattsGellibrand,http://www.timwatts.net.au/,https://twitter.com/TimWattsMP
198084,/api/parliamentarian/198084/image,,https://www.facebook.com/RickWilsonMP,http://www.rickwilson.com.au,
1K6,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/1K6/upload_ref_binary/1K6.JPG,B.Billson.MP@aph.gov.au,https://www.facebook.com/brucebillsonMP,http://www.brucebillson.com.au/,http://twitter.com/BruceBillsonMP
203092,/api/parliamentarian/203092/image,Trent.Zimmerman.MP@aph.gov.au,https://www.facebook.com/TrentZimmerman,http://trentzimmerman.com.au/,
207800,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/207800/upload_ref_binary/207800.jpg,,https://www.facebook.com/brettwhiteley.braddon,http://www.brettwhiteleymp.com.au/,https://twitter.com/brettwhiteleymp
208884,/api/parliamentarian/208884/image,,http://www.facebook.com/christianportermp,http://www.christianporter.com.au/,https://twitter.com/cporterwa
210911,/api/parliamentarian/210911/image,,https://www.facebook.com/pages/Dan-Tehan-MP/307339209323908,http://www.dantehan.com.au/,http://twitter.com/DanTehanWannon
212585,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/212585/upload_ref_binary/212585.jpg,,https://www.facebook.com/erichutchinsonmp,http://www.erichutchinson.com.au,https://twitter.com/hutchinson_eric
217266,/api/parliamentarian/217266/image,Jane.Prentice.MP@aph.gov.au,https://www.facebook.com/jprenticemp,http://www.janeprentice.com.au/,http://twitter.com/JanePrentice_MP
218019,/api/parliamentarian/218019/image,Kevin.Hogan.MP@aph.gov.au,https://www.facebook.com/KevinHoganMP,http://kevinhogan.com.au/,https://twitter.com/KevinHoganMP
219646,/api/parliamentarian/219646/image,, https://www.facebook.com/MichaelMcCormackMP,http://www.michaelmccormack.com.au/,http://twitter.com/M_McCormackMP
220370,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/220370/upload_ref_binary/220370.jpg,,http://www.facebook.com/natashagriggsmp,http://www.natashagriggs.com.au/,http://twitter.com/natashagriggsmp
230485,/api/parliamentarian/230485/image,,https://www.facebook.com/georgechristensen78,http://www.georgechristensen.com.au/,http://twitter.com/GChristensenMP
230531,/api/parliamentarian/230531/image,,http://www.facebook.com/ScottBuchholzMP,http://www.scottbuchholz.com.au/,http://twitter.com/ScottBuchholzMP
230886,/api/parliamentarian/230886/image,Karen.Andrews.MP@aph.gov.au,http://www.facebook.com/pages/Karen-Andrews-MP/150255771679533?ref=ts,http://karenandrewsmp.com,http://twitter.com/karenandrewsmp
231027,/api/parliamentarian/231027/image,,https://www.facebook.com/Angustaylor4hume,http://www.angustaylor.com.au/,https://twitter.com/angustaylormp
240756,/api/parliamentarian/240756/image,,https://www.facebook.com/pages/Tony-Pasin-Liberal-Candidate-for-Barker/250684105072363,,
241067,/api/parliamentarian/241067/image,,https://www.facebook.com/davidcoleman4banks,http://www.davidcoleman.com.au/,
241586,/api/parliamentarian/241586/image,Ann.Sudmalis.MP@aph.gov.au,https://www.facebook.com/AnnSudmalisMP,http://www.annsudmalismp.com.au/,
