id,name__en,name,wikipedia__en,gender,given_name,birth_date,death_date,identifier__freebase,image,identifier__VIAF,identifier__LCAuth,identifier__BNF,identifier__GNC,identifier__ISNI,identifier__GND,identifier__NLA,identifier__NTA,identifier__Oxforddnb,name__fr,name__es,name__nl,name__pl,name__nb,name__da,name__nn,name__sv,name__de,wikipedia__es,wikipedia__fr,wikipedia__pl,name__it,name__gl,name__ca,name__ta,wikipedia__ca,wikipedia__gl,wikipedia__ta,name__he,wikipedia__he,name__et,name__id,name__fi,name__el,name__en_ca,name__en_gb,name__pt,wikipedia__commons,wikipedia__da,wikipedia__el,wikipedia__enwikiquote,wikipedia__et,wikipedia__fi,wikipedia__id,wikipedia__it,wikipedia__pt,wikipedia__sv,name__ru,name__bg,wikipedia__bg,wikipedia__de,wikipedia__ru,name__cs,wikipedia__cs,name__zh,name__hu,wikipedia__hu,wikipedia__zh,identifier__SUDOC,original_wikiname,name__cy,identifier__FAST,family_name,last_seen,name__zh_hant,name__zh_cn,name__ja,occupation,name__sco,wikipedia__sco,wikipedia__tr,name__tr,name__ar,website,name__uk,wikipedia__uk,identifier__Britannica,name__sl,wikipedia__ast,name__ast,identifier__GTAA,identifier__BNE,name__zh_hans,twitter,wikipedia__simple,name__sq
Q13415150,Yvette Del Agua,Yvette Del Agua,Yvette Del Agua,female,Yvette,1957-10-21,,,,,,,,,,,,,Yvette Del Agua,Yvette Del Agua,Yvette Del Agua,,,,,,Yvette Del Agua,Yvette Del Agua,,,,,Yvette Del Agua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yvette Del Agua,,,,,,,,,,,,politician,,,,,,,,,,Yvette Del Agua,,Yvette Del Agua,,,,,,
Q1442437,Joseph Garcia,Joseph Garcia,Joseph Garcia (Gibraltarian politician),male,Joseph,1967,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Joseph_Garcia_portrait.jpg,87450345,,,,,,,,,Joseph Garcia,Joseph Garcia,Joseph Garcia,,,,,,Joseph Garcia,Joseph Garcia,Joseph Garcia (homme politique),,,Joseph Garcia,Joseph Garcia,,Joseph Garcia,Joseph Garcia,,,,,,,,,,,Category:Joseph Garcia,,,,,,,,,,Джозеф Гарсиа,,,,,,,,Joseph Garcia,,,,,,,Garcia,,,,,historian,,,,,,,,,,Joseph Garcia,,Joseph Garcia,,,,,,
Q14624743,Damon Bossino,Damon Bossino,Damon Bossino,male,Damon,,,,,,,,,,,,,,,Damon Bossino,Damon Bossino,,,,,,Damon Bossino,,,,,,,,,,,דיימון בוסינו,דיימון בוסינו,,,,,,,,,,,,,,,,,,,,,,,,,,Damon Bossino,,,,,,,,,,,,barrister,,,,,,,,,,,,Damon Bossino,,,,,,
Q15972570,Abraham Serfaty,Abraham Serfaty,Abraham Serfaty (Gibraltarian),male,Abraham,1910,"",,,,,,,,,,,,,Abraham Serfaty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serfaty,,,,,politician,,,,,,,,,,,,Abraham Serfaty,,,,,,
Q16142559,Clive Beltran,Clive Beltran,Clive Beltran,male,Clive,1949-10-18,,,,,,,,,,,,,Clive Beltran,Clive Beltran,Clive Beltran,,,,,,Clive Beltran,,,,Clive Beltran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Clive Beltran,,,,,,
Q16190596,Albert Isola,Albert Isola,Albert Isola,male,Albert,,,,https://upload.wikimedia.org/wikipedia/commons/c/c8/The_Hon_Albert_Isola_2014_(cropped).jpg,,,,,,,,,,,Albert Isola,,,,,,,Albert Isola,,,,Albert Isola,,,,,,,,,,,,,,,,Category:Albert Isola,,,,,,,,,,,,,,,,,,,,,,,,,Isola,,,,,barrister,,,,,,,,,,,,Albert Isola,,,,,,
Q16215821,Marlene Hassan Nahon,Marlene Hassan Nahon,Marlene Hassan Nahon,female,Marlene,1976,,,,,,,,,,,,,Marlene Hassan Nahon,Marlene Hassan Nahon,Marlene Hassan Nahon,,,,,,Marlene Hassan Nahon,Marlene Hassan-Nahon,,,Marlene Hassan Nahon,,Marlene Hassan Nahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,Marlene Hassan Nahon,,Marlene Hassan Nahon,,,,MHassanNahon,,
Q16728812,Isobel Ellul-Hammond,Isobel Ellul-Hammond,Isobel Ellul-Hammond,female,,,,,,,,,,,,,,,,Isobel Ellul-Hammond,,,,,,,,,,,Isobel Ellul-Hammond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Isobel Ellul-Hammond,,,,,,
Q16735145,Edwin Reyes,Edwin Reyes,Edwin Reyes,male,Edwin,,,/m/0zwmtml,,,,,,,,,,,Edwin Reyes,Edwin Reyes,Edwin Reyes,,,,,,Edwin Reyes,,,,Edwin Reyes,,Edwin Reyes,,,,,,,,,Edwin Reyes,,,,,,,,,,,,,,,Эдвин Рейес,,,,,,,,Edwin Reyes,,,,,,,Reyes,,,,,politician,,,,,,,,,,Edwin Reyes,,Edwin Reyes,,,,,,
Q1708538,Joshua Hassan,Joshua Hassan,Joshua Hassan,male,Joshua,1915-08-21,1997-07-01,/m/053q78,https://upload.wikimedia.org/wikipedia/commons/9/99/Joshua_Hassan.jpg,14684917,nr98030930,,,0000 0001 1438 2298,119516713,,160905621,67299,Joshua Hassan,Joshua Hassan,Joshua Hassan,Joshua Hassan,Joshua Hassan,Joshua Hassan,Joshua Hassan,Joshua Hassan,Joshua Abraham Hassan,Joshua Hassan,Joshua Hassan,Joshua Hassan,Joshua Hassan,,Joshua Hassan,,,,,יהושע חסן,יהושע חסן,,,Joshua Hassan,,,,,Category:Joshua Hassan,,,,,,,Joshua Hassan,,,"Хассан, Джошуа",Джошуа Хасан,Джошуа Хасан,Joshua Abraham Hassan,"Хасан, Джошуа",,,,Joshua Hassan,,,,,,421867,Hassan,,,,,politician,,,,,,,Джошуа Гассан,Джошуа Гассан,biography/Joshua-Abraham-Hassan,Joshua Hassan,,Joshua Hassan,107501,,,,,
Q2336213,Robert Peliza,Robert Peliza,Robert Peliza,male,Robert,1920-11-16,2011-12-12,/m/053q90,https://upload.wikimedia.org/wikipedia/commons/4/4c/Robert_Peliza.jpg,,,,,,,,,,Robert Peliza,Robert Peliza,Robert Peliza,Robert Peliza,Robert Peliza,Robert Peliza,Robert Peliza,Robert Peliza,Robert Peliza,Robert Peliza,Robert Peliza,Robert Peliza,,,Robert Peliza,,,,,,,,,Robert Peliza,,,,,,,,,,Robert Peliza,,,,,"Пелиза, Роберт",,,Robert Peliza,"Пелиза, Роберт",,,,Robert Peliza,,,,,Robert Peliza,,,,,,,politician,,,,,,,,,,Robert Peliza,,Robert Peliza,,,,,,
Q2356379,Fabian Picardo,Fabian Picardo,Fabian Picardo,male,Fabian,1972-02-18,,/m/0gky7yt,https://upload.wikimedia.org/wikipedia/commons/2/2b/Fabian_Picardo_on_National_Day_2011.jpg,,,,,,,,,,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,,Fabian Picardo,,Fabian Picardo,,,פביאן פיקארדו,פביאן פיקארדו,Fabian Picardo,Fabian Picardo,Fabian Picardo,Φάμπιαν Πικάρντο,Fabian Picardo,Fabian Picardo,Fabian Picardo,Category:Fabian Picardo,Fabian Picardo,Φάμπιαν Πικάρντο,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,"Пикардо, Фабиан",,,Fabian Picardo,"Пикардо, Фабиан",,,費比安·皮卡多,Fabian Picardo,,,,,,,,,費比安·皮卡多,,フェビアン・ピカルド,barrister,Fabian Picardo,Fabian Picardo,Fabian Picardo,Fabian Picardo,,,,,,Fabian Picardo,Fabian Picardo,Fabian Picardo,,,费比安·皮卡多,,,
Q249192,Peter Caruana,Peter Caruana,Peter Caruana,male,Peter,1956-10-15,,/m/0218pw,https://upload.wikimedia.org/wikipedia/commons/f/f5/Peter_Caruana_elected.jpg,,,,,,,,,,Peter Caruana,Peter Caruana,Peter Caruana,Peter Caruana,Peter Caruana,Peter Caruana,Peter Caruana,Peter Caruana,Peter Caruana,Peter Caruana,Peter Caruana,Peter Caruana,Peter Caruana,,Peter Caruana,,Peter Caruana,,,,,,Peter Caruana,Peter Caruana,Πίτερ Καρουάνα,,,,Peter Caruana,Peter Caruana,Πίτερ Καρουάνα,,,Peter Caruana,Peter Caruana,Peter Caruana,,,,,,Peter Caruana,,,,彼得·卡鲁阿纳,Peter Caruana,Peter Caruana,彼得·卡鲁阿纳,,,,,Caruana,,,,ピーター・カルアナ,politician,,,,,,,,,,Peter Caruana,,Peter Caruana,,,,,,
Q2824721,Adolfo Canepa,Adolfo Canepa,Adolfo Canepa,male,Adolfo,1940-12-17,,,https://upload.wikimedia.org/wikipedia/commons/8/8f/Investidura_Adolfo_Canepa_como_nuevo_alcalde_(7).jpg,,,,,,,,,,Adolfo Canepa,Adolfo Canepa,Adolfo Canepa,Adolfo Canepa,Adolfo Canepa,Adolfo Canepa,Adolfo Canepa,Adolfo Canepa,Adolfo Canepa,Adolfo Canepa,Adolfo Canepa,Adolfo Canepa,,,Adolfo Canepa,,,,,,,,,,,,,,Category:Adolfo Canepa,,,,,,,,,,,,,Adolfo Canepa,,,,,Adolfo Canepa,,,,,,,Canepa,,,,,politician,,,,,,,,,,Adolfo Canepa,,Adolfo Canepa,,,,,,
Q3090591,Joe Bossano,Joe Bossano,Joe Bossano,male,Joseph,1939-06-10,,/m/02szlq,https://upload.wikimedia.org/wikipedia/commons/2/2b/Joe_Bossano_on_National_Day_2011.jpg,,,,,,,,,,Joe Bossano,Joe Bossano,Joe Bossano,Joe Bossano,Joe Bossano,Joe Bossano,Joe Bossano,Joe Bossano,Joe Bossano,Joe Bossano,Joe Bossano,Joe Bossano,Joe Bossano,,Joe Bossano,,Joe Bossano,,,,,,,,,,,,Category:Joe Bossano,,,,,,,,,,,,,Joe Bossano,,,,,Joe Bossano,,,,,,,,,喬·博薩諾,乔·博萨诺,ジョー・ボサノ,politician,,,,,,,,,,Joe Bossano,,Joe Bossano,,,,,,
Q3322915,Neil Costa,Neil Costa,Neil Costa,male,Neil,"",,/m/0n505wn,"https://upload.wikimedia.org/wikipedia/commons/9/97/Minister_for_Business_and_Employment,_the_Honourable_Neil_F_Costa_MP.jpg",,,,,,,,,,Neil Costa,Neil Costa,Neil Costa,,Neil Costa,Neil Costa,Neil Costa,Neil Costa,Neil Costa,Neil Costa,Neil Costa,,Neil Costa,Neil Costa,Neil Costa,,Neil Costa,Neil Costa,,נייל קוסטה,נייל קוסטה,,,,,,,,Category:Neil Costa,,,,,,,Neil Costa,,,Нил Коста,,,,,,,,Neil Costa,,,,,,,Costa,,,,,politician,,,,,نيل كوستا,,,,,Neil Costa,,Neil Costa,,,,,,
