id,name,photo,constituency,party,email,birth_date,party_id,source,term
5,Carlos Jose Antonio,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Carlos%20Jose%20Antonio.JPG?itok=xu4Twrf0,Kaoma,United Party for National Development,cjantonio@parliament.gov.zm,1965-09-22,UPND,http://www.parliament.gov.zm/members-of-parliament,2011
63,Chifumu Kingdom Banda,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Chifumu%20Kingdom%20Banda.jpg?itok=3sSqKdrE,Chasefu,Forum for Democracy and Development,cbanda@parliament.gov.zm,1950-01-02,FDD,http://www.parliament.gov.zm/members-of-parliament,2011
3,Isaac Kafulamchenga Banda,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Isaac%20Kafulamchenga%20Banda.jpg?itok=hiB1HprM,Lumezi,Movement for Multi-Party Democracy,ikbanda@parliament.gov.zm,1965-04-01,MMD,http://www.parliament.gov.zm/members-of-parliament,2011
4,Nicholas Kumbukani Banda,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Nicholas%20Banda.jpg?itok=LzfafNTc,Kapoche,Movement for Multi-Party Democracy,nkbanda@parliament.gov.zm,1970-03-08,MMD,http://www.parliament.gov.zm/members-of-parliament,2011
185,Whiteson Banda,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Whiteson%20Banda.JPG?itok=1FgCasjK,Milanzi,Movement for Multi-Party Democracy,bwhiteson@parliament.gov.zm,1974-08-27,MMD,http://www.parliament.gov.zm/members-of-parliament,2011
186,Ephraim Kaang'andu Belemu,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Ephraim%20Kaang%27andu%20Belemu.JPG?itok=AOfASxCR,Mbabala,United Party for National Development,ekbelemu@parliament.gov.zm,1968-07-30,UPND,http://www.parliament.gov.zm/members-of-parliament,2011
188,Levy Chabala,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Levy%20Chabala.jpg?itok=Nkll2fMQ,Kankoyo,Patriotic Front,lchabala@parliament.gov.zm,1979-02-28,PF,http://www.parliament.gov.zm/members-of-parliament,2011
189,Col. Gerry Chanda (Rtd),http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Col.%20Gerry%20Chanda.jpg?itok=MUIfzsgO,Kanyama,Patriotic Front,fgchanda@parliament.gov.zm,1946-04-28,PF,http://www.parliament.gov.zm/members-of-parliament,2011
190,Hastings Sensembeka Chansa,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Chansa%20Hastings.gif?itok=u7MpyNrK,Chimbamilonga,Patriotic Front,hschansa@parliament.gov.zm,1961-03-18,PF,http://www.parliament.gov.zm/members-of-parliament,2011
191,Emmanuel Tawanda Chenda,http://www.parliament.gov.zm/sites/default/files/styles/naz-mp-teaser/public/images/mp/Emmanuel%20Chenda.JPG?itok=cq60Qv1z,Bwana Mkubwa,Patriotic Front,etchenda@parliament.gov.zm,1952-12-25,PF,http://www.parliament.gov.zm/members-of-parliament,2011
