id,name,image,given_name,family_name,sort_name,birth_date,gender,identifier__bioguide,identifier__thomas,identifier__lis,identifier__govtrack,identifier__opensecrets,identifier__votesmart,identifier__fec,identifier__cspan,identifier__wikipedia,identifier__house_history,identifier__ballotpedia,identifier__maplight,identifier__washington_post,identifier__icpsr,identifier__wikidata,house,start_date,state,district,party,homepage,address,phone,fax,area_id,term,end_date,identifier__bioguide_previous
A000014,Neil Abercrombie,https://theunitedstates.io/images/congress/original/A000014.jpg,Neil,Abercrombie,"Abercrombie, Neil",1938-06-26,male,A000014,00002,,400001,N00007665,26827,H6HI01121,,Neil Abercrombie,8268,,,,15245,,rep,1991-01-06,HI,1,Democrat,,,,,ocd-division/country:us/state:hi/cd:1,102,1993-01-03,
A000014,Neil Abercrombie,https://theunitedstates.io/images/congress/original/A000014.jpg,Neil,Abercrombie,"Abercrombie, Neil",1938-06-26,male,A000014,00002,,400001,N00007665,26827,H6HI01121,,Neil Abercrombie,8268,,,,15245,,rep,1993-01-06,HI,1,Democrat,,,,,ocd-division/country:us/state:hi/cd:1,103,1995-01-03,
A000014,Neil Abercrombie,https://theunitedstates.io/images/congress/original/A000014.jpg,Neil,Abercrombie,"Abercrombie, Neil",1938-06-26,male,A000014,00002,,400001,N00007665,26827,H6HI01121,,Neil Abercrombie,8268,,,,15245,,rep,1995-01-06,HI,1,Democrat,,,,,ocd-division/country:us/state:hi/cd:1,104,1997-01-03,
A000014,Neil Abercrombie,https://theunitedstates.io/images/congress/original/A000014.jpg,Neil,Abercrombie,"Abercrombie, Neil",1938-06-26,male,A000014,00002,,400001,N00007665,26827,H6HI01121,,Neil Abercrombie,8268,,,,15245,,rep,1997-01-07,HI,1,Democrat,,,,,ocd-division/country:us/state:hi/cd:1,105,1999-01-03,
A000014,Neil Abercrombie,https://theunitedstates.io/images/congress/original/A000014.jpg,Neil,Abercrombie,"Abercrombie, Neil",1938-06-26,male,A000014,00002,,400001,N00007665,26827,H6HI01121,,Neil Abercrombie,8268,,,,15245,,rep,1999-01-06,HI,1,Democrat,,,,,ocd-division/country:us/state:hi/cd:1,106,2001-01-03,
A000014,Neil Abercrombie,https://theunitedstates.io/images/congress/original/A000014.jpg,Neil,Abercrombie,"Abercrombie, Neil",1938-06-26,male,A000014,00002,,400001,N00007665,26827,H6HI01121,,Neil Abercrombie,8268,,,,15245,,rep,2001-01-06,HI,1,Democrat,,,,,ocd-division/country:us/state:hi/cd:1,107,2003-01-03,
A000014,Neil Abercrombie,https://theunitedstates.io/images/congress/original/A000014.jpg,Neil,Abercrombie,"Abercrombie, Neil",1938-06-26,male,A000014,00002,,400001,N00007665,26827,H6HI01121,,Neil Abercrombie,8268,,,,15245,,rep,2003-01-07,HI,1,Democrat,http://www.house.gov/abercrombie,,,,ocd-division/country:us/state:hi/cd:1,108,2005-01-03,
A000014,Neil Abercrombie,https://theunitedstates.io/images/congress/original/A000014.jpg,Neil,Abercrombie,"Abercrombie, Neil",1938-06-26,male,A000014,00002,,400001,N00007665,26827,H6HI01121,,Neil Abercrombie,8268,,,,15245,,rep,2005-01-06,HI,1,Democrat,http://www.house.gov/abercrombie,,,,ocd-division/country:us/state:hi/cd:1,109,2007-01-03,
A000014,Neil Abercrombie,https://theunitedstates.io/images/congress/original/A000014.jpg,Neil,Abercrombie,"Abercrombie, Neil",1938-06-26,male,A000014,00002,,400001,N00007665,26827,H6HI01121,,Neil Abercrombie,8268,,,,15245,,rep,2007-01-06,HI,1,Democrat,http://www.house.gov/abercrombie,,,,ocd-division/country:us/state:hi/cd:1,110,2009-01-03,
A000014,Neil Abercrombie,https://theunitedstates.io/images/congress/original/A000014.jpg,Neil,Abercrombie,"Abercrombie, Neil",1938-06-26,male,A000014,00002,,400001,N00007665,26827,H6HI01121,,Neil Abercrombie,8268,,,,15245,,rep,2009-01-06,HI,1,Democrat,http://www.house.gov/abercrombie,,,,ocd-division/country:us/state:hi/cd:1,111,2010-03-01,
