id,position,label,description,start_date,constituency,replaces,replaced_by,end_date,ordinal,party,election,of
Q1018322,Q13218630,United States representative,elected representative in the US,1987-01-03,Ohio's 8th congressional district,,,1990-10-24,,,,
Q1018322,Q20065429,member of the State Senate of Ohio,"","",Ohio's 4th senatorial district,,,,,,,
Q1026119,Q13218630,United States representative,elected representative in the US,1991-01-03,California's 17th congressional district,Chip Pashayan,Leon Panetta,1993-01-03,,,,
Q1026119,Q13218630,United States representative,elected representative in the US,1993-01-03,California's 20th congressional district,Bill Thomas,Jim Costa,2005-01-03,,,,
Q1027026,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1027026,Q19754409,member of the South Carolina House of Representatives,"","",,,,,,,,
Q1029527,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1037241,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q10390,Q13217683,United States senator,member of the United States Senate,1987-01-03,Arizona,Barry Goldwater,,,,,,
Q10390,Q13218630,United States representative,elected representative in the US,1983-01-03,,John Jacob Rhodes,John Jacob Rhodes III,1987-01-03,,,,
Q1043079,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1043079,Q18180908,member of the California State Assembly,"elected Representative in California, USA","",,,,,,,,
Q1045188,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1048182,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1048182,Q18089655,Member of the North Carolina House of Representatives,"","",,,,,,,,
Q1048182,Q19727887,member of the State Senate of North Carolina,"Member the  of North Carolina Senate, USA","",,,,,,,,
Q1052306,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1064244,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1064244,Q18342844,Member of the Florida House of Representatives,elected Representative of the legislature of the state of florida,"",,,,,,,,
Q1064695,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1064695,Q18089655,Member of the North Carolina House of Representatives,"","",,,,,,,,
Q1064695,Q19727887,member of the State Senate of North Carolina,"Member the  of North Carolina Senate, USA","",,,,,,,,
Q1064774,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1065727,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1066931,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1066931,Q25016248,Mayor of Cincinnati,"head of the executive branch of the government of Cincinnati, Ohio, United States",1984-01-01,,Roxanne Qualls,David S. Mann,1991-01-02,,,,
Q1076991,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1077380,Q13218630,United States representative,elected representative in the US,1997-01-03,Louisiana's 7th congressional district,Jimmy Hayes,Charles Boustany,2005-01-03,,,,
Q1077380,Q17355090,member of the Louisiana House of Representatives,elected representative,"",,,,,,,,
Q1077474,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1077594,Q13217683,United States senator,member of the United States Senate,2013-01-03,Connecticut,,,,,,,
Q1077594,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1077594,Q18763331,member of the Connecticut House of Representatives,elected representative in Connecticut,"",,,,,,,,
Q1077594,Q19831739,member of the State Senate of Connecticut,"","",,,,,,,,
Q1089112,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1094733,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1094733,Q18180908,member of the California State Assembly,"elected Representative in California, USA","",,,,,,,,
Q1094733,Q19690441,member of the State Senate of California,"","",,,,,,,,
Q1096809,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1100647,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1100710,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1100710,Q17598395,member of the Washington House of Representatives,elected Representative,1989-01-09,Washington's 14th legislative district,,,1993-01-11,,,,
Q1100710,Q19647220,Governor of Washington,"head of the Washington State, USA",2013-01-16,,Christine Gregoire,,,23,,,
Q1112656,Q13218630,United States representative,elected representative in the US,2007-01-03,Vermont's at-large congressional district,Bernie Sanders,,,,,"United States House of Representatives election in Vermont, 2006",
Q1115522,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1118577,Q13218630,United States representative,elected representative in the US,1997-01-03,Texas's 1st congressional district,Jim Chapman,Louie Gohmert,2005-01-03,,,,
Q1122828,Q13218630,United States representative,elected representative in the US,1981-01-03,,John G. Hutchinson,Bob Wise,1983-01-03,,,,
Q113955,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1145362,Q13218630,United States representative,elected representative in the US,"",Pennsylvania's 7th congressional district,,,,,,,
Q1159044,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1159044,Q18694588,Member of the United States House of Representatives from Virginia,"","",,,,,,,,
Q1159112,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1159125,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1163099,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1163099,Q18342844,Member of the Florida House of Representatives,elected Representative of the legislature of the state of florida,"",,,,,,,,
Q1163099,Q19961062,member of the State Senate of Florida,"","",,,,,,,,
Q1164657,Q13218630,United States representative,elected representative in the US,1997-01-03,Illinois's 7th congressional district,Cardiss Collins,,,,,,
Q1164977,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1164977,Q18342844,Member of the Florida House of Representatives,elected Representative of the legislature of the state of florida,"",,,,,,,,
Q1166592,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q11702,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q11702,Q17502533,member of the Ohio House of Representatives,"","",,,,,,,,
Q11702,Q7314581,Republican Conference Chairman of the United States House of Representatives,"",2001-01-03,,William F. Goodling,Howard McKeon,2006-01-03,,,,
Q11702,Q912994,speaker of the United States House of Representatives,position,2011-01-03,,Nancy Pelosi,Paul Ryan,2015-10-29,53,,,
Q1173285,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1174175,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1174175,Q18538054,member of the Tennessee House of Representatives,"","",,,,,,,,
Q1174271,Q13218630,United States representative,elected representative in the US,1977-01-03,,James G. O'Hara,Sander M. Levin,1993-01-03,12,,,
Q1174271,Q18654736,member of the Michigan House of Representatives,elected Representative,"",,,,,,,,
Q1174381,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1174381,Q18713970,member of the Maine House of Representatives,elected Representative in the State of Maine,"",,,,,,,,
Q1175392,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1175610,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1175694,Q13218630,United States representative,elected representative in the US,1993-01-03,Minnesota's 2nd congressional district,Vin Weber,Mark Kennedy,2001-01-03,,,,
Q1176239,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1176561,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1176561,Q17486298,Member of the Arizona House of Representatives,member of the House of Representatives of the state of Arizona,"",,,,,,,,
Q1176745,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1177017,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1188940,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1189097,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1189097,Q17502533,member of the Ohio House of Representatives,"","",,,,,,,,
Q1189328,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1189328,Q18654736,member of the Michigan House of Representatives,elected Representative,"",,,,,,,,
Q12069961,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1209631,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1209858,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1209858,Q18536527,member of the New Jersey General Assembly,"","",,,,,,,,
Q1209858,Q19385767,member of the State Senate of New Jersey,"","",,,,,,,,
Q1232464,Q13218630,United States representative,elected representative in the US,"",,,,,,,,
Q1232464,Q21363942,member of the State Senate of Minnesota,"","",,,,,,,,
Q1235731,Q13218630,United States representative,elected representative in the US,2011-01-03,South Carolina's 5th congressional district,,,2017-02-16,,,,
Q1235731,Q18676729,member of the State Senate of South Carolina,"",2009-01-03,,,,2011-01-03,,,,
Q1235731,Q19754409,member of the South Carolina House of Representatives,"","",,,,,,,,
Q1235731,Q27907139,Director of the Office of Management and Budget,Cabinet-level office in the United States government,2017-02-16,,,,,,,,
