id,name__en,name__yo,name__es,name__de,name__nb,name__da,name__nn,name__sv,name__fr,name__cy,name__nl,name__hu,name,wikipedia__en,wikipedia__yo,gender,occupation,birth_date,death_date,given_name,original_wikiname,name__ig,wikipedia__ig,wikipedia__sv,image,wikipedia__es,identifier__VIAF,identifier__LCAuth,identifier__SUDOC,identifier__FAST,twitter,identifier__google_knowledge,name__tr,name__ru,wikipedia__de,wikipedia__no,wikipedia__ru,wikipedia__tr,identifier__freebase,name__zh_hant,name__zh_cn,name__ar,name__eu,name__fi,name__hr,name__id,name__it,name__ja,name__ka,name__ko,name__pl,name__pt,name__qu,name__sr,name__sw,name__uk,name__af,name__zh,name__fa,name__eo,name__ca,wikipedia__af,wikipedia__ar,wikipedia__ca,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hr,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__nl,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__qu,wikipedia__sr,wikipedia__sw,wikipedia__uk,wikipedia__zh,identifier__ISNI,identifier__GND,identifier__OLID,identifier__NTA,identifier__NNDB,identifier__Munzinger,identifier__Oxforddnb,identifier__britishmuseum,identifier__bigenc_ru,identifier__snac,wikipedia__simple,name__vi,wikipedia__vi,identifier__BNF,name__cs,wikipedia__cswikiquote,name__en_ca,name__en_gb,name__ht,wikipedia__ht,name__zh_tw,wikipedia__hu,identifier__FIFA,wikipedia__enwikisource,identifier__quora,identifier__ne_se,wikipedia__commons,website
Q10951112,Joseph Olatunji Ajayi,Joseph Olatunji Ajayi,,Joseph Olatunji Ajayi,,,,,Joseph Olatunji Ajayi,,Joseph Olatunji Ajayi,,Joseph Olatunji Ajayi,Joseph Olatunji Ajayi,Joseph Olatunji Ajayi,male,politician,,,Joseph,Joseph Olatunji Ajayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10987178,Ita Enang,Ita Enang,,Ita Enang,,,,,Ita Enang,,Ita Enang,,Ita Enang,Ita Enang,Ita Enang,male,politician,1962-08-23,,Ita,Ita Enang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10998235,Abubakar Atiku Bagudu,Abubakar Atiku Bagudu,,Abubakar Atiku Bagudu,,,,,Abubakar Atiku Bagudu,,Abubakar Atiku Bagudu,,Abubakar Atiku Bagudu,Abubakar Atiku Bagudu,Abubakar Atiku Bagudu,male,politician,1961-12-26,,,Abubakar Atiku Bagudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140370,,Abdu U. Yandomi,,,,,,,,,,,Abdu U. Yandomi,,Abdu U. Yandomi,male,,,,,Abdu U. Yandomi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140373,,Abubakar Maikafi,,,,,,,,,,,Abubakar Maikafi,,Abubakar Maikafi,male,,,,,Abubakar Maikafi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140374,,Abubakar Ibrahim,,,,,,,,,,,Abubakar Ibrahim,,Abubakar Ibrahim,male,,,,,Abubakar Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140570,,Aniette Okon,,,,,,,,,,,Aniette Okon,,Aniette Okon,,,,,,Aniette Okon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140574,,Anthony Adeniyi,,,,,,,,,,,Anthony Adeniyi,,Anthony Adeniyi,male,,,,,Anthony Adeniyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140606,,Bello M. Yusuf,,,,,,,,,,,Bello M. Yusuf,,Bello M. Yusuf,male,,,,,Bello M. Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140620,,Christopher Nwankwo,,,,,,,,,,,Christopher Nwankwo,,Christopher Nwankwo,male,,,,,Christopher Nwankwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140623,,Dalha Ahmed Danzomo,,,,,,,,,,,Dalha Ahmed Danzomo,,Dalha Ahmed Danzomo,,,,,,Dalha Ahmed Danzomo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140624,,Daisy Danjuma,,,,,,,,,,,Daisy Danjuma,,Daisy Danjuma,,,,,,Daisy Danjuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140636,,Emmanuel Anosike,,,,,,,,,,,Emmanuel Anosike,,Emmanuel Anosike,male,,,,,Emmanuel Anosike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140638,,Emmanuel A. Azu,,,,,,,,,,,Emmanuel A. Azu,,Emmanuel A. Azu,male,,,,,Emmanuel A. Azu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140639,,Emmanuel G. Bwacha,,,,,,,,,,,Emmanuel G. Bwacha,,Emmanuel G. Bwacha,male,,,,,Emmanuel G. Bwacha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140645,Faruk Bello,Faruk Bello,,,,,,,,,,,Faruk Bello,,Faruk Bello,male,,,,Faruk,Faruk Bello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140651,Fred Aghogho Brume,Fred Aghogho Brume,,Fred Aghogho Brume,,,,,Fred Aghogho Brume,,Fred Aghogho Brume,,Fred Aghogho Brume,Fred Aghogho Brume,Fred Aghogho Brume,male,politician,1942-09-25,2011-09-12,Fred,Fred Aghogho Brume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140663,,Gyang Datong,,,,,,,,,,,Gyang Datong,,Gyang Datong,,,,,,Gyang Datong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140666,Haruna Abubakar,Haruna Abubakar,,Haruna Abubakar,,,,,Haruna Abubakar,,Haruna Abubakar,,Haruna Abubakar,Haruna Abubakar,Haruna Abubakar,male,politician,1952-06-06,2005-02-27,Haruna,Haruna Abubakar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140667,Heineken Lokpobiri,Heineken Lokpobiri,,Heineken Lokpobiri,,,,,Heineken Lokpobiri,,Heineken Lokpobiri,,Heineken Lokpobiri,Heineken Lokpobiri,Heineken Lokpobiri,male,politician,1967-03-03,,,Heineken Lokpobiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140669,Hosea Ehinlanwo,Hóséà Ehinlanwo,,Hosea Ehinlanwo,,,,,Hosea Ehinlanwo,,Hosea Ehinlanwo,,Hosea Ehinlanwo,Hosea Ehinlanwo,Hóséà Ehinlanwo,male,politician,1938-08-02,,,Hóséà Ehinlanwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140681,Ibiapuye Martyns-Yellowe,Ibiapuye Martyns-Yellowe,,,,,,,Ibiapuye Martyns-Yellowe,,Ibiapuye Martyns-Yellowe,,Ibiapuye Martyns-Yellowe,Ibiapuye Martyns-Yellowe,Ibiapuye Martyns-Yellowe,male,politician,1945-11-12,2009-07-02,,Ibiapuye Martyns-Yellowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140686,,Ikechukwu Abana,,,,,,,,,,,Ikechukwu Abana,,Ikechukwu Abana,,,,,,Ikechukwu Abana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140687,Ike Ekweremadu,Ike Ekweremadu,,Ike Ekweremadu,,,,,Ike Ekweremadu,,Ike Ekweremadu,,Ike Ekweremadu,Ike Ekweremadu,Ike Ekweremadu,male,politician,1962-05-12,,Ike,Ike Ekweremadu,,,,,,,,,,,,,,,,,,,艾克·艾克沃瑞馬杜,艾克·艾克沃瑞马杜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140688,Ikechukwu Obiorah,Ikechukwu Obiorah,,Ikechukwu Obiorah,,,,,Ikechukwu Obiorah,,Ikechukwu Obiorah,,Ikechukwu Obiorah,Ikechukwu Obiorah,Ikechukwu Obiorah,male,politician,1961-08-29,,,Ikechukwu Obiorah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ikechukwu Obiorah,Ikechukwu Obiorah,,,,,,,,,,,,
Q13140689,,Ifeanyi Godwin Araraume,,,,,,,,,,,Ifeanyi Godwin Araraume,,Ifeanyi Godwin Araraume,,,,,,Ifeanyi Godwin Araraume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140697,,Isa Mohammed,,,,,,,,,,,Isa Mohammed,,Isa Mohammed (ọmọ Ilé Alàgbà),,,,,,Isa Mohammed (ọmọ Ilé Alàgbà),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13140698,,Isa Muhammed Galaudu,,,,,,,,,,,Isa Muhammed Galaudu,,Isa Muhammed Galaudu,male,,,,,Isa Muhammed Galaudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
