id,name__es,name,wikipedia__es,gender,given_name,original_wikiname,name__it,name__en,birth_date,name__ru,name__hu,name__nl,name__de,name__fr,wikipedia__en,name__sv,wikipedia__sv,name__nb,name__da,name__nn,wikipedia__fr,name__la,wikipedia__de,wikipedia__la,wikipedia__commons,name__pl,name__ca,name__an,name__pt,name__mk,wikipedia__an,wikipedia__ca,wikipedia__it,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,image,identifier__freebase,identifier__VIAF,identifier__BNF,identifier__SUDOC,twitter,name__fi,name__oc,wikipedia__fi,wikipedia__nl,identifier__FAST,name__gl,name__ko,name__uk,name__hy,name__cs,wikipedia__ko,wikipedia__uk,family_name,name__id,wikipedia__id,identifier__ISNI,identifier__IMDB,last_seen,name__be_tarask,name__zh,name__zh_hant,name__zh_cn,name__ast,name__eu,name__ro,website,wikipedia__eswikiquote,name__ja,instagram,facebook,wikipedia__ast,identifier__MusicBrainz,occupation,identifier__LCAuth,identifier__snac,identifier__youtube,wikipedia__fa,name__fa,name__lt,name__sco,name__sr,wikipedia__cs,wikipedia__hu,wikipedia__lt,wikipedia__ro,wikipedia__sco,wikipedia__sr,name__ar,identifier__ioc_athlete,identifier__cinenacional,identifier__songkick,name__he,wikipedia__sh,name__sh,linkedin,second_surname,name__af,name__bar,name__bm,name__br,name__co,name__cy,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__simple,identifier__google_plus,name__sl,wikipedia__eu,wikipedia__ruwikinews,identifier__NTA,wikipedia__itwikiquote,identifier__BNE,name__ur,wikipedia__tr,identifier__NKC,name__zh_hans,wikipedia__vi,wikipedia__ar,wikipedia__zh,wikipedia__qu,name__bn,wikipedia__af,wikipedia__he,wikipedia__ka,wikipedia__ur,name__ka,name__el,wikipedia__el,name__th,wikipedia__hy,wikipedia__ja,wikipedia__th,wikipedia__zh_min_nan,identifier__GND,name__qu,name__nan,wikipedia__be_x_old,name__is,name__sr_el,name__be,wikipedia__be,wikipedia__bewikiquote,wikipedia__is,wikipedia__az,wikipedia__et,wikipedia__ms,wikipedia__sk,name__az,name__lmo,wikipedia__arz,wikipedia__lmo,wikipedia__da,name__arz,wikipedia__tt,wikipedia__bg,name__sq,name__zh_hk,name__yue,name__bg,name__tt,name__xmf,wikipedia__br,wikipedia__xmf,wikipedia__vec,wikipedia__ia,wikipedia__sw,wikipedia__eswikinews,wikipedia__sl,name__ml,name__mr,name__tl,name__ckb,name__jv,name__ta,name__bs,name__sgs,name__kk,name__wuu,name__lad,name__bcl,name__uz,name__hi,name__yi,wikipedia__arwikinews,wikipedia__bat_smg,wikipedia__bcl,wikipedia__bn,wikipedia__bs,wikipedia__ckb,wikipedia__enwikiquote,wikipedia__eo,wikipedia__frwikinews,wikipedia__ga,wikipedia__gl,wikipedia__hr,wikipedia__ie,wikipedia__io,wikipedia__jv,wikipedia__kk,wikipedia__lad,wikipedia__lb,wikipedia__lv,wikipedia__mg,wikipedia__ml,wikipedia__mr,wikipedia__nlwikinews,wikipedia__oc,wikipedia__pap,wikipedia__plwikiquote,wikipedia__ptwikinews,wikipedia__ptwikiquote,wikipedia__sq,wikipedia__ta,wikipedia__tl,wikipedia__ukwikiquote,wikipedia__uz,wikipedia__wuu,wikipedia__yi,wikipedia__zh_yue,identifier__Britannica,identifier__bigenc_ru,identifier__GTAA,wikipedia__fo,name__fo
Q12162046,Dante Rivas,Dante Rivas,Dante Rivas,male,Dante,Dante Rivas,Dante Rivas,Dante Rivas,1975-01-19,,Dante Rivas,,,Dante Rivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rivas,,,,,,,,,,Dante Rivas,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dante Rivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12175290,Freddy Guevara,Freddy Guevara,Freddy Guevara,male,Freddy,Freddy Guevara,,Freddy Guevara,1986-04-03,"Гевара, Фредди",,Freddy Guevara,,Freddy Guevara,Freddy Guevara,,,,,,Freddy Guevara,,,,Category:Freddy Guevara,,,,,,,,,,,,"Гевара, Фредди",https://upload.wikimedia.org/wikipedia/commons/2/23/Freddy_Guevara_sesión_AN_14.01.2016.jpg,,,,,FreddyGuevaraC,,,,,,,,,,,,,Guevara,,,,,,,,,,Freddy Guevara,,,,,フレディ・ゲバラ,freddyguevarac,reddyguevaracortez,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freddy Guevara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1227076,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,male,Diosdado,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,1963-04-15,Диосдадо Кабельо Рондон,,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,,Diosdado Cabello,,Category:Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Диосадо Кабелјо,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,Diosdado Cabello,"Кабельо, Диосдадо",https://upload.wikimedia.org/wikipedia/commons/d/d4/Diosdado_Cabello_2013.jpg,/m/0d2d3,310626137,,,dcabellor,,,,,,,,Діосдадо Кабельо,,,,Діосдадо Кабельйо,Cabello,,,,,,,迪奧斯達多·卡韋略,迪奧斯達多·馬卡韋略,迪奥斯达多·马卡韦略,Diosdado Cabello,Diosdado Cabello,,http://diosdadocabello.psuv.org.ve/,,ディオスダド・カベリョ,,,Diosdado Pelo,,politician,no2014110775,,,,,,,,,,,,,,ديوسدادو كابيو,,,,דיזודאדו קאבלו,,,,Rondón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diosdado Cabello,Diosdado Cabello,Категория:Диосдадо Кабельо,,,,,,,迪奥斯达多·马卡韦略,,ديوسدادو كابيو,,,,,,,,,,,,,,,,1176448137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1334512,Elías Jaua,Elías Jaua,Elías Jaua,male,Elías,Elías Jaua,,Elías Jaua,1969-12-17,Элиас Хауа Милано,,Elías Jaua,Elías Jaua,Elías Jaua,Elías Jaua,Elías Jaua,,Elías Jaua,Elías Jaua,Elías Jaua,Elías Jaua,,Elías Jaua,,Category:Elías Jaua,,Elías Jaua,,Elías Jaua Milano,,,,,,,Elías Jaua Milano,"Хауа Милано, Элиас","https://upload.wikimedia.org/wikipedia/commons/b/b8/Elias_Jaua,_December_2011.jpg",/m/0b6h7nj,34198203,,,,,,,,,Elías Jaua,,,,,,,Jaua,Elías Jaua,Elías Jaua,,,,,埃利亞斯·豪亞,埃利亞斯·豪阿,埃利亚斯·豪阿,Elías Jaua,,,,,エリアス・ハウア,,,Elías Jaua,,diplomat,,,,,,,,,,,,,,,,,,,,,,,Milano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elías Jaua,,,,,,,,,,,Elías Jaua,,,,,,,Elías Jaua,,伊莱斯·贾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15622225,Ricardo Sánchez Mujica,Ricardo Sánchez Mujica,Ricardo Sánchez (político),male,Ricardo,Ricardo Sánchez Mujica,,Ricardo Sánchez Mujica,1983,,Ricardo Sánchez Mujica,Ricardo Sánchez Mujica,Ricardo Sánchez Mujica,Ricardo Sánchez Mujica,Ricardo Sánchez Mujica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ricardo Sánchez Mujica,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ricardo Sánchez Mujica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16298178,Pedro Carreño,Pedro Carreño,Pedro Carreño Escobar,male,Pedro,Pedro Carreño,,Pedro Carreño,"",,,,,Pedro Carreño,Pedro Carreño,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/26/Pedro_Carreño_2017.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedro Carreño,,,,,,,,,,politician,,,,,,,,,,,,,,,بيدرو كارينيو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedro Carreño,,,,,,,,,,,بيدرو كارينيو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16300740,Haiman El Troudi,Haiman El Troudi,Haiman El Troudi,male,,Haiman El Troudi,Haiman El Troudi,Haiman El Troudi,1970,,Haiman El Troudi,Haiman El Troudi,,Haiman El Troudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haiman El Troudi,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haiman El Troudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18419614,Lesbia Castillo,Lesbia Castillo,Lesbia Castillo,female,,Lesbia Castillo,Lesbia Castillo,Lesbia Castillo,"",,,,,Lesbia Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesbia Castillo,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesbia Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19665831,Carmen Teresa Meléndez Rivas,Carmen Teresa Meléndez Rivas,Carmen Meléndez,female,Carmen,Carmen Teresa Meléndez Rivas,,Carmen Melendez Teresa Rivas,1961-11-03,"Мелендес, Кармен",,Carmen Melendez Teresa Rivas,,Carmen Melendez Teresa Rivas,Carmen Meléndez,,,,,,Carmen Melendez Teresa Rivas,,,,,,,,,,,,,,,,"Мелендес, Кармен",https://upload.wikimedia.org/wikipedia/commons/9/90/Carmen_Melendez_Teresa_Rivas.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmen Meléndez,,,,,,,,,Carmen Teresa Meléndez Rivas,,,,,,,,,,Carmen Meléndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21698782,Sergio Vergara,Sergio Vergara,Sergio Vergara (político),male,Sergio,Sergio Vergara (político),,Sergio Vergara,1973-09-04,,,Sergio Vergara,,Sergio Vergara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貝爾加拉（委內瑞拉）,,Sergio Vergara,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergio Vergara,,,,,,,,,贝尔加拉（委內瑞拉）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
