id,name__et,name__de,name__pl,name__ru,name__fr,name__es,name__en,name__tr,name__nb,name__nl,name__ca,name__oc,name__zh,name__uk,name__da,name__nn,name__sv,name__it,name__hu,name,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__et,wikipedia__fr,wikipedia__it,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__tr,wikipedia__uk,wikipedia__zh,gender,birth_date,identifier__freebase,given_name,original_wikiname,name__ja,wikipedia__ja,image,name__la,name__yo,name__fi,wikipedia__enwikiquote,wikipedia__eswikiquote,wikipedia__fi,wikipedia__la,wikipedia__nl,wikipedia__plwikiquote,wikipedia__yo,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,death_date,identifier__sycomore,identifier__FAST,name__cy,name__el,name__id,name__is,wikipedia__el,wikipedia__id,wikipedia__is,wikipedia__no,name__zh_hans,name__zh_hant,name__zh_hk,name__vi,wikipedia__sv,wikipedia__vi,name__gl,wikipedia__gl,name__bg,wikipedia__bg,name__br,wikipedia__br,name__de_ch,name__en_ca,name__en_gb,name__pt,wikipedia__pt,identifier__LAC,last_seen,family_name,name__zh_cn,name__af,name__an,name__ast,name__bar,name__bm,name__co,name__cs,name__de_at,name__eo,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__fa,name__ar,wikipedia__ar,name__fa,wikipedia__eo,occupation,identifier__NTA
Q1371373,,Paulin Obame Nguema,,"Обам-Нгема, Полин",Paulin Obame-Nguema,Paulin Obame-Nguema,Paulin Obame-Nguema,,Paulin Obame-Nguema,Paulin Obame-Nguema,,,保兰·奥巴梅-恩圭马,Полін Обам-Нгема,Paulin Obame-Nguema,Paulin Obame-Nguema,Paulin Obame-Nguema,Paulin Obame-Nguema,Paulin Obame-Nguema,Paulin Obame-Nguema,Paulin Obame Nguema,Paulin Obame-Nguema,,,,Paulin Obame-Nguema,,"Обам-Нгема, Полин",,,Полін Обам-Нгема,保兰·奥巴梅-恩圭马,male,1934-12-28,/m/083xjn,Paulin,,ポラン・オバメ＝ンゲマ,,,,Paulin Obame-Nguema,,,,,,,,Paulin Obame-Nguema,,,,,,,,,,,,,,,,,,保兰·奥巴梅-恩圭马,保蘭·奧巴梅-恩圭馬,保蘭·奧巴梅-恩圭馬,,,,,,Полин Обам-Нгема,Полин Обам-Нгема,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q2053317,,Félix Siby,,,Félix Siby,Félix Siby,Félix Siby,,Félix Siby,Félix Siby,,,,,Félix Siby,Félix Siby,Félix Siby,,Félix Siby,Félix Siby,,Félix Siby,,,Félix Siby,,,,,,,,male,1942-01-18,/m/0cz4f8,Félix,,,,,,,,,,,,Félix Siby,,,,,,,,,2006-04-29,,,Félix Siby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q256998,,Jean-Hilaire Aubame,Jean-Hilaire Aubame,"Обам, Жан-Илер",Jean-Hilaire Aubame,Jean-Hilaire Aubame,Jean-Hilaire Aubame,,Jean-Hilaire Aubame,Jean-Hilaire Aubame,Jean-Hilaire Aubame,,,Жан-Ілер Обам,,,,Jean-Hilaire Aubame,Jean-Hilaire Aubame,Jean-Hilaire Aubame,Jean-Hilaire Aubame,Jean-Hilaire Aubame,,,Jean-Hilaire Aubame,,Jean-Hilaire Aubame,"Обам, Жан-Илер",,,Жан-Ілер Обам,,male,1912-11-10,/m/04lzh3,Jean,,ジャン＝イレール・オバメ,,https://upload.wikimedia.org/wikipedia/commons/6/69/Jean-Hilaire_Aubame.jpg,Ioannes Hilarius Aubame,,,,,,Ioannes Hilarius Aubame,,,,,21331094,,n92025928,,,1989-08-16,226,300598,,,,,,,,,,讓-伊萊爾·奧巴姆,,,,,,,,,,,,,,,,,,,让-伊莱尔·奥巴姆,,,,,,,,,,,,,,,,Jean-Hilaire Aubame,,,,,,,,Jean-Hilaire Aubame,Jean-Hilaire Aubame,,Jean-Hilaire Aubame,,,,,,Jean-Hilaire Aubame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q2655471,,Faustin Boukoubi,,,Faustin Boukoubi,,Faustin Boukoubi,,Faustin Boukoubi,Faustin Boukoubi,,,,,Faustin Boukoubi,Faustin Boukoubi,Faustin Boukoubi,,,Faustin Boukoubi,,Faustin Boukoubi,,,Faustin Boukoubi,,,,,,,,male,1954-03-20,,Faustin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q2662541,,Didjob Divungi Di Ndinge,Didjob Divungi Di Ndinge,"Ди Ндинге, Диджоб Дивунги",Didjob Divungi Di Ndinge,Didjob Divungi Di Ndinge,Didjob Divungi Di Ndinge,,Didjob Divungi Di Ndinge,Didjob Divungi Di Ndinge,,,,,Didjob Divungi Di Ndinge,Didjob Divungi Di Ndinge,Didjob Divungi Di Ndinge,,Didjob Divungi Di Ndinge,Didjob Divungi Di Ndinge,,Didjob Divungi Di Ndinge,,,Didjob Divungi Di Ndinge,,Didjob Divungi Di Ndinge,"Ди Ндинге, Диджоб Дивунги",,,,,male,1946-05-05,/m/0g1tc7,,,ディジョブ・ディヴンギ・ディ・ンディング,ディジョブ・ディヴンギ・ディ・ンディング,,,Didjob Divungi Di Ndinge,,,,,,,,Didjob Divungi Di Ndinge,,,,,,,,,,,,,,,,,,,迪焦博·迪翁基·迪·丁蓋,,,,,,,,,Didjob Divungi Di Ndinge,Didjob Divungi Di Ndinge,,,,,,,,,迪焦博·迪翁基·迪·丁盖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q269045,,Pierre Mamboundou,Pierre Mamboundou,,Pierre Mamboundou,Pierre Mamboundou,Pierre Mamboundou,,Pierre Mamboundou,Pierre Mamboundou,,,,,Pierre Mamboundou,Pierre Mamboundou,Pierre Mamboundou,,Pierre Mamboundou,Pierre Mamboundou,Pierre Mamboundou,Pierre Mamboundou,,,Pierre Mamboundou,,Pierre Mamboundou,,,,,,male,1946-11-06,/m/093ndt,Pierre,,ピエール・マンブンドゥ,,,,,,,,,,,,,,,,,,,2011-10-15,,,Pierre Mamboundou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q2848287,,André Mba Obame,André Mba Obame,,André Mba Obame,André Mba Obame,André Mba Obame,,André Mba Obame,André Mba Obame,,,,,André Mba Obame,André Mba Obame,André Mba Obame,,André Mba Obame,André Mba Obame,,André Mba Obame,,,André Mba Obame,,André Mba Obame,,André Mba Obame,,,,male,1957-06-15,/m/05b44yd,André,,,,,,,,,,,,,,,0000 0000 0891 8511,104408569,,,12874680c,118961225,2015-04-12,,,André Mba Obame,,,,,,,,,,,,,,,,,,,,,,,,,0024B9007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q3014508,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,"Ондо, Даниэль Она",Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,,,丹尼尔·欧纳·翁多,Даніель Она Ондо,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,"Ондо, Даниэль Она",,Daniel Ona Ondo,Даніель Она Ондо,丹尼尔·欧纳·翁多,male,1945-07-10,,Daniel,,ダニエル・オナ・オンド,ダニエル・オナ・オンド,,,,,,,,,,,,,,,,,,,,,,Ντανιέλ Ονά Οντό,,,Ντανιέλ Ονά Οντό,,,,,,,Daniel Ona Ondo,,Daniel Ona Ondo,,,,,,,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,Daniel Ona Ondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,دنیل اونا اوندو,,,دنیل اونا اوندو,,politician,
Q3122048,,,Guy Nzouba-Ndama,,Guy Nzouba-Ndama,Guy Nzouba-Ndama,Guy Nzouba-Ndama,,Guy Nzouba-Ndama,Guy Nzouba-Ndama,,,,,Guy Nzouba-Ndama,Guy Nzouba-Ndama,Guy Nzouba-Ndama,,Guy Nzouba-Ndama,Guy Nzouba-Ndama,,Guy Nzouba-Ndama,,,Guy Nzouba-Ndama,,Guy Nzouba-Ndama,,,,,,male,1946-07-17,,Guy,,ギー・ンゾウバ・ンダマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
Q3188402,,,,,Jules Aristide Bourdes Ogouliguende,,Jules-Aristide Bourdes-Ogouliguende,,Jules Aristide Bourdes Ogouliguende,Jules-Aristide Bourdes-Ogouliguende,,,,,Jules Aristide Bourdes Ogouliguende,Jules Aristide Bourdes Ogouliguende,Jules Aristide Bourdes Ogouliguende,,,Jules-Aristide Bourdes-Ogouliguende,,Jules-Aristide Bourdes-Ogouliguende,,,Jules Aristide Bourdes-Ogouliguende,,,,,,,,male,1938-02-28,,Jules,,ジュール＝アリスティード・ブルド＝オーグリゴエンディ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,
