id,label,type
Q10563295,Danish Minister for Social Affairs,cabinet
Q10585836,Minister for Greenland,cabinet
Q11781520,Danish Minister for Labour,cabinet
Q11991832,Minister for Nordic Co-operation,cabinet
Q12304055,Danish Minister for Urban Development,cabinet
Q12307220,Minister for Family and Consumer Affairs of Denmark,cabinet
Q12310252,Danish Minister for Commerce,cabinet
Q12310719,Minister for European Affairs,cabinet
Q12312037,Education and Research Minister,cabinet
Q12322143,Minister for Climate and Energy,cabinet
Q12327312,"Danish Minister for Science, Technology and Development",cabinet
Q12327313,Minister for 2009 United Nations Climate Change Conference,cabinet
Q12337702,Minister for Health,cabinet
Q12341969,Minister of Economic and Business Affairs,cabinet
Q1311756,Minister for the Environment,cabinet
Q1815344,Defence Minister of Denmark,cabinet
Q18646805,War Minister of Denmark,cabinet
Q18647248,Naval Minister of Denmark,cabinet
Q18913269,Minister of the Interior,cabinet
Q18913275,Minister for Health,cabinet
Q20011494,"Minister for Refugees, Immigrants and Integration",cabinet
Q20069142,Danish Minister of Transport,cabinet
Q21070726,Deputy Prime Minister of Denmark,cabinet
Q24300568,"Minister for Food, Agriculture and Fisheries",cabinet
Q25425068,Danish Minister for Gender Equality,cabinet
Q25513955,Minister of Social Affairs,cabinet
Q25776270,"Minister of Energy, Utilities, and Climate",cabinet
Q27923951,Danish Minister for Senior Citizens,cabinet
Q27923963,Culture Minister of Denmark,cabinet
Q27924167,Danish Minister for Gender Equality,cabinet
Q27940846,Minister for Public Innovation,cabinet
Q27990518,Danish Minister of Agriculture,cabinet
Q27990812,Minister for Economic Affairs,cabinet
Q27991357,Danish Minister for Energy,cabinet
Q27991438,Minister for the Duchy of Schleswig,cabinet
Q27991449,Minister for the Duchies of Holsten and Lauenborg,cabinet
Q27991459,Minister for Internal Affairs,cabinet
Q3480201,Minister for Iceland,cabinet
Q5340905,Minister of Education,cabinet
Q5449541,Finance Minister of Denmark,cabinet
Q5690600,Health Minister,cabinet
Q6317024,Justice Minister of Denmark,cabinet
Q6443269,Kultus Minister of Denmark,cabinet
Q6865806,Minister for Development Cooperation of Denmark,cabinet
Q6865812,Minister for Ecclesiastical Affairs of Denmark,cabinet
Q6866144,Minister of Foreign Affairs,cabinet
Q6866435,Minister of the Interior and Health,cabinet
Q7689385,Tax Minister of Denmark,cabinet
Q795477,Prime Minister of Denmark,cabinet
