id,name__fr,name__en,name__ar,name__es,name__de,name__mg,name__nl,name__hu,name,wikipedia__ar,wikipedia__en,wikipedia__fr,wikipedia__mg,gender,occupation,identifier__VIAF,birth_date,identifier__freebase,given_name,original_wikiname,image,name__it,death_date,website,name__yo,name__sv,name__ru,name__tr,wikipedia__de,wikipedia__it,wikipedia__sv,wikipedia__tr,wikipedia__yo,identifier__LCAuth,identifier__BNF,identifier__SUDOC,family_name,identifier__ISNI,identifier__NTA,name__eu,name__he,name__ca,name__ja,name__de_ch,name__el,name__en_ca,name__en_gb,name__eo,name__pl,name__sh,wikipedia__ca,wikipedia__el,wikipedia__es,wikipedia__eu,wikipedia__he,wikipedia__ja,wikipedia__nl,wikipedia__plwikiquote,wikipedia__ru,wikipedia__sh,identifier__GND,identifier__SELIBR,identifier__CANTIC,identifier__GNC,identifier__EGAXA,identifier__FAST,name__pt,name__fa,wikipedia__fa,name__zh,identifier__PACE,name__vi,wikipedia__vi,name__ary,name__arq,name__hr,name__cy,wikipedia__pt,wikipedia__commons,wikipedia__pl,name__io,name__fi,name__id,name__ckb,name__oc,name__ku,name__ro,name__be,wikipedia__be,wikipedia__ckb,wikipedia__fi,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__ku,wikipedia__oc,wikipedia__ro,name__nb,name__uk,name__et,name__bg,name__ast,name__da,name__nn,name__la,wikipedia__ast,wikipedia__bg,wikipedia__et,wikipedia__la,wikipedia__no,wikipedia__uk,wikipedia__zh,name__nds,identifier__snac,name__ko,wikipedia__ko,identifier__persee,identifier__bigenc_ru,name__fo,name__kl,identifier__Britannica,identifier__NUKAT,name__bn,identifier__ne_se,wikipedia__simple,name__pt_br,name__sl,name__bar,identifier__GTAA,name__zu,twitter,instagram,facebook
Q12183734,Abouzaid El Mokrie El Idrissi,Abouzaid El Mokrie El Idrissi,أبي زيد المقرئ الإدريسي,,,,Abouzaid El Mokrie El Idrissi,,Abouzaid El Mokrie El Idrissi,أبي زيد المقرئ الإدريسي,,Abouzaid El Mokrie El Idrissi,,male,politician,,1960,,,Abouzaid El Mokrie El Idrissi,,,,http://www.abouzaidelidrissi.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abouzaid El Mokrie El Idrissi,,,,,,
Q12206173,Jamila El Moussali,Jamila El Moussali,جميلة المصلي,,,,,,Jamila El Moussali,جميلة المصلي,,Jamila El Moussali,,female,politician,,1969-10-19,,,Jamila El Moussali,https://upload.wikimedia.org/wikipedia/commons/2/2f/Jamila-elmossalli.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1259143,Driss Debbagh,Driss Debbagh,إدريس الدباغ,Driss Debbagh,Driss Debbagh,,Driss Debbagh,Driss Debbagh,Driss Debbagh,إدريس الدباغ,Driss Debbagh,Driss Debbagh,,male,politician,,1921-11-07,/m/04cwwm2,Driss,Driss Debbagh,,Driss Debbagh,1986,,,,,,Driss Debbagh,Driss Debbagh,,,,,,,Debbagh,,,,,,,,,,,,,,,,Driss Debbagh,,,,,,,,,,,,,,Driss Debbagh,,,,,,,,,,,Driss Debbagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Driss Debbagh,,,,,,
Q1328460,Muhammad Hassan al-Wazzani,Muhammad Hassan al-Wazzani,محمد بن الحسن الوزاني,,Muhammad Hassan al-Wazzani,,Muhammad Hassan al-Wazzani,,Muhammad Hassan al-Wazzani,محمد بن الحسن الوزاني,,Mohamed Hassan Ouazzani,,male,politician,209236813,1910,,Muhammed,Mohamed Hassan Ouazzani,https://upload.wikimedia.org/wikipedia/commons/0/01/Mohamed_Hassan_Ouazzani.jpg,,1978-09-09,,,,,,Muhammad Hassan al-Wazzani,,,,,n88192109,13743080t,113661843,,0000 0000 8146 5045,,,,,,,,,,,,,,,,,,,,,,,,,,,,245212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad Hassan al-Wazzani,,,,,,
Q16525072,Abdelkrim Benatiq,Abdelkrim Benatiq,عبد الكريم بنعتيق,,,,Abdelkrim Benatiq,,Abdelkrim Benatiq,عبد الكريم بنعتيق,,Abdelkrim Benatiq,,male,politician,,1959-08-19,,Abdelkrim,Abdelkrim Benatiq,https://upload.wikimedia.org/wikipedia/commons/6/63/Abdelkrim_Benatiq_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdelkrim Benatiq,,,,,,
Q18325162,Amal El Amri,Amal El Amri,أمل العمري,,Amal El Amri,,Amal El Amri,,Amal El Amri,,,Amal El Amri,,female,trade unionist,,1960-03,,Amal,Amal El Amri,,Amal El Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,Amal El Amri,,,,,,,,,,,,,,,,,,,,,,,,,Amal El Amri,أمل العمري,Amal El Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amal El Amri,,,,,,
Q2033385,Saâdeddine El Othmani,Saad-Eddine El Othmani,سعد الدين العثماني,Saadeddine Othmani,Saadeddine Othmani,,Saadeddine Othmani,Saadeddine Othmani,Saâdeddine El Othmani,سعد الدين العثماني,Saadeddine Othmani,Saâdeddine El Othmani,,male,politician,66374563,1956-01-16,/m/0d78kn,,Saâdeddine El Othmani,https://upload.wikimedia.org/wikipedia/commons/3/3f/Saad-Eddine_Al-Othmani.jpg,Saâdeddine El Othmani,,,,Saadeddine Othmani,Саад Эддин Эль Отмани,Sadettin El Osmani,Saadeddine Othmani,Saâdeddine El Othmani,Saadeddine Othmani,Saadeddin Osmani,,nr97025662,16279401d,,,0000 0000 4984 5160,,,,,サアデディン・オスマニ,,Σααντεντίν Ελ Οτμανί,Saadeddine Othmani,Saadeddine Othmani,,Saadeddine Othmani,,,Σααντεντίν Ελ Οτμανί,Saadeddine Othmani,,,,,,,,,,,,001695893,,Saadeddine Othmani,سعد الدین العثمانی,سعدالدین عثمانی,薩杜丁·歐斯曼尼,,,,,,,,Saadeddine Othmani,Category:Saadeddine Othmani,Saadeddine Othmani,,,,,Saâdeddine El Othmani,,,,,,,,,,,Saâdeddine El Othmani,,Saadeddine Othmani,,,,,Saadeddine Othmani,,Saʿd al-Dīn al-ʿUṯmānī,,,,Saʿd al-Dīn al-ʿUṯmānī,Saadeddine Othmani,,,,,,,,,Saadeddine Othmani,Saadeddine Othmani,,,,,Saadeddine Othmani,Saadeddine Othmani,Saad-Eddine El Othmani,,,Saad-Eddine El Othmani,,,
Q20666274,Abdelhak Amghar,Abdelhak Amghar,,,,,Abdelhak Amghar,,Abdelhak Amghar,,,Abdelhak Amghar,,male,politician,,1965-07-16,,,Abdelhak Amghar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdelhak Amghar,,,,,,
Q20961736,Omar Balafrej,Omar Balafrej,عمر بلافريج,,,,Omar Balafrej,,Omar Balafrej,,,Omar Balafrej,,male,engineer,,1973-10-26,,Omar,Omar Balafrej,https://upload.wikimedia.org/wikipedia/commons/5/50/Omar_Balafrej_©_Yassine_Toumi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omar Balafrej,,,,,,
Q22934512,Hakim Benchamach,Hakim Benchamach,عبد الحكيم بنشماش,,,,,,Hakim Benchamach,عبد الحكيم بنشماش,,Hakim Benchamach,,male,politician,,1963-09-12,,Hakim,Hakim Benchamach,"https://upload.wikimedia.org/wikipedia/commons/1/1d/OSCE_PA_President_Christine_Muttonen_with_President_of_the_House_of_Councilors_Hakim_Benchamach_and_members_of_the_Delegation_of_Morocco_to_the_OSCE_PA,_Rabat,_21_September_2017_(37367460071)_(cropped).jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hbenchamach,hakimbenchamach,HakimBenchamachOfficiel
