id,name__en,name,wikipedia__en,gender,given_name,image,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,identifier__freebase,identifier__ISNI,identifier__BNF,identifier__NTA,name__zh,name__tn,name__pl,name__ko,name__fr,name__be,name__es,name__oc,name__yo,name__hu,name__et,name__id,name__de,name__ja,name__br,name__el,name__vi,name__nso,name__nl,name__sv,name__ar,name__pt,name__eo,name__ru,name__tr,name__ca,name__fi,name__uk,name__la,name__io,name__ka,name__hr,name__nb,name__en_ca,name__en_gb,name__it,name__pt_br,name__sr,name__fa,name__he,name__da,name__nn,name__mk,name__sh,wikipedia__ar,wikipedia__be,wikipedia__br,wikipedia__ca,wikipedia__de,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hr,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__nl,wikipedia__no,wikipedia__nso,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__tn,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,name__ro,wikipedia__ro,wikipedia__commons,identifier__SUDOC,original_wikiname,identifier__FAST,last_seen,identifier__Britannica,name__cs,occupation,name__zh_hant,name__zh_cn,identifier__SELIBR,wikipedia__cs,name__hy,wikipedia__af,wikipedia__ast,name__af,twitter,name__ast,name__sl
Q10961094,Shaw Kgathi,Shaw Kgathi,Shaw Kgathi,male,,https://upload.wikimedia.org/wikipedia/commons/9/94/Shaw_Kgathi_(7663938712)_(cropped).jpg,,,,1961-10-18,,,,,,Shaw Kgathi,,,Shaw Kgathi,,,,,,,,Shaw Kgathi,,,,,,Shaw Kgathi,Shaw Kgathi,,,,,,,,,,,,,Shaw Kgathi,,,,,,,,Shaw Kgathi,Shaw Kgathi,,,,,,,Shaw Kgathi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shaw Kgathi,,,,,,,,,,Shaw Kgathi,,,,,politician,,,,,,,,,,,Shaw Kgathi
Q17513548,Athaliah Maoka Lesiba Molokomme,Athaliah Maoka Lesiba Molokomme,Athaliah Molokomme,female,,"https://upload.wikimedia.org/wikipedia/commons/b/b9/Athalia_Molokomme,_Attorney_General_for_Botswana_speaking_at_The_London_Conference_on_Cyberspace,_2_November_2011_(cropped).jpg",68034972,,,1959-12-04,/m/011lhh5j,0000 0000 2964 7490,,087450720,,,,,Athaliah Molokomme,,Athaliah Molokomme,,,,,,Athaliah Molokomme,,,,,,Athaliah Molokomme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athaliah Molokomme,,,,,,,Athalia Molokomme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Athalia Molokomme,,Athaliah Molokomme,,,,,jurist,,,,,,,,,,,Athaliah Molokomme
Q18618881,Duma Boko,Duma Boko,Duma Boko,male,,,,,,1969,,,,,,,,,,,,,,,,,,ドゥマ・ボコ,,,,,Duma Boko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18618891,Mokgweetsi Masisi,Mokgweetsi Masisi,Mokgweetsi Masisi,male,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Mokgweetsi_Masisi_(May_2018).jpg,4070152331605703260009,1155398017,,1962-07-21,,,,,,,Mokgweetsi Masisi,,Mokgweetsi Masisi,,Mokgweetsi Masisi,Mokgweetsi Masisi,,Mokgweetsi Masisi,Mokgweetsi Masisi,,Mokgweetsi Masisi,モクウィツィ・マシシ,,Μογκουέτσι Μασίσι,,,Mokgweetsi Masisi,Mokgweetsi Masisi,,,,"Масиси, Мокветси",Mokgweetsi Masisi,,,Мокгвітсі Масісі,Mokgweetsi Masisi,,,,Mokgweetsi Masisi,Mokgweetsi Masisi,Mokgweetsi Masisi,Mokgweetsi Masisi,,,,,,Mokgweetsi Masisi,,,,,,,Mokgweetsi Masisi,Μογκουέτσι Μασίσι,,Mokgweetsi Masisi,Mokgweetsi Masisi,,Mokgweetsi Masisi,Mokgweetsi Masisi,,,,,Mokgweetsi Masisi,モクウィツィ・マシシ,,,Mokgweetsi Masisi,,Mokgweetsi Masisi,,Mokgweetsi Masisi,Mokgweetsi Masisi,,"Масиси, Мокветси",,,,Mokgweetsi Masisi,,Mokgweetsi Masisi,Мокгвітсі Масісі,,,,,,Category:Mokgweetsi Masisi,,Mokgweetsi Masisi,,,,,politician,莫克格威茨·馬西西,莫克格威茨·马西西,,,,Mokgweetsi Masisi,Mokgweetsi Masisi,Mokgweetsi Masisi,OfficialMasisi,Mokgweetsi Masisi,Mokgweetsi Masisi
Q18618892,Nonofo Molefhi,Nonofo Molefhi,Nonofo Molefhi,male,,https://upload.wikimedia.org/wikipedia/commons/7/7d/Nonofo_Molefhi.png,,,,1959-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nonofo Molefhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nonofo Molefhi,,,,,politician,,,,,,,,,,,Nonofo Molefhi
Q18763858,Edwin Batshu,Edwin Batshu,Edwin Batshu,male,Edwin,,,,,1947-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edwin Batshu,,,,,politician,,,,,,,,,,,Edwin Batshu
Q27663663,Tshenolo Mabeo,Tshenolo Mabeo,Tshenolo Mabeo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tshenolo Mabeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tshenolo Mabeo,,,,,politician,,,,,,,,,,,
Q28434823,Christian de Graaff,Christian de Graaff,Christian de Graaff,male,Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian de Graaff,,,,,agriculturer,,,,,,,,,,,Christian de Graaff
Q30057616,James Mathokgwane,James Mathokgwane,,male,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Mathokgwane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,James Mathokgwane
Q4945158,Unity Dow,Unity Dow,Unity Dow,female,,https://upload.wikimedia.org/wikipedia/commons/a/a8/Unity_Dow_-_PopTech_2011_-_Camden_Maine_USA_(cropped).jpg,69163486,,n89290112,1959-04-23,/m/09r284,0000 0000 8391 6911,14517628h,167270761,,,,,Unity Dow,,Unity Dow,,,,,,Unity Dow,ユニティ・ダウ,,,,,Unity Dow,Unity Dow,,,,Юнити Доу,,,,,,,,,,,,,,,,יוניטי דאו,,,,Unity Dow,,,,,,,,Unity Dow,,,,Unity Dow,,,,,,,,,,,,,,,,,Unity Dow,,,Unity Dow,,,,,,,Unity Dow,Unity Dow,Category:Unity Dow,113770642,Unity Dow,351692,,,,writer,,,336809,,,,,,,,Unity Dow
