name,email,id
His Excellency Lt. General Seretse Khama Ian Khama,"",his-excellency-lt.-general-seretse-khama-ian-khama
His Honour the Vice President Mokgweetsi Eric Masisi,"",his-honour-the-vice-president-mokgweetsi-eric-masisi
Hon Fedilis M. Molao,"",hon-fedilis-m.-molao
Hon. Abram Kesupile,"",hon.-abram-kesupile
Hon. Bagalatia Arone,barone@gov.bw,hon.-bagalatia-arone
Hon. Biggie Butale,"",hon.-biggie-butale
Hon. Botlogile M. Tshireletso,"",hon.-botlogile-m.-tshireletso
Hon. Christian De Graaf,"",hon.-christian-de-graaf
Hon. Dikgang P. Makgalemele,dmakgalemele@gov.bw,hon.-dikgang-p.-makgalemele
Hon. Dorcus Makgato,"",hon.-dorcus-makgato
Hon. Dr. Alfred Madigele,"",hon.-dr.-alfred-madigele
Hon. Duma Boko,"",hon.-duma-boko
Hon. Edwin J. Batshu,ebatshu@gov.bw,hon.-edwin-j.-batshu
Hon. Eric. Molale,"",hon.-eric.-molale
Hon. France VAN DER WESTHUIZEN,"",hon.-france-van-der-westhuizen
Hon. Gaolathe Ndaba Nkosinathi,"",hon.-gaolathe-ndaba-nkosinathi
Hon. Gilbert Mangole,gmangole@gov.bw,hon.-gilbert-mangole
Hon. Gladys Kokorwe,"",hon.-gladys-kokorwe
Hon. Haskins Nkaingwa,"",hon.-haskins-nkaingwa
Hon. Honest Billy,"",hon.-honest-billy
Hon. Isaac Jacob Davids,"",hon.-isaac-jacob-davids
Hon. Itumeleng Moipisi,"",hon.-itumeleng-moipisi
Hon. James Mathokgwane,"",hon.-james-mathokgwane
Hon. Joseph Molefe,"",hon.-joseph-molefe
Hon. Kagiso P. Molatlhegi,kpmolatlhegi@gov.bw,hon.-kagiso-p.-molatlhegi
Hon. Keorapetse Dithapelo,"",hon.-keorapetse-dithapelo
Hon. Kgosi Tawana Moremi II,tlmoremi@gov.bw,hon.-kgosi-tawana-moremi-ii
Hon. Kgotla Autlwetse,"",hon.-kgotla-autlwetse
Hon. Liakat Kablay,lkablay@gov.bw,hon.-liakat-kablay
Hon. Machana Ronald Shamukuni,"",hon.-machana-ronald-shamukuni
Hon. Minister Pelonomi Venson-Moitoi,"",hon.-minister-pelonomi-venson-moitoi
Hon. Mohammed Khan,"",hon.-mohammed-khan
Hon. Moiseraele Goya,mgoya@gov.bw,hon.-moiseraele-goya
Hon. Mokgweetsi Eric Masisi,"",hon.-mokgweetsi-eric-masisi
Hon. Ngaka Ngaka,"",hon.-ngaka-ngaka
Hon. Noah Salakae,"",hon.-noah-salakae
Hon. Nonofo E. Molefhi,"",hon.-nonofo-e.-molefhi
Hon. Onkokame K. Mokaila,"",hon.-onkokame-k.-mokaila
Hon. Ontefetse K. Matambo,"",hon.-ontefetse-k.-matambo
Hon. Patrick Ralotsia,"",hon.-patrick-ralotsia
Hon. Phenyo Butale,"",hon.-phenyo-butale
Hon. Pius Mokgware,"",hon.-pius-mokgware
Hon. Polson Majaga,"",hon.-polson-majaga
Hon. Prince Maele,"",hon.-prince-maele
Hon. Sadique Kebonang,"",hon.-sadique-kebonang
Hon. Same Bathobakae,"",hon.-same-bathobakae
Hon. Samson M. Guma,"",hon.-samson-m.-guma
Hon. Samuel Rantuana,"",hon.-samuel-rantuana
Hon. Sedirwa Kgoroba,"",hon.-sedirwa-kgoroba
Hon. Sethomo Lelatisitswe,"",hon.-sethomo-lelatisitswe
Hon. Shaw Kgathi,"",hon.-shaw-kgathi
Hon. Shawn. Nthaile,"",hon.-shawn.-nthaile
Hon. Slumber Tsogwane,stsogwane@gov.bw,hon.-slumber-tsogwane
Hon. Thapelo Olopeng,"",hon.-thapelo-olopeng
Hon. Thato Kwerepe,"",hon.-thato-kwerepe
Hon. Tshekedi Khama,"",hon.-tshekedi-khama
Hon. Tshenolo Mabeo,"",hon.-tshenolo-mabeo
Hon. Unity Dow,"",hon.-unity-dow
Hon. Vincent Seretse,"",hon.-vincent-seretse
Hon. Wynter Mmolotsi,wmmolotsi@gov.bw,hon.-wynter-mmolotsi
Hon.Konstantinos Markus,"",hon.konstantinos-markus
