name,party,given_name,area,sort_name,source,email,term,family_name,birth_date,id,faction,start_date,image,phone,area_id,end_date,website
Gediminas Kirkilas,Lietuvos socialdemokratų partija,Gediminas,pagal sąrašą,"Kirkilas, Gediminas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=117&p_k=1&p_kade_id=7&p_r=8801,Gediminas.Kirkilas@lrs.lt,11,Kirkilas,1951-08-30,117,Lietuvos socialdemokratų partijos frakcija,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/gediminas_kirkilas.jpg,(8 5) 2396609,,,
Andrius Kubilius,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Andrius,Antakalnio,"Kubilius, Andrius",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=121&p_k=1&p_kade_id=7&p_r=8801,Andrius.Kubilius@lrs.lt,11,Kubilius,1956-12-08,121,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,2012-12-18,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/andrius_kubilius.jpg,(8 5) 2396658,3,,
Andrius Kubilius,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Andrius,Antakalnio,"Kubilius, Andrius",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=121&p_k=1&p_kade_id=7&p_r=8801,Andrius.Kubilius@lrs.lt,11,Kubilius,1956-12-08,121,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/andrius_kubilius.jpg,(8 5) 2396658,3,2012-12-17,
Jaroslav Narkevič,Lietuvos lenkų rinkimų akcija,Jaroslav,Vilniaus - Trakų,"Narkevič, Jaroslav",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=12253&p_k=1&p_kade_id=7&p_r=8801,Jaroslav.Narkevic@lrs.lt,11,Narkevič,1962-01-01,12253,Lietuvos lenkų rinkimų akcijos frakcija,2012-11-22,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/jaroslav_narkevic.jpg,(8 5) 2396630,57,,
Jaroslav Narkevič,Lietuvos lenkų rinkimų akcija,Jaroslav,Vilniaus - Trakų,"Narkevič, Jaroslav",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=12253&p_k=1&p_kade_id=7&p_r=8801,Jaroslav.Narkevic@lrs.lt,11,Narkevič,1962-01-01,12253,Mišri Seimo narių grupė,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/jaroslav_narkevic.jpg,(8 5) 2396630,57,2012-11-21,
Kazimieras Kuzminskas,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Kazimieras,Dainavos,"Kuzminskas, Kazimieras",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=125&p_k=1&p_kade_id=7&p_r=8801,Kazimieras.Kuzminskas@lrs.lt,11,Kuzminskas,1947-03-07,125,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/kazimieras_kuzminskas.jpg,(8 5) 2396732,16,,
Antanas Nesteckis,Lietuvos socialdemokratų partija,Antanas,pagal sąrašą,"Nesteckis, Antanas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=139&p_k=1&p_kade_id=7&p_r=8801,Antanas.Nesteckis@lrs.lt,11,Nesteckis,,139,Lietuvos socialdemokratų partijos frakcija,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/antanas_nesteckis.jpg,(8 5) 2396959,,,
Eugenijus Gentvilas,Lietuvos Respublikos liberalų sąjūdis,Eugenijus,pagal sąrašą,"Gentvilas, Eugenijus",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=146&p_k=1&p_kade_id=7&p_r=8801,Eugenijus.Gentvilas@lrs.lt,11,Gentvilas,,146,Liberalų  sąjūdžio frakcija,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/eugenijus_gentvilas.jpg,(8 5) 2396311,,,
Kęstutis Glaveckas,Lietuvos Respublikos liberalų sąjūdis,Kęstutis,pagal sąrašą,"Glaveckas, Kęstutis",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=155&p_k=1&p_kade_id=7&p_r=8801,Kestutis.Glaveckas@lrs.lt,11,Glaveckas,1949-04-30,155,Liberalų  sąjūdžio frakcija,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/kestutis_glaveckas.jpg,837320548,,,
Rasa Juknevičienė,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Rasa,Žaliakalnio,"Juknevičienė, Rasa",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=178&p_k=1&p_kade_id=7&p_r=8801,Rasa.Jukneviciene@lrs.lt,11,Juknevičienė,1958-01-26,178,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/rasa_jukneviciene.jpg,(8 5) 2396711,14,,http://www3.lrs.lt/pls/inter/w5_show?p_r=3034&p_k=1
