id,position,label,description,start_date,term,end_date,replaces,replaced_by,constituency,election,of
Q11024912,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q1157636,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q11714005,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q11730682,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q11748217,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q11762063,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q11781375,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,2018-03-20,,,,,
Q11781375,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-05-01,Fifth European Parliament,2004-07-19,,,Lithuania,,
Q11825489,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q118937,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q118937,Q18507240,Member of the Seimas,member of the Lithuanian parliament,1992-11-25,,,,,,,
Q118937,Q25470413,Minister of National Defence,in Lithuania,2004-12-14,,2006-07-18,Linas Antanas Linkevičius,Juozas Olekas,,,
Q118937,Q30320778,Deputy Speaker of the Seimas,"","",,,,,,,
Q118937,Q845439,Prime Minister of Lithuania,position,2006-07-04,,2008-11-26,Zigmantas Balčytis,Andrius Kubilius,,,
Q1261946,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q12649270,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q12649485,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q12652455,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q12652459,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q12657570,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
Q12662030,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",Twelfth Seimas of Lithuania,,,,,,
Q12662500,Q18507240,Member of the Seimas,member of the Lithuanian parliament,"",,,,,,,
