id,name__lt,name__de,name__pl,name__nl,name__en,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__da,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__it,name__lb,name__li,name__lij,name__lmo,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__sv,name__tr,name__vec,name__vls,name__wa,name,wikipedia__de,wikipedia__lt,wikipedia__pl,gender,birth_date,given_name,original_wikiname,name__la,name__ja,name__ru,name__uk,name__el,name__zh,name__be,name__lv,name__ie,name__sr,name__fa,name__ko,name__vi,name__sgs,wikipedia__bat_smg,wikipedia__be,wikipedia__ca,wikipedia__da,wikipedia__el,wikipedia__en,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fr,wikipedia__gl,wikipedia__ie,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lv,wikipedia__nl,wikipedia__ru,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__zh,image,identifier__freebase,identifier__parlement,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,name__oc,wikipedia__eo,wikipedia__fi,identifier__EuroparlMEP,name__he,name__id,name__ar,name__be_tarask,name__io,wikipedia__ar,wikipedia__be_x_old,wikipedia__cs,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__plwikiquote,identifier__NTA,name__ltg,name__yo,name__mg,wikipedia__af,wikipedia__ltg,wikipedia__ltwikiquote,wikipedia__mg,wikipedia__svwikiquote,wikipedia__yo,name__ka,wikipedia__ka,identifier__Munzinger,identifier__LNB,wikipedia__enwikiquote,wikipedia__ro,death_date,name__az,wikipedia__az,identifier__NUKAT,name__de_ch,website,wikipedia__ast,wikipedia__br,wikipedia__commons,last_seen,identifier__GTAA,family_name,twitter,facebook,identifier__PACE,wikipedia__hsb,name__hsb,wikipedia__bg,name__bg,name__zh_hant,name__zh_cn,occupation,name__en_ca,name__en_gb,wikipedia__sq,identifier__google_knowledge,wikipedia__hu,identifier__NNDB,wikipedia__simple,identifier__BIBSYS,identifier__NLP,wikipedia__vo,name__ba,wikipedia__ba,name__hy,wikipedia__hy,name__lfn,name__pt_br,identifier__FAST,wikipedia__ruwikinews,name__sr_el,name__sr_ec,name__mn,name__zh_hans,wikipedia__hr,wikipedia__mn,wikipedia__sk,wikipedia__sl,wikipedia__cswikiquote,name__ty,name__fo,name__kl,wikipedia__cy,wikipedia__ml,instagram,identifier__youtube,name__ml
Q11024912,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,Ona Valiukevičiūtė,female,1945-08-01,Ona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 2464 1874,30794080,,n78025281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1157636,Dainius Kreivys,Dainius Kreivys,Dainius Kreivys,Dainius Kreivys,Dainius Kreivys,,,Dainius Kreivys,,,,Dainius Kreivys,,,,,Dainius Kreivys,Dainius Kreivys,,,,Dainius Kreivys,,,,,,,Dainius Kreivys,,,,,,,,,,,,,,,,,,,,,Dainius Kreivys,Dainius Kreivys,,,,,,Dainius Kreivys,Dainius Kreivys,Dainius Kreivys,Dainius Kreivys,male,1970-04-08,Dainius,,,,,,,,,,,,,,,,,,,,,Dainius Kreivys,,,,Dainius Kreivys,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fe/Kreivys_2red.jpg,/m/05mr4x4,,,,,,,,,Dainius Kreivys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11714005,Irina Rozova,Irina Rozowa,Irina Rozowa,Irina Rozowa,Irina Rozova,,,,,,,,,,,,,Irina Rozova,,,,Irina Rozowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irina Rozowa,,,,,,,Irina Rozova,Irina Rozowa,Irina Rozova,Irina Rozowa,female,1958-01-23,Irina,,,イリナ・ロゾヴァ,"Розова, Ирина Анатольевна",,,,,,,,,,,,,,,,,Irina Rozova,,,,,,,,,,,,,,,"Розова, Ирина Анатольевна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11728159,Jonas Liesys,Jonas Liesys,Jonas Liesys,Jonas Liesys,Jonas Liesys,,,Jonas Liesys,,,,,,,,,,Jonas Liesys,,,,Jonas Liesys,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonas Liesys,,,,,,,Jonas Liesys,Jonas Liesys,Jonas Liesys,Jonas Liesys,male,1952-02-24,Jonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a8/Jonas_Liesys.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11730682,Juzef Kvetkovskij,Józef Kwiatkowski,Józef Kwiatkowski,Józef Kwiatkowski,Juzef Kvetkovskij,,,,,,,,,,,,,Juzef Kvetkovskij,,,,Józef Kwiatkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,Józef Kwiatkowski,,,,,,,Juzef Kvetkovskij,Józef Kwiatkowski,Juzef Kvetkovskij,Józef Kwiatkowski (nauczyciel),male,1939-03-25,Józef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316391788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Józef Kwiatkowski (teacher),,,Kwiatkowski,,,,,,,,,,teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11748217,Kristina Miškinienė,Kristina Miškinienė,Kristina Miškinienė,Kristina Miškinienė,Kristina Miškinienė,,,Kristina Miškinienė,,,,,,,,,,,,,,Kristina Miškinienė,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kristina Miškinienė,,,,,,,Kristina Miškinienė,Kristina Miškinienė,Kristina Miškinienė,Kristina Miškinienė,female,1960-10-01,Kristina,,,,,,,,,,,,,,,Krėstėna Miškėnienė,Krėstėna Miškėnienė,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kristina Miškinienė,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11762063,,Liutauras Kazlavickas,Liutauras Kazlavickas,Liutauras Kazlavickas,Liutauras Kazlavickas,,,Liutauras Kazlavickas,,,,,,,,,,Liutauras Kazlavickas,,,,Liutauras Kazlavickas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liutauras Kazlavickas,,,,,,,Liutauras Kazlavickas,Liutauras Kazlavickas,,Liutauras Kazlavickas,male,1981-04-11,Liutauras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11781375,Mindaugas Bastys,Mindaugas Bastys,Mindaugas Bastys,Mindaugas Bastys,Mindaugas Bastys,,,Mindaugas Bastys,,,,,,,,,,Mindaugas Bastys,,,,Mindaugas Bastys,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mindaugas Bastys,,,,,,,Mindaugas Bastys,Mindaugas Bastys,Mindaugas Bastys,Mindaugas Bastys,male,1965-01-29,Mindaugas,,,,,,,,,,,,,,,Mindaugs Bastīs,Mindaugs Bastīs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11825489,Povilas Urbšys,Povilas Urbšys,Povilas Urbšys,Povilas Urbšys,Povilas Urbšys,,,Povilas Urbšys,,,,,,,,,,,,,,Povilas Urbšys,,,,,,,,,,,,,,,,,,,,,,,,,,,,Povilas Urbšys,,,,,,,Povilas Urbšys,Povilas Urbšys,Povilas Urbšys,Povilas Urbšys,male,1962-09-02,Povilas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q118937,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,,,Gediminas Kirkilas,,,,Gediminas Kirkilas,,Gediminas Kirkilas,,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,,Gediminas Kirkilas,Gediminas Kirkilas,,,,Gediminas Kirkilas,,,Gediminas Kirkilas,,Gediminas Kirkilas,,,,,,Gediminas Kirkilas,,,Gediminas Kirkilas,,,Gediminas Kirkilas,,,,,,,Gediminas Kirkilas,,,Gediminas Kirkilas,,,,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,male,1951-08-30,Gediminas,,Gediminas Kirkilas,ゲディミナス・キルキラス,Гедиминас Киркилас,Ґедімінас Кіркілас,Γκεντίμινας Κιρκίλας,格迪米纳斯·基尔基拉斯,Гядзімінас Кіркілас,Ģedimins Ķirķils,,,گدیمیناس کیرکیلاس,게디미나스 키르킬라스,,Gedimins Kėrkėls,Gedemėns Kėrkėls,Гядзімінас Кіркілас,Gediminas Kirkilas,Gediminas Kirkilas,Γκεντίμινας Κιρκίλας,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,گدیمیناس کیرکیلاس,Gediminas Kirkilas,Gediminas Kirkilas,,Gediminas Kirkilas,,ゲディミナス・キルキラス,게디미나스 키르킬라스,Gediminas Kirkilas,,Ģedimins Ķirķils,Gediminas Kirkilas,"Киркилас, Гедиминас",,,Gediminas Kirkilas,Ґядімінас Кіркілас,,格迪米纳斯·基尔基拉斯,https://upload.wikimedia.org/wikipedia/commons/a/a0/Litauens_statsminister_Gediminas_Kirkilas_under_Nordiska_Radets_session_i_Oslo._2007-10-29._Foto-_Magnus_Froderberg-norden.org.jpg,/m/0f7l10,,,311580641,,,,,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,,גדימינאס קירקילאס,Gediminas Kirkilas,غيديميناس كيركيلاس,Гедымінас Кіркілас,Gediminas Kirkilas,غيديميناس كيركيلاس,Гедымінас Кіркілас,Gediminas Kirkilas,גדימינאס קירקילאס,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,Gediminas Kirkilas,,,,,,,,,,,,,,,,,,,,,,,http://www.ministraspirmininkas.lt/Default.aspx,,,Category:Gediminas Kirkilas,,,Kirkilas,,,,,,,,,,politician,,,,,,789/000162303,,,,,,,,,,Gediminas Kirkilas,,,,,,,,,,,,,,,,,,,
