id,name__en,name__ga,name__de,name__nl,name__fr,name,wikipedia__en,wikipedia__ga,gender,given_name,website,original_wikiname,name__ru,birth_date,name__es,name__nb,name__da,name__nn,name__sv,name__hu,wikipedia__de,identifier__VIAF,identifier__ISNI,identifier__BNF,identifier__SUDOC,death_date,identifier__BNE,image,wikipedia__nl,identifier__freebase,name__pl,wikipedia__fr,wikipedia__pl,family_name,identifier__EuroparlMEP,name__sco,wikipedia__sco,name__fi,name__ca,wikipedia__ca,wikipedia__fi,wikipedia__commons,name__ro,wikipedia__ro,wikipedia__sv,name__it,name__gv,name__tr,name__ie,name__zh,wikipedia__gv,wikipedia__ie,wikipedia__it,wikipedia__tr,wikipedia__zh,identifier__LCAuth,name__cy,wikipedia__plwikiquote,identifier__Britannica,name__lb,name__eu,name__qu,name__gd,name__ko,name__be,name__yo,name__ms,name__gl,name__et,name__ja,name__sh,name__pt,name__sr,name__uk,name__la,name__cs,name__bg,name__pt_br,name__ta,name__el,name__eo,name__war,name__lmo,name__oc,name__lt,name__fa,name__he,name__hy,name__ar,wikipedia__ar,wikipedia__be,wikipedia__bg,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__gd,wikipedia__gl,wikipedia__he,wikipedia__hy,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__ms,wikipedia__no,wikipedia__pt,wikipedia__qu,wikipedia__ru,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__uk,wikipedia__war,wikipedia__yo,identifier__NNDB,identifier__parlement,identifier__IMDB,identifier__FAST,identifier__N6I,name__br,wikipedia__br,name__id,name__bn,name__be_tarask,name__ckb,name__az,name__af,name__hi,wikipedia__af,wikipedia__az,wikipedia__be_x_old,wikipedia__bn,wikipedia__ckb,wikipedia__hiwikiquote,wikipedia__id,wikipedia__nn,identifier__GND,identifier__NTA,identifier__Munzinger,identifier__journalisted,identifier__hansard,identifier__TWFY,identifier__parliamentary_record,identifier__bbc_democracy_live,twitter,wikipedia__itwikiquote,identifier__OpenPlaques,wikipedia__vi,name__vi,name__bar,name__zh_hant,name__zh_cn,identifier__PACE,identifier__parliamentDOTuk,name__hsb,wikipedia__hsb,identifier__google_knowledge,identifier__guardian_topic,occupation,identifier__GTAA,identifier__snac,wikipedia__enwikinews,facebook,identifier__quora,identifier__BBC_things,name__en_gb,wikipedia__hi,wikipedia__is,name__is,name__mr,wikipedia__hu,wikipedia__mr,wikipedia__ta,name__hr,name__sk,name__tt,wikipedia__tt,name__fo,name__kl,name__kana,identifier__BIBSYS,name__en_ca,identifier__SELIBR,name__sl,wikipedia__lrc,identifier__bigenc_ru,name__an,name__ast,name__bm,name__co,name__de_at,name__de_ch,name__frc,name__frp,name__fur,name__gsw,name__ia,name__io,name__jam,name__kab,name__kg,name__li,name__lij,name__mg,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__NUKAT,name__lv,identifier__rush,name__lrc,honorific_suffix,identifier__oireachtas,identifier__Oxforddnb,identifier__national_archives,identifier__OLID,identifier__wikitree,noble_title,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,wikipedia__hr,identifier__NLI,identifier__ne_se,identifier__GNC,identifier__NLAtrove,wikipedia__oc,name__kk,wikipedia__kk,identifier__DoUB,identifier__CTHS,name__sr_el,name__fy,wikipedia__ast,wikipedia__fy,identifier__CLARA,name__tl,identifier__persee,identifier__BAV,identifier__NLA,name__ka,wikipedia__io,wikipedia__ka,identifier__CONOR,identifier__nlg,identifier__Gutenberg,name__th,wikipedia__th,name__sr_ec,wikipedia__svwikiquote,name__mk,name__lzh,name__yue,name__kn,name__szl,name__nan,wikipedia__frwikiquote,wikipedia__kn,wikipedia__mk,wikipedia__nnwikiquote,wikipedia__sk,wikipedia__szl,wikipedia__ur,wikipedia__zh_classical,wikipedia__zh_min_nan,wikipedia__zh_yue,identifier__NPG,identifier__CANTIC,wikipedia__pms,wikipedia__slwikiquote,wikipedia__ukwikiquote,wikipedia__itwikisource,wikipedia__lv,wikipedia__simplewikiquote,identifier__NKC,identifier__NLP,identifier__LNB,name__bs,wikipedia__bs,name__pnb,name__ku,name__ur,wikipedia__ku,wikipedia__pnb,wikipedia__sl,identifier__nobel_prize,name__ext,wikipedia__mg,identifier__britishmuseum,wikipedia__cswikiquote,identifier__CSPAN,identifier__NDL,identifier__LAC,identifier__BVMC,wikipedia__dewikiquote,identifier__filmportal_de,identifier__kinopoisk,identifier__allmovie,name__ml,name__uz,wikipedia__ml,wikipedia__uz,identifier__ricorso,identifier__ainm,name__ty,wikipedia__wuu,name__wuu,name__ee,wikipedia__min,wikipedia__fo,identifier__CiNii,identifier__ni_assembly,identifier__parliamentid,identifier__ukparliamentid,wikipedia__vo
Q1064368,Charles Flanagan,Charles Flanagan,Charlie Flanagan,Charles Flanagan,Charles Flanagan,Charles Flanagan,Charles Flanagan,Charles Flanagan,male,Charles,,,Чарльз Флэнеган,1956-11-01,Charles Flanagan,Charles Flanagan,Charles Flanagan,Charles Flanagan,Charles Flanagan,Charles Flanagan,Charlie Flanagan,4896151656364308400004,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Charlie_Flanagan_2014.jpg,Charles Flanagan,/m/0941x4,Charles Flanagan,Charles Flanagan (homme politique),Charles Flanagan,Flanagan,,,,Charles Flanagan,,,,Category:Charles Flanagan,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Flanagan,チャールズ・フラナガン,,,,Чарльз Фланаган,,,,,,,,,,,,,,,تشارلز فلانغن,تشارلز فلانغن,,,,,,,,,,,Charles Flanagan,,,,,,,,,,,,,,,,,,,,,Чарльз Фланаган,,,,,,,,,,,,,,,,,,,,,,,,,1150886765,,,,,,,,CharlieFlanagan,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Charles Flanagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles-Flanagan.D.1987-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10951943,Seymour Crawford,,Seymour Crawford,Seymour Crawford,Seymour Crawford,Seymour Crawford,Seymour Crawford,,male,Seymour,,,Сеймур Крофорд,1944-06-01,Seymour Crawford,,,,,Seymour Crawford,,,,,,2018-10-21,,,,,,,,Crawford,,Seymour Crawford,Seymour Crawford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سايمور كروفورد,سايمور كروفورد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Seymour Crawford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seymour-Crawford.D.1992-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10971358,Noel Harrington,Noel Harrington,Noel Harrington,Noel Harrington,Noel Harrington,Noel Harrington,Noel Harrington,Noel Harrington,male,Noel,,,,1970-12-24,Noel Harrington,,,,,,,,,,,,,,,,,,,Harrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,نويل هارينجتون,نويل هارينجتون,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Noel Harrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noel-Harrington.D.2011-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1111220,David Andrews,David Andrews,David Andrews,David Andrews,David Andrews,David Andrews,David Andrews (politician),David Andrews,male,David,,,Дэвид Эндрюс,1935-03-15,David Andrews,,,,,David Andrews,David Andrews (Politiker),52252511,0000 0001 1821 6174,,,,,,,/m/01q5g2,David Andrews,,David Andrews (polityk),Andrews,,,,,,,,,,,,,,,,,,,,,,no2008064910,,,,,David Andrews,,,,,,,,,,,,,,,,,,,,,,,,,,,,دايفيد اندروز,ديفيد اندروز,,,,,,,,,,,,David Andrews (Irlandako politikaria),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139692339,,,,,,,,,,,,,,,,,,,,,,barrister,77463,,,,,,,,,,,,,,,,,,,,,,,,David Andrews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David-Andrews.D.1965-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11173726,Peter Power,,,Peter Power,Peter Power,Peter Power,Peter Power (politician),,male,Peter,,,Питер Пауэр,1966-01-26,Peter Power,,,,,Peter Power,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Peter_Power_2009.jpg,,,,,,Power,,Peter Power,Peter Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,بيتر باور,بيتر باور (سياسي),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Peter Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter-Power.D.2002-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1121447,Daniel Morrissey,Daniel Morrissey,Daniel Morrissey,Daniel Morrissey,Daniel Morrissey,Daniel Morrissey,Daniel Morrissey,Daniel Morrissey,male,Daniel,,,,1895-11-28,Daniel Morrissey,,,,,Daniel Morrissey,Daniel Morrissey,315945508,,,,1981-01-01,,,,/m/04534q,,,,Morrissey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Morrissey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel-Morrissey.D.1922-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11267457,Jim Kemmy,,Jim Kemmy,Jim Kemmy,Jim Kemmy,Jim Kemmy,Jim Kemmy,,male,Jim,,,,1936-09-01,Jim Kemmy,,,,,Jim Kemmy,,63296321,0000 0000 6768 1286,,,1997-09-25,,,,,,,,Kemmy,,,,,,,,,,,,,,,,,,,,,,n97080046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Kemmy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Kemmy,,,,,,,,,,,,,,,395747,,,,,,,,,,,,,,,,,,,1029181950,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Jim Kemmy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim-Kemmy.D.1981-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1147738,Martin Brady,,Martin Brady,Martin Brady,Martin Brady,Martin Brady,Martin Brady,,male,Martin,,,,1947-05-07,Martin Brady,,,,,Martin Brady,Martin Brady,,,,,,,,,/m/09bp6l,,,,Brady,,Martin Brady,Martin Brady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,مارتن برادي,مارتن برادي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Martin Brady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin-Brady.D.1997-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1166562,Darragh O'Brien,Darragh O'Brien,Darragh O’Brien,Darragh O'Brien,Darragh O'Brien,Darragh O'Brien,Darragh O'Brien,Darragh O'Brien,male,Darragh,http://www.darraghobrien.ie,,,1974-07-08,Darragh O'Brien,,,,,Darragh O'Brien,Darragh O’Brien,,,,,,,,,/m/02rd5wv,,,,O'Brien,,,,,,,,,,,,,,,,歐布萊恩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DarraghOBrienTD,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Darragh O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darragh-O'Brien.D.2007-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1187443,Denis J. O'Sullivan,Denis J. O'Sullivan,Denis J. O’Sullivan,Denis J. O'Sullivan,Denis J. O'Sullivan,Denis J. O'Sullivan,Denis J. O'Sullivan,Denis J. O'Sullivan,male,Denis,,,,1918-03-05,Denis J. O'Sullivan,Denis J. O'Sullivan,Denis J. O'Sullivan,Denis J. O'Sullivan,Denis J. O'Sullivan,Denis J. O'Sullivan,Denis J. O’Sullivan,,,,,1987-07-20,,,Denis J. O'Sullivan,/m/05xnlb,,,,O'Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Denis J. O'Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denis-O'Sullivan.D.1951-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1187493,Denis Larkin,Denis Larkin,Denis Larkin,Denis Larkin,Denis Larkin,Denis Larkin,Denis Larkin,Denis Larkin,male,Denis,,,,1908,Denis Larkin,Denis Larkin,Denis Larkin,Denis Larkin,Denis Larkin,Denis Larkin,Denis Larkin,,,,,1987-07-02,,,,/m/04mx5fg,,,,Larkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,Denis Larkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denis-Larkin.D.1954-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
