id,name__nl,name__en,name__tl,name__es,name__de,name__fr,name__hu,name__ja,name,wikipedia__en,wikipedia__nl,wikipedia__tl,gender,identifier__VIAF,birth_date,given_name,original_wikiname,wikipedia__de,name__pl,name__ru,name__it,name__nb,name__da,name__nn,name__sv,name__id,wikipedia__es,wikipedia__fr,wikipedia__id,wikipedia__it,wikipedia__pl,wikipedia__ru,image,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__freebase,identifier__NTA,identifier__Munzinger,twitter,identifier__FAST,name__bcl,name__ilo,name__zh,wikipedia__bcl,wikipedia__commons,wikipedia__ilo,name__zh_hans,name__zh_hant,name__zh_hk,name__pam,name__pag,name__qu,name__ko,name__he,name__uz,name__ceb,name__cbk_zam,name__lv,name__vi,name__el,name__ia,name__ga,name__ar,name__pt,name__ro,name__th,name__fi,name__la,name__war,name__cs,name__az,name__hr,name__ca,name__af,name__an,name__br,name__eo,name__et,name__eu,name__gl,name__is,name__lb,name__lmo,name__lt,name__nds_nl,name__pms,name__sk,name__sl,name__sq,name__tr,name__wa,name__gsw,name__fa,name__uk,name__kk,name__ms,name__sr,name__my,wikipedia__ar,wikipedia__az,wikipedia__ca,wikipedia__cbk_zam,wikipedia__ceb,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__enwikiquote,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__ga,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__ia,wikipedia__itwikiquote,wikipedia__ja,wikipedia__kk,wikipedia__ko,wikipedia__la,wikipedia__lv,wikipedia__ms,wikipedia__my,wikipedia__no,wikipedia__pag,wikipedia__pam,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__sr,wikipedia__sv,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__ukwikiquote,wikipedia__uz,wikipedia__vi,wikipedia__war,wikipedia__zh,identifier__BNF,identifier__IMDB,website,identifier__NNDB,death_date,name__nan,name__zh_cn,name__zh_sg,name__zh_tw,name__jv,name__ml,name__bg,name__co,name__de_ch,name__en_ca,name__en_gb,name__fo,name__fy,name__haw,name__io,name__ksh,name__mg,name__nds,name__oc,name__pap,name__pdc,name__pih,name__pt_br,name__scn,name__sco,name__sc,name__yo,name__ta,name__hy,name__bn,name__am,name__be,name__gu,name__ha,name__ht,name__ig,name__km,name__ku,name__ur,wikipedia__af,wikipedia__als,wikipedia__am,wikipedia__be,wikipedia__bg,wikipedia__bgwikiquote,wikipedia__bn,wikipedia__co,wikipedia__dewikiquote,wikipedia__eo,wikipedia__fo,wikipedia__fy,wikipedia__ha,wikipedia__haw,wikipedia__ht,wikipedia__ig,wikipedia__io,wikipedia__is,wikipedia__jv,wikipedia__km,wikipedia__ksh,wikipedia__ku,wikipedia__lb,wikipedia__mg,wikipedia__ml,wikipedia__nds,wikipedia__nn,wikipedia__oc,wikipedia__pap,wikipedia__pdc,wikipedia__pih,wikipedia__plwikiquote,wikipedia__pms,wikipedia__scn,wikipedia__sco,wikipedia__sc,wikipedia__simple,wikipedia__sq,wikipedia__ta,wikipedia__ur,wikipedia__yo,wikipedia__zh_min_nan,identifier__CiNii,identifier__NDL,identifier__GTAA,name__ast,name__bar,name__cy,name__de_at,name__frp,name__fur,name__gd,name__ie,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pcd,name__rm,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wo,name__zu,name__mk,name__yue,name__mr,name__ka,wikipedia__br,wikipedia__enwikisource,wikipedia__hy,wikipedia__ka,wikipedia__lt,wikipedia__mk,wikipedia__mr,wikipedia__sk,wikipedia__sw,wikipedia__zh_yue,identifier__NLA,family_name,identifier__AlloCine,identifier__allmovie,identifier__SFDb,identifier__CSFD,occupation,identifier__wikitree,wikipedia__fawikiquote,facebook,wikipedia__bi,name__bi,identifier__nyt_topic,wikipedia__enwikinews,identifier__snac,name__ty,identifier__quora,wikipedia__thwikiquote
Q11845136,Lucy Torres,Lucy Torres,Lucy Torres-Gomez,Lucy Torres,Lucy Torres,Lucy Torres,Lucy Torres,,Lucy Torres,Lucy Torres,,Lucy Torres-Gomez,female,,1974-12-11,Lucy,Lucy Torres,,Lucy Torres,,Lucy Torres,Lucy Torres,Lucy Torres,,Lucy Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucy Torres-Gomez,,,,,,,,Lucy Torres,,,Lucy Torres,,,,,,Lucy Torres,,,,,,,,,,,,,,,,,Lucy Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nm1403695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actor,,,,,,,,,,,
Q123665,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,グロリア・アロヨ,Gloria Macapagal-Arroyo,Gloria Macapagal Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal Arroyo,female,6047665,1947-04-05,Gloria,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Глория Макапагал-Арройо,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,"Макапагал-Арройо, Глория",https://upload.wikimedia.org/wikipedia/commons/3/3d/Gloria_Macapagal_Arroyo.jpg,0000 0000 7872 6865,130800155,n00902393,,/m/01b1g9,,,,448310,Gloria Macapagal-Arroyo,Gloria Macapagal Arroyo,格洛丽亚·马卡帕加尔-阿罗约,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal Arroyo,格洛丽亚·马卡帕加尔-阿罗约,葛洛麗雅·雅羅育,格洛麗亞·阿羅約,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal,글로리아 마카파갈아로요,גלוריה מקפגל ארויו,Makapagal Arroyo Gloriya xonim,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Glorija Makapagala-Arojo,Gloria Macapagal-Arroyo,Γκλόρια Αρόγιο,Gloria Macapagal-Arroyo,,غلوريا ماكاباغال أرويو,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,กลอเรีย มาคาปากัล-อาร์โรโย,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyová,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,,,,Gloria Macapagal-Arroyo,,,Gloria Macapagalová-Arroyová,,,Gloria Macapagal Arroyo,,,گلوریا آرویو,Глорія Арройо,Глория Макапагал-Арройо,Gloria Macapagal-Arroyo,,,غلوريا ماكاباغال أرويو,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyová,Gloria Macapagal-Arroyo,Γκλόρια Αρόγιο,Gloria Macapagal-Arroyo,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,گلوریا آرویو,Gloria Macapagal-Arroyo,,Gloria Macapagal-Arroyo,גלוריה מקפגל ארויו,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,,グロリア・アロヨ,Глория Макапагал-Арройо,글로리아 마카파갈아로요,Gloria Macapagal-Arroyo,Glorija Makapagala-Arojo,Gloria Macapagal-Arroyo,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal,Gloria Macapagal-Arroyo,,Gloria Macapagal-Arroyo,กลอเรีย มาคาปากัล-อาร์โรโย,Gloria Macapagal Arroyo,Глорія Макапагал-Арройо,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,格洛丽亚·马卡帕加尔-阿罗约,,,http://www.macapagal.com/gma,135/000098838,,Gloria Macapagal-Arroyo,格洛丽亚·马卡帕加尔-阿罗约,格洛丽亚·阿罗约,葛洛麗雅·雅羅育,Gloria Macapagal-Arroyo,,Глория Макапагал-Оройо,,,,,,,,Gloria Macapagal-Arroyo,,,,Gloria Macapagal-Arroyo,,,,,,Gloria Macapagal-Arroyo,,Gloria Macapagal-Arroyo,குளோரியா மகபகல்-அர்ரொயோ,Մարիա Մակապագալ Առոյո,গ্লোরিয়া মাকাপাগাল আরোইয়ো,,,,,,,,,,Gloria Macapagal-Arroyo,,,,Глория Макапагал-Оройо,,গ্লোরিয়া মাকাপাগাল আরোইয়ো,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,,,,,,,Gloria Macapagal-Arroyo,,Gloria Macapagal-Arroyo,,,,,,,,,Gloria Macapagal-Arroyo,,,,,,,Gloria Macapagal-Arroyo,,Gloria Macapagal-Arroyo,,குளோரியா மகபகல்-அர்ரொயோ,,Gloria Macapagal-Arroyo,Gloria Macapagal-Arroyo,,,,,,,,,,,,,,,,,,,,,Gloria Macapagal Arroyo,,,,,,Глорија Макапагал-Аројо,阿羅約,ग्लोरिया मॅकापगाल-अरोयो,გლორია მაკაპაგალ-აროიო,Gloria Macapagal-Arroyo,Author:Gloria Macapagal-Arroyo,Մարիա Մակապագալ Առոյո,გლორია მაკაპაგალ-აროიო,Gloria Macapagal-Arroyo,Глорија Макапагал-Аројо,ग्लोरिया मॅकापगाल-अरोयो,Gloria Macapagalová-Arroyová,Gloria Macapagal Arroyo,阿羅約,48220834,,,,,,economist,,گلوریا آرویو,,Gloria Macapagal Arroyo,Gloria Macapagal Arroyo,,Category:Gloria Macapagal-Arroyo,,,,กลอเรีย มาคาปากัล-อาร์โรโย
Q1285526,Walden Bello,Walden Bello,Walden Bello,Walden Bello,Walden Bello,Walden Bello,,,Walden Bello,Walden Bello,Walden Bello,Walden Bello,male,33062886,1945-11-11,Walden,Walden Bello,Walden Bello,Walden Bello,Уолден Белло,Walden Bello,Walden Bello,Walden Bello,Walden Bello,Walden Bello,Walden Bello,Walden Bello,Walden Bello,Walden Bello,Walden Bello,Walden Bello,"Белло, Уолден",https://upload.wikimedia.org/wikipedia/commons/6/65/Walden.jpg,0000 0001 0963 6193,128932791,n82079124,089286839,/m/07b9pf,07270294X,00000026193,WaldenBello,93796,,,瓦爾登·貝約,,,,,,,,,,,וולדן בלו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瓦爾登·貝約,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer,,,,,,,,,,,
Q12962647,Celso Lobregat,Celso Lobregat,Celso Lobregat,,Celso Lobregat,Celso Lobregat,,,Celso Lobregat,Celso Lobregat,,Celso Lobregat,male,,1948-03-20,Celso,Celso Lobregat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12967978,,Mercedes Alvarez,Mercedes Alvarez,,,,,,Mercedes Alvarez,Mercedes Alvarez (politician),,Mercedes Alvarez,female,,,Mercedes,Mercedes Alvarez (politician),,,,Mercedes Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q12969815,Raul A. Daza,Raul Daza,Raul Daza,,,,,,Raul Daza,Raul Daza,,Raul Daza,male,,,Raul,Raul Daza,,,,Raul Daza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q12970074,,Rodolfo Fariñas,Rodolfo Fariñas,,,,,,Rodolfo Fariñas,Rodolfo Fariñas,,Rodolfo Fariñas,male,,1951-09-05,Rodolfo,Rodolfo Fariñas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q12970122,,Ronaldo Zamora,Ronaldo Zamora,,,,,,Ronaldo Zamora,Ronaldo Zamora,,Ronaldo Zamora,male,,1944-12-04,Ronaldo,Ronaldo Zamora,,,,Ronaldo Zamora,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Ronaldo_Zamora_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12972881,,Yul Servo,Yul Servo,,,,,,Yul Servo,Yul Servo,,Yul Servo,male,,,,Yul Servo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nm1100058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actor,,,,,,,,,,,
Q150054,Joet Garcia,Joet Garcia,Joet Garcia,,Joet Garcia,Joet Garcia,,,Joet Garcia,Joet Garcia,,,male,,1971-11-12,,Joet Garcia,,,,,,,,,,,,,,,,,,,,,/m/03grlr3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joet Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joet Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
