name,honorifix_prefix,constituency,party,party_id,tel,term,source
Alexandera Otway-Noel,"",St. George South,New National Party,NNP,(473) 439 - 2639,2013,https://www.gov.gd/contact_mp.html
Alvin Dabreo,"",St. John,New National Party,NNP,(473) 444 -2500,2013,https://www.gov.gd/contact_mp.html
Anthony Boatswain,"",St. Patrick West,New National Party,NNP,(473) 442 -2899,2013,https://www.gov.gd/contact_mp.html
Clarice Modeste-Curwen,"",St. Mark,New National Party,NNP,(473) 437-0141,2013,https://www.gov.gd/contact_mp.html
Clifton Paul,"",St. Patrick East,New National Party,NNP,(4 73) 442 -1696,2013,https://www.gov.gd/contact_mp.html
Delma Thomas,"",St. Andrew North West,New National Party,NNP,(473) 442 -5929,2013,https://www.gov.gd/contact_mp.html
Elvin Nimrod,"",Carriacou &  Petite Martinique,New National Party,NNP,(473) 443-6535,2013,https://www.gov.gd/contact_mp.html
Emmalin Pierre,"",St. Andrew South East,New National Party,NNP,(473) 437 -4666,2013,https://www.gov.gd/contact_mp.html
Gregory Bowen,"",St. George South East,New National Party,NNP,(473) 440- 6183,2013,https://www.gov.gd/contact_mp.html
Keith Mitchell,Dr. Rt.,St. George North West,New National Party,NNP,(473) 440-1382,2013,https://www.gov.gd/contact_mp.html
Niickolas Steele,"",Town of St. George,New National Party,NNP,(473) 435 -9956,2013,https://www.gov.gd/contact_mp.html
Oliver Joseph,"",St. David,New National Party,NNP,(473) 435 - 4978,2013,https://www.gov.gd/contact_mp.html
Roland Bhola,"",St. Andrew North East,New National Party,NNP,(473) 458 -2868,2013,https://www.gov.gd/contact_mp.html
Tobias Clement,"",St. George North East,New National Party,NNP,(473) 440-7100,2013,https://www.gov.gd/contact_mp.html
Yolande Bain - Horseford,"",St. Andrew South West,New National Party,NNP,(473) 442 - 7240,2013,https://www.gov.gd/contact_mp.html
