id,name__en,name,wikipedia__en,image,gender,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__CiNii,identifier__IMDB,identifier__NDL,identifier__NLA,birth_date,identifier__freebase,identifier__NKC,family_name,given_name,website,identifier__RSL,identifier__NLI,identifier__dmoz,identifier__NTA,identifier__BIBSYS,identifier__NUKAT,identifier__NNDB,identifier__CANTIC,identifier__Munzinger,identifier__GNC,identifier__EGAXA,identifier__Britannica,identifier__parlement,twitter,facebook,identifier__AlloCine,identifier__JewishEnc,death_date,identifier__MGP,identifier__BNE,identifier__PTBNP,identifier__BAV,birth_name,identifier__N6I,identifier__GTAA,identifier__MusicBrainz,identifier__discogs,identifier__SELIBR,identifier__OpenPlaques,identifier__NPG,identifier__NLP,name__he,wikipedia__he,name__zh,name__pl,name__eu,name__es,name__ta,name__af,name__oc,name__ms,name__hu,name__et,name__sq,name__el,name__bcl,name__my,name__nl,name__sv,name__ar,name__pt,name__is,name__eo,name__yi,name__ru,name__sr,name__tr,name__fi,name__uk,name__nn,name__io,name__sco,name__hr,name__tl,name__da,name__nan,name__gsw,name__ko,name__be,name__fr,name__lad,name__yo,name__lv,name__it,name__gl,name__de,name__id,name__ja,name__vi,name__wuu,name__sk,name__kn,name__fy,name__ro,name__ca,name__la,name__cy,name__war,name__cs,name__fa,name__bg,name__mr,name__arc,name__ka,name__nds,name__lt,name__nb,name__ckb,name__de_ch,name__en_ca,name__en_gb,name__pam,name__pt_br,name__sh,name__gv,name__az,name__ur,name__ie,name__arz,name__ml,name__mk,name__mzn,name__fo,name__hy,name__bn,wikipedia__af,wikipedia__als,wikipedia__arc,wikipedia__ar,wikipedia__arz,wikipedia__az,wikipedia__bcl,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ca,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__cy,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fawikinews,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__fy,wikipedia__gl,wikipedia__gv,wikipedia__hewikinews,wikipedia__hewikiquote,wikipedia__hewikisource,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ka,wikipedia__kn,wikipedia__ko,wikipedia__lad,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__my,wikipedia__mzn,wikipedia__nds,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pam,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sq,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__ukwikiquote,wikipedia__ur,wikipedia__vi,wikipedia__war,wikipedia__wuu,wikipedia__yi,wikipedia__yo,wikipedia__zh_min_nan,wikipedia__zh,name__hi,wikipedia__hi,name__jv,wikipedia__jv,wikipedia__simplewikiquote,name__mo,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__br,name__sr_el,name__sr_ec,name__ast,name__be_tarask,name__sl,name__ksh,wikipedia__ast,wikipedia__be_x_old,wikipedia__br,wikipedia__ksh,wikipedia__sl,wikipedia__trwikiquote,name__vmf,wikipedia__dewikiquote,name__pnb,name__scn,name__ku,name__qu,name__bs,name__yue,wikipedia__arwikiquote,wikipedia__bgwikiquote,wikipedia__bswikiquote,wikipedia__idwikiquote,wikipedia__ku,wikipedia__pnb,wikipedia__ptwikiquote,wikipedia__qu,wikipedia__scn,wikipedia__zh_yue,name__ga,name__tg_latn,name__mn,name__th,name__tg,wikipedia__bs,wikipedia__ga,wikipedia__mn,wikipedia__tg,wikipedia__th,name__ang,name__an,name__li,name__cv,name__kk,name__lb,name__nap,name__bar,name__tt,name__vo,name__de_at,name__min,name__lez,wikipedia__ang,wikipedia__an,wikipedia__bar,wikipedia__cv,wikipedia__fiwikiquote,wikipedia__kk,wikipedia__lb,wikipedia__lez,wikipedia__li,wikipedia__min,wikipedia__nap,wikipedia__nowikiquote,wikipedia__tt,wikipedia__vo,wikipedia__frwikiquote,name__mg,wikipedia__mg,name__uz,wikipedia__uz,name__os,wikipedia__mk,wikipedia__os,wikipedia__thwikiquote,name__szl,wikipedia__szl,name__ht,wikipedia__ht,wikipedia__liwikiquote,name__ba,name__pa,name__ku_arab,name__ku_latn,wikipedia__ba,wikipedia__pa,wikipedia__srwikiquote,wikipedia__svwikiquote,name__mwl,name__si,wikipedia__fawikiquote,wikipedia__mwl,wikipedia__si,wikipedia__slwikiquote,name__lij,name__new,name__nov,name__krc,wikipedia__azwikiquote,wikipedia__krc,wikipedia__kuwikiquote,wikipedia__lij,wikipedia__new,wikipedia__nlwikiquote,wikipedia__nov,name__sw,name__rue,name__wa,name__hif,name__sgs,name__pms,name__lrc,wikipedia__bat_smg,wikipedia__glwikiquote,wikipedia__hif,wikipedia__kowikiquote,wikipedia__lrc,wikipedia__pms,wikipedia__rue,wikipedia__ruwikisource,wikipedia__sw,wikipedia__wa,name__diq,wikipedia__diq,name__bm,name__co,name__frc,name__frp,name__fur,name__gd,name__ia,name__jam,name__kab,name__kg,name__nds_nl,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__rm,name__sc,name__vec,name__vls,name__wo,name__zu,wikipedia__kl,name__kl,identifier__NLAtrove,instagram,wikipedia__frwikinews,wikipedia__hywikiquote,wikipedia__azb,original_wikiname,identifier__FAST,identifier__OLID,identifier__NLC,identifier__rotten_tomatoes,identifier__BNC,name__azb,identifier__NSZL,identifier__ORCID,identifier__DoUB,identifier__SFDb,identifier__CSPAN,identifier__zbMATH,identifier__PORT,identifier__KLfG,last_seen,identifier__kinopoisk,wikipedia__cawikiquote,name__ceb,name__eml,name__frr,name__hak,name__hsb,name__nah,name__zea,wikipedia__xmf,name__xmf,identifier__filmportal_de,identifier__senate_nl,identifier__allmovie,name__kana,identifier__PACE,identifier__SCOPE,identifier__CSFD,wikipedia__hsb,identifier__bigenc_ru,identifier__wikitree,wikipedia__ky,identifier__dialnet,identifier__google_knowledge,identifier__guardian_topic,wikipedia__bewikiquote,wikipedia__lmo,name__lmo,occupation,identifier__nobel_prize,identifier__livejournal,identifier__youtube,identifier__google_plus,identifier__nyt_topic,identifier__nlg,identifier__ne_se,name__dsb,name__pfl,name__als,name__ky,identifier__quora,identifier__snac,wikipedia__arwikinews,wikipedia__dewikinews,wikipedia__rowikinews,wikipedia__srwikinews,wikipedia__svwikinews,wikipedia__eswikinews,wikipedia__itwikinews,wikipedia__trwikinews,identifier__politifact,identifier__persee,wikipedia__gom,name__gom,identifier__BVMC,name__ext,identifier__DNF,identifier__BBC_things,wikipedia__ay,name__ay,political_alignment,identifier__LAC,email,name__ne,wikipedia__ne,pseudonym,identifier__LNB,identifier__NSK,wikipedia__tk,wikipedia__sm,name__tk,name__sm,identifier__CONOR,identifier__goodreads,wikipedia__got,name__got,wikipedia__lfn,name__lfn,name__hil,name__aeb_arab,name__mai,wikipedia__mai,wikipedia__zea,identifier__CTHS,identifier__google_scholar,name__te,identifier__flickr,name__mt,name__hyw,wikipedia__hyw
Q1058957,Haim Boger,חיים בוגר,Haim Boger,https://upload.wikimedia.org/wikipedia/commons/0/01/Chaim_Boger_Bugrashov.jpg,male,0000 0000 6697 9718,78642839,17316112X,nr92022634,,,,,,,1876-09-25,/m/076zz7_,,,Chaim,,,,,,,,,,,,,,,,,,,1963-06-08,,,,,,,,,,,,,,חיים בוגר,חיים בוגר (בוגרשוב),,Chaim Boger,,Haim Boger,,,,,Haim Boger,,,,,,Haim Boger,,,,,,,"Богер, Хаим",,,,,,,,,,,,,,,Hayyim Boger,,,,,,Chaim Boger,,,,,,,,,Hayyim Boger,,,,Chajim Boger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Haim Bugrashov,Chajim Boger,,,,Chaim Boger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chajjim Boger,,,,"Богер, Хаим",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1159122,Dan Meridor,דן מרידור,Dan Meridor,https://upload.wikimedia.org/wikipedia/commons/e/ea/Dan_meridor.jpg,male,0000 0000 7866 3956,84132817,122386744,no98078401,,,,,,,1947-04-23,/m/02rg47v,,Meridor,Dan,,,,,,,,,,,,,,,,,,,,,,,,,,131960,,,,,,,דן מרידור,דן מרידור,,Dan Meridor,,Dan Meridor,,,,,Dan Meridor,,,,,,Dan Meridor,,دان مريدور,Dan Meridor,,,,"Меридор, Дан",,,,Дан Мерідор,,,,,,,,,,,Dan Meridor,,,,,,Dan Meridor,,ダン・メリドール,,,,,,,Dan Meridor,,,,Dan Meridor,,,,,,,,,,,,,,Dan Meridor,,,,,,,,,,,,,,,,دان مريدور,,,,,,,,,Category:Dan Meridor,Dan Meridor,,,,Dan Meridor,,,,,,,,,,,,,,Dan Meridor,,,,,דן מרידור,,,,,,,,,,,ダン・メリドール,,,,,,,,,,,,,,,,,,,Dan Meridor,,Dan Meridor,,"Меридор, Дан",,,,,,,,,,,,,Дан Мерідор,,,,,,,,,,,,,,,,,,,,,,,,,Dan Meridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Meridor,416068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,w6mq2j92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1159747,Danny Yatom,דני יתום,Danny Yatom,https://upload.wikimedia.org/wikipedia/commons/2/2b/Danny_Yatom.jpg,male,0000 0000 7852 3849,101141418,139396683,,,,,,,,1945-03-15,/m/0cpgd0,,,Danny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,דני יתום,דני יתום,,Dani Yatom,,Danny Yatom,,,,,Danny Yatom,,,,,,Danny Yatom,,داني ياتوم,,,,,"Ятом, Дани",,,Danny Yatom,,,,,,,,,,,,Danny Yatom,,,,,,Dani Jatom,,ダニー・ヤトゥーム,,,,,,Dani Yatom,Danny Yatom,,,,Dani Jatom,دانی یاتوم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,داني ياتوم,,,,,,,,,Category:Danny Yatom,Dani Jatom,,,,Dani Jatom,,,,,,,,,,دانی یاتوم,,Danny Yatom,,Danny Yatom,,,,,דני יתום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dani Jatom,,,Dani Yatom,"Ятом, Дани",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny Yatom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,w6378tm6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q116194,Yossi Peled,יוסי פלד,Yossi Peled,https://upload.wikimedia.org/wikipedia/commons/d/dd/Ypeled.JPG,male,0000 0000 6697 6648,48999938,,no2007022294,,,,,,,1941-01-18,/m/03cs4nx,,Peled,Yossi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יוסי פלד,יוסי פלד,,,,Yossi Peled,,,,,Yossi Peled,,,,,,Yossi Peled,,,,,,,"Пелед, Йоси",,,,,,,,,,,,,,,Yossi Peled,,,,,,Jossi Peled,,ヨッシ・ペレト,,,,,,,Yossi Peled,,,,Josi Peled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Yossi Peled,Josi Peled,,,,Jossi Peled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Пелед, Йоси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yossi Peled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1175220,David Levy,דוד לוי,David Levy (Israeli politician),https://upload.wikimedia.org/wikipedia/commons/d/d0/David_Levy_(26927184749)_(cropped).jpg,male,0000 0000 7875 5690,97236842,129847755,n84079524,,,,,,,1937-12-21,/m/04mn6b,,,David,,,,,071103341,,,,,,,,biography/David-Levy,,,,,,,,,,,,,125914,,,,,,,דוד לוי,דוד לוי,大衛·利維,Dawid Lewi,,David Levy,,,,,David Levy,,,,,,David Levy,,دافيد ليفي,,,,,"Леви, Давид",,,,Давід Леві,,,,,,David Levy,,,,,David Lévy,,,,,,David Levy,,ダビド・レヴィ,,,,,,,David Lévy,,,,David Levy,دیوید لوی,,,,,,,,,,,,,,,,,,,دافيد ليفى,,,,,,,,,,دافيد ليفي,دافيد ليفى,,,,,,,,Category:David Levy,David Levy,,,David Levy,David Levy (Politiker),,,,,,,,,,,,,,David Lévy,,,,,דוד לוי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawid Lewi,,,,"Леви, Давид",,,,,,,,,,,,,Давід Леві,,,,,,,,,,,,,,,,大卫·利维,大衛·利維,,大卫·利维,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Levy (Israeli politician),116573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1176303,David Remez,דוד רמז,David Remez,https://upload.wikimedia.org/wikipedia/commons/b/ba/David_Remez.jpg,male,0000 0000 6696 9325,70952915,,no91015266,,,,,,,1886-05-23,/m/02r_f1t,,,David,,,,,,,,,,,,,,,,,,,1951-05-19,,,,,,,,,,,,,,דוד רמז,דוד רמז,,Dawid Remez,,David Remez,,,,,David Remez,,,,,,David Remez,,دافيد ريمز,,,,,"Ремез, Моше Давид",,,,,,,,,,,,,,,David Remez,,,,,,David Remez,,,,,,,,,David Remez,,,,David Remez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,دافيد ريمز,,,,,,,,,Category:David Remez,David Remez,,,,David Remez,,,,,,David Remez,,,,,,,,David Remez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Remez,,,,,Dawid Remez,,,,"Ремез, Моше Давид",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Remez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12181439,Ayman Odeh,איימן עודה,Ayman Odeh,https://upload.wikimedia.org/wikipedia/commons/8/8f/Ayman_Odeh_(8).jpg,male,,365154592501543370009,1174124091,,,,,,,,1975-01-01,/m/012nkyrp,,Odeh,Ayman,http://aymanodeh.com,,,,,,,,,,,,,,Ayman_Odeh_TJL,AymanOdeh1975,,,,,,,,,,,,,,,,,איימן עודה,איימן עודה,,Ajman Auda,,Ayman Odeh,,,,,,,,,,,Ayman Odeh,,أيمن عودة,,,,,Айман Уда,,,,,,,,,,,,,,,Ayman Odeh,,,,,,Ayman Odeh,Ayman Odeh,アイマン・オデフ,,,,,,,Ayman Odeh,,,,Ajman Ode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أيمن عودة,,,,,,,Ayman Odeh,,Category:Ayman Odeh,Ajman Ode,Ajman Ode,,,Ayman Odeh,,,Ayman Odeh,,,Ayman Odeh,,,,,,,,Ayman Odeh,,,,,,,,,,Ayman Odeh,,,,,,,,,,,,,,,,,,,,,,,,,Ajman Auda,,,,"Уда, Айман",,,,,Ayman Odeh,,,,,,,,,,,,,,,,,,,,,,,,艾曼·奥德,艾曼·奧德,,,,,,,,Ayman Odeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,איימן עודה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,member of parliament,,,UC3E39QvBOcqXgP_JGi_Exyg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12407210,Zouheir Bahloul,זוהיר בהלול,Zouheir Bahloul,https://upload.wikimedia.org/wikipedia/commons/8/8b/Zouheir_Bahloul.jpg,male,,2360151353520452720003,1148551409,,,,,,,,1950-12-24,,,,,,,,,,,,,,,,,,,,zohirbhlol,,,,,,,,,,,,,,,,,זוהיר בהלול,זוהיר בהלול,,Zuhair Balul,,Zouheir Bahloul,,,,,,,,,,,Zouheir Bahloul,,زهير بهلول,,,,,,,,,,,,,,,,,,,,Zouheir Bahloul,,,,,,Zouheir Bahloul,,,,,,,,,Zouheir Bahloul,,,,Zuhajr Bahlúl,,,,,,Zouheir Bahloul,,,,,,,,,,,,,,,,,,,,,,,,زهير بهلول,,,,,,,,,Category:Zouheir Bahloul,Zuhajr Bahlúl,,,,Zouheir Bahloul,,,,,,,,,,,,,,,,,,,זוהיר בהלול,,,,,Zouheir Bahloul,,,,,,,,,,,,,,,,,,,,,,,,,Zuhair Balul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zouheir Bahloul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,זוהיר בהלול,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12407970,Yossi Yona,יוסי יונה,Yossi Yona,https://upload.wikimedia.org/wikipedia/commons/1/13/Yossi_Yonah_(6934779859).jpg,male,0000 0000 6661 169X,24878699,,no2004103826,,,,,,,1953-06-08,,,,Josi,http://yossiyonah.org.il/,,,,304014923,,,,,,,,,,yossiyonah,YossiYonah,,,,,,,,,,,,,,,,,יוסי יונה,יוסי יונה,,Josef Jona,,Yossi Yona,,,,,,,,,,,Yossi Yona,,يوسي يونا,,,,,,,,,,,,,,,,,,,,Yossi Yona,,,,,,Yossi Yona,,,,,,,,,Yossi Yona,,,,Josi Jona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,يوسي يونا,,,,,,,,,Category:Yossi Yonah,Josi Jona,,,,Yossi Yona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josef Jona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yossi Yona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יוסי יונה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/122892k0,,,,,politician,,,UCnnNBN23virw8q6WYlBc12g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12410181,Aida Touma-Sliman,עאידה תומא סלימאן,Aida Touma-Suleiman,https://upload.wikimedia.org/wikipedia/commons/e/ef/עאידה_תומא_סלימאן.jpg,female,,264149617132203751672,1165542137,,,,,,,,1964-07-16,,,,Aida,,,,,,,,,,,,,,,AidaTuma,,,,,,,,,,,,,,,,,,עאידה תומא סלימאן,עאידה תומא סלימאן,,Ajida Tuma-Sulajman,,Aida Touma-Sliman,,,,,,,,,,,Aida Touma-Suleiman,,عايدة توما سليمان,,,,,,,,,,,,,,,,,,,,Aida Touma-Suleiman,,,,,,Aida Touma-Suleiman,Aida Touma-Suleiman,アイーダ・トーマ・スレイマン,,,,,,,Aida Touma-Suleiman,,,,Ajda Tuma Sulejman,,,,,,,,,,,,,,,,,,عایدہ توما سلیمان,,,,,,,,,,,,عايدة توما سليمان,,,,,,,,,Category:Aida Touma-Suleiman,Ajda Tuma Sulejman,,,,Aida Touma-Suleiman,,,,,,,,,,,,,,,,,,,עאידה תומא סלימאן,,,,,Aida Touma-Suleiman,,,,,,,,,,,,,,,,,,,,,,,,,Ajida Tuma-Sulajman,,,,,,,,,,,,,,,,,,,عایدہ توما سلیمان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עאידה תומא סלימאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
