id,name__en,name,wikipedia__en,image,gender,identifier__VIAF,birth_date,identifier__freebase,family_name,given_name,identifier__LCAuth,name__zh,name__pl,name__he,name__fr,name__es,name__oc,name__yo,name__it,name__gl,name__et,name__id,name__de,name__ja,name__el,name__sh,name__ar,name__nl,name__pt,name__ru,name__mn,name__tr,name__fi,name__io,name__nb,name__ko,name__sv,name__ca,name__uk,name__da,name__nn,wikipedia__ar,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__mn,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__tr,wikipedia__uk,wikipedia__yo,wikipedia__zh,original_wikiname,death_date,name__hu,last_seen,wikipedia__fa,name__fa
Q16214148,Shawn Richards,Shawn Richards,Shawn Richards,https://upload.wikimedia.org/wikipedia/commons/c/c8/ShawnRichards.jpg,male,,1972-12-08,,,Shawn,,,,,Shawn Richards,,,,,,,,Shawn Richards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shawn Richards,,,,,
Q23664146,Mark Brantley,Mark Brantley,Mark Brantley,,male,,,,,Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Brantley,,,,,
Q19880156,Eugene Hamilton,Eugene Hamilton,Eugene Hamilton (politician),,male,,1941-07-04,,,Eugene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eugene Hamilton (politician),,,,,
Q22675574,Ada Mae Edwards,Ada Mae Edwards,Ada Mae Edwards,,female,,1911-06-19,,,,,,,,Ada Mae Edwards,,,,,,,,,,,,,Ada Mae Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ada Mae Edwards,2004,,,,
Q7914010,Vance Amory,Vance Amory,Vance Amory,,male,,1949-05-22,,,Vance,,,,,Vance Amory,Vance Amory,,,,,,,Vance Amory,,,,,Vance Amory,Vance Amory,,,,,,,,,,,,,,,,,,,Vance Amory,,,,,,,,,,,,,Vance Amory,,,,,,,Vance Amory,,Vance Amory,,,
Q6429812,Konris Maynard,Konris Maynard,Konris Maynard,,male,,1983-07-08,,,,,,,,Konris Maynard,,,,,,,,Konris Maynard,,,,,Konris Maynard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konris Maynard,,,,,
Q10318591,Lindsay Grant,Lindsay Grant,Lindsay Grant,https://upload.wikimedia.org/wikipedia/commons/5/5c/Lindsay_Fitz-Patrick_Grant.jpg,male,,1964-11-01,,,Lindsay,,,Lindsay Grant,,,,,,,,,,Lindsay Grant,,,,,Lindsay Grant,Lindsay Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lindsay Grant,Lindsay Grant,,,,,,,Lindsay Grant,,,,,
Q7346038,Robert James Dugu Gordon,Robert James Dugu Gordon,Robert James Dugu Gordon,,male,,,,,Robert,,,,,Robert James Dugu Gordon,,,,,,,,Robert James Dugu Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert James Dugu Gordon,,,,,
Q7407337,Sam Condor,Sam Condor,Sam Condor,,male,,,,,Sam,,,,,Sam Condor,,,,Sam Condor,,,,Sam Condor,,,,,Sam Condor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Condor,,,,,
Q16733420,Patrice Nisbett,Patrice Nisbett,Patrice Nisbett,,male,,,,,Patrice,,,,,,,,,Patrice Nisbett,,,,Patrice Nisbett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrice Nisbett,,,,,
Q3529064,Timothy Harris,Timothy Harris,Timothy Harris,https://upload.wikimedia.org/wikipedia/commons/8/85/TimothyHarris.jpg,male,96753240,1964-01-14,,,Timothy,n2009053826,提摩西·哈里斯,Timothy Harris,,Timothy Harris,Timothy Harris,,,,,,,Timothy Harris,ティモシー・ハリス,Τίμοθι Χάρις,,,Timothy Harris,,"Харрис, Тимоти",,Timothy Harris,,,,,,,,,,,Timothy Harris,Τίμοθι Χάρις,,,,Timothy Harris,,,,,,,,,,,,Timothy Harris,,"Харрис, Тимоти",,Timothy Harris,,,,Timothy Harris,,Timothy Harris,,,
