id,name__en,name__de,name__it,name__fr,name__cy,name__es,name__hu,name__nl,name,wikipedia__en,gender,occupation,birth_date,death_date,given_name,original_wikiname,name__zh,name__pl,name__eu,name__qu,name__gd,name__oc,name__sw,name__et,name__br,name__sq,name__el,name__pnb,name__sv,name__ar,name__pt,name__is,name__eo,name__xmf,name__ru,name__sr,name__tr,name__fi,name__uk,name__be_tarask,name__nn,name__io,name__az,name__hr,name__da,name__an,name__nan,name__ko,name__be,name__he,name__yo,name__lv,name__gl,name__ay,name__id,name__ja,name__vi,name__hi,name__ku,name__sk,name__ro,name__ca,name__la,name__ilo,name__sl,name__cs,name__fa,name__bg,name__ka,name__lt,name__nb,name__de_ch,name__en_ca,name__en_gb,name__ga,name__pt_br,name__lb,name__uz,name__hy,name__tg,name__ur,name__mr,name__mk,name__sco,name__lrc,wikipedia__an,wikipedia__ar,wikipedia__ay,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__eswikiquote,wikipedia__eswikisource,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__ga,wikipedia__gd,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ilo,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__ku,wikipedia__la,wikipedia__lb,wikipedia__lrc,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pnb,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__simple,wikipedia__sk,wikipedia__skwikiquote,wikipedia__sl,wikipedia__slwikiquote,wikipedia__sq,wikipedia__sr,wikipedia__sv,wikipedia__sw,wikipedia__tg,wikipedia__tr,wikipedia__uk,wikipedia__ukwikiquote,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__xmf,wikipedia__yo,wikipedia__zh_min_nan,wikipedia__zh,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__CiNii,identifier__NDL,identifier__NLA,identifier__freebase,identifier__OLID,identifier__NKC,identifier__SELIBR,identifier__NLI,identifier__BNE,identifier__NTA,identifier__NNDB,identifier__KLfG,identifier__GNC,identifier__NLAtrove,identifier__GTAA,identifier__FAST,identifier__BiblioNet,identifier__bigenc_ru,identifier__nobel_prize,identifier__snac,name__ta,name__sh,name__ace,wikipedia__enwikinews,wikipedia__sh,wikipedia__ta,family_name,website,identifier__Britannica,twitter,facebook,name__bs,wikipedia__bswikiquote,name__af,name__ast,name__bar,name__co,name__de_at,name__frp,name__fur,name__gsw,name__ia,name__ie,name__kg,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sr_el,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,name__zh_hant,name__zh_cn,name__bm,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,name__vmf,name__bcl,wikipedia__bcl,identifier__Munzinger,identifier__quora,identifier__BAV,identifier__NLP,identifier__BVMC
Q1225278,José Roberto Alejos Cámbara,José Roberto Alejos Cámbara,,José Roberto Alejos Cámbara,,,,José Roberto Alejos Cámbara,José Roberto Alejos Cámbara,,male,politician,1961,,José,José Roberto Alejos Cámbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Roberto Alejos Cámbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 3501 7540,16470523,,n95025019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16095855,Ricardo Rosales,Ricardo Rosales,Ricardo Rosales,Ricardo Rosales,,,,Ricardo Rosales,Ricardo Rosales,Ricardo Rosales,male,politician,1934-02-14,,Ricardo,Ricardo Rosales,,,,,,,,,,,,,,,,,,,Рикардо Розалес,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16734325,Mario Roberto Paz,Mario Roberto Paz,Mario Roberto Paz,,,,Mario Roberto Paz,,Mario Roberto Paz,Mario Roberto Paz,male,architect,,,Mario,Mario Roberto Paz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q182441,Alfonso Portillo,Alfonso Antonio Portillo Cabrera,Alfonso Portillo,Alfonso Portillo,,Alfonso Portillo,Alfonso Portillo,Alfonso Portillo,Alfonso Portillo,Alfonso Portillo,male,politician,1951-09-24,,Alfonso,Alfonso Antonio Portillo Cabrera,阿方索·波狄優,Alfonso Antonio Portillo Cabrera,Alfonso Portillo,,,Alfonso Antonio Portillo Cabrera,,Alfonso Portillo,,,,,Alfonso Portillo,ألفونسو بورتيو,Alfonso Antonio Portillo Cabrera,,,,"Портильо Кабрера, Альфонсо",,,Alfonso Portillo,Альфонсо Портільо,,Alfonso Portillo,Alfonso Antonio Portillo Cabrera,,,Alfonso Portillo,,,알폰소 포르티요,,אלפונסו פורטיו,,,,,Alfonso Portillo,アルフォンソ・ポルティージョ,,,,,,,,,,,,,,,Alfonso Portillo,,,,,,,,,,,,,,,,ألفونسو بورتيو,,,,,,,,,,,,Alfonso Antonio Portillo Cabrera,,,Alfonso Portillo,,,Alfonso Portillo,Alfonso Portillo,,Alfonso Portillo,Alfonso Portillo,,,,אלפונסו פורטיו,,,,,Alfonso Portillo,,Alfonso Antonio Portillo Cabrera,,Alfonso Portillo,,,,알폰소 포르티요,,,,,,,,Alfonso Portillo,,,Alfonso Antonio Portillo Cabrera,Alfonso Antonio Portillo Cabrera,,,Alfonso Antonio Portillo Cabrera,,,"Портильо Кабрера, Альфонсо",,,,,,,,,,,,,Альфонсо Портільо,,,,,,,,阿方索·波狄優,,0000 0000 4291 3538,16777477,,no00092083,,073747831,,,,/m/022w37,,,,,,,753/000162267,,,,,455580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18249292,Amildo Morales,Amildo Morales,Amildo Morales,Amildo Morales,Amildo Morales,,,Amildo Morales,Amildo Morales,Amildo Morales,male,politician,1938-04-17,2014-10-10,,Amildo Morales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1846075,Zury Ríos Montt,Zury Ríos Montt,,Zury Ríos,,Zury Ríos,Zury Ríos,Zury Ríos Montt,Zury Ríos Montt,Zury Ríos,female,politician,1968-01,,,Zury Ríos,蘇維·里奧斯,,,,,,,,,,,,,,,,,,"Риос, Сури",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zury Ríos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zury Ríos Montt,,,,,,,,,,"Риос, Сури",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/049lsn,,,,,,,,,,,,,,,,,,,,,,,,http://www.zuryrios.com,,ZuryxGuate,zury.rios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1891440,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,male,politician,1970-05-06,,Manuel,Manuel Baldizón,,Manuel Baldizón,Manuel Baldizón,,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,,,,Manuel Baldizón,,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,,,,Manuel Baldizón,Manuel Baldizón,,,Manuel Baldizón,Manuel Baldizón,,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,,,,,,,Manuel Baldizón,,Manuel Baldizón,,Manuel Baldizón,,,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,,,Manuel Baldizón,Manuel Baldizón,,,,,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,,,,,,,Manuel Baldizón,,,,,,,,,,,,,,,Manuel Baldizón,,,Manuel Baldizón,,,,,,,Manuel Baldizón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258621476,,,,,,,,/m/0h635nk,,,,,,,,,,,,,,,,,,,,,,,,http://www.baldizon.com/,,ManuelBaldizon,ManuelBaldizonMendez,,,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,Manuel Baldizón,曼努埃爾·包迪鬆,曼努埃爾·包迪松,,,,,,,,,,,,,,,
Q1907896,Rosalina Tuyuc,Rosalina Tuyuc,,Rosalina Tuyuc Velásquez,,,,Rosalina Tuyuc Velásquez,Rosalina Tuyuc,Rosalina Tuyuc,female,politician,1956,,Rosalina,Rosalina Tuyuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosalina Tuyuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosalina Tuyuc Velásquez,,Rosalina Tuyuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/04cttl4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19914009,Alejandro Maldonado Aguirre,Alejandro Maldonado Aguirre,Alejandro Maldonado,Alejandro Maldonado Aguirre,,Alejandro Maldonado Aguirre,Alejandro Maldonado Aguirre,Alejandro Maldonado,Alejandro Maldonado Aguirre,Alejandro Maldonado,male,lawyer,1936-01-06,,Alejandro,Alejandro Maldonado Aguirre,亞歷杭德羅·馬爾多納多,,,,,Alejandro Maldonado Aguirre,,Alejandro Maldonado Aguirre,,,Αλεχάντρο Μαλντονάδο Αγκίρε,,Alejandro Maldonado Aguirre,أليخاندرو مالدونادو أغيري,Alejandro Maldonado Aguirre,,Alejandro Maldonado,,Алехандро Мальдонадо Агирре,,Alejandro Maldonado Aguirre,,,,Alejandro Maldonado Aguirre,,,,Alejandro Maldonado Aguirre,,,알레한드로 말도나도 아기레,,אלחנדרו מלדונאדו אגירה,,,,,Alejandro Maldonado Aguirre,アレハンドロ・マルドナド,,,,,,,Alexander Maldonado Aguirre,,,,آلخاندرو مالدونادو,,,,Alejandro Maldonado Aguirre,Alejandro Maldonado Aguirre,Alejandro Maldonado,Alejandro Maldonado,,Alejandro Maldonado Aguirre,Alejandro Maldonado Aguirre,,,,,,,,,,أليخاندرو مالدونادو أغيري,,,,,,,,Category:Alejandro Maldonado,,,,Alejandro Maldonado Aguirre,Αλεχάντρο Μαλντονάδο Αγκίρε,Alejandro Maldonado,Alejandro Maldonado Aguirre,,,,,آلخاندرو مالدونادو,,Alejandro Maldonado,,,,אלחנדרו מלדונאדו אגירה,,,,,Alejandro Maldonado,,,,Alejandro Maldonado,,,,알레한드로 말도나도 아기레,,Alexander Maldonado,Alejandro Maldonado Aguirre,,,,,,,,Alejandro Maldonado Aguirre,,,,Alejandro Maldonado Aguirre,,,"Мальдонадо Агирре, Алехандро",,Alejandro Maldonado Aguirre,,,,,,,,,,Alejandro Maldonado Aguirre,,,,,,,,,亞歷杭德羅·馬爾多納多,https://upload.wikimedia.org/wikipedia/commons/8/85/Alejandro_Maldonado_2015_(cropped).jpg,0000 0000 2622 0424,13704199,1057442305,n84030562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20020214,Rafael Spínola,,,Rafael Spínola,,Rafael Spínola,Rafael Spínola,Rafael Spínola,Rafael Spínola,Rafael Spinola,male,writer,1866,1901-10-04,Rafael,Rafael Spinola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Spínola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/30/Rafaelspinola1897.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
