id,name,party,party_id,district,birth_date,email,photo,term
102,Edgar Raúl Reyes Lee,Unidad Nacional de la Esperanza,UNE,Petén,1958-01-15,ereyes@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/B87F0CCA-39F8-2C7F-6B2B-799123B77943.jpg,8
104,Edgar Tomás Córdova Molina,Diputados Independientes,IND,Alta Verapaz,1961-05-20,ecordova@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/7A79F1DF-3294-DE18-4E65-6AB7AFDF9791.jpg,8
105,Edin Leonel Casasola Martínez,Frente de Convergencia Nacional,FCN-NACION,Baja Verapaz,1960-08-09,ecasasola@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/9C3BDDAF-AED7-6B07-48F0-07BE0233BF9E.jpg,8
107,Eduardo Ramiro de Matta,Frente de Convergencia Nacional,FCN-NACION,Quetzaltenango,1965-01-07,edematta@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/B267E85F-C463-F9E2-5190-798231BCA599.jpg,8
108,Eduardo Zachrisson Castillo,Partido de Avanzada Nacional,PAN,Distrito Guatemala,1954-11-23,ezachrisson@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/1905164C-2C1E-53E9-16F8-8DC2BFB90A56.jpg,8
110,Edwin Lux,Unidad Nacional de la Esperanza,UNE,Retalhuleu,1969-10-23,edwinlux@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/1524681565_fotografía diputado Lux.jpg,8
114,Elza Leonora Cú Isem,Movimiento Reformador,MR,Alta Verapaz,1964-12-19,ecu@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/dfsl-wew3-43d34-3435s.jpg,8
117,Erick René Lainfiesta Cáceres,Encuentro por Guatemala,EG,Distrito Central,1968-12-26,elainfiesta@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/0F4FC210-3B9E-5C1E-427D-797629EB9212.jpg,8
118,Ervin Adim Maldonado Molina,Frente de Convergencia Nacional,FCN-NACION,Distrito Guatemala,1990-07-05,eamaldonado@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/21560A14-8052-A5E0-9635-6AB90D8B80E9.jpg,8
120,Estuardo Ernesto Galdámez Juárez,Frente de Convergencia Nacional,FCN-NACION,Quiché,1966-02-09,egaldamez@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/1527002007_Diputado Galdámez.jpg,8
121,Eugenio Moisés González Alvarado,TODOS,TODOS,Totonicapán,1960-11-23,emgonzalez@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/1374A0A7-5799-77B0-B7EC-07C73504EF6E.jpg,8
122,Eva Nicolle Monte Bac,Alianza Ciudadana,AC,Chimaltenango,1982-07-17,emonte@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/2F443E73-0AE8-A763-3405-EA971102DE15.jpg,8
124,Felipe Alejos Lorenzana,TODOS,TODOS,Listado Nacional,1984-10-03,falejos@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/1527002078_Diputado Alejos.jpg,8
125,Felipe Jesús Cal Lem,Unidad Nacional de la Esperanza,UNE,Alta Verapaz,1961-02-05,fcal@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/17A2BC00-8DD7-3311-15DD-07BD8EB435A8.jpg,8
127,Félix Ovidio Monzón Pedroza,TODOS,TODOS,Distrito Guatemala,1959-06-09,fmonzon@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/15AEF56D-B210-6524-C8CF-6C082A56D123.jpg,8
129,Fernando Linares Beltranena,Partido de Avanzada Nacional,PAN,Listado Nacional,1948-02-14,flinares@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/0F5EEF95-6E8B-F9F0-2D61-796BC45F31D4.jpg,8
130,Fidel Reyes Lee,Unidad Nacional de la Esperanza,UNE,Distrito Guatemala,1958-01-15,freyes@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/D44BC2C6-BFA9-EB85-5781-07D6FB4C9CC5.jpg,8
133,Flor De María Chajón Aguilar,Frente de Convergencia Nacional,FCN-NACION,Distrito Guatemala,1962-05-25,fchajon@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/48610EFF-4EFD-7C8A-4011-798136488381.jpg,8
14,Alicia Dolores Beltrán López,Movimiento Reformador,MR,Retalhuleu,1958-07-15,abeltran@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/1527001842_Diputada Beltrán.jpg,8
140,Francisco Tambríz Tambríz,Alianza Ciudadana,AC,Sololá,1970-10-03,ftambriz@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/A997943F-15A5-C91C-B0CB-44B1F6FD3AE0.jpg,8
141,Francisco Vitelio Lam Ruano,Unidad Nacional de la Esperanza,UNE,Escuintla,1955-12-09,flam@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/8BF2C874-7A3A-73AD-8654-798EBD509CFF.jpg,8
143,Gabriel Heredia Castro,Unidad Nacional de la Esperanza,UNE,Chiquimula,1956-10-20,gheredia@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/D4939C7C-9B6F-C89D-51D4-0733A7E7BCBC.jpg,8
145,German Estuardo Velásquez Pérez,Diputados Independientes,IND,Listado Nacional,1968-07-11,gvelasquez@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/C7B64B61-6880-DD16-45AB-8DC859B38FFD.jpg,8
160,Gustavo Arnoldo Medrano Osorio,Diputados Independientes,IND,Listado Nacional,1975-12-11,gmedrano@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/8A9D5504-1C7F-9041-D9B4-073E22D9FF94.jpg,8
162,Haroldo Eric Quej Chen,Unidad Nacional de la Esperanza,UNE,Alta Verapaz,1963-08-07,hquej@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/DEF2E011-2BFA-520C-3575-074220126ED6.jpg,8
167,Héctor Leonel Lira Montenegro,Encuentro por Guatemala,EG,Distrito Guatemala,1972-03-14,leonellira@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/65C9E6C6-010D-4BE9-AD55-07D2E340B47B.jpg,8
169,Héctor Melvyn Caná Rivera,Diputados Independientes,IND,Chimaltenango,1976-10-18,hcana@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/C86388D4-51F5-6988-6F58-798C92F28DDC.jpg,8
17,Alvaro Enrique Arzú Escobar,Partido Unionista,PU,Listado Nacional,1985-02-27,aarzu@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/1527001626_Presidente Arzú.jpg,8
172,Hernán Morán Mejía,Frente de Convergencia Nacional,FCN-NACION,Escuintla,1957-05-08,hmoran@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/9AA67E5D-D301-EF47-30CC-07DAF7E06770.jpg,8
174,Hugo Fernando García Gudiel,Diputados Independientes,IND,Listado Nacional,1973-05-30,hgarciag@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/BCDE2B56-F438-F2B0-4B09-9D8E0A11DFD0.jpg,8
179,Iliana Guadalupe Calles Domínguez,Frente de Convergencia Nacional,FCN-NACION,Distrito Guatemala,1959-12-20,icalles@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/3C3AE950-CE7C-A5FF-8AD2-7980C59DE7DB.jpg,8
183,Jaime Octavio Augusto Lucero Vásquez,Unión del Cambio Nacional,UCN,Jalapa,1990-11-22,jlucero@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/1527002159_Diputado Lucero.jpg,8
184,Jairo Joaquín Flores Divas,Unidad Nacional de la Esperanza,UNE,Distrito Guatemala,1975-05-22,jflores@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/13F2F3A9-922A-4F7B-588F-07CF252D530E.jpg,8
185,Javier Alfonso Hernández Franco,Frente de Convergencia Nacional,FCN-NACION,Listado Nacional,1974-09-17,jahernandez@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/1528746586_Foto de Perfil Congreso.png,8
186,Javier Alfonso Hernández Ovalle,Frente de Convergencia Nacional,FCN-NACION,Distrito Central,1947-03-25,jahernandezovalle@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/1527002234_Diputado Hernàndez.jpg,8
187,Jean Paul Briere Samayoa,TODOS,TODOS,Listado Nacional,1974-10-25,paulbriere@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/818C940B-CDE9-8297-201D-07BB550B915A.jpg,8
192,Joel Rubén Martínez Herrera,Frente de Convergencia Nacional,FCN-NACION,Huehuetenango,1967-07-08,jmartinez@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/1EA635B3-991E-BE7E-9315-9D18F6364170.jpg,8
201,Jorge Estuardo Vargas Morales,Unidad Nacional de la Esperanza,UNE,Listado Nacional,1973-08-22,jvargas@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/36F45E06-C38E-A53B-1E8D-7992B7A29AD7.jpg,8
212,José Alberto Hernández Salguero,Unión del Cambio Nacional,UCN,Quetzaltenango,1991-02-26,jahernandezsalguero@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/A7D2527D-FCCA-7AA3-5E67-8DC49469D23C.jpg,8
214,José Alejandro De León Maldonado,Movimiento Reformador,MR,Chimaltenango,1977-09-03,jdeleon@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/5A453199-0531-38CD-CACB-07364E7C0C0B.jpg,8
217,José Armando Ubico Aguilar,TODOS,TODOS,Sacatepéquez,1978-11-26,jubico@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/E101F0B0-2570-B68A-C43F-798A1474D3C7.jpg,8
218,José Arturo Martínez Dell,TODOS,TODOS,Retalhuleu,1977-05-07,jadell@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/62027C14-1AC8-AC65-82E6-798737086ED0.jpg,8
219,José Conrado García Hidalgo,Diputados Independientes,IND,Quetzaltenango,1962-05-06,jconradogarcia@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/1703727E-74F2-9CDD-B9DB-79965363E64F.jpg,8
22,Amílcar de Jesús Pop Ac,Winaq,WINAQ,Listado Nacional,1977-10-03,apop@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/FC997DD2-993E-8FF5-9C5F-92DA8022DC8D.jpg,8
221,José De La Cruz Cutzal Mijango,Frente de Convergencia Nacional,FCN-NACION,Sololá,1953-09-14,jcutzal@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/49598331-098E-1093-9E15-7999B75332E6.jpg,8
223,José Domingo Trejo de la Roca,Frente de Convergencia Nacional,FCN-NACION,Escuintla,1968-05-17,jtrejo@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/B4CAFB81-B777-C8C1-A04E-E2780F2D3864.jpg,8
225,José Inés Castillo Martínez,Unidad Nacional de la Esperanza,UNE,Santa Rosa,1970-04-07,jcastillo@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/6868D80A-5A10-3F26-26E3-07386BE4824A.jpg,8
228,José Rodrigo Valladares Guillén,TODOS,TODOS,Listado Nacional,1981-11-01,jvalladares@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/A598301A-5DD2-2751-29D3-798A939B83E7.jpg,8
229,Juan Armando Chún Chanchavac,Unidad Nacional de la Esperanza,UNE,Totonicapán,1969-10-31,jchun@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/5F6D6725-DB9F-0312-5CA9-B162DFF5DF6B.jpg,8
230,Juan Carlos Bautista Mejía,"Compromiso, Renovación y Orden",CREO,Distrito Central,1966-08-19,juanbautista@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/604BBD27-3614-B39C-C794-07BA8B7B4999.jpg,8
231,Juan Carlos Josué Salanic García,Unidad Nacional de la Esperanza,UNE,Quetzaltenango,1975-11-15,jsalanic@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/34FC1CD4-0A3F-A5F0-3E6F-79925306CA2C.jpg,8
238,Juan José Porras Castillo,Visión con Valores,VIVA,Listado Nacional,1965-10-19,jporras@congreso.gob.gt,https://www.congreso.gob.gt/wp-content/plugins/diputados/includes/uploads/images/perfil/F9718F7D-5528-40B3-0128-07D816C357EB.jpg,8
