id,name,wikidata
AK-0,Alaska's at-large congressional district,Q4310314
AL-1,Alabama's 1st congressional district,Q4705154
AL-2,Alabama's 2nd congressional district,Q4705155
AL-3,Alabama's 3rd congressional district,Q4705156
AL-4,Alabama's 4th congressional district,Q4705158
AL-5,Alabama's 5th congressional district,Q12248646
AL-6,Alabama's 6th congressional district,Q4705160
AL-7,Alabama's 7th congressional district,Q4705162
AR-1,Arkansas's 1st congressional district,Q4791705
AR-2,Arkansas's 2nd congressional district,Q4791704
AR-3,Arkansas's 3rd congressional district,Q4791707
AR-4,Arkansas's 4th congressional district,Q4791706
AS-0,American Samoa's at-large congressional district,Q4744873
AZ-1,Arizona's 1st congressional district,Q1994594
AZ-2,Arizona's 2nd congressional district,Q4791211
AZ-3,Arizona's 3rd congressional district,Q4791213
AZ-4,Arizona's 4th congressional district,Q230793
AZ-5,Arizona's 5th congressional district,Q9553880
AZ-6,Arizona's 6th congressional district,Q4791215
AZ-7,Arizona's 7th congressional district,Q4791218
AZ-8,Arizona's 8th congressional district,Q270600
AZ-9,Arizona's 9th congressional district,Q8991139
CA-1,California's 1st congressional district,Q2706581
CA-10,California's 10th congressional district,Q2154579
CA-11,California's 11th congressional district,Q2681039
CA-12,California's 12th congressional district,Q1002264
CA-13,California's 13th congressional district,Q2189596
CA-14,California's 14th congressional district,Q1002509
CA-15,California's 15th congressional district,Q1010799
CA-16,California's 16th congressional district,Q1924053
CA-17,California's 17th congressional district,Q2754650
CA-18,California's 18th congressional district,Q2225097
CA-19,California's 19th congressional district,Q2218460
CA-2,California's 2nd congressional district,Q1002517
CA-20,California's 20th congressional district,Q959575
CA-21,California's 21st congressional district,Q2095444
CA-22,California's 22nd congressional district,Q656962
CA-23,California's 23rd congressional district,Q525805
CA-24,California's 24th congressional district,Q2416463
CA-25,California's 25th congressional district,Q2671560
CA-26,California's 26th congressional district,Q5019994
CA-27,California's 27th congressional district,Q5019999
CA-28,California's 28th congressional district,Q5020000
CA-29,California's 29th congressional district,Q5020007
CA-3,California's 3rd congressional district,Q1002522
CA-30,California's 30th congressional district,Q5020015
CA-31,California's 31st congressional district,Q5020019
CA-32,California's 32nd congressional district,Q225150
CA-33,California's 33rd congressional district,Q225706
CA-34,California's 34th congressional district,Q5020033
CA-35,California's 35th congressional district,Q5020037
CA-36,California's 36th congressional district,Q13631063
