result_row,source_page_url,id,image,name,given_name,family_name,honorific_prefix,honorific_suffix,area,group,term,gender,birth_date,start_date,end_date,email,website,twitter,facebook
141,http://www.parlament.gv.at/WWER/PAD_83103/index.shtml,PAD_83103,http://www.parlament.gv.at/WWER/PAD_83103/4384324_180.jpg,"Julian Schmid, BA",Julian,Schmid,,BA,Bundeswahlvorschlag,Grüne,25,male, 21.04.1989,2013-10-29,,julian.schmid@parlament.gv.at, https://www.gruene.at/julian-schmid,,http://facebook.com/julian.schmid.gruene
2,http://www.parlament.gv.at/WWER/PAD_02822/index.shtml,PAD_02822,http://www.parlament.gv.at/WWER/PAD_02822/4405723_180.jpg,Karlheinz Kopf,Karlheinz ,Kopf,,,Wahlkreis: 8 – Vorarlberg,ÖVP,25,male, 27.06.1957,1994-11-07,,karlheinz.kopf@parlament.gv.at,http://www.karlheinzkopf.at ,,http://facebook.com/karlheinzkopf
99,http://www.parlament.gv.at/WWER/PAD_83101/index.shtml,PAD_83101,http://www.parlament.gv.at/WWER/PAD_83101/4384301_180.jpg,Sigrid Maurer,Sigrid ,Maurer,,,Bundeswahlvorschlag,Grüne,25,female, 19.03.1985,2013-10-29,,sigi.maurer@gruene.at,http://sigimaurer.at ,,http://facebook.com/sigrid.maurer
102,http://www.parlament.gv.at/WWER/PAD_36187/index.shtml,PAD_36187,http://www.parlament.gv.at/WWER/PAD_36187/4387575_180.jpg,Wendelin Mölzer,Wendelin,Mölzer,,,Wahlkreis: 2 – Kärnten,FPÖ,25,male, 07.03.1980,2013-10-29,,wendelin.moelzer@parlament.gv.at, ,,http://facebook.com/wendelin.moelzer
163,http://www.parlament.gv.at/WWER/PAD_83115/index.shtml,PAD_83115,http://www.parlament.gv.at/WWER/PAD_83115/4385188_180.jpg,Mag. Maximilian Unterrainer,Maximilian,Unterrainer,Mag.,,Wahlkreis: 7 – Tirol,SPÖ,25,male, 20.02.1964,2013-10-29,,maximilian.unterrainer@parlament.gv.at, http://www.maxunterrainer.eu,,http://facebook/max.unterrainer
155,http://www.parlament.gv.at/WWER/PAD_40628/index.shtml,PAD_40628,http://www.parlament.gv.at/WWER/PAD_40628/4582395_384.jpg,Mag. Albert Steinhauser,Albert,Steinhauser,Mag.,,Wahlkreis: 9 – Wien,Grüne,25,male, 15.10.1971,2007-07-02,,albert.steinhauser@gruene.at,http://www.albertsteinhauser.at ,,http://www.facebook.com/albertsteinhauser
34,http://www.parlament.gv.at/WWER/PAD_83146/index.shtml,PAD_83146,http://www.parlament.gv.at/WWER/PAD_83146/4386378_180.jpg,Angela Fichtinger,Angela ,Fichtinger,,,Wahlkreis: 3B – Waldviertel,ÖVP,25,female, 29.12.1956,2013-10-29,,angela.fichtinger@parlament.gv.at, ,,http://www.facebook.com/angela.fichtinger
101,http://www.parlament.gv.at/WWER/PAD_83122/index.shtml,PAD_83122,http://www.parlament.gv.at/WWER/PAD_83122/4380789_180.jpg,"Mag. Beate Meinl-Reisinger, MES",Beate,Meinl-Reisinger,Mag.,MES,Bundeswahlvorschlag,NEOS,25,female, 25.04.1978,2014-01-30,,beate.meinl-reisinger@parlament.gv.at, ,https://twitter.com/bmeinl,http://www.facebook.com/BeateMeinl
27,http://www.parlament.gv.at/WWER/PAD_83109/index.shtml,PAD_83109,http://www.parlament.gv.at/WWER/PAD_83109/4385153_180.jpg,Cornelia Ecker,Cornelia ,Ecker,,,Wahlkreis: 5 – Salzburg,SPÖ,25,female, 27.02.1976,2013-10-29,,cornelia.ecker@parlament.gv.at,http://salzburg.spoe.at ,,http://www.facebook.com/conny.ecker.spoe
63,http://www.parlament.gv.at/WWER/PAD_83111/index.shtml,PAD_83111,http://www.parlament.gv.at/WWER/PAD_83111/4384894_180.jpg,"Daniela Holzinger-Vogtenhuber, BA",Daniela ,Holzinger-Vogtenhuber,,BA,Wahlkreis: 4C – Hausruckviertel,SPÖ,25,female, 21.10.1987,2013-10-29,,daniela.holzinger@parlament.gv.at,http://www.daniela-holzinger.at ,,http://www.facebook.com/daniela.holzinger.3
120,http://www.parlament.gv.at/WWER/PAD_59908/index.shtml,PAD_59908,http://www.parlament.gv.at/WWER/PAD_59908/4387849_180.jpg,Elmar Podgorschek,Elmar,Podgorschek,,,Wahlkreis: 4B – Innviertel,FPÖ,25,male, 07.01.1958,2010-10-21,,elmar.podgorschek@fpoe.at, ,,http://www.facebook.com/elmar.podgorschek
30,http://www.parlament.gv.at/WWER/PAD_83433/index.shtml,PAD_83433,http://www.parlament.gv.at/WWER/PAD_83433/4582543_384.jpg,"Rouven Ertlschweiger, MSc",Rouven,Ertlschweiger,,MSc,Bundeswahlvorschlag,Team Stronach,25,male, 08.09.1976,2014-01-31,2015-08-01,rouven.ertlschweiger@parlament.gv.at, ,,http://www.facebook.com/Ertlschweiger.Rouven
