name,party,faction,constituency,wikiname,term
Aaron Cook,Non-partisan,Non-partisan,Aiwo,"",21
Baron Waqa,Non-partisan,Non-partisan,Boe,Baron Waqa,21
Charmaine Scotty,Non-partisan,Non-partisan,Yaren,Charmaine Scotty,21
Cyril Buraman,Non-partisan,Non-partisan,Anetan,Cyril Buraman,21
David Adeang,Naoero Amo,Naoero Amo,Ubenide,David Adeang,21
Gabrissa Hartman,Non-partisan,Non-partisan,Ubenide,Gabrissa Hartman,21
Kieren Keke,Naoero Amo,Naoero Amo,Yaren,Kieren Keke,21
Ludwig Scotty,Non-partisan,Non-partisan,Anabar,Ludwig Scotty,21
Lyn-Wannan Kam,Non-partisan,Non-partisan,Meneng,Lyn-Wannan Kam,21
Marcus Stephen,Non-partisan,Non-partisan,Anetan,Marcus Stephen,21
Mathew Batsiua,Non-partisan,Non-partisan,Boe,Mathew Batsiua,21
Milton Dube,Non-partisan,Non-partisan,Aiwo,Milton Dube,21
Ranin Akua,Non-partisan,Non-partisan,Ubenide,Ranin Akua,21
Riddell Akua,Naoero Amo,Naoero Amo,Anabar,Riddell Akua,21
Roland Kun,Naoero Amo,Naoero Amo,Buada,Roland Kun,21
Russ J. Kun,Non-partisan,Non-partisan,Ubenide,Russell Kun,21
Shadlog Bernicke,Non-partisan,Non-partisan,Buada,Shadlog Bernicke,21
Sprent Dabwido,Naoero Amo,Naoero Amo,Meneng,Sprent Dabwido,21
Squire Jeremiah,Non-partisan,Non-partisan,Meneng,Squire Jeremiah,21
