id,name__en,name__pl,name__nl,name__de,name,wikipedia__en,wikipedia__pl,gender,birth_date,given_name,original_wikiname,name__fr,name__es,name__tr,name__de_ch,name__el,name__en_ca,name__en_gb,name__et,name__nb,name__ru,name__na,name__fi,name__da,name__nn,name__sv,name__sk,name__ja,name__ar,name__la,name__it,name__vi,wikipedia__ar,wikipedia__commons,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__la,wikipedia__na,wikipedia__nl,wikipedia__no,wikipedia__ru,wikipedia__simple,wikipedia__sk,wikipedia__tr,wikipedia__vi,image,identifier__freebase,name__ca,name__oc,name__az,wikipedia__az,name__szl,wikipedia__szl,name__eo,wikipedia__eo,wikipedia__nn,name__pt,name__is,name__he,name__ast,name__gl,name__id,name__mr,name__io,name__hr,wikipedia__ast,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__is,wikipedia__mr,wikipedia__oc,wikipedia__pt,wikipedia__sv,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__be,name__yo,name__sw,name__sh,name__ro,name__tpi,name__zh,name__cs,wikipedia__be,wikipedia__cs,wikipedia__da,wikipedia__ko,wikipedia__ro,wikipedia__sh,wikipedia__sw,wikipedia__tpi,wikipedia__yo,wikipedia__zh,family_name,name__hu,wikipedia__bg,name__bg,twitter,wikipedia__plwikiquote,death_date,name__cy,identifier__Britannica,wikipedia__cy,occupation,wikipedia__kk,name__kk,wikipedia__ca,name__uk,wikipedia__uk,name__fo,name__se,name__sje,name__sma,name__smj,name__th,wikipedia__th
Q13453726,Lyn-Wannan Kam,Tawaki Kam,Lyn-Wannan Kam,,Lyn-Wannan Kam,Lyn-Wannan Kam,Tawaki Kam,male,,,Lyn-Wannan Kam,Lyn-Wannan Kam,,,,,,,,Lyn-Wannan Kam,,,,Lyn-Wannan Kam,Lyn-Wannan Kam,Lyn-Wannan Kam,,,,,,,,,,,,,,Lyn-Wannan Kam,,,,,,,,,,,,,,,,,,,,,,,,Lyn-Wannan Kam,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lyn-Wannan Kam,,,,,,,,,,,,,,,,Kam,,,,,,,,,,politician,,,,,,Lyn-Wannan Kam,Lyn-Wannan Kam,Lyn-Wannan Kam,Lyn-Wannan Kam,Lyn-Wannan Kam,,
Q13453817,Squire Jeremiah,Squire Jeremiah,Squire Jeremiah,Squire Jeremiah,Squire Jeremiah,Squire Jeremiah,Squire Jeremiah,male,,Squire,Squire Jeremiah,Squire Jeremiah,,,,,,,,Squire Jeremiah,,,,Squire Jeremiah,Squire Jeremiah,Squire Jeremiah,,,,,,,,,,,,,,Squire Jeremiah,,,,,,,,,,,,,/m/0vzsrh2,,,,,,,,,,,Squire Jeremiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,Squire Jeremiah,,,,,,,,,,,,,,,,Jeremiah,,,,,,,,,,politician,,,,,,Squire Jeremiah,Squire Jeremiah,Squire Jeremiah,Squire Jeremiah,Squire Jeremiah,,
Q13454037,Charmaine Scotty,Charmaine Scotty,Charmaine Scotty,Charmaine Scotty,Charmaine Scotty,Charmaine Scotty,Charmaine Scotty,female,"",Charmaine,Charmaine Scotty,Charmaine Scotty,,,,,,,,Charmaine Scotty,,,,Charmaine Scotty,Charmaine Scotty,Charmaine Scotty,,,,,,,,,Charmaine Scotty,,,,,Charmaine Scotty,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/de/Julie_Bishop_and_Charmaine_Scotty.jpg,/m/0vzscvr,,,,,,,,,,,Charmaine Scotty,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charmaine Scotty,,,,,,,,,,,,,,,,Scotty,,,,,,,,,,politician,,,,,,Charmaine Scotty,Charmaine Scotty,Charmaine Scotty,Charmaine Scotty,Charmaine Scotty,,
Q1391207,Kieren Keke,Kieren Keke,Kieren Keke,Kieren Keke,Kieren Keke,Kieren Keke,Kieren Keke,male,1971-06-27,Kieren,Kieren Keke,Kieren Keke,Kieren Keke,,,,,,,Kieren Keke,"Кеке, Кирен Адоган",Kieren Aedogan Ankwong Keke,,Kieren Keke,Kieren Keke,Kieren Keke,,,,,,,,,Kieren Keke,,,,,Kieren Keke,,,,,,Kieren Keke,"Кеке, Кирен Адоган",,,,,,/m/021yf6,,,,,Kieren Keke,Kieren Keke,Kieren Keke,Kieren Keke,Kieren Keke,,Kieren Keke,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kieren Keke,,,,,,,,,,,,,,,,Keke,,,,,,,,,,diplomat,,,,,,Kieren Keke,Kieren Keke,Kieren Keke,Kieren Keke,Kieren Keke,,
Q143932,Godfrey Thoma,Godfrey Thoma,Godfrey Thoma,Godfrey Thoma,Godfrey Thoma,Godfrey Thoma,Godfrey Thoma,male,1957-01-22,Godfrey,Godfrey Thoma,Godfrey Thoma,Godfrey Thoma,,,,,,,Godfrey Thoma,,,,Godfrey Thoma,Godfrey Thoma,Godfrey Thoma,,,,,,,,,Godfrey Thoma,,,,,Godfrey Thoma,,,,,,Godfrey Thoma,,,,,,,/m/057n98l,,,,,Godfrey Thoma,Godfrey Thoma,,,,,Godfrey Thoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,Godfrey Thoma,,,,,,,,,,,,,,,,Thoma,Godfrey Thoma,,,,,,,,,politician,,,,,,Godfrey Thoma,Godfrey Thoma,Godfrey Thoma,Godfrey Thoma,Godfrey Thoma,,
Q16158701,Ranin Akua,Ranin Akua,Ranin Akua,,Ranin Akua,Ranin Akua,Ranin Akua,male,,Ranin,Ranin Akua,,,,,,,,,Ranin Akua,,,,Ranin Akua,Ranin Akua,Ranin Akua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranin Akua,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranin Akua,,,,,,,,,,,,,,,,Akua,,,,,,,,,,politician,,,,,,Ranin Akua,Ranin Akua,Ranin Akua,Ranin Akua,Ranin Akua,,
Q1824037,Itubwa Amram,Itubwa Amram,Itubwa Amram,Itubwa Amram,Itubwa Amram,Itubwa Amram,Itubwa Amram,male,1922-12-21,,Itubwa Amram,,Itubwa Amram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-07-17,,,,,,,,,,,,,,,,
Q2162897,Roland Kun,Roland Kun,Roland Kun,Roland Kun,Roland Kun,Roland Kun,Roland Kun,male,1970-05-06,Roland,Roland Kun,Roland Kun,Roland Kun,,,,,,,Roland Kun,,,,Roland Kun,Roland Kun,Roland Kun,,,,,,,,,Roland Kun,,,,,Roland Kun,,,,,,,,,,,,,/m/04181t4,,,,,,,,,,,Roland Kun,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roland Kun,,,,,,,,,,,,,,,,Kun,Roland Kun,,,,,,,,,politician,,,,,,Roland Kun,Roland Kun,Roland Kun,Roland Kun,Roland Kun,,
Q2400404,Milton Dube,Milton Dube,Milton Dube,Milton Dube,Milton Dube,Milton Dube,Milton Dube,male,,Milton,Milton Dube,Milton Dube,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milton Dube,,,,,,,,,,,,,/m/0drw5mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,
Q274174,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,male,1969-10-01,Marcus,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,,Μάρκους Στίβεν,,,Marcus Stephen,Marcus Stephen,"Стивен, Маркус",Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,,マーカス・スティーブン,ماركوس ستيفن,,Marcus Stephen,,ماركوس ستيفن,Category:Marcus Stephen,Marcus Stephen,Μάρκους Στίβεν,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,マーカス・スティーブン,,Marcus Stephen,Marcus Stephen,Marcus Stephen,"Стивен, Маркус",,,Marcus Stephen,,https://upload.wikimedia.org/wikipedia/commons/0/08/President_Marcus_Stephen_of_Nauru.jpg,/m/08z59_,,Marcus Stephen,,,Marcus Stephen,Marcus Stephen,,,,Marcus Stephen,Marcus Stephen,,,,Marcus Stephen,,,Marcus Stephen,,,,Marcus Stephen,Marcus Stephen,,,,Marcus Stephen,Marcus Stephen,Marcus Stephen,马库斯·斯蒂芬,馬庫斯·斯蒂芬,馬庫斯·斯蒂芬,马库斯·斯蒂芬,马库斯·斯蒂芬,馬庫斯·史蒂芬,마커스 스티븐,Маркус Стывен,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,马库斯·斯蒂芬,Marcus Stephen,Маркус Стывен,Marcus Stephen,Marcus Stephen,마커스 스티븐,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,马库斯·斯蒂芬,Stephen,Marcus Stephen,,,,Marcus Stephen,,,,,weightlifter,,,,,,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,Marcus Stephen,มาร์คัส สตีเฟน,
