id,name__en,name__nl,name__de,name,wikipedia__en,gender,original_wikiname,name__es,name__fr,name__it,birth_date,given_name,wikipedia__commons,identifier__VIAF,identifier__SUDOC,name__pl,name__ko,name__sv,name__nb,name__eo,wikipedia__de,wikipedia__fr,wikipedia__ko,wikipedia__no,wikipedia__pl,wikipedia__sv,image,identifier__LCAuth,identifier__freebase,death_date,name__da,name__nn,website,name__cy,wikipedia__ru,identifier__FAST,name__ru,name__hu,last_seen,occupation,wikipedia__fa,name__fa,name__ja,identifier__NTA,identifier__ISNI,family_name,wikipedia__es,wikipedia__vi,name__vi,wikipedia__hu,identifier__GND,name__sl
Q16151660,Ignatious Chombo,Ignatious Chombo,Ignatious Chombo,Ignatious Chombo,Ignatius Chombo,male,Ignatius Chombo,,Ignatius Chombo,Ignatious Chombo,1952-08-01,,,,,,,,,,,Ignatius Chombo,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Ignatius_Chombo_2017.jpg,,,,,,,,,,,,,politician,,,イグナシウス・チョムボ,,,,,,,,,Ignatious Chombo
Q16195944,Fortune Chasi,Fortune Chasi,Fortune Chasi,Fortune Chasi,Fortune Chasi,male,Fortune Chasi,,Fortune Chasi,Fortune Chasi,1965-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Fortune Chasi
Q16207702,Nelson Chamisa,Nelson Chamisa,Nelson Chamisa,Nelson Chamisa,Nelson Chamisa,male,Nelson Chamisa,Nelson Chamisa,Nelson Chamisa,Nelson Chamisa,1978-02-02,Nelson,,,,Nelson Chamisa,,,Nelson Chamisa,,Nelson Chamisa,Nelson Chamisa,,Nelson Chamisa,Nelson Chamisa,,,,,,,,,,"Чамиза, Нельсон",,Нельсон Чамиза,Nelson Chamisa,,politician,,,ネルソン・チャミサ,,,,Nelson Chamisa,,,Nelson Chamisa,,Nelson Chamisa
Q16733535,Sithembiso Nyoni,,Sithembiso Nyoni,Sithembiso Nyoni,Sithembiso Nyoni,female,Sithembiso Nyoni,,Sithembiso Nyoni,,,,,191798474,102096767,,,,,,,Sithembiso Nyoni,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,170910202,Sithembiso Nyoni
Q29588993,Obedingwa Mguni,Obedingwa Mguni,,Obedingwa Mguni,Obedingwa Mguni,,Obedingwa Mguni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,
Q32534048,Christopher Kuruneri,Christopher Kuruneri,,Christopher Kuruneri,Christopher Kuruneri,male,Christopher Kuruneri,,,,,Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Christopher Kuruneri
Q3369338,Patrick Chinamasa,Patrick Chinamasa,Patrick Chinamasa,Patrick Chinamasa,Patrick Chinamasa,male,Patrick Chinamasa,Patrick Chinamasa,Patrick Chinamasa,,1947-01-25,Patrick,,,,,,Patrick Chinamasa,,,Patrick Chinamasa,Patrick Chinamasa,,,,Patrick Chinamasa,,,,,,,,,,,,Patrick Chinamasa,,politician,,,,,,,,,,,,Patrick Chinamasa
Q43266691,Christopher Mutsvangwa,,,Christopher Mutsvangwa,Christopher Mutsvangwa,male,Christopher Mutsvangwa,,Christopher Mutsvangwa,,1955-05-24,Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Christopher Mutsvangwa
Q4741842,Ambrose Mutinhiri,Ambrose Mutinhiri,Ambrose Mutinhiri,Ambrose Mutinhiri,Ambrose Mutinhiri,male,Ambrose Mutinhiri,,,Ambrose Mutinhiri,1944-02-22,Ambrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Ambrose Mutinhiri
Q4747917,Amos Midzi,Amos Midzi,Amos Midzi,Amos Midzi,Amos Midzi,male,Amos Midzi,,Amos Midzi,Amos Midzi,1952-07-04,Amos,,,,,,,,,Amos Midzi,Amos Midzi,,,,,,,,2015-06-09,,,,Amos Midzi,,,,,,politician,,,,,,,,,,,,Amos Midzi
Q4757697,Andrew Langa,Andrew Langa,Andrew Langa,Andrew Langa,Andrew Langa,male,Andrew Langa,,,,,Andrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Andrew Langa
Q4795279,Arnold Tsunga,Arnold Tsunga,Arnold Tsunga,Arnold Tsunga,Arnold Tsunga,male,Arnold Tsunga,,,Arnold Tsunga,,Arnold,,12264086,,,,,,,,,,,,,,nr2005019704,,,,,,,,,,,,,,,,291433715,0000 0000 4811 3945,,,,,,,Arnold Tsunga
Q5107550,Chris Mushohwe,Chris Mushohwe,Chris Mushohwe,Chris Mushohwe,Chris Mushohwe,male,Christopher Mushohwe,,,,,Chris,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,クリス・ムショフェ,,,,,,,,,
Q5218758,Daniel Shumba,Daniel Shumba,Daniel Shumba,Daniel Shumba,Daniel Shumba,male,Daniel Shumba,,,Daniel Shumba,,Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,
Q5231960,David Butau,David Butau,David Butau,David Butau,David Butau,male,David Butau,David Butau,David Butau,David Butau,1957-01-12,David,,,,,,,,,,,,,,,,,,,,,,,,,,David Butau,,politician,دیوید بوتائو,دیوید بوتائو,,,,,,,,,,David Butau
Q5274292,Didymus Mutasa,Didymus Mutasa,Didymus Mutasa,Didymus Mutasa,Didymus Mutasa,male,Didymus Mutasa,,Didymus Mutasa,,1935-07-27,Didimo,Category:Didymus Mutasa,277840396,165998822,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/14/DidymusMutasa1988.jpg,n85119061,,,,,,,,151611,,,,politician,,,,,0000 0003 8475 6253,,,,,,,Didymus Mutasa
Q5584672,Gorden Moyo,Gorden Moyo,Gorden Moyo,Gorden Moyo,Gorden Moyo,male,Gorden Moyo,,,,,Gorden,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,
Q58007739,Jacob Mudenda,Jacob Mudenda,,Jacob Mudenda,Jacob Mudenda,male,Jacob Mudenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,
Q5927511,Hubert Nyanhongo,Hubert Nyanhongo,Hubert Nyanhongo,Hubert Nyanhongo,Hubert Nyanhongo,male,Hubert Nyanhongo,,,,,Hubert,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Hubert Nyanhongo
Q6276249,Joram Gumbo,Joram Gumbo,Joram Gumbo,Joram Gumbo,Joram Gumbo,male,Joram Gumbo,Joram Gumbo,,,,Joram,,,,,,,,,,,,,,,,,,,,,,,,,,Joram Gumbo,,politician,,,,,,,,,,,,Joram Gumbo
Q6282111,Joseph Chinotimba,Joseph Chinotimba,Joseph Chinotimba,Joseph Chinotimba,Joseph Chinotimba,male,Joseph Chinotimba,Joseph Chinotimba,Joseph Chinotimba,,1950-03-23,Joseph,,,,,,Joseph Chinotimba,Joseph Chinotimba,,,,,,,,,,,,Joseph Chinotimba,Joseph Chinotimba,,,"Чинотимба, Джозеф",,"Чинотимба, Джозеф",Joseph Chinotimba,,politician,,,,,,,,,,,,Joseph Chinotimba
Q6285211,Joseph Made,Joseph Made,Joseph Made,Joseph Made,Joseph Made,male,Joseph Made,,Joseph Made,,1954-11-21,Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Made,,,,,,
Q6828646,Michael Bimha,Michael Bimha,Michael Bimha,Michael Bimha,Michael Bimha,male,Michael Bimha,,Michael Bimha,Michael Bimha,,Michael,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/23/Michael_Bimha_(cropped).jpg,,,,,,,,,,,,,politician,,,,,,,,,,,,Michael Bimha
Q6935586,Munacho Mutezo,,Munacho Mutezo,Munacho Mutezo,Munacho Mutezo,male,Munacho Mutezo,,,Munacho Mutezo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,
Q6938737,Murisi Zwizwai,,Murisi Zwizwai,Murisi Zwizwai,Murisi Zwizwai,male,Murisi Zwizwai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Murisi Zwizwai
Q7025447,Nicholas Goche,Nicholas Goche,Nicholas Goche,Nicholas Goche,Nicholas Goche,male,Nicholas Goche,,Nicholas Goche,Nicholas Goche,1946-08-01,Nicholas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goche,,,,,,Nicholas Goche
Q7070929,Nyasha Chikwinya,Nyasha Chikwinya,Nyasha Chikwinya,Nyasha Chikwinya,Nyasha Chikwinya,female,Nyasha Chikwinya,,Nyasha Chikwinya,,,,,,,,,,,,,Nyasha Chikwinya,,,,,,,,,,,,,,,,,,politician,,,,,,,,Nyasha Chikwinya,Nyasha Chikwinya,,,Nyasha Chikwinya
Q7095508,Opa Muchinguri,Opa Muchinguri,Opa Muchinguri,Opa Muchinguri,Oppah Muchinguri,female,Oppah Muchinguri,,Oppah Muchinguri,Opa Muchinguri,1958-12-14,,,,,,,,,,,Oppah Muchinguri,,,,,,,,,,,,,,,,,,politician,,,オパ・ムチングリ,,,,,,,,,Opa Muchinguri
Q7149825,Paul Chimedza,Paul Chimedza,Paul Chimedza,Paul Chimedza,Paul Chimedza,male,Paul Chimedza,,Paul Chimedza,Paul Chimedza,,Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,
Q7155466,Paurina Mpariwa,Paurina Mpariwa,Paurina Mpariwa,Paurina Mpariwa,Paurina Mpariwa,female,Paurina Mpariwa,Paurina Mpariwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paurina Mpariwa,,politician,,,,,,,,,,,,Paurina Mpariwa
Q7245611,Priscilla Misihairabwi-Mushonga,,,Priscilla Misihairabwi-Mushonga,Priscilla Misihairabwi-Mushonga,female,Priscilla Misihairabwi-Mushonga,,Priscilla Misihairabwi-Mushonga,,,Priscilla,,,,,,,,,,Priscilla Misihairabwi-Mushonga,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Priscilla Misihairabwi-Mushonga
Q7317489,Reuben Marumahoko,,Reuben Marumahoko,Reuben Marumahoko,Reuben Marumahoko,male,Reuben Marumahoko,,,,,Reuben,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Reuben Marumahoko
Q7412813,Samuel Undenge,,Samuel Undenge,Samuel Undenge,Samuel Undenge,male,Samuel Undenge,,,Samuel Undenge,,Samuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Samuel Undenge
Q7456035,Sesel Zvidzai,,Sesel Zvidzai,Sesel Zvidzai,Sesel Zvidzai,male,Sesel Zvidzai,,,Sesel Zvidzai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Sesel Zvidzai
Q7660812,Sylvester Nguni,,Sylvester Nguni,Sylvester Nguni,Sylvester Nguni,male,Sylvester Nguni,,Sylvester Nguni,,,Sylvester,,,,,,,,,,Sylvester Nguni,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Sylvester Nguni
