id,name,name__en,name__fr,name__es,name__de,name__pt,name__nl,name__sl,wikipedia__en,wikipedia__fr,wikipedia__pt,gender,occupation,given_name,original_wikiname,death_date,birth_date,family_name,name__zh,name__it,identifier__VIAF,identifier__ISNI,name__pl,wikipedia__pl,name__hu,name__ca,name__zh_hant,name__zh_cn,name__zh_hans,wikipedia__ca,identifier__FAST,identifier__LCAuth,identifier__NTA,name__sv,wikipedia__sv,name__el,name__uk,name__ja,wikipedia__de,wikipedia__el,wikipedia__it,wikipedia__uk,wikipedia__zh,identifier__GND,identifier__freebase,image
Q20986546,Bertin Borna,Bertin Borna,Bertin Borna,,,,Bertin Borna,Bertin Borna,Bertin Borna,,,male,politician,,,2007-06-15,1930-11-20,,,,24333572,0000 0000 4848 8747,,,,,,,,,,no2005055308,,,,,,,,,,,,,,
Q26235904,Joseph Keke,Joseph Keke,Joseph Keke,Joseph Keke,,,Joseph Keke,Joseph Keke,Joseph Keke,,,male,politician,Joseph,,2017-07-01,1927-12-05,Keke,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2926618,Bruno Amoussou,Bruno Amoussou,Bruno Amoussou,Bruno Amoussou,Bruno Amoussou,,Bruno Amoussou,Bruno Amoussou,Bruno Amoussou,Bruno Amoussou,,male,engineer,Bruno,,,1939-07-02,,,,90743474,0000 0000 7852 0621,,,,Bruno Amoussou,布律諾·阿穆蘇,布律诺·阿穆苏,布律诺·阿穆苏,Bruno Amoussou,458726,n2001094175,207225559,,,,,,,,,,,,,
Q3229120,Léhady Soglo,Léhady Soglo,Lehadi Vinagnon Soglo,,Léhady Soglo,,Léhady Soglo,Léhady Soglo,Léhady Soglo,Léhady Soglo,,male,politician,,,,1960-12-18,,,,,,Léhadi Soglo,Léhadi Soglo,,,,,,,,,,,,,,,,,,,,,,
Q3299037,Mathurin Nago,Mathurin Nago,Mathurin Nago,,Mathurin Nago,,Mathurin Nago,Mathurin Nago,Mathurin Nago,Mathurin Nago,,male,politician,Mathurin,,,,,马蒂兰·纳戈,,,,Mathurin Nago,Mathurin Nago,,,,,,,,,,,,,,,,,,,马蒂兰·纳戈,,,
Q377077,Adrien Houngbédji,Adrien Houngbédji,Adrien Houngbédji,Adrien Houngbédji,Adrien Houngbédji,,Adrien Houngbédji,Adrien Houngbédji,Adrien Houngbédji,Adrien Houngbédji,,male,politician,Adrien,,,1942-03-05,,阿德里安·溫貝吉,Adrien Houngbédji,74132541,0000 0000 5011 9174,Adrien Houngbédji,Adrien Houngbédji,Adrien Houngbédji,,,阿德里安·温贝吉,,,,no2005106318,120313944,Adrien Houngbédji,Adrien Houngbédji,Αντριέν Ουνγκμπετζί,Адрієн Унгбеджі,アドリアン・ウンベジ,Adrien Houngbédji,Αντριέν Ουνγκμπετζί,Adrien Houngbédji,Адрієн Унгбеджі,阿德里安·溫貝吉,173229778,/m/09bhfx,
Q44147191,Hélène Aholou Keke,Hélène Aholou Keke,Hélène Aholou Keke,Hélène Aholou Keke,Hélène Aholou Keke,Hélène Aholou Keke,Hélène Aholou Keke,Hélène Aholou Keke,Hélène Aholou Keke,Hélène Aholou Keke,Hélène Aholou Keke,female,lawyer,Hélène,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4775460,Antoine Dayori,Antoine Dayori,Antoine Dayori,Antoine Dayori,Antoine Dayori,,Antoine Dayori,Antoine Dayori,Antoine Dayori,,,male,politician,Antoine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4775490,Antoine Idji Kolawolé,Antoine Idji Kolawolé,Antoine Idji Kolawolé,Antoine Idji Kolawolé,Antoine Idji Kolawolé,,Antoine Idji Kolawolé,Antoine Idji Kolawolé,Antoine Idji Kolawolé,,,male,politician,Antoine,,,1946,,,,,,,,Antoine Idji Kolawolé,,,,,,,,,,,,,,,,,,,,,
Q4979540,Rosine Soglo,Rosine Soglo,Rosine Vieyra Soglo,Rosine Vieyra Soglo,Rosine Vieyra Soglo,,Rosine Vieyra Soglo,Rosine Vieyra Soglo,Rosine Vieyra Soglo,Rosine Vieyra Soglo,,female,politician,Rosine,,,1934-03,,,,,,,,Rosine Vieyra Soglo,,,,,,,,,Rosine Vieyra Soglo,Rosine Vieyra Soglo,,,,,,,,,,,
