id,name,given_name,family_name,gender,email,photo,party,constituency_id,constituency,source,term
adrien-houngbedji,Adrien HOUNGBEDJI,Adrien,HOUNGBEDJI,M,adrien.houngbedji@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/Me_houngbedji-216x300.png,Parti du Renouveau Démocratique,19,OUEME,https://assemblee-nationale.bj/index.php/adrien-houngbedji/,7
jeremie-adomahou,Jérémie ADOMAHOU,Jérémie,ADOMAHOU,M,jeremie.adomahou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/jeremie_adomahou-200x300.png,Unité Paix et Démocratie,12,COUFFO,https://assemblee-nationale.bj/index.php/jeremie-adomahou/,7
z-adam-bagoudou,Z. Adam BAGOUDOU,Z. Adam,BAGOUDOU,M,adam.bagoudou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/adam_bagoudou-200x300.png,Agir pour la République,8,BORGOU,https://assemblee-nationale.bj/index.php/z-adam-bagoudou/,7
c-alexis-agbelessessi,C. Alexis AGBELESSESSI,C. Alexis,AGBELESSESSI,M,alexis.agbelessessi@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/alexis_agbelessessi-200x300.png,Unité Paix et Démocratie,17,MONO,https://assemblee-nationale.bj/index.php/c-alexis-agbelessessi/,7
andre-okounlola-biaou,André OKOUNLOLA-BIAOU,André,OKOUNLOLA-BIAOU,M,andre.okounlola@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/andre_okounlola-200x300.jpg,Agir pour le peuple,10,COLLINES,https://assemblee-nationale.bj/index.php/andre-okounlola-biaou/,7
ange-marie-bruno-amoussou,Ange-Marie Bruno AMOUSSOU,Ange-Marie Bruno,AMOUSSOU,M,bruno.amoussou@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/bruno_amoussou-200x300.png,Union fait la Nation,11,COUFFO,https://assemblee-nationale.bj/index.php/ange-marie-bruno-amoussou/,7
s-augustin-ahouanvoebla,S. Augustin AHOUANVOEBLA,S. Augustin,AHOUANVOEBLA,M,augustin.ahouanvoebla@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/augustin_ahouanvoebla-200x300.png,PRD,20,OUEME,https://assemblee-nationale.bj/index.php/s-augustin-ahouanvoebla/,7
badirou-din-owolade-o-aguemon,Badirou Din-Owoladé O. AGUEMON,Badirou Din-Owoladé O.,AGUEMON,M,badiroudin.aguemon@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/badirou_aguemon-200x300.png,PRD,15,LITTORAL,https://assemblee-nationale.bj/index.php/badirou-din-owolade-o-aguemon/,7
d-barthelemy-kassa,D. Barthélémy KASSA,D. Barthélémy,KASSA,M,barthelemy.kassa@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/barthelemy_kassa-200x300.png,Agir pour la République,3,ATACORA,https://assemblee-nationale.bj/index.php/d-barthelemy-kassa/,7
depute_chabi_bah_guera,Chabi BAH GUERA,Chabi,BAH GUERA,M,chabi.bahguera@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/chabi_guera-200x300.png,Le peuple d’abord,8,BORGOU,https://assemblee-nationale.bj/index.php/depute_chabi_bah_guera/,7
claudine-affiavi-prudencio,Claudine Affiavi PRUDENCIO,Claudine Affiavi,PRUDENCIO,F,claudine.prudencio@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/claudine_prudencio-200x300.png,Union fait la Nation,6,ATLANTIQUE,https://assemblee-nationale.bj/index.php/claudine-affiavi-prudencio/,7
edmond-agoua,Edmond AGOUA,Edmond,AGOUA,M,edmond.agoua@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/edmond_goua-200x300.png,Bénin uni et solidaire,10,COLLINES,https://assemblee-nationale.bj/index.php/edmond-agoua/,7
eric-louis-camille-houndete,Eric Louis Camille HOUNDETE,Eric Louis Camille,HOUNDETE,M,eric.houndete@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/eric_houndete-200x300.png,Union fait la Nation,5,ATLANTIQUE,https://assemblee-nationale.bj/index.php/eric-louis-camille-houndete/,7
honorine-rose-marie-vieyra,Honorine Rose-Marie VIEYRA,Honorine Rose-Marie,VIEYRA,F,honorine.vieyra@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/rosine_soglo-200x300.png,,16,LITTORAL,https://assemblee-nationale.bj/index.php/honorine-rose-marie-vieyra/,7
idrissou-bako,Idrissou BAKO,Idrissou,BAKO,M,idrissou.bako@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/idrissou_bako-200x300.png,Le peuple d’abord,1,ALIBORI,https://assemblee-nationale.bj/index.php/idrissou-bako/,7
antoine-kolawole-idji,Antoine Kolawolé IDJI,Antoine Kolawolé,IDJI,M,kolawole.idji@assemblee-nationale.bj,https://assemblee-nationale.bj/wp-content/uploads/2017/09/antoine_kolawole_idji-200x300.png,Union fait la Nation,21,PLATEAU,https://assemblee-nationale.bj/index.php/antoine-kolawole-idji/,7
