id,position,label,description,start_date,end_date,replaces,replaced_by,of,constituency,term
Q1091091,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Thessaloniki A,17th Hellenic Parliament
Q1091091,Q23836191,,"","",,,,,,
Q12872284,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q12872284,Q23652109,,undersecretary to a ministry of the Greek government,"",,,,,,
Q12873648,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q12873648,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,
Q12873649,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q12873649,Q23640221,,undersecretary to a ministry of the Greek government,"",,,,,,
Q12873649,Q23901083,Minister of Health of Greece,Greek government minister,"",,,,,,
Q12873745,Q18915989,Member of the Hellenic Parliament,"",2015-01-25,,,,,Athens B,
Q12874002,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q12874002,Q23640205,,undersecretary to a ministry of the Greek government,"",,,,,,
Q12874551,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Attica,17th Hellenic Parliament
Q12877315,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q12881768,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q12884749,Q18915989,Member of the Hellenic Parliament,"","",,,,,Athens B,
Q12884749,Q19860606,Minister of Agriculture of Greece,Greek government minister,"",,,,,,
Q12884749,Q23651600,,undersecretary to a ministry of the Greek government,"",,,,,,
Q12884749,Q23651610,,undersecretary to a ministry of the Greek government,"",,,,,,
Q12884749,Q23901415,Minister of Labour and Social Insurance of Greece,Greek government minister,"",,,,,,
Q12885263,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q12885263,Q23901449,Minister of Culture and Tourism of Greece,Greek government minister,"",,,,,,
Q12885263,Q83307,minister,politician who holds significant public office in a national or regional government,"",,,,,,
Q12885531,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q12885954,Q140686,chairperson,"highest officer of an organized group such as a board, a committee, or a deliberative assembly",2015-06-14,,Evangelos Venizelos,,Panhellenic Socialist Movement,,
Q12885954,Q18915989,Member of the Hellenic Parliament,"",2000-04-09,2002-10,,,Panhellenic Socialist Movement,Athens A,
Q12885954,Q18915989,Member of the Hellenic Parliament,"",2012-05-06,2012-05-19,,,Panhellenic Socialist Movement,Athens A,
Q12885954,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Athens A,17th Hellenic Parliament
Q12885954,Q23653075,Greek vice-ministre of Health and Social Solidarity,undersecretary to a ministry of the Greek government,2009-10-07,2010-09-07,Giorgos Papageorgiou,,Cabinet of George Papandreou,,
Q12885954,Q23836175,,"",2013-06-25,2015-01-27,,,Cabinet of Antonis Samaras,,
Q12885954,Q23836182,,"",2011-11-11,2012-03-27,,,Coalition Cabinet of Lucas Papademos,,
Q12885954,Q23836189,,"",2010-09-07,2011-11-11,,Konstantinos Arvanitopoulos,Cabinet of George Papandreou,,
Q12885954,Q28032758,Prefect of Athens and Piraeus,Greek prefect,"",,,,,,
Q14257111,Q18915989,Member of the Hellenic Parliament,"","",,,,,Evrytania,
Q14257111,Q23639838,,undersecretary to a ministry of the Greek government,"",,,,,,
Q14257111,Q23640221,,undersecretary to a ministry of the Greek government,"",,,,,,
Q14257111,Q23653050,,undersecretary to a ministry of the Greek government,"",,,,,,
Q14257111,Q28032731,,Greek prefect,"",,,,,,
Q14623744,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q14623744,Q19904351,Minister of Northern Greece,Greek government minister,"",,,,,,
Q14623744,Q23639838,,undersecretary to a ministry of the Greek government,"",,,,,,
Q14816118,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q14816118,Q23639838,,undersecretary to a ministry of the Greek government,"",,,,,,
Q14930385,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q14943087,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,electoral district of Magnisia,17th Hellenic Parliament
Q1522688,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q1522688,Q23653081,,undersecretary to a ministry of the Greek government,"",,,,,,
Q1522688,Q23836175,,"","",,,,,,
Q1522688,Q23901427,"Minister of Interior, Decentralization and Electronic Governance",Greek government minister,"",,,,,,
Q1522688,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,
Q1522688,Q83307,minister,politician who holds significant public office in a national or regional government,"",,,,,,
Q15284647,Q18915989,Member of the Hellenic Parliament,"","",,,,,Athens A,
Q15919839,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,,17th Hellenic Parliament
Q15919839,Q23901445,"Minister of Environment, Energy and Climate Change",Greek government minister,2013-06-25,,,,,,
Q16146806,Q18915989,Member of the Hellenic Parliament,"",1981-10-18,1989-06-17,,,,Constituancy of Preveza,
Q16146806,Q21712224,Mayor of Preveza,Mayor of the Greek town Preveza,1975-06,1977-11,Konstantinos Alexopoulos,Hercules Ntousias,,,
Q16170532,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Thessaloniki A,17th Hellenic Parliament
Q16170532,Q23835980,,"","",,,,,,
Q16327711,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Achaea,17th Hellenic Parliament
Q16327711,Q23640221,,undersecretary to a ministry of the Greek government,"",,,,,,
Q16329215,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Athens B,
Q16329276,Q18915989,Member of the Hellenic Parliament,"","",,,,,Thessaloniki A,
Q16512450,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q16512482,Q18915989,Member of the Hellenic Parliament,"","",,,,,Athens A,
Q16572880,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,electoral district of Ioannina,17th Hellenic Parliament
Q16572880,Q30185,mayor,head of municipal government such as a town or city,"",,,,Lagkadas Municipality,,
Q16602072,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q1671929,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q1671929,Q20972317,Mayor of Piraeus,"","",,,,,,
Q1671929,Q23640231,,undersecretary to a ministry of the Greek government,"",,,,,,
Q17315144,Q18915989,Member of the Hellenic Parliament,"",2015-10-03,,,,,Thessaloniki A,17th Hellenic Parliament
Q17315144,Q23640242,Deputy Minister for Foreign Affairs,undersecretary to the Minister for Foreign Affairs in the Greek government,"",,,,,,
Q17401772,Q18915989,Member of the Hellenic Parliament,"","",,,,,,
Q1886385,Q18915989,Member of the Hellenic Parliament,"",2007,,,,Popular Orthodox Rally,Attica,17th Hellenic Parliament
